日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,24.2500000000,26.8600000000,26.8600000000,23.9000000000,10769165,277699561.2200,0.00,9.991800,0.00,9.144800
2023-05-29,28.9900000000,29.5500000000,29.5500000000,27.0000000000,19050869,548185548.2500,9.49,10.014900,2.69,16.177300
2023-05-30,29.2000000000,32.0400000000,32.5100000000,27.4700000000,24366668,725275148.8300,17.06,8.426400,2.49,20.691300
2023-05-31,30.0100000000,28.8400000000,31.3000000000,28.8400000000,17531415,525171167.9100,7.68,-9.987500,-3.20,14.887100
2023-06-01,27.1400000000,28.7000000000,30.5400000000,27.1400000000,16995740,489813396.1400,11.79,-0.485400,-0.14,14.432200
2023-06-02,28.3800000000,28.0900000000,29.8200000000,27.8900000000,12075165,345083791.6400,6.72,-2.125400,-0.61,10.253800
2023-06-05,27.7800000000,28.7500000000,29.0200000000,27.6600000000,10036196,285398906.4800,4.84,2.349600,0.66,8.522400
2023-06-06,28.5600000000,28.4300000000,30.2500000000,27.9000000000,12560595,366684114.3100,8.17,-1.113000,-0.32,10.666000
2023-06-07,27.5000000000,28.2700000000,29.4100000000,26.8600000000,9404896,264679733.8800,8.97,-0.562800,-0.16,7.986300
2023-06-08,28.2000000000,27.3400000000,28.4500000000,27.3000000000,7961496,219711053.0400,4.07,-3.289700,-0.93,6.760600
2023-06-09,27.4600000000,28.5200000000,28.7100000000,27.3800000000,9380480,263604841.0000,4.86,4.316000,1.18,7.965600
2023-06-12,29.3300000000,30.0100000000,31.3200000000,28.0100000000,15267785,451148461.8000,11.61,5.224400,1.49,12.964900
2023-06-13,30.0000000000,29.2400000000,30.4500000000,28.7000000000,10443400,305017033.0000,5.83,-2.565800,-0.77,8.868200
2023-06-14,29.3300000000,32.1600000000,32.1600000000,29.2500000000,7471748,236450105.8800,9.95,9.986300,2.92,6.344700
2023-06-15,31.3600000000,30.0600000000,31.3600000000,30.0000000000,13537536,413472437.4400,4.23,-6.529900,-2.10,11.495600
2023-06-16,29.5500000000,29.5200000000,29.9500000000,29.1400000000,8178636,241444739.0000,2.69,-1.796400,-0.54,6.945000
2023-06-19,29.0800000000,28.9200000000,29.2600000000,28.5100000000,9253051,266313919.1400,2.54,-2.032500,-0.60,7.857400
2023-06-20,28.7800000000,27.9000000000,28.9800000000,27.7500000000,8995381,252640141.2300,4.25,-3.527000,-1.02,7.638600
