日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,19.6400000000,18.9300000000,19.6600000000,18.8900000000,46337892,885502725.6600,0.00,-3.762100,0.00,0.852900
2023-05-29,18.9300000000,18.8900000000,19.0400000000,18.8000000000,18718686,354162129.5400,1.27,-0.211300,-0.04,0.344500
2023-05-30,18.8300000000,18.8200000000,18.9900000000,18.5000000000,24783051,463426239.0000,2.59,-0.370600,-0.07,0.456200
2023-05-31,18.8300000000,18.7900000000,18.8800000000,18.6400000000,14512120,272379848.1500,1.28,-0.159400,-0.03,0.267100
2023-06-01,18.8100000000,19.0500000000,19.3300000000,18.8000000000,22211736,425023370.9700,2.82,1.383700,0.26,0.408800
2023-06-02,19.0900000000,19.6500000000,19.7400000000,19.0600000000,33265147,647347776.8800,3.57,3.149600,0.60,0.612300
2023-06-05,19.7000000000,19.7500000000,19.9000000000,19.5200000000,21558399,426010719.4300,1.93,0.508900,0.10,0.396800
2023-06-06,19.7500000000,19.4200000000,19.8300000000,19.3700000000,14933689,291854442.0300,2.33,-1.670900,-0.33,0.274900
2023-06-07,19.4600000000,19.3300000000,19.6200000000,19.2400000000,11674977,225837599.6800,1.96,-0.463400,-0.09,0.214900
2023-06-08,19.3300000000,19.3900000000,19.6700000000,19.3300000000,15150643,295202227.7000,1.76,0.310400,0.06,0.278900
2023-06-09,19.3500000000,19.3800000000,19.6500000000,19.2000000000,18509018,358553601.6000,2.32,-0.051600,-0.01,0.340700
2023-06-12,19.3200000000,19.3800000000,19.5000000000,19.1200000000,15578064,301279202.0200,1.96,0.000000,0.00,0.286700
2023-06-13,19.3900000000,19.3600000000,19.4800000000,19.2800000000,10779665,208686273.7700,1.03,-0.103200,-0.02,0.198400
2023-06-14,19.5000000000,19.2300000000,19.5600000000,19.2200000000,16122585,312517023.6100,1.76,-0.671500,-0.13,0.296800
2023-06-15,19.2100000000,19.5900000000,19.6000000000,19.0200000000,25040371,485609179.7900,3.02,1.872100,0.36,0.460900
2023-06-16,19.5600000000,19.5900000000,19.6400000000,19.4600000000,16922830,330965149.7200,0.92,0.000000,0.00,0.311500
2023-06-19,19.6000000000,19.2500000000,19.6800000000,19.2300000000,19492471,377676355.4600,2.30,-1.735600,-0.34,0.358800
2023-06-20,19.2600000000,19.0800000000,19.3400000000,19.0800000000,14533233,278451638.7000,1.35,-0.883100,-0.17,0.267500
2023-06-21,19.1200000000,18.8800000000,19.3300000000,18.8700000000,19066355,363092453.7800,2.41,-1.048200,-0.20,0.350900
2023-06-26,18.7900000000,19.0000000000,19.1900000000,18.7000000000,14147025,268102222.2600,2.60,0.635600,0.12,0.260400
2023-06-27,19.0000000000,19.0200000000,19.1500000000,18.8400000000,13257329,251602140.8500,1.63,0.105300,0.02,0.244000
2023-06-28,18.9700000000,18.9400000000,19.1200000000,18.8500000000,11711791,221948523.7000,1.42,-0.420600,-0.08,0.215600
2023-06-29,18.8700000000,18.7400000000,18.9600000000,18.7300000000,13326332,250942907.3900,1.21,-1.056000,-0.20,0.245300
2023-06-30,18.7600000000,19.1700000000,19.4700000000,18.7400000000,34260350,658831800.3700,3.90,2.294600,0.43,0.630600
2023-07-03,19.1700000000,19.2500000000,19.4000000000,19.1300000000,18413567,354419006.8900,1.41,0.417300,0.08,0.338900
2023-07-04,19.3000000000,19.3600000000,19.4400000000,19.1800000000,17265403,333800371.2000,1.35,0.571400,0.11,0.317800
2023-07-05,19.2800000000,19.4100000000,19.6600000000,19.2400000000,23783632,462273912.6600,2.17,0.258300,0.05,0.437800
2023-07-06,19.4000000000,19.0600000000,19.4000000000,19.0100000000,21203412,405308221.1400,2.01,-1.803200,-0.35,0.390300
2023-07-07,19.0000000000,18.9700000000,19.0900000000,18.8800000000,11630460,220641161.4400,1.10,-0.472200,-0.09,0.214100
