日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,11.1879515600,11.5323394200,11.6161094400,11.0297193000,28307963,345379384.5800,0.00,3.078200,0.00,0.824900
2023-05-29,11.4485694000,11.5695705400,11.6626483400,11.3647993800,21619989,268059223.2600,2.58,0.322800,0.04,0.630000
2023-05-30,11.4671849600,11.4858005200,11.6440327800,11.3182604800,32157983,395334446.0200,2.82,-0.724100,-0.08,0.937100
2023-05-31,11.4206460600,11.2624138000,11.4764927400,11.1879515600,29517820,358131756.6400,2.51,-1.944900,-0.22,0.860200
2023-06-01,11.2996449200,11.5416472000,11.7278028000,11.1879515600,39483977,489427583.1300,4.79,2.479300,0.28,1.150600
2023-06-02,11.6347250000,12.1001140000,12.1745762400,11.6347250000,65661510,849641460.7300,4.68,4.838700,0.56,1.913400
2023-06-05,12.0535751000,11.9511895200,12.2211151400,11.9046506200,30469950,392905860.5900,2.62,-1.230800,-0.15,0.887900
2023-06-06,11.8674195000,12.2024995800,12.5655030000,11.8674195000,72975749,967084765.9800,5.84,2.102800,0.25,2.126500
2023-06-07,12.2211151400,12.0442673200,12.3793474000,11.9604973000,28592042,371925218.7500,3.43,-1.296700,-0.16,0.833200
2023-06-08,11.9977284200,12.0349595400,12.1838840200,11.8208806000,27946059,360673690.8400,3.01,-0.077300,-0.01,0.814400
2023-06-09,12.1280373400,12.0070362000,12.2955773800,11.9325739600,30098935,390506546.4300,3.02,-0.232000,-0.03,0.877100
2023-06-12,11.8953428400,12.1466529000,12.2583462600,11.8301883800,40157398,520932950.0200,3.57,1.162800,0.14,1.170200
2023-06-13,12.0070362000,12.2211151400,12.2583462600,11.9232661800,27305490,356707005.0200,2.76,0.613000,0.07,0.795700
2023-06-14,12.3141929400,12.4817329800,12.6958119200,12.1559606800,52771680,707948927.1700,4.42,2.132500,0.26,1.537800
2023-06-15,12.3793474000,12.5655030000,12.6399652400,12.1931918000,38888715,518127954.6200,3.58,0.671100,0.08,1.133200
2023-06-16,12.5655030000,12.7981975000,12.8726597400,12.4631174200,43110782,587753037.3200,3.26,1.851900,0.23,1.256300
2023-06-19,12.6585808000,12.1559606800,12.7144274800,12.1094217800,56313275,745426244.3100,4.73,-5.018200,-0.64,1.641000
2023-06-20,12.0814984400,12.0814984400,12.2024995800,11.9884206400,27651788,358626954.0900,1.76,-0.612600,-0.07,0.805800
2023-06-21,12.0163439800,11.8022650400,12.1280373400,11.8022650400,25857423,331615807.6400,2.70,-2.311200,-0.28,0.753500
2023-06-26,11.6347250000,11.4951083000,11.7557261400,11.4764927400,23203833,288665686.7900,2.37,-2.602500,-0.31,0.676200
2023-06-27,11.4951083000,12.0908062200,12.2397307000,11.4858005200,36106469,462464963.2900,6.56,5.182200,0.60,1.052200
2023-06-28,12.1187295600,12.0349595400,12.1280373400,11.8208806000,19224650,247240134.4800,2.54,-0.461900,-0.06,0.554400
2023-06-29,12.0256517600,11.7278028000,12.0256517600,11.7091872400,22204967,281312219.0800,2.63,-2.552200,-0.31,0.640300
2023-06-30,11.7466525400,12.0011947700,12.1048971600,11.7277975600,22361231,283931001.9600,3.22,2.331200,0.27,0.644800
2023-07-03,11.9729123000,12.2557370000,12.4254318200,11.9540573200,37676746,490310380.9700,3.93,2.121000,0.25,1.086400
2023-07-04,12.4442868000,12.1331796300,12.4819967600,11.9729123000,30690393,395896490.3500,4.15,-1.000000,-0.12,0.885000
2023-07-05,12.0577597100,12.1897445700,12.3028744500,11.9823397900,23939488,309490059.3000,2.64,0.466200,0.06,0.690300
2023-07-06,12.1708895900,11.9729123000,12.1991720600,11.9446298300,19779729,252137945.5600,2.09,-1.778800,-0.22,0.570400
2023-07-07,11.9069198700,12.2651644900,12.6799740500,11.8126449700,63230826,823057612.4700,7.24,2.440900,0.29,1.823300
2023-07-10,12.0860421800,12.0294772400,12.1803170800,11.8692099100,37237490,473854373.8500,2.54,-1.921600,-0.24,1.073800
2023-07-11,11.9917672800,11.7560800300,12.0200497500,11.7089425800,37387767,467207756.8400,2.59,-2.272700,-0.27,1.078100
2023-07-12,11.7655075200,11.7466525400,11.9352023400,11.6712326200,26157596,327607926.1600,2.25,-0.080200,-0.01,0.754300
2023-07-13,11.8786374000,12.3971493500,12.4065768400,11.8692099100,81485199,1060717086.0300,4.57,5.537700,0.65,2.349700
2023-07-14,12.4254318200,12.3782943700,12.6611190700,12.2745919800,37711778,497756845.5500,3.12,-0.152100,-0.02,1.087400
2023-07-17,12.2557370000,12.0389047300,12.3123019400,11.9823397900,25322109,325135607.5400,2.67,-2.741800,-0.34,0.730200
2023-07-18,12.0389047300,12.2180270400,12.3405844100,12.0389047300,19940807,257767414.9200,2.51,1.487900,0.18,0.575000
2023-07-19,12.1708895900,12.4254318200,12.4914242500,12.1614621000,34348354,451055613.2100,2.70,1.697500,0.21,0.990500
2023-07-20,12.4348593100,12.7742489500,13.0853561200,12.4254318200,73528338,1000060591.4800,5.31,2.807300,0.35,2.120200
2023-07-21,12.7931039300,12.5951266400,12.8119589100,12.5291342100,32910230,440853547.8000,2.21,-1.402200,-0.18,0.949000
2023-07-24,12.5856991500,12.3971493500,12.6234091100,12.2463095100,32251645,424548748.6500,2.99,-1.571900,-0.20,0.930000
2023-07-25,12.7742489500,13.5095931700,13.6415780300,12.7459664800,109559830,1563376086.2200,7.22,8.973400,1.11,3.159200
2023-07-26,13.6698605000,13.6132955600,13.7452804200,13.4341732500,52521053,757678571.9600,2.30,0.767600,0.10,1.514500
2023-07-27,13.6321505400,13.6415780300,13.9526852000,13.5095931700,43884427,639793342.3000,3.25,0.207800,0.03,1.265400
2023-07-28,13.3870358000,13.9055477500,14.0563875900,13.3116158800,52884154,774226726.5900,5.46,1.935000,0.26,1.525000
2023-07-31,13.9998226500,13.9903951600,14.4429146800,13.8772652800,49422616,741229842.4000,4.07,0.610200,0.08,1.425100
2023-08-01,14.0469601000,14.1318075100,14.5748995400,14.0281051200,52664682,796869405.1000,3.91,1.010800,0.14,1.518600
2023-08-02,14.0092501400,14.2166549200,14.3769222500,13.8018453600,36285281,544043713.9200,4.07,0.600400,0.08,1.046300
2023-08-03,14.0186776300,13.8489828100,14.1129525300,13.7924178700,41877081,616504730.8600,2.25,-2.586200,-0.37,1.207600
2023-08-04,14.0375326100,14.0563875900,14.3109298200,13.9903951600,27618150,414362715.2200,2.31,1.497600,0.21,0.796400
2023-08-07,13.9998226500,14.0469601000,14.1506624900,13.7829903800,20162480,299364635.0900,2.62,-0.067100,-0.01,0.581400
2023-08-08,14.0186776300,14.2543648800,14.4052047200,13.9338302200,26029369,393372721.1100,3.36,1.476500,0.21,0.750600
2023-08-09,14.1412350000,14.0469601000,14.4994796200,13.9621126900,19685196,293895341.8400,3.77,-1.455000,-0.21,0.567600
2023-08-10,13.9526852000,13.9149752400,14.0940975500,13.8395553200,21442973,316873461.5000,1.81,-0.939600,-0.13,0.618300
2023-08-11,13.8772652800,13.6510055200,14.1412350000,13.6038680700,26600797,389108174.1000,3.86,-1.897000,-0.26,0.767100
2023-08-14,13.4813107000,13.6698605000,13.8018453600,13.3870358000,20443173,295814339.1000,3.04,0.138100,0.02,0.589500
2023-08-15,13.6698605000,13.6887154800,13.9149752400,13.5095931700,14126842,205486141.0000,2.97,0.137900,0.02,0.407400
2023-08-16,13.6792879900,13.7735628900,13.9809676700,13.5378756400,27667283,405183796.1700,3.24,0.619800,0.08,0.797800
2023-08-17,13.6792879900,13.9055477500,13.9338302200,13.4341732500,16918871,246840575.1700,3.63,0.958200,0.13,0.487900
2023-08-18,13.9055477500,13.5567306200,13.9809676700,13.5567306200,16682898,243346151.0800,3.05,-2.508500,-0.35,0.481100
2023-08-21,13.4718832100,13.5755856000,13.9055477500,13.4624557200,17976011,261937801.8200,3.27,0.139100,0.02,0.518400
2023-08-22,13.5755856000,13.5001656800,13.6887154800,13.3493258400,35267635,504671066.4400,2.50,-0.555600,-0.08,1.017000
2023-08-23,13.5661581100,13.2833334100,13.6227230500,13.0665011400,32617481,459900045.0200,4.12,-1.606100,-0.22,0.940600
2023-08-24,13.3587533300,13.3493258400,13.6132955600,13.2644784300,21102536,300685664.4900,2.63,0.496800,0.07,0.608500
2023-08-25,13.2550509400,13.1324935700,13.3870358000,12.9627987500,24903744,347552505.4900,3.18,-1.624300,-0.22,0.718100
2023-08-28,13.9809676700,13.3304708600,13.9809676700,13.1042111000,33532598,477337470.6700,6.68,1.507500,0.20,0.966900
