日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,10.5474103200,10.6799895000,10.7020860300,10.4737552200,4781900,68695862.0000,0.00,0.904700,0.00,0.641200
2023-05-29,10.6947205200,10.6726239900,10.8714927600,10.5179482800,7417357,107692240.4900,3.31,-0.069000,-0.01,0.994500
2023-05-30,10.6726239900,10.8346652100,10.8420307200,10.4884862400,6289097,91200118.4000,3.31,1.518300,0.16,0.843200
2023-05-31,10.7757411300,10.5474103200,10.8052031700,10.4221966500,8774159,125564504.9000,3.54,-2.651300,-0.29,1.176400
2023-06-01,10.5474103200,10.6652584800,10.8788582700,10.4737552200,7138301,103840148.3800,3.84,1.117300,0.12,0.957100
2023-06-02,10.6431619500,10.8346652100,10.9156858200,10.6357964400,5545107,81237350.0800,2.62,1.588400,0.17,0.743500
2023-06-05,10.8567617400,10.7683756200,10.9377823500,10.6873550100,4505238,65937187.5100,2.31,-0.611800,-0.07,0.604100
2023-06-06,10.7978376600,10.8125686800,11.0114374500,10.7315480700,7648201,112916848.8700,2.60,0.410400,0.04,1.025500
2023-06-07,10.7610101100,10.5916033800,10.8567617400,10.5474103200,5034374,73033993.3900,2.86,-2.043600,-0.22,0.675000
2023-06-08,10.6063344000,10.4590242000,10.6136999100,10.4221966500,5186401,73991658.6500,1.81,-1.251700,-0.13,0.695400
2023-06-09,10.5032172600,10.5474103200,10.5989688900,10.3927346100,3625804,51662996.1400,1.97,0.845100,0.09,0.486100
2023-06-12,10.5474103200,10.3559070600,10.5474103200,10.2233278800,5230544,73591664.5800,3.07,-1.815600,-0.19,0.701300
2023-06-13,10.3559070600,10.4221966500,10.4958517500,10.3190795100,4122131,58338395.3200,1.71,0.640100,0.07,0.552700
2023-06-14,10.4369276700,10.5032172600,10.7020860300,10.3117140000,5688231,81099799.5600,3.75,0.777400,0.08,0.762700
2023-06-15,10.5032172600,10.7978376600,10.9009548000,10.4590242000,6115952,89392343.4000,4.21,2.805000,0.29,0.820000
2023-06-16,10.7831066400,10.8125686800,10.8862237800,10.7389135800,4062983,59592326.7300,1.36,0.136400,0.01,0.544800
2023-06-19,10.8862237800,10.8420307200,10.9746099000,10.8199341900,5897202,87255690.7800,1.43,0.272500,0.03,0.790700
2023-06-20,10.8788582700,10.9819754100,11.0482650000,10.7462790900,6067953,90030705.4200,2.79,1.290800,0.14,0.813600
