日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,12.0329216400,12.1249868400,12.1986390000,11.8395847200,27740667,361779267.7100,0.00,0.000000,0.00,1.243200
2023-05-29,12.1157803200,12.2078455200,12.2722911600,12.0605412000,28336843,374546390.5900,1.75,0.683400,0.08,1.269900
2023-05-30,12.1433998800,12.1894324800,12.2446716000,11.9960955600,19658772,258934492.1900,2.04,-0.150800,-0.02,0.881000
2023-05-31,12.1526064000,11.7659325600,12.1526064000,11.6554543200,50039866,641128913.1800,4.08,-3.474300,-0.42,2.242500
2023-06-01,11.7106934400,11.8211716800,11.9408564400,11.6186282400,31476981,403456238.5300,2.74,0.469500,0.06,1.410600
2023-06-02,11.7935521200,12.4288020000,12.4564215600,11.7935521200,58591816,781102650.0600,5.61,5.140200,0.61,2.625700
2023-06-05,12.4288020000,12.1433998800,12.5484867600,12.1341933600,38632025,515071684.4500,3.33,-2.296300,-0.29,1.731200
2023-06-06,12.1249868400,12.4932476400,12.8707149600,12.0789542400,66908901,909760000.4200,6.52,2.881000,0.35,2.998400
2023-06-07,12.3643563600,12.3919759200,12.6129324000,12.2262585600,30074876,403349551.6500,3.10,-0.810600,-0.10,1.347800
2023-06-08,12.4472150400,12.8154758400,12.8338888800,12.3551498400,55902941,770441346.8200,3.86,3.417500,0.42,2.505200
2023-06-09,12.7970628000,12.9351606000,13.0272258000,12.6221389200,57226100,795075114.2000,3.16,0.933900,0.12,2.564500
2023-06-12,12.7694432400,12.9259540800,13.0548453600,12.6129324000,47437755,663171470.3300,3.42,-0.071200,-0.01,2.125900
2023-06-13,12.8799214800,12.7970628000,12.9443671200,12.6221389200,36973540,512390117.7100,2.49,-0.997200,-0.13,1.656900
2023-06-14,12.7970628000,12.7418236800,12.9535736400,12.5024541600,60116302,833056561.1000,3.53,-0.431700,-0.06,2.694000
2023-06-15,12.7234106400,12.6865845600,12.7510302000,12.3827694000,51394555,700657927.8500,2.89,-0.433500,-0.06,2.303200
