日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,28.7276711400,29.1241883400,29.3521857300,28.3311539400,51817451,1516903506.7400,0.00,1.240500,0.00,1.811700
2023-05-29,30.5813890500,30.2046977100,31.5231174000,30.0163520400,109327312,3382739151.8700,5.17,3.710000,1.08,3.822500
2023-05-30,30.0361779000,31.2852070800,31.6222467000,29.5306184700,85907377,2677505201.7400,6.92,3.577300,1.08,3.003700
2023-05-31,31.0373838300,32.3359776600,32.6432784900,30.8986028100,89639509,2877223737.7400,5.58,3.358700,1.05,3.134200
2023-06-01,32.2071095700,32.1674578500,33.4561387500,31.8700699500,70818166,2323014849.8600,4.90,-0.521200,-0.17,2.476100
2023-06-02,32.5243233300,31.6718113500,32.7126690000,31.5726820500,48986382,1575959985.1600,3.54,-1.540800,-0.50,1.712800
2023-06-05,31.6321596300,31.8799828800,32.3558035200,31.5231174000,38131797,1228508879.1600,2.63,0.657300,0.21,1.333200
2023-06-06,31.8700699500,30.8093864400,32.0187639000,30.6408666300,40947347,1288788083.2000,4.32,-3.358200,-1.07,1.431700
2023-06-07,30.9382545300,30.8589510900,31.3843363800,30.5417373300,29056661,908652983.5100,2.73,0.160900,0.05,1.015900
2023-06-08,30.7102571400,30.7300830000,30.9679933200,30.0064391100,31402746,965627069.5300,3.12,-0.417600,-0.13,1.098000
2023-06-09,31.3843363800,32.7027560700,32.7523207200,30.4326951000,85944441,2767730018.0200,7.55,6.419400,1.97,3.005000
2023-06-12,32.5441491900,32.4251940300,33.4263999600,32.2963259400,57471224,1901885806.4000,3.46,-0.848700,-0.28,2.009400
2023-06-13,32.2170225000,33.1091862000,33.6543973500,31.3942493100,75530628,2494810553.3200,6.97,2.109400,0.68,2.640900
2023-06-14,33.4858775400,34.1004792000,34.3780412400,32.8316241600,84583252,2883602751.2100,4.67,2.994000,0.99,2.957400
2023-06-15,34.1103921300,33.7634395800,34.8736877400,33.5057034000,63203699,2174435977.3400,4.01,-0.988400,-0.34,2.209900
2023-06-16,33.3669223800,34.9629041100,35.1809885700,33.2876189400,73632082,2561742272.6500,5.61,3.552600,1.20,2.574500
