日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,43.6039615700,41.6730853900,43.7930680000,41.2451076800,2813700,118652331.9600,0.00,-5.250100,0.00,14.068500
2023-05-29,40.8370359100,41.1057661000,41.3048255000,40.0706572200,1729954,70894428.4000,2.96,-1.361400,-0.57,8.649800
2023-05-30,40.8071770000,41.1256720400,41.9020037000,40.6280235400,1200500,49677201.0000,3.10,0.048400,0.02,6.002500
2023-05-31,40.9067067000,39.5132909000,40.9067067000,39.4734790200,1810700,72397760.0000,3.48,-3.920600,-1.61,9.053500
2023-06-01,39.5132909000,39.5730087200,40.1104691000,38.9161127000,1075800,42755920.0000,3.02,0.151100,0.06,5.379000
2023-06-02,39.3839022900,39.7820210900,39.9412686100,39.3142315000,914800,36509744.0000,1.58,0.528200,0.21,4.574000
2023-06-05,39.7820210900,38.9658775500,39.8218329700,38.7270062700,1124900,44101533.0000,2.75,-2.051500,-0.82,5.624500
2023-06-06,38.9658775500,37.9009097600,39.0952661600,37.8810038200,1349400,51858307.0000,3.12,-2.733100,-1.06,6.747000
2023-06-07,37.9108627300,37.0748132500,37.9705805500,36.8160360300,1297400,48398526.0000,3.05,-2.179600,-0.83,6.487000
2023-06-08,37.3136845300,36.8359419700,37.6819444200,36.7264593000,770200,28726250.0000,2.58,-0.644300,-0.24,3.851000
2023-06-09,36.9255187000,36.8956597900,37.2440137400,36.4278702000,881100,32543552.0000,2.22,0.162100,0.06,4.405500
2023-06-12,36.8956597900,36.5672117800,37.0847662200,36.0297514000,881600,32287997.0000,2.86,-0.890200,-0.33,4.408000
2023-06-13,36.5672117800,37.1743429500,37.3136845300,36.3781053500,931000,34569588.0000,2.56,1.660300,0.61,4.655000
2023-06-14,37.4231672000,36.5771647500,37.5226969000,36.4378231700,892200,32923901.0000,2.92,-1.606400,-0.60,4.461000
2023-06-15,36.4975409900,38.0302983700,38.1696399500,35.9401746700,2054500,76827255.0000,6.10,3.972800,1.45,10.272500
2023-06-16,37.8113330300,37.2241078000,38.0800632200,36.9653305800,1592169,59775805.6000,2.93,-2.119900,-0.81,7.960800
2023-06-19,36.9553776100,36.9354716700,37.3037315600,36.7264593000,1124216,41781604.7600,1.55,-0.775400,-0.29,5.621100
2023-06-20,37.0051424600,36.3781053500,37.0051424600,36.3581994100,939100,34453628.0000,1.75,-1.509000,-0.56,4.695500
2023-06-21,36.4875880200,37.1245781000,38.3985582600,36.4278702000,2275195,85341306.5500,5.42,2.052000,0.75,11.376000
2023-06-26,36.9752835500,38.6672884500,39.3042785300,35.1339841000,3751195,142383276.2000,11.23,4.155500,1.54,18.756000
2023-06-27,38.2691696500,37.4231672000,38.2691696500,36.5572588100,2270300,85307812.3100,4.43,-3.217500,-1.24,11.351500
2023-06-28,37.4231672000,37.2440137400,37.4729320500,36.4875880200,1085606,40276948.8700,2.63,-0.478700,-0.18,5.428000
2023-06-29,37.2838256200,38.0502043100,39.2744196200,36.8458949400,2057069,79350182.8000,6.52,2.164600,0.81,10.285300
2023-06-30,38.0103924300,37.9407216400,39.1350780400,37.7615681800,1418900,54673093.0000,3.61,-0.287700,-0.11,7.094500
2023-07-03,37.8212860000,38.1795929200,38.9161127000,37.8212860000,1172001,45198252.6100,2.89,0.629600,0.24,5.860000
2023-07-04,38.0004394600,38.1397810400,38.5876646900,37.8511449100,922200,35362492.0000,1.93,-0.104300,-0.04,4.611000
2023-07-05,37.9805335200,37.7416622400,38.4085112300,37.6222266000,795737,30350850.9900,2.06,-1.043800,-0.40,3.978700
2023-07-06,37.7516152100,38.8962067600,40.1303750400,37.2241078000,2182664,85256855.6000,7.70,3.059100,1.15,10.913300
2023-07-07,38.6871943900,38.6672884500,39.0455013100,38.3189345000,812700,31494887.0000,1.87,-0.588500,-0.23,4.063500
2023-07-10,38.6175236000,40.9365656100,40.9365656100,38.3189345000,2698400,108216553.0000,6.77,5.868700,2.27,13.492000
2023-07-11,40.9763774900,41.1157190700,41.4043552000,39.9711275200,2115564,86436719.1600,3.50,0.437600,0.18,10.577800
2023-07-12,41.2052958000,40.3095285000,41.3545903500,40.1602339500,1010800,41429778.0000,2.90,-1.960800,-0.81,5.054000
2023-07-13,40.1900928600,39.9910334600,40.8668948200,39.8118800000,1019864,41163955.2400,2.62,-0.790100,-0.32,5.099300
2023-07-14,39.9114097000,39.8019270300,40.5583527500,39.4137612000,806000,32311692.0000,2.86,-0.472900,-0.19,4.030000
2023-07-17,39.8019270300,39.3241844700,40.0706572200,39.0952661600,706500,27955912.0000,2.45,-1.200300,-0.48,3.532500
2023-07-18,39.2943255600,39.5531027800,39.6625854500,38.8165830000,486900,19233594.0000,2.15,0.582100,0.23,2.434500
2023-07-19,39.5232438700,38.0999691600,40.1005161300,37.8212860000,1389500,53686078.0000,5.76,-3.673900,-1.45,6.947500
2023-07-20,38.5378998400,37.4231672000,38.6772414200,37.3734023500,824695,31452354.0500,3.42,-1.776400,-0.68,4.123500
2023-07-21,37.6222266000,36.3681523800,37.7217563000,36.3084345600,1143100,42306483.0000,3.78,-2.819100,-1.06,5.715500
2023-07-24,36.3781053500,36.3880583200,36.7762241500,36.0297514000,601500,21975092.0000,2.05,0.054700,0.02,3.007500
2023-07-25,36.6269296000,37.1544370100,37.5027909600,36.5473058400,731164,27203781.0000,2.63,2.106100,0.77,3.655800
2023-07-26,36.8558479100,36.9752835500,37.4231672000,36.7563182100,515700,19148424.0000,1.79,-0.482200,-0.18,2.578500
2023-07-27,36.8259890000,36.4776350500,36.9752835500,36.4577291100,554400,20434344.0000,1.40,-1.345900,-0.50,2.772000
2023-07-28,36.4676820800,36.3781053500,36.7762241500,35.9998924900,642600,23512285.0000,2.13,-0.272900,-0.10,3.213000
2023-07-31,36.3781053500,36.2288108000,36.7065533600,36.0795162500,603500,22062424.0000,1.72,-0.410400,-0.15,3.017500
2023-08-01,36.3183875300,36.4975409900,36.5871177200,35.9401746700,528864,19248637.0400,1.79,0.741800,0.27,2.644300
2023-08-02,37.3136845300,37.0449543400,38.3189345000,36.7364122700,1452600,54642586.5200,4.34,1.499900,0.55,7.263000
2023-08-03,36.6966003900,36.6070236600,36.8160360300,36.3382934700,842700,30944484.0000,1.29,-1.182200,-0.44,4.213500
2023-08-04,36.4477761400,36.6169766300,36.7065533600,36.1591400100,654200,23935902.0000,1.50,0.027200,0.01,3.271000
2023-08-07,36.2785756500,38.3886052900,38.8066300300,36.2785756500,2119718,80120553.0000,6.90,4.838300,1.77,10.598600
2023-08-08,37.4231672000,36.9155657300,37.6421325400,36.5473058400,1420711,52858797.7900,2.85,-3.837200,-1.47,7.103600
2023-08-09,36.8259890000,36.6468355400,37.0847662200,36.4278702000,551500,20320480.0000,1.78,-0.728000,-0.27,2.757500
2023-08-10,36.6667414800,36.7264593000,37.0051424600,36.3880583200,399900,14743865.0000,1.68,0.217300,0.08,1.999500
2023-08-11,36.7563182100,35.5719147800,36.9255187000,35.3429964700,942100,34071825.0000,4.31,-3.143600,-1.15,4.710500
2023-08-14,35.2335138000,35.4823380500,35.8008330900,34.8353950000,483200,17123489.0000,2.71,-0.251800,-0.09,2.416000
2023-08-15,35.4823380500,35.2335138000,35.8605509100,34.9249717300,495071,17531428.5800,2.64,-0.701300,-0.25,2.475400
2023-08-16,35.2335138000,35.2932316200,36.2089048600,35.1538900400,701700,25114896.0000,2.99,0.169500,0.06,3.508500
2023-08-17,35.3330435000,35.5619618100,35.8107860600,34.6562415400,617295,21853722.0500,3.27,0.761400,0.27,3.086500
2023-08-18,35.5619618100,35.8306920000,36.9255187000,35.4425261700,1400000,51016356.0000,4.17,0.755700,0.27,7.000000
2023-08-21,35.8306920000,35.0742662800,36.3084345600,35.0145484600,718830,25548829.3400,3.61,-2.111100,-0.76,3.594200
2023-08-22,35.0941722200,34.5965237200,35.4723850800,33.7206623600,1151195,39719022.9500,4.99,-1.362100,-0.48,5.756000
2023-08-23,34.2282638300,33.2429198000,34.4173702600,33.2031079200,989213,33456729.7400,3.51,-3.912500,-1.35,4.946100
2023-08-24,33.2429198000,33.2130608900,33.7107093900,32.6556945700,596200,19857693.0000,3.17,-0.089800,-0.03,2.981000
2023-08-25,33.2130608900,31.7300683600,33.2130608900,31.6205856900,744900,24150843.0000,4.79,-4.465100,-1.48,3.724500
2023-08-28,33.1234841600,31.5210559900,33.6908034500,31.1826550100,875400,28084405.0000,7.90,-0.658700,-0.21,4.377000
2023-08-29,31.5210559900,33.1334371300,33.3424495000,31.3020906500,1100001,36055642.2800,6.47,5.115300,1.61,5.500000
2023-08-30,33.4519321700,33.8002861200,34.5965237200,33.1632960400,840513,28716488.6800,4.33,2.012600,0.67,4.202600
2023-08-31,33.7903331500,33.9197217600,34.3377465000,33.5415089000,478100,16282111.0000,2.36,0.353400,0.12,2.390500
2023-09-01,34.0391574000,33.8699569100,34.1685460100,33.4419792000,359930,12195705.3000,2.14,-0.146700,-0.05,1.799700
2023-09-04,34.6363356000,34.0988752200,34.6363356000,33.7405683000,367200,12561702.0000,2.64,0.675900,0.23,1.836000
2023-09-05,34.0889222500,35.7411152700,36.3880583200,33.9794395800,2355694,83749242.5400,7.06,4.816100,1.64,11.778500
2023-09-06,34.9846895500,36.2487167400,38.2492637100,34.8752068800,3263000,119297211.0000,9.44,1.420200,0.51,16.315000
