日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,27.0877750000,27.9447337000,28.4470888000,26.8415225000,41928884,1184194937.6300,0.00,3.351500,0.00,22.753600
2023-05-29,28.4470888000,28.9198936000,30.2693573000,27.5999802000,55077072,1614084644.9900,9.55,3.489600,0.98,29.888700
2023-05-30,28.8903433000,30.8505132000,31.8158230000,28.4766391000,78913242,2434638074.8100,11.55,6.675700,1.93,42.823900
2023-05-31,30.2102567000,30.9293140000,31.5006198000,29.5897004000,59279311,1846081274.5500,6.19,0.255400,0.08,32.169200
2023-06-01,30.1575520800,30.5731089000,31.9582983000,30.0586099800,50673135,1590790408.6300,6.14,-1.151600,-0.36,27.498800
2023-06-02,30.2070231300,29.8112547300,30.7314162600,29.2373905500,41600411,1256426357.4800,4.89,-2.491900,-0.76,22.575300
2023-06-05,29.5836879000,29.5638994800,30.1377636600,29.2868616000,27959299,838678026.1400,2.85,-0.829700,-0.25,15.172700
2023-06-06,29.3759094900,28.4755363800,29.5540052700,28.2281811300,32178730,937043163.0200,4.48,-3.681400,-1.09,17.462500
2023-06-07,28.3963827000,29.8112547300,29.8310431500,28.3963827000,33037439,976283415.4600,5.04,4.690800,1.34,17.928500
2023-06-08,31.5625299000,32.7894119400,32.7894119400,31.1667615000,79583990,2603612468.0700,5.44,9.990000,2.98,43.187900
2023-06-09,32.8487772000,32.9477193000,35.9159823000,32.6607872100,98759829,3391362242.8600,9.93,0.482800,0.16,53.594100
2023-06-12,33.1950745500,32.5420566900,34.3823797500,32.3639609100,68364985,2299103375.1000,6.13,-1.231200,-0.41,37.099700
2023-06-13,31.9879809300,33.8975634600,35.7972517800,31.9879809300,68669164,2374176752.6800,11.71,4.165400,1.36,37.264800
2023-06-14,34.5110044800,33.3236992800,34.5208986900,32.2056535500,52624517,1757385392.3500,6.83,-1.692900,-0.57,28.557800
2023-06-15,32.8685656200,32.1759709200,33.5908429500,31.9088272500,41536127,1370664544.3700,5.05,-3.444200,-1.15,22.540500
2023-06-16,32.1759709200,32.9971903500,33.2940166500,31.8098851500,36706118,1215130301.1000,4.61,2.552300,0.82,19.919300
2023-06-19,32.7102582600,33.4721124300,33.9173518800,32.1561825000,40232398,1343677994.9400,5.34,1.439300,0.47,21.833000
2023-06-20,33.0565556100,32.5618451100,33.1456035000,32.3540667000,30399350,1005507362.3700,2.36,-2.719500,-0.91,16.496800
2023-06-21,32.6212103700,31.2063383400,32.6311045800,31.1964441300,23239615,745063331.4800,4.41,-4.162900,-1.36,12.611500
2023-06-26,30.4741668000,28.0896621900,30.4939552200,28.0896621900,30517206,896253940.3000,7.70,-9.987300,-3.12,16.560800
2023-06-27,28.1984985000,28.3963827000,28.7723626800,27.8917779900,15884436,455373767.3100,3.13,1.091900,0.31,8.620000
2023-06-28,27.9907200900,27.3574906500,28.0006143000,26.0613491400,24106940,657761116.3200,6.83,-3.658500,-1.04,13.082100
