日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,35.8802080000,34.8038017600,35.8802080000,33.9067965600,12416083,458694792.1300,0.00,-7.293800,0.00,29.436300
2023-05-29,33.6235317600,34.4072310400,35.3514470400,33.3402669600,8706689,317857180.8600,5.78,-1.139400,-0.40,20.642000
2023-05-30,34.0861976000,34.6527272000,34.8793390400,33.3308248000,8635252,310771634.9600,4.50,0.713500,0.25,20.472700
2023-05-31,34.3316937600,33.2836140000,34.9265498400,32.8115060000,7528367,268198083.7200,6.10,-3.951000,-1.37,17.848400
2023-06-01,33.0758864800,34.1428505600,34.6055164000,32.5754520000,8860641,317596784.7000,6.10,2.581600,0.86,21.007000
2023-06-02,34.1145240800,34.4355575200,34.9359920000,33.6613004000,7520281,273677906.2300,3.73,0.857300,0.29,17.829300
2023-06-05,34.2372721600,34.4166732000,34.8038017600,34.0578711200,5639291,205409914.7800,2.17,-0.054800,-0.02,13.369800
2023-06-06,34.3222516000,35.9368609600,36.5317170400,33.6140896000,13875655,523502330.5000,8.48,4.417000,1.52,32.896700
2023-06-07,35.2475832800,36.4372954400,36.4372954400,34.8698968800,10027530,378742596.0500,4.36,1.392500,0.50,23.773500
2023-06-08,36.3239895200,35.1059508800,37.2870898400,35.1059508800,8110736,309252622.4500,5.99,-3.653800,-1.33,19.229100
2023-06-09,34.6810536800,33.6613004000,34.7471488000,33.1042129600,7775796,278151454.3100,4.68,-4.115100,-1.44,18.435000
2023-06-12,33.6613004000,33.9823338400,33.9823338400,32.7359687200,4978312,175950245.2600,3.70,0.953700,0.32,11.802700
2023-06-13,33.9917760000,33.3874777600,34.2467143200,33.2175188800,4428750,157390520.1000,3.03,-1.750500,-0.59,10.499800
2023-06-14,33.1514237600,33.3874777600,33.7934906400,32.2921872000,5993128,209988081.3500,4.50,0.000000,0.00,14.208600
2023-06-15,33.0853286400,32.7737373600,33.2175188800,32.7359687200,4329445,150899940.4700,1.44,-1.838200,-0.61,10.264300
2023-06-16,32.9059276000,32.6037784800,33.2175188800,32.5565676800,4167687,144936472.0400,2.02,-0.518600,-0.17,9.880800
2023-06-19,32.7548530400,31.7445419200,32.7548530400,31.6878889600,5735341,194264335.3900,3.27,-2.635400,-0.86,13.597500
2023-06-20,31.6123516800,31.4329506400,31.9900380800,31.4140663200,3764169,126131882.5500,1.81,-0.981600,-0.31,8.924200
2023-06-21,31.4329506400,31.5084879200,32.0844596800,31.3762976800,3805969,127855375.0900,2.25,0.240300,0.08,9.023300
2023-06-26,31.2629917600,30.8003259200,31.2629917600,30.2621228000,3320376,108080234.1800,3.18,-2.247500,-0.71,7.872000
2023-06-27,30.5642719200,31.3290868800,31.3479712000,30.3093336000,2375686,78194844.8800,3.37,1.716700,0.53,5.632300
2023-06-28,31.2713946000,30.7713600000,31.2713946000,30.0982365000,2788743,88831917.5200,3.74,-1.780200,-0.56,6.611600
2023-06-29,30.5117266500,31.3771711500,31.5983403000,30.3867180000,2676098,86847152.9200,3.94,1.968800,0.61,6.344600
2023-06-30,31.3964032500,31.5310279500,31.8868218000,31.1944662000,3030733,99467663.3000,2.21,0.490300,0.15,7.185300
2023-07-03,31.5983403000,31.6752687000,31.8002773500,31.3579390500,2423690,79596672.9000,1.40,0.457500,0.14,5.746100
2023-07-04,31.7329650000,31.3867872000,32.0502946500,31.1079217500,2772456,90609140.1100,2.98,-0.910700,-0.29,6.573000
2023-07-05,31.2617785500,30.7328958000,31.4444835000,30.6751995000,2448158,79015160.9300,2.45,-2.083300,-0.65,5.804100
2023-07-06,30.5213427000,30.7040476500,30.9444489000,30.3867180000,1771798,56467469.9000,1.81,-0.093900,-0.03,4.200600
2023-07-07,30.7713600000,30.3482538000,30.7809760500,30.3001735500,1614054,51095837.7600,1.57,-1.158800,-0.36,3.826600
2023-07-10,30.3867180000,30.9252168000,31.0694575500,30.3674859000,2040720,65462873.2000,2.31,1.901100,0.58,4.838200
2023-07-11,30.9252168000,30.9829131000,31.0117612500,30.3482538000,1809030,57797170.5500,2.15,0.186600,0.06,4.288900
2023-07-12,30.9829131000,31.1367699000,31.5887242500,30.7232797500,3753147,122246386.7500,2.79,0.496600,0.15,8.898000
2023-07-13,31.0790736000,31.6368045000,31.7137329000,30.8482884000,3351464,109168077.6200,2.78,1.605900,0.50,7.945700
2023-07-14,31.4444835000,31.1367699000,31.6945008000,31.1175378000,2551190,83196753.3200,1.82,-1.580500,-0.50,6.048400
2023-07-17,31.2233143500,30.6463513500,31.2233143500,30.4540303500,2044517,65133143.5300,2.47,-1.575000,-0.49,4.847200
2023-07-18,30.6559674000,30.5694229500,30.6751995000,30.2520933000,1515114,47999584.4200,1.38,-0.251000,-0.08,3.592100
2023-07-19,30.5694229500,32.8291947000,33.6273268500,30.3001735500,10515413,355154233.3300,10.88,7.392300,2.26,24.930200
2023-07-20,32.5310971500,33.0599799000,33.5792466000,32.1945354000,9147767,312542915.1500,4.22,0.703000,0.23,21.687700
2023-07-21,33.0695959500,34.3773787500,34.6947084000,32.8388107500,11615451,411983366.0100,5.61,3.984900,1.32,27.538200
2023-07-24,33.4638540000,33.5311663500,33.5600145000,32.1176070000,7392460,252191712.1100,4.20,-2.461500,-0.85,17.526200
2023-07-25,33.0695959500,33.2234527500,33.6561750000,32.9830515000,5207186,180070358.6500,2.01,-0.917700,-0.31,12.345300
2023-07-26,32.9349712500,34.3773787500,34.9254936000,32.8484268000,8537173,303627178.4800,6.25,3.473200,1.15,20.240100
2023-07-27,33.6561750000,34.0888972500,34.3773787500,32.9830515000,6446423,225526522.2400,4.06,-0.839200,-0.29,15.283300
2023-07-28,33.7042552500,34.0023528000,34.0888972500,33.4830861000,4733907,166426437.9800,1.78,-0.253900,-0.09,11.223300
2023-07-31,34.0119688500,35.1851269500,36.6467665500,33.4638540000,10327481,375894248.8400,9.36,3.478500,1.18,24.484600
2023-08-01,34.7235565500,33.5407824000,36.2525085000,33.4638540000,10745746,390763475.1800,7.93,-4.673400,-1.64,25.476300
2023-08-02,33.1849885500,33.0888280500,34.2908343000,33.0311317500,5498346,190764402.7300,3.76,-1.347500,-0.45,13.035600
2023-08-03,33.3869256000,33.4542379500,33.8869602000,32.8388107500,4564577,157950317.6800,3.17,1.104300,0.37,10.821800
2023-08-04,33.2234527500,32.3099280000,33.3388453500,32.1849193500,6103024,207064551.0300,3.45,-3.420500,-1.14,14.469200
2023-08-07,32.0118304500,31.8002773500,32.1079909500,31.6848847500,2987611,98978804.5700,1.31,-1.577400,-0.51,7.083100
2023-08-08,31.8098934000,32.0502946500,32.2426156500,31.6464205500,2402494,79936532.2800,1.87,0.786200,0.25,5.695900
2023-08-09,32.0406786000,33.0022836000,33.6369429000,31.3579390500,6574198,223931941.5000,7.11,2.970300,0.95,15.586300
2023-08-10,32.6272576500,33.8581120500,34.0888972500,32.5022490000,6561751,228783878.6200,4.81,2.593200,0.86,15.556700
2023-08-11,33.9446565000,33.3388453500,34.7139405000,33.2715330000,6053871,213168439.6200,4.26,-1.533700,-0.52,14.352700
2023-08-14,33.0118996500,34.6081639500,34.6081639500,32.8195786500,6646597,234932156.8400,5.36,3.807300,1.27,15.757900
2023-08-15,34.9543417500,35.7236257500,37.9064691000,34.3196824500,12455309,466067908.8800,10.36,3.223100,1.12,29.529300
2023-08-16,35.0889664500,34.8966454500,36.6371505000,34.5216195000,9674590,356707109.1100,5.92,-2.314900,-0.83,22.936700
2023-08-17,34.5889318500,34.7620207500,35.3678319000,33.9638886000,6744071,242006680.3300,4.02,-0.385800,-0.13,15.989000
2023-08-18,34.5889318500,35.4832245000,36.1948122000,34.5889318500,10055500,371852424.3500,4.62,2.074700,0.72,23.839800
2023-08-21,35.4062961000,35.7909381000,36.3198208500,34.0215849000,9213018,335222155.3900,6.48,0.867200,0.31,21.842400
2023-08-22,35.1178146000,32.9061231000,35.1178146000,32.2522317000,8080984,284547382.1500,8.01,-8.060200,-2.88,19.158600
2023-08-23,33.2811490500,36.1948122000,36.1948122000,33.1753725000,8783978,325005500.3700,9.18,9.994200,3.29,20.825300
2023-08-24,35.6370813000,36.8871678000,37.1083369500,35.4639924000,15412666,583386242.0300,4.54,1.912900,0.69,36.540700
2023-08-25,36.4448295000,34.7812528500,36.6852307500,34.4254590000,9699668,356914862.7800,6.13,-5.709100,-2.11,22.996200
2023-08-28,36.3198208500,34.3581466500,36.3486690000,33.4638540000,8541784,309245424.7100,8.29,-1.216500,-0.42,20.251100
2023-08-29,33.6561750000,35.6466973500,35.7813220500,33.6561750000,7781168,283766025.6200,6.19,3.750300,1.29,18.447800
2023-08-30,35.3101356000,35.5890010500,36.1851961500,34.9062615000,6878837,254112032.7600,3.59,-0.161900,-0.06,16.308500
2023-08-31,35.2428232500,34.8101010000,35.7236257500,34.8004849500,4736377,172990084.9900,2.59,-2.188600,-0.78,11.229100
2023-09-01,34.7139405000,35.7043936500,36.1371159000,34.5312355500,7823115,290210515.9000,4.61,2.569100,0.89,18.547200
2023-09-04,35.7140097000,36.1851961500,36.2717406000,35.3870640000,6355187,238115581.0300,2.48,1.346600,0.48,15.067000
2023-09-05,36.0794196000,35.6370813000,36.0794196000,35.0024220000,4891317,180098339.7800,2.98,-1.514700,-0.55,11.596400
2023-09-06,35.4062961000,35.0216541000,35.6563134000,34.6273960500,4222633,154173176.2900,2.89,-1.726900,-0.62,10.011100
2023-09-07,34.7716368000,33.6177108000,34.7716368000,33.5600145000,4494903,158625388.0200,3.46,-4.008800,-1.40,10.656600
2023-09-08,33.5600145000,32.9253552000,34.0792812000,32.3483922000,3865060,132946329.5500,5.15,-2.059500,-0.69,9.163400
2023-09-11,32.8195786500,33.3196132500,33.4253898000,32.6176416000,2605427,89915091.3500,2.45,1.197400,0.39,6.177000
2023-09-12,33.2330688000,32.6561058000,33.2330688000,32.6464897500,2646116,90418061.3000,1.76,-1.991300,-0.66,6.273500
2023-09-13,32.5407132000,32.3099280000,32.8099626000,31.6752687000,2974983,99668705.9100,3.47,-1.060100,-0.35,7.053200
2023-09-14,32.3003119500,31.7233489500,32.3676243000,31.4444835000,2190690,72521210.3200,2.86,-1.815500,-0.59,5.193700
2023-09-15,31.7233489500,31.9925983500,32.1945354000,31.5598761000,1842238,61143764.6200,2.00,0.848700,0.27,4.367600
2023-09-18,32.0022144000,33.8965762500,35.1851269500,31.6368045000,7194948,250972752.1800,11.09,5.951300,1.90,17.057900
2023-09-19,33.5600145000,33.2811490500,34.1465935500,33.1272922500,4160400,145230994.5100,3.01,-1.815600,-0.62,9.863600
2023-09-20,33.2715330000,32.5022490000,33.4157737500,32.4060885000,2535891,86692962.0000,3.03,-2.340400,-0.78,6.012100
2023-09-21,32.3772403500,32.2522317000,32.6080255500,31.9156699500,1672600,56080476.0000,2.13,-0.769200,-0.25,3.965400
2023-09-22,32.1368391000,32.6561058000,32.8099626000,32.0887588500,2198281,74266618.9700,2.24,1.252200,0.40,5.211700
2023-09-25,32.5022490000,32.5503292500,33.1080601500,32.2906959000,2005256,68089278.9500,2.50,-0.323900,-0.11,4.754100
2023-09-26,32.5503292500,32.0406786000,32.5503292500,31.9541341500,1700000,56893210.2900,1.83,-1.565700,-0.51,4.030400
2023-09-27,31.9252860000,31.7329650000,32.3964724500,31.4637156000,2055687,68576035.8700,2.91,-0.960400,-0.31,4.873700
2023-09-28,31.6945008000,31.0309933500,31.8483576000,30.8579044500,3296656,106905142.4300,3.12,-2.212100,-0.70,7.815800
2023-10-09,30.8579044500,30.9829131000,31.0309933500,30.5021106000,2022642,64629779.7000,1.70,-0.154900,-0.05,4.795300
2023-10-10,30.7905921000,30.6271192500,31.0502254500,30.5405748000,2175661,69522518.6600,1.64,-1.148400,-0.36,5.054600
2023-10-11,30.7617439500,31.1367699000,31.2906267000,30.6751995000,2200160,71078231.8500,2.01,1.664100,0.51,5.111500
2023-10-12,31.2329304000,30.9252168000,31.2329304000,30.7040476500,1704954,54740579.5500,1.70,-0.679400,-0.21,3.961000
2023-10-13,30.8482884000,29.6078179500,30.8482884000,29.5885858500,4098861,127612302.9400,4.07,-4.260000,-1.32,9.522600
2023-10-16,29.5789698000,29.3578006500,29.8962994500,29.1462475500,1838398,56260104.2000,2.53,-0.844400,-0.25,4.271000
2023-10-17,29.3097204000,29.0404710000,29.3962648500,28.9154623500,1517830,45969871.6300,1.64,-1.080900,-0.32,3.526300
2023-10-18,28.8866142000,28.0596339000,28.9923907500,28.0596339000,2592928,76497486.3800,3.21,-3.377500,-0.98,6.024000
2023-10-19,27.8865450000,27.8192326500,28.4154277500,27.7038400500,1675770,48815168.1800,2.54,-0.856800,-0.24,3.893200
2023-10-20,27.6461437500,27.6653758500,28.0500178500,27.6269116500,1267968,36625407.2900,1.52,-0.553100,-0.15,2.945800
2023-10-23,27.5211351000,26.5210659000,27.5980635000,26.3575930500,2435925,68036524.3100,4.48,-4.136300,-1.14,5.659200
2023-10-24,26.6172264000,27.3961264500,27.3961264500,26.5499140500,2088957,59014437.9000,3.19,3.299500,0.88,4.853100
2023-10-25,27.3961264500,27.3576622500,27.8673129000,27.3095820000,1588421,45458701.9400,2.04,-0.140400,-0.04,3.690300
2023-10-26,27.1364931000,27.5980635000,27.5980635000,27.0499486500,1431684,40712746.8500,2.00,0.878700,0.24,3.326100
2023-10-27,27.4826709000,28.0788660000,28.2519549000,27.3576622500,2242520,65185422.7000,3.24,1.742200,0.48,5.209900
2023-10-30,27.9730894500,28.3865796000,28.4635080000,27.9730894500,1785763,52563050.4300,1.75,1.095900,0.31,4.148700
2023-10-31,28.2904191000,28.2904191000,28.5212043000,28.0500178500,1256543,36900180.5400,1.66,-0.338800,-0.10,2.919200
2023-11-01,28.2904191000,28.3288833000,28.4635080000,28.1269462500,977225,28726917.2400,1.19,0.136000,0.04,2.270300
2023-11-02,28.1942586000,27.8865450000,28.3288833000,27.8288487000,1227446,35782639.5000,1.77,-1.561400,-0.44,2.851600
2023-11-03,27.8769289500,28.1942586000,28.3577314500,27.8769289500,1032413,30318998.6800,1.72,1.103400,0.31,2.398500
2023-11-06,28.3192672500,28.6558290000,28.7423734500,28.1750265000,1821677,54012289.0600,2.01,1.637100,0.46,4.232200
2023-11-07,28.7231413500,28.6654450500,28.8866142000,28.3481154000,1725411,51353090.5800,1.88,0.033600,0.01,4.008500
2023-11-08,28.6462129500,28.7616055500,29.0212389000,28.4731240500,1709291,51092400.4300,1.91,0.335500,0.10,3.971100
2023-11-09,28.7616055500,28.5500524500,28.9443105000,28.3769635500,1468298,43680763.6500,1.97,-0.735500,-0.21,3.411200
2023-11-10,28.3865796000,28.4731240500,28.6942932000,28.1654104500,1209447,35770779.5600,1.85,-0.269500,-0.08,2.809800
2023-11-13,28.5596685000,28.8096858000,28.8481500000,28.5115882500,1343202,40093340.5300,1.18,1.182000,0.34,3.120600
2023-11-14,28.7808376500,28.7808376500,28.9443105000,28.5596685000,1245117,37186046.1200,1.34,-0.100100,-0.03,2.892700
2023-11-15,28.8385339500,28.9058463000,29.0020068000,28.6558290000,1568879,47069152.5600,1.20,0.434300,0.13,3.644900
2023-11-16,28.9346944500,28.3769635500,28.9346944500,28.3769635500,1334005,39665994.9000,1.93,-1.829700,-0.53,3.099200
2023-11-17,28.3865796000,28.6077487500,28.6462129500,28.3673475000,1062874,31551019.2000,0.98,0.813300,0.23,2.469300
2023-11-20,28.7808376500,29.0116228500,29.0404710000,28.4442759000,1964375,58866349.0000,2.08,1.411800,0.40,4.563700
2023-11-21,29.1173994000,28.7904537000,29.2039438500,28.6654450500,1750915,52735731.6600,1.86,-0.762300,-0.22,4.067800
2023-11-22,28.6942932000,28.3865796000,28.8289179000,28.3865796000,1427959,42503627.1600,1.54,-1.402800,-0.40,3.317500
2023-11-23,28.3577314500,28.5404364000,28.6077487500,28.2808030500,1114472,32990302.3500,1.15,0.542000,0.15,2.589200
2023-11-24,28.5115882500,27.9827055000,28.6077487500,27.9153931500,1998627,58418440.6200,2.43,-1.954200,-0.56,4.643300
2023-11-27,27.9153931500,27.7711524000,28.0404018000,27.5019030000,1660663,47922220.7000,1.92,-0.756000,-0.21,3.858100
2023-11-28,27.5307511500,28.2327228000,28.2904191000,27.5115190500,1395122,40698738.6500,2.80,1.662000,0.46,3.241200
2023-11-29,28.2327228000,27.8384647500,28.3769635500,27.7038400500,1116034,32448822.7500,2.38,-1.396500,-0.39,2.592800
2023-11-30,27.8288487000,27.5499832500,27.9634734000,27.3288141000,1200497,34361284.8000,2.28,-1.036300,-0.29,2.789000
2023-12-01,27.5019030000,27.9538573500,28.2615709500,27.4922869500,1553137,45104575.4300,2.79,1.466000,0.40,3.608300
2023-12-04,27.8865450000,27.6749919000,28.0115536500,27.5211351000,1169000,33633680.9400,1.75,-0.997600,-0.28,2.715900
2023-12-05,27.6076795500,27.9153931500,29.3866488000,27.4153585500,4911197,144860100.5700,7.12,0.868700,0.24,11.409800
2023-12-06,27.5980635000,27.4538227500,28.2808030500,27.3191980500,3554174,102325410.3300,3.44,-1.653500,-0.46,8.257200
2023-12-07,27.1941894000,26.9153239500,27.3191980500,26.8576276500,2313908,65093023.5500,1.68,-1.961500,-0.54,5.375700
2023-12-08,26.7806992500,27.0114844500,27.4634388000,26.7806992500,2096136,59021352.5800,2.54,0.357300,0.10,4.869800
2023-12-11,26.8095474000,27.3672783000,27.3865104000,26.5402980000,1941916,54614540.1900,3.13,1.317200,0.36,4.511500
2023-12-12,27.3865104000,27.9057771000,28.0404018000,27.1076449500,2669470,76429203.8200,3.41,1.967700,0.54,6.201800
2023-12-13,27.7711524000,27.8865450000,28.5885166500,27.7134561000,2872099,83996390.2700,3.14,-0.068900,-0.02,6.672500
2023-12-14,27.9057771000,28.0980981000,28.6558290000,27.6846079500,3257120,95429814.3500,3.48,0.758600,0.21,7.567000
2023-12-15,28.3384993500,27.6557598000,28.3384993500,27.5595993000,2295409,66549306.9300,2.77,-1.574300,-0.44,5.332800
2023-12-18,27.6557598000,27.3288141000,28.2615709500,27.2134215000,1840877,52920735.1200,3.79,-1.182200,-0.33,4.276800
2023-12-19,27.2422696500,27.2711178000,27.5788314000,27.0211005000,1364878,38689711.7600,2.04,-0.211100,-0.06,3.170900
2023-12-20,27.2134215000,27.0691807500,27.6557598000,27.0595647000,1262704,35931021.2400,2.19,-0.740500,-0.20,2.933600
2023-12-21,26.9345560500,27.3095820000,27.3672783000,26.5402980000,1811212,50812655.3300,3.06,0.888100,0.24,4.207900
2023-12-22,27.3095820000,26.8960918500,27.4057425000,26.6941548000,1695007,47622601.4400,2.61,-1.514100,-0.41,3.937900
2023-12-25,26.7422350500,26.3768251500,26.8768597500,26.2806646500,1277176,35172626.4600,2.22,-1.930600,-0.52,2.967200
2023-12-26,26.4249054000,25.7325498000,26.4537535500,25.7325498000,1594766,43034757.3100,2.73,-2.442600,-0.64,3.705000
2023-12-27,25.8094782000,26.0594955000,26.1556560000,25.4056041000,1303339,34836731.4400,2.91,1.270600,0.33,3.028000
2023-12-28,25.8671745000,27.2807338500,27.4634388000,25.7806300500,2921104,81628103.7700,6.46,4.686300,1.22,6.786400
2023-12-29,27.2615017500,27.2230375500,27.4538227500,27.1461091500,1470187,41715289.9600,1.13,-0.211500,-0.06,3.415600
2024-01-02,27.2134215000,27.2999659500,27.3961264500,27.0018684000,1107261,31342897.2300,1.45,0.282600,0.08,2.572400
2024-01-03,27.1364931000,27.0691807500,27.4249746000,26.8383955500,931608,26238630.0100,2.15,-0.845400,-0.23,2.164300
2024-01-04,27.0211005000,26.8960918500,27.2038054500,26.6941548000,728727,20363397.7500,1.88,-0.639400,-0.17,1.693000
2024-01-05,26.8383955500,26.2806646500,26.9922523500,26.2037362500,988602,27346425.0800,2.93,-2.288200,-0.62,2.296800
2024-01-08,26.2614325500,25.6652374500,26.4249054000,25.6652374500,1050646,28445657.7200,2.89,-2.341700,-0.62,2.440900
2024-01-09,25.7710140000,25.9633350000,26.2518165000,25.4344522500,1073495,28948619.2600,3.18,1.161500,0.30,2.494000
2024-01-10,25.9633350000,26.7230029500,27.7903845000,25.5883090500,3540453,98512545.1600,8.48,2.925900,0.76,8.225300
2024-01-11,26.4441375000,27.2230375500,27.7423042500,26.2998967500,3133822,87915838.8300,5.40,1.871200,0.50,7.280600
2024-01-12,27.3961264500,27.4922869500,28.3192672500,27.1364931000,3511394,101083664.3400,4.34,0.989000,0.27,8.157800
2024-01-15,27.4922869500,28.0788660000,28.5404364000,27.2230375500,4179568,121654842.3500,4.79,2.133600,0.59,9.710100
2024-01-16,27.9827055000,27.4922869500,28.1557944000,27.0884128500,2507023,71654042.3800,3.80,-2.089000,-0.59,5.824400
2024-01-17,27.4922869500,26.4922177500,27.5115190500,26.4537535500,1682981,47123427.1800,3.85,-3.637600,-1.00,3.910000
2024-01-18,26.4922177500,25.7133177000,26.7422350500,25.1940510000,3205895,85654648.6800,5.84,-2.940100,-0.78,7.448000
