日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,29.1474621500,29.1966147000,29.4620384700,28.6166146100,1019026,30131919.6200,0.00,1.434400,0.00,5.071400
2023-05-29,29.0000045000,28.7345807300,29.2064452100,28.4200044100,996551,29093950.7100,2.69,-1.582500,-0.46,4.959600
2023-05-30,28.8628917200,28.7049552400,29.0405702600,28.1324355000,670400,19400187.0000,3.16,-0.103100,-0.03,3.336400
2023-05-31,28.4285664000,28.3298561000,28.9912151100,28.1620485900,466100,13433428.2600,2.89,-1.306700,-0.38,2.319700
2023-06-01,28.3298561000,28.5766318500,28.9122468700,27.6290129700,1019618,29245892.5400,4.53,0.871100,0.25,5.074400
2023-06-02,28.6259870000,28.5865028800,28.8925048100,28.3495981600,842600,24436001.0000,1.90,0.034500,0.01,4.193400
2023-06-05,28.5865028800,28.0633382900,28.6358580300,27.7178522400,1044692,29664871.8000,3.21,-1.830100,-0.52,5.199200
2023-06-06,28.1620485900,27.3723661900,28.2706299200,27.3230110400,638100,17826319.0000,3.38,-2.462200,-0.69,3.175700
2023-06-07,27.3822372200,27.3230110400,28.0534672600,27.1157194100,896800,24960199.0000,3.43,-0.180300,-0.05,4.463100
2023-06-08,27.3032689800,26.7011361500,27.3230110400,26.4938445200,1262935,34220808.0500,3.03,-2.276000,-0.62,6.285300
2023-06-09,26.7011361500,26.4346183400,26.9676539600,26.0595192000,733200,19591237.3000,3.40,-0.998200,-0.27,3.648900
2023-06-12,26.6517810000,26.7702333600,26.8492016000,26.0990033200,719300,19313471.0000,2.84,1.269600,0.34,3.579800
2023-06-13,26.7702333600,26.8097174800,27.0170091100,26.6122968800,484700,13174086.0000,1.51,0.147500,0.04,2.412200
2023-06-14,26.7406202700,26.9873960200,27.0466222000,26.4444893700,647474,17509875.2600,2.25,0.662700,0.18,3.222300
2023-06-15,26.9479119000,26.7110071800,27.0959773500,26.3951342200,615000,16599240.0000,2.60,-1.024100,-0.28,3.060700
2023-06-16,26.7307492400,26.4148762800,26.7603623300,26.2075846500,503164,13505037.6400,2.07,-1.108600,-0.30,2.504100
2023-06-19,26.4148762800,26.4642314300,26.8294595400,26.2075846500,932368,25073738.4200,2.35,0.186800,0.05,4.640100
2023-06-20,26.4642314300,26.5629417300,26.7899754200,26.2371977400,717224,19315002.7600,2.09,0.373000,0.10,3.569400
2023-06-21,26.6024258500,26.4741024600,27.0861063200,26.4148762800,651976,17583951.9200,2.53,-0.334400,-0.09,3.244700
2023-06-26,26.3062949500,26.4642314300,26.9479119000,26.1384874400,1210896,32725742.1200,3.06,-0.037300,-0.01,6.026300
2023-06-27,26.4247473100,26.5333286400,26.6221679100,26.1878425900,483452,12933104.5200,1.64,0.261100,0.07,2.406000
2023-06-28,26.5333286400,26.6715230600,26.8294595400,26.1582295000,752308,20225761.4400,2.53,0.520800,0.14,3.744000
2023-06-29,26.5629417300,27.3427531000,27.9152728400,26.5629417300,1404439,38718776.9800,5.07,2.516700,0.67,6.989500
2023-06-30,27.3230110400,27.6191419400,28.1423065300,27.1946876500,1337726,37730653.5600,3.47,1.010800,0.28,6.657500
2023-07-03,27.9152728400,27.3230110400,28.0238541700,27.1058483800,1156547,31985538.9700,3.32,-1.072200,-0.30,5.755800
2023-07-04,27.5993998800,27.6981101800,28.1423065300,27.1453325000,907244,25480989.3200,3.65,1.372800,0.38,4.515100
2023-07-05,27.5796578200,28.0238541700,28.6161159700,27.3723661900,1272900,36175405.0000,4.49,1.176100,0.33,6.334900
2023-07-06,27.8066915100,28.2706299200,28.7049552400,27.6487550300,1306446,37427682.4800,3.77,0.880600,0.25,6.501800
2023-07-07,28.1126934400,28.4779215500,28.8135365700,27.9152728400,1330400,38386045.0000,3.18,0.733200,0.21,6.621000
2023-07-10,28.4483084600,28.1225644700,28.5963739100,28.0337252000,1071448,30640368.0800,1.98,-1.247800,-0.36,5.332300
2023-07-11,28.1225644700,27.6388840000,28.2805009500,27.5993998800,927074,26204892.2600,2.42,-1.719900,-0.48,4.613800
2023-07-12,27.8461756300,27.5303026700,27.8461756300,27.3723661900,967374,27052229.1600,1.71,-0.392900,-0.11,4.814400
2023-07-13,27.6981101800,28.1028224100,28.2805009500,27.3624951600,1486474,42028216.5000,3.33,2.079600,0.57,7.397800
2023-07-14,28.1817906500,29.3070880700,29.3465721900,27.9646279900,2809800,82289499.5200,4.92,4.285200,1.20,13.983600
2023-07-17,29.3169591000,29.3169591000,29.6427030900,28.8332786300,1387100,41008530.0000,2.76,0.033700,0.01,6.903200
2023-07-18,29.3169591000,29.2676039500,29.5045086700,28.9221179000,716148,21230424.8200,1.99,-0.168400,-0.05,3.564100
2023-07-19,29.2676039500,31.2418099500,32.1992998600,29.0701833500,9235947,293324148.8400,10.69,6.745400,1.97,45.964800
2023-07-20,31.5379408500,28.1225644700,31.5379408500,28.1225644700,9377772,275233680.8200,10.93,-9.984200,-3.12,46.670700
2023-07-21,27.4315923700,25.6350649100,27.4315923700,25.6350649100,5943144,158854928.9400,6.39,-8.845200,-2.49,29.577400
2023-07-24,25.6350649100,26.4346183400,26.6221679100,25.2204816500,3486598,92405567.5400,5.47,3.119000,0.80,17.351900
2023-07-25,26.4050052500,26.6221679100,27.1453325000,26.1779715600,2222694,59663533.5400,3.66,0.709500,0.19,9.618200
2023-07-26,26.4346183400,26.6419099700,27.0959773500,26.3161659800,1852126,50115262.3800,2.93,0.074200,0.02,8.014600
2023-07-27,26.6419099700,26.4050052500,26.9380408700,26.2569398000,1438800,38691148.0000,2.56,-0.889200,-0.24,6.226100
2023-07-28,26.2470687700,26.4247473100,26.5629417300,26.0200350800,1190400,31717307.0000,2.06,0.074800,0.02,5.151200
2023-07-31,26.3951342200,26.2569398000,26.5431996700,26.2075846500,837950,22356108.4700,1.27,-0.635000,-0.17,3.626000
2023-08-01,26.2668108300,26.1384874400,26.3359080400,25.9114537500,973603,25707932.9300,1.62,-0.451100,-0.12,4.213000
2023-08-02,26.1384874400,26.2964239200,26.4148762800,25.7633883000,1097278,29146651.4500,2.49,0.604200,0.16,4.748200
2023-08-03,26.3359080400,26.0101640500,26.3852631900,25.9114537500,847952,22350760.1000,1.80,-1.088600,-0.29,3.669300
2023-08-04,26.0002930200,26.1088743500,26.1779715600,25.8719696300,876204,23121372.4800,1.18,0.379500,0.10,3.791600
2023-08-07,26.0792612600,25.9311958100,26.3359080400,25.8818406600,1043220,27599247.8000,1.74,-0.680500,-0.18,3.653100
2023-08-08,25.9311958100,26.0200350800,26.4247473100,25.6646780000,924050,24281068.5000,2.93,0.342600,0.09,3.235800
2023-08-09,26.0200350800,25.7633883000,26.0200350800,25.4968704900,645003,16842374.3300,2.01,-0.986300,-0.26,2.258600
2023-08-10,25.7436462400,26.0397771400,26.3457790700,25.5758387300,941303,24831003.5300,2.99,1.072800,0.28,3.296200
2023-08-11,26.0595192000,26.1088743500,26.3951342200,25.8719696300,1177500,31192858.0000,2.01,0.265400,0.07,4.123300
2023-08-14,26.0595192000,25.9706799300,26.0595192000,25.5758387300,732600,19134149.4800,1.85,-0.529300,-0.14,2.565400
2023-08-15,25.9509378700,25.9706799300,26.1878425900,25.6548069700,755900,19826661.0000,2.05,0.000000,0.00,2.647000
2023-08-16,26.1286164100,26.0397771400,26.2371977400,25.7831303600,735100,19390704.0000,1.75,0.266100,0.07,2.574100
2023-08-17,25.9509378700,26.1384874400,26.2371977400,25.3685471000,1304348,34236562.5200,3.34,0.379100,0.10,4.567500
2023-08-18,26.1582295000,26.4148762800,26.8492016000,26.1483584700,1819848,48936307.6800,2.68,1.057400,0.28,6.372600
2023-08-21,26.3556501000,26.9281698400,27.1255904400,26.3556501000,1653000,45037031.0000,2.91,1.943200,0.51,5.788400
2023-08-22,27.1453325000,25.9114537500,27.1946876500,25.3685471000,1860704,49064132.9200,6.78,-3.775700,-1.02,6.515700
2023-08-23,25.7732593300,25.9805509600,26.3457790700,25.3685471000,863900,22755415.0000,3.77,0.266700,0.07,3.025200
2023-08-24,25.7930013900,25.4869994600,25.9706799300,24.9539638400,1108700,28408347.0000,3.91,-1.899700,-0.49,3.882400
2023-08-25,25.4672574000,25.4672574000,25.9608089000,24.9835769300,899200,23201722.0000,3.83,-0.077500,-0.02,3.148800
2023-08-28,26.5234576100,25.4672574000,26.5234576100,25.1119003200,1136896,29543576.6000,5.54,0.000000,0.00,3.981100
2023-08-29,25.4869994600,26.4148762800,26.4247473100,25.2007395900,1794548,47501079.4800,4.81,3.720900,0.95,6.284000
2023-08-30,26.5333286400,26.5135865800,26.7603623300,26.2569398000,1062602,28557885.8800,1.91,0.373700,0.10,3.721000
2023-08-31,26.4346183400,26.2273267100,26.4741024600,26.0397771400,758800,20167239.0000,1.64,-1.079700,-0.29,2.657100
2023-09-01,26.4050052500,26.1286164100,26.4050052500,25.9706799300,748948,19782696.2400,1.66,-0.376400,-0.10,2.622600
2023-09-04,26.1681005300,26.4642314300,26.7504913000,26.0693902300,983948,26374178.9200,2.61,1.284500,0.34,3.445500
2023-09-05,26.4543604000,26.2569398000,26.5530707000,26.1384874400,642800,17088332.0000,1.57,-0.783300,-0.21,2.250900
2023-09-06,26.2569398000,26.5925548200,26.7406202700,26.1977136200,1075500,28906820.0000,2.07,1.278200,0.34,3.766100
2023-09-07,26.5530707000,26.1582295000,26.6912651200,25.8818406600,1086000,28820380.0000,3.04,-1.633300,-0.43,3.802900
2023-09-08,26.2569398000,26.4247473100,26.4247473100,25.7732593300,542000,14318230.0000,2.49,1.018900,0.27,1.897900
2023-09-11,26.2174556800,26.3161659800,26.5135865800,25.8522275700,813800,21659864.0000,2.50,-0.410900,-0.11,2.849700
2023-09-12,26.3062949500,26.1681005300,26.5037155500,25.9213247800,456000,12088382.0000,2.21,-0.562600,-0.15,1.596800
2023-09-13,26.1681005300,26.0002930200,26.3457790700,25.6745490300,593500,15600954.0000,2.57,-0.641300,-0.17,2.078300
2023-09-14,26.0299061100,25.6942910900,26.0595192000,25.4968704900,699800,18236026.0000,2.16,-1.176900,-0.31,2.450500
2023-09-15,25.7535172700,25.8620986000,25.8620986000,25.4573863700,384700,9968855.0000,1.58,0.653100,0.17,1.347100
2023-09-18,25.7535172700,26.0002930200,26.3161659800,25.4475153400,1131000,29816848.0000,3.36,0.534400,0.14,3.960500
2023-09-19,26.0891322900,26.0002930200,26.1483584700,25.6745490300,571996,14972493.5600,1.82,0.000000,0.00,2.003000
2023-09-20,25.9410668400,25.6054518200,25.9410668400,25.3882891600,722844,18729308.3800,2.13,-1.518600,-0.39,2.531200
2023-09-21,25.5955807900,24.7466722100,25.5955807900,24.4900254300,1082876,27358975.7600,4.32,-3.353900,-0.86,3.791900
2023-09-22,24.6775750000,25.5659677000,25.7436462400,24.4505413100,1324274,33903849.6800,5.23,3.310700,0.82,4.637300
2023-09-25,25.5659677000,25.9509378700,26.4444893700,25.4475153400,1388766,36584715.1600,3.90,1.505800,0.38,4.863100
2023-09-26,25.8226144800,25.9608089000,26.3161659800,25.6942910900,1197548,31505887.1600,2.40,0.038000,0.01,4.193500
2023-09-27,26.0101640500,26.1878425900,26.5037155500,25.7239041800,1193900,31761659.0000,3.00,0.874500,0.23,4.180700
2023-09-28,26.1878425900,26.4543604000,26.6419099700,26.0200350800,1074450,28729694.5000,2.37,1.017700,0.27,3.762400
2023-10-09,26.3457790700,25.9805509600,26.7011361500,25.8917116900,847900,22490403.2600,3.06,-1.791000,-0.47,2.969100
2023-10-10,26.0496481700,25.3290629800,26.3852631900,25.1711265000,1029600,26699387.0000,4.67,-2.507600,-0.65,3.605400
2023-10-11,25.4968704900,25.3981601900,25.6646780000,25.1415134100,873500,22484886.0000,2.07,0.272800,0.07,3.058800
2023-10-12,25.3981601900,25.1612554700,25.4080312200,24.9243507500,637374,16224166.2200,1.90,-0.932800,-0.24,2.231900
2023-10-13,25.1711265000,25.7436462400,26.1582295000,24.6973170600,1567900,40831715.0000,5.81,2.314600,0.58,5.490400
2023-10-16,25.6548069700,25.6153228500,25.8127434500,24.7762853000,1050000,27086472.0000,4.03,-0.498500,-0.13,3.676800
2023-10-17,25.6251938800,25.2500947400,25.6350649100,25.1217713500,592900,15172177.0000,2.00,-1.425800,-0.37,2.076200
2023-10-18,25.2599657700,24.7762853000,25.2599657700,24.7071880900,553851,13950655.8100,2.19,-1.876500,-0.47,1.939400
2023-10-19,24.8749956000,24.7762853000,25.5363546100,24.5393805800,825700,20971784.0000,4.02,0.000000,0.00,2.891400
2023-10-20,24.9243507500,24.7861563300,25.5758387300,24.6084777900,503000,12673641.0000,3.90,0.039800,0.01,1.761400
2023-10-23,24.6775750000,25.2204816500,25.2204816500,24.1840235000,1015000,25132244.0000,4.18,1.752300,0.43,3.554300
2023-10-24,24.8256404500,25.6942910900,25.8620986000,24.4702833700,1847778,47524185.0000,5.52,1.878700,0.47,6.470400
2023-10-25,25.9015827200,26.2569398000,26.3062949500,25.7633883000,1185774,31333266.1600,2.11,2.189800,0.56,4.152300
2023-10-26,26.2569398000,26.2569398000,26.6419099700,26.0002930200,1202848,31909971.7000,2.44,0.000000,0.00,4.212100
2023-10-27,26.4444893700,26.3161659800,26.8097174800,26.1681005300,1168876,31304907.9600,2.44,0.225600,0.06,4.093100
2023-10-30,26.2371977400,26.4741024600,26.6419099700,26.1286164100,1076674,28804753.5000,1.95,0.600200,0.16,3.770200
2023-10-31,26.6616520300,26.5037155500,26.7208782100,26.2865528900,1323776,35558593.1400,1.64,0.111900,0.03,4.635500
2023-11-01,26.5629417300,26.4346183400,26.5925548200,26.1582295000,770382,20598400.2000,1.64,-0.260700,-0.07,2.697700
2023-11-02,26.2371977400,26.1483584700,26.5925548200,26.0891322900,748600,19948884.0000,1.90,-1.082900,-0.29,2.621400
2023-11-03,26.1582295000,26.3062949500,26.9479119000,26.1582295000,1528823,41216661.4200,3.02,0.604000,0.16,5.353500
2023-11-06,26.3556501000,26.4938445200,26.6024258500,26.1187453800,922900,24675428.0000,1.84,0.712900,0.19,3.231800
2023-11-07,26.4050052500,27.3427531000,27.4908185500,26.4050052500,2271475,62488809.8100,4.10,3.204200,0.85,7.954100
2023-11-08,27.2835269200,27.5006895800,27.6586260600,26.8590726300,1490148,41314876.0200,2.92,0.577600,0.16,5.218100
2023-11-09,27.4908185500,27.5204316400,27.8757887200,27.3526241300,1250522,34968282.3000,1.90,0.071800,0.02,4.379000
2023-11-10,27.4908185500,27.7474653300,27.8363046000,27.1946876500,1336976,37427481.4000,2.33,0.825000,0.23,4.681700
2023-11-13,27.4908185500,28.0830803500,28.1028224100,27.4513344300,1144278,32326180.1600,2.35,1.209500,0.34,4.007000
