日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,9.7100000000,9.9300000000,9.9500000000,9.7000000000,4673970,46182030.5500,0.00,1.741800,0.00,1.901100
2023-05-29,10.0600000000,9.9000000000,10.1800000000,9.8900000000,4644200,46418097.0000,2.92,-0.302100,-0.03,1.889000
2023-05-30,9.9200000000,10.0600000000,10.0800000000,9.7700000000,4930300,49090141.0000,3.13,1.616200,0.16,2.005400
2023-05-31,10.0600000000,10.2500000000,10.4200000000,10.0500000000,6714346,69009290.7200,3.68,1.888700,0.19,2.731100
2023-06-01,10.2400000000,10.1600000000,10.2400000000,10.0300000000,6363800,64487498.0000,2.05,-0.878000,-0.09,2.588500
2023-06-02,10.1600000000,10.2800000000,10.3800000000,10.1000000000,5721300,58711308.0000,2.76,1.181100,0.12,2.327200
2023-06-05,10.2000000000,10.3400000000,10.4900000000,10.2000000000,4638854,48082395.8200,2.82,0.583700,0.06,1.886900
2023-06-06,10.3500000000,10.0800000000,10.4100000000,10.0300000000,4251392,43251828.0000,3.68,-2.514500,-0.26,1.729300
2023-06-07,10.0800000000,10.1300000000,10.2000000000,10.0000000000,3264659,33044466.3100,1.98,0.496000,0.05,1.327900
2023-06-08,10.1800000000,10.0400000000,10.2800000000,9.9900000000,2924100,29468886.0000,2.86,-0.888500,-0.09,1.189400
2023-06-09,10.0100000000,10.0600000000,10.1200000000,9.9000000000,3416200,34226338.0000,2.19,0.199200,0.02,1.389500
2023-06-12,10.0200000000,10.0700000000,10.1600000000,10.0000000000,2625901,26474319.0500,1.59,0.099400,0.01,1.068100
2023-06-13,10.0700000000,10.0800000000,10.1300000000,9.9900000000,2609900,26275021.0000,1.39,0.099300,0.01,1.061600
2023-06-14,10.0800000000,9.9200000000,10.1300000000,9.8800000000,2702309,26927175.2800,2.48,-1.587300,-0.16,1.099200
2023-06-15,9.9400000000,9.8900000000,10.0600000000,9.8800000000,2835200,28201433.0000,1.81,-0.302400,-0.03,1.153200
2023-06-16,9.9200000000,10.1600000000,10.1800000000,9.8500000000,3801800,38233928.0000,3.34,2.730000,0.27,1.546400
2023-06-19,10.1600000000,10.0100000000,10.2200000000,9.9600000000,4002700,40100283.0000,2.56,-1.476400,-0.15,1.628100
2023-06-20,10.0100000000,9.9400000000,10.0400000000,9.8400000000,4402809,43804563.4600,2.00,-0.699300,-0.07,1.790900
2023-06-21,9.9000000000,9.8600000000,10.1100000000,9.6800000000,4534412,44912427.6400,4.33,-0.804800,-0.08,1.844400
2023-06-26,9.8000000000,9.6200000000,9.9500000000,9.5800000000,3950000,38488617.0000,3.75,-2.434100,-0.24,1.606700
2023-06-27,9.6300000000,9.7400000000,10.5800000000,9.6300000000,19569323,198381381.7000,9.88,1.247400,0.12,7.959900
2023-06-28,9.6800000000,9.7400000000,9.8200000000,9.2600000000,13716001,131988513.4100,5.75,0.000000,0.00,5.579000
2023-06-29,9.7700000000,10.0700000000,10.3600000000,9.6700000000,13813350,139172597.0000,7.08,3.388100,0.33,5.618600
2023-06-30,9.9700000000,10.2400000000,10.2900000000,9.9400000000,11253200,114191807.0000,3.48,1.688200,0.17,4.577300
2023-07-03,10.2400000000,10.0800000000,10.3600000000,10.0100000000,7587301,76765639.0600,3.42,-1.562500,-0.16,3.086200
2023-07-04,10.0300000000,10.1600000000,10.1900000000,10.0300000000,7895400,79986249.0000,1.59,0.793700,0.08,3.211500
2023-07-05,10.1200000000,10.1200000000,10.2600000000,10.0500000000,5842100,59420584.0000,2.07,-0.393700,-0.04,2.376300
2023-07-06,10.1500000000,11.1300000000,11.1300000000,10.1000000000,27599242,301215361.0500,10.18,9.980200,1.01,11.226100
2023-07-07,11.0000000000,10.7800000000,11.0000000000,10.5400000000,43196617,462754570.0500,4.13,-3.144700,-0.35,17.570300
2023-07-10,10.7000000000,10.4800000000,10.7700000000,10.3900000000,24822773,260805858.3200,3.53,-2.782900,-0.30,10.096700
2023-07-11,10.5300000000,10.8000000000,11.5300000000,10.4400000000,37327009,401666928.3900,10.40,3.053400,0.32,15.182900
2023-07-12,10.6800000000,10.9200000000,11.5000000000,10.5300000000,38389118,419123183.5600,8.98,1.111100,0.12,15.614900
2023-07-13,10.6500000000,11.3300000000,11.8800000000,10.5500000000,46839208,528077256.6800,12.18,3.754600,0.41,19.052000
2023-07-14,11.2200000000,10.9300000000,11.3000000000,10.9200000000,31402601,347394634.8300,3.35,-3.530500,-0.40,12.773100
2023-07-17,10.8900000000,12.0200000000,12.0200000000,10.8800000000,27671599,327940915.8200,10.43,9.972600,1.09,11.255500
2023-07-18,11.6500000000,11.4700000000,12.0200000000,11.3800000000,46193706,535522290.0000,5.32,-4.575700,-0.55,18.789400
2023-07-19,11.3700000000,11.6800000000,11.9600000000,11.2100000000,31865361,367649675.5600,6.54,1.830900,0.21,12.961300
2023-07-20,11.4000000000,10.7000000000,11.4400000000,10.7000000000,31865576,352907403.7700,6.34,-8.390400,-0.98,12.961400
2023-07-21,10.5600000000,10.0100000000,10.6100000000,9.9800000000,25655312,262633018.0200,5.89,-6.448600,-0.69,10.435400
2023-07-24,9.9900000000,10.1000000000,10.2300000000,9.8000000000,14946211,150142923.4600,4.30,0.899100,0.09,6.079400
2023-07-25,10.1300000000,10.2900000000,10.3300000000,10.0500000000,14714050,150376476.5000,2.77,1.881200,0.19,5.985000
2023-07-26,10.2000000000,10.0600000000,10.3000000000,9.9800000000,10718159,108127433.3700,3.11,-2.235200,-0.23,4.359600
2023-07-27,10.1100000000,10.1700000000,10.3900000000,10.0600000000,8865159,90782996.0800,3.28,1.093400,0.11,3.605900
2023-07-28,10.1600000000,10.0100000000,10.2300000000,9.9700000000,9386105,94118275.0000,2.56,-1.573300,-0.16,3.817800
2023-07-31,9.9100000000,10.0000000000,10.0500000000,9.8600000000,8666500,86394439.0000,1.90,-0.099900,-0.01,3.525100
2023-08-01,10.0200000000,9.8600000000,10.0200000000,9.8200000000,7776240,76876184.6000,2.00,-1.400000,-0.14,3.163000
2023-08-02,9.8300000000,9.8700000000,9.9400000000,9.8100000000,4972500,49207867.0000,1.32,0.101400,0.01,2.022600
2023-08-03,9.8300000000,9.7800000000,9.9600000000,9.7400000000,6492900,63729411.0000,2.23,-0.911900,-0.09,2.641000
2023-08-04,9.7900000000,9.8600000000,9.9600000000,9.7500000000,5379300,53108427.0000,2.15,0.818000,0.08,2.188000
2023-08-07,9.8600000000,9.8600000000,9.9000000000,9.8100000000,4770600,47016277.0000,0.91,0.000000,0.00,1.940500
2023-08-08,9.8500000000,9.8300000000,9.9200000000,9.7900000000,3630100,35725950.0000,1.32,-0.304300,-0.03,1.476600
2023-08-09,9.8300000000,9.6600000000,9.8300000000,9.6400000000,4495200,43601895.0000,1.93,-1.729400,-0.17,1.828400
2023-08-10,9.7000000000,9.6800000000,9.7400000000,9.6200000000,2900800,28060316.0000,1.24,0.207000,0.02,1.179900
2023-08-11,9.8600000000,9.9200000000,10.1900000000,9.7500000000,16187900,161439095.0000,4.55,2.479300,0.24,6.584500
2023-08-14,9.8000000000,10.0300000000,10.1400000000,9.6800000000,12479365,123843058.2500,4.64,1.108900,0.11,5.076000
2023-08-15,9.8900000000,9.6300000000,9.9200000000,9.6000000000,10095298,98484294.4900,3.19,-3.988000,-0.40,4.106300
2023-08-16,9.6000000000,9.6800000000,9.7900000000,9.5800000000,5557299,53975378.3100,2.18,0.519200,0.05,2.267700
2023-08-17,9.6200000000,9.8900000000,9.9200000000,9.5000000000,7334139,71725302.1200,4.34,2.169400,0.21,2.992800
2023-08-18,9.8500000000,9.7500000000,10.0100000000,9.7500000000,5859700,57981935.0000,2.63,-1.415600,-0.14,2.391100
2023-08-21,9.7900000000,9.6600000000,9.8700000000,9.6600000000,3665900,35684647.0000,2.15,-0.923100,-0.09,1.495900
2023-08-22,9.6600000000,9.6300000000,9.7800000000,9.3100000000,5557600,53041463.0000,4.87,-0.310600,-0.03,2.267900
2023-08-23,9.6000000000,9.5000000000,9.6200000000,9.4600000000,3421900,32636308.0000,1.66,-1.349900,-0.13,1.396400
2023-08-24,9.5000000000,9.4400000000,9.5900000000,9.3200000000,3772800,35718267.0000,2.84,-0.631600,-0.06,1.539500
2023-08-25,9.4100000000,9.1600000000,9.4300000000,9.0800000000,4326800,39984034.0000,3.71,-2.966100,-0.28,1.765600
2023-08-28,9.5500000000,9.4000000000,9.6500000000,9.3500000000,7890702,75228373.7000,3.28,2.620100,0.24,3.219900
2023-08-29,9.3900000000,9.8100000000,9.8400000000,9.3600000000,7219926,69992179.2000,5.11,4.361700,0.41,2.946200
2023-08-30,9.8800000000,10.0100000000,10.1100000000,9.8600000000,7360586,73615932.0800,2.55,2.038700,0.20,3.003600
2023-08-31,9.9900000000,10.0900000000,10.1800000000,9.9100000000,6454100,65268608.0200,2.70,0.799200,0.08,2.633700
2023-09-01,10.0800000000,10.0100000000,10.1600000000,9.9700000000,3371700,33848344.9900,1.88,-0.792900,-0.08,1.375900
2023-09-04,10.0700000000,10.1300000000,10.1800000000,10.0000000000,3448100,34770034.0000,1.80,1.198800,0.12,1.407000
2023-09-05,10.1100000000,10.2100000000,10.3100000000,10.0600000000,4384900,44812822.0000,2.47,0.789700,0.08,1.789300
2023-09-06,10.1600000000,10.3700000000,10.3700000000,10.1300000000,4602800,47413353.0000,2.35,1.567100,0.16,1.878200
2023-09-07,10.3300000000,10.2000000000,10.3700000000,10.1800000000,4073100,41819241.0000,1.83,-1.639300,-0.17,1.662100
2023-09-08,10.2200000000,10.2600000000,10.2900000000,10.1500000000,3331300,34103034.0000,1.37,0.588200,0.06,1.359400
2023-09-11,10.2500000000,10.2600000000,10.3100000000,10.1800000000,4173262,42757948.3100,1.27,0.000000,0.00,1.703000
2023-09-12,10.2000000000,10.2000000000,10.2900000000,10.1300000000,2599300,26464856.0000,1.56,-0.584800,-0.06,1.060700
2023-09-13,10.0800000000,10.0000000000,10.1700000000,9.9300000000,3974500,39800326.0000,2.35,-1.960800,-0.20,1.621900
2023-09-14,10.0500000000,9.9500000000,10.1900000000,9.8900000000,3390800,33871327.0000,3.00,-0.500000,-0.05,1.383700
2023-09-15,10.0400000000,10.0700000000,10.1600000000,9.9100000000,3839100,38507980.0000,2.51,1.206000,0.12,1.566600
2023-09-18,9.9800000000,10.0400000000,10.1700000000,9.9000000000,3114900,31319852.0000,2.68,-0.297900,-0.03,1.271100
2023-09-19,10.0600000000,9.9400000000,10.0600000000,9.8300000000,3440600,34191024.0000,2.29,-0.996000,-0.10,1.404000
2023-09-20,9.9400000000,9.8900000000,10.0300000000,9.8900000000,2618200,26044725.0000,1.41,-0.503000,-0.05,1.068400
2023-09-21,9.9400000000,9.9300000000,10.0200000000,9.8500000000,3122400,31015136.0000,1.72,0.404400,0.04,1.274100
2023-09-22,9.8900000000,10.2300000000,10.2400000000,9.8600000000,3903825,39374553.5000,3.83,3.021100,0.30,1.593000
2023-09-25,10.2100000000,10.1100000000,10.2700000000,10.0800000000,2894519,29360756.9200,1.86,-1.173000,-0.12,1.181200
2023-09-26,10.0800000000,10.0100000000,10.1200000000,10.0000000000,2204000,22141397.0000,1.19,-0.989100,-0.10,0.899400
2023-09-27,9.9900000000,9.8900000000,10.0500000000,9.8900000000,3048600,30318274.0000,1.60,-1.198800,-0.12,1.244000
2023-09-28,9.8900000000,10.2500000000,10.3000000000,9.8900000000,5863883,59759603.7500,4.15,3.640000,0.36,2.392800
2023-10-09,10.2500000000,10.3500000000,10.4500000000,10.1300000000,5728200,59312797.0000,3.12,0.975600,0.10,2.337500
2023-10-10,10.4200000000,10.4100000000,10.5000000000,10.3000000000,4010100,41638125.0000,1.93,0.579700,0.06,1.636400
2023-10-11,10.3800000000,10.5100000000,10.5800000000,10.3500000000,4535900,47534747.0000,2.21,0.960600,0.10,1.850900
2023-10-12,10.5100000000,10.5600000000,10.5800000000,10.4500000000,3301400,34765680.0000,1.24,0.475700,0.05,1.347200
2023-10-13,10.5500000000,10.6300000000,10.7400000000,10.5000000000,3780975,40189159.7500,2.27,0.662900,0.07,1.542900
2023-10-16,10.6600000000,10.5300000000,10.7300000000,10.4600000000,3970725,41924512.1900,2.54,-0.940700,-0.10,1.620300
2023-10-17,10.5300000000,10.4500000000,10.6000000000,10.3600000000,3681583,38433188.6900,2.28,-0.759700,-0.08,1.502300
2023-10-18,10.5000000000,10.2900000000,10.5100000000,10.2300000000,3933619,40599029.5100,2.68,-1.531100,-0.16,1.605200
2023-10-19,10.3100000000,10.3400000000,10.4800000000,10.2500000000,4972100,51538111.2500,2.24,0.485900,0.05,2.028900
2023-10-20,10.3400000000,10.0900000000,10.4700000000,10.0800000000,3657400,37370222.0000,3.77,-2.417800,-0.25,1.492500
2023-10-23,10.0900000000,9.7800000000,10.1400000000,9.7000000000,4825100,47817009.0000,4.36,-3.072300,-0.31,1.969000
2023-10-24,9.8200000000,10.1800000000,10.2000000000,9.7700000000,4346401,43649896.8200,4.40,4.090000,0.40,1.773600
2023-10-25,10.1800000000,10.1600000000,10.2800000000,10.0600000000,3668395,37341451.2000,2.16,-0.196500,-0.02,1.496900
2023-10-26,10.1900000000,10.0600000000,10.1900000000,9.9000000000,3441200,34378261.0000,2.85,-0.984300,-0.10,1.404200
2023-10-27,10.0200000000,10.1600000000,10.2100000000,9.7400000000,5615500,56011580.0000,4.67,0.994000,0.10,2.291500
2023-10-30,10.1000000000,10.4300000000,10.4400000000,10.0700000000,4603901,47577813.1000,3.64,2.657500,0.27,1.878700
2023-10-31,10.4300000000,10.3600000000,10.4700000000,10.2900000000,2994700,31102945.0000,1.73,-0.671100,-0.07,1.222000
