日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,21.6351821000,21.7947041800,21.8146444400,21.3061678100,2732735,59218922.7500,0.00,1.438500,0.00,0.761800
2023-05-29,22.1336886000,22.0140470400,22.5324938000,21.9442561300,5067200,112918108.8000,2.70,1.006400,0.22,1.412500
2023-05-30,21.8644950900,21.7847340500,21.9043756100,21.5853314500,3096003,67451794.0700,1.45,-1.041700,-0.23,0.863000
2023-05-31,21.7347750000,21.7947330000,21.9646140000,21.6048660000,2912664,63678714.7600,1.65,0.045900,0.01,0.811900
2023-06-01,21.8446980000,21.8846700000,22.0445580000,21.6048660000,2969484,64989130.9600,2.02,0.412700,0.09,0.827800
2023-06-02,21.8846700000,22.0045860000,22.0345650000,21.8846700000,2406801,52928182.9700,0.68,0.547900,0.12,0.670900
2023-06-05,22.1045160000,21.9046560000,22.2444180000,21.8646840000,2318695,51100775.7200,1.73,-0.454100,-0.10,0.646400
2023-06-06,21.9046560000,21.3650340000,21.9046560000,21.3350550000,2726254,58861686.7200,2.60,-2.463500,-0.54,0.760000
2023-06-07,21.5149290000,21.3150690000,21.5149290000,21.2850900000,1570727,33574001.2500,1.08,-0.233900,-0.05,0.437900
2023-06-08,21.3250620000,21.2750970000,21.3850200000,21.1951530000,1668400,35533589.0000,0.89,-0.187500,-0.04,0.465100
2023-06-09,21.2850900000,21.5748870000,21.6648240000,21.2651040000,2260300,48606968.0000,1.88,1.409100,0.30,0.630100
2023-06-12,21.4249920000,21.8746770000,21.9146490000,21.4249920000,2818925,61196939.0500,2.27,1.389500,0.30,0.785800
2023-06-13,21.8546910000,21.8047260000,22.0145790000,21.7447680000,2570726,56250874.4000,1.23,-0.319800,-0.07,0.716600
2023-06-14,21.9246420000,21.5049360000,21.9246420000,21.3350550000,3451722,74562941.4300,2.70,-1.374900,-0.30,0.962200
2023-06-15,21.5049360000,21.8646840000,22.0445580000,21.4149990000,4505451,97958885.0200,2.93,1.672900,0.36,1.255900
2023-06-16,21.9846000000,21.9846000000,22.1844600000,21.8746770000,4401300,97141651.3100,1.42,0.548400,0.12,1.226900
2023-06-19,21.9346350000,21.8946630000,22.1744670000,21.8147190000,3346200,73537250.0000,1.64,-0.409100,-0.09,0.932800
2023-06-20,21.9246420000,22.0645440000,22.2144390000,21.7147890000,5179896,114280581.9000,2.28,0.775900,0.17,1.444000
2023-06-21,21.9646140000,21.7047960000,22.0645440000,21.6648240000,3771727,82239096.7500,1.81,-1.630400,-0.36,1.051400
2023-06-26,21.6848100000,21.3750270000,21.7547610000,21.3150690000,3665900,78779512.5800,2.03,-1.519300,-0.33,1.021900
2023-06-27,21.3850200000,21.5748870000,21.6048660000,21.3150690000,2633446,56607684.6800,1.36,0.935000,0.20,0.734100
2023-06-28,21.4849500000,21.6748170000,21.7347750000,21.1052160000,3652912,78322472.2400,2.92,0.463200,0.10,1.018300
2023-06-29,21.6648240000,21.9346350000,22.0845300000,21.5748870000,4817156,105890682.2000,2.35,1.198700,0.26,1.342800
2023-06-30,21.9846000000,22.1245020000,22.2743970000,21.9046560000,4195525,92900593.4600,1.69,0.865600,0.19,1.169600
2023-07-03,22.1844600000,22.2444180000,22.5142290000,22.1744670000,4673427,104244350.5900,1.54,0.542000,0.12,1.302800
2023-07-04,22.2544110000,22.4842500000,22.5741870000,22.1744670000,5864805,131801509.6200,1.80,1.078200,0.24,1.634900
2023-07-05,22.4942430000,22.1344950000,22.5242220000,22.1045160000,4001803,89273135.6500,1.87,-1.555600,-0.35,1.115500
2023-07-06,22.1844600000,22.1844600000,22.2644040000,21.9646140000,3055000,67605114.3900,1.35,0.225700,0.05,0.851600
2023-07-07,22.0945230000,22.1944530000,22.3443480000,22.0945230000,2854564,63465502.6400,1.13,0.045000,0.01,0.795700
2023-07-10,22.2743970000,22.1245020000,22.4342850000,22.0945230000,2843800,63250623.7400,1.53,-0.315200,-0.07,0.792700
2023-07-11,22.1145090000,22.4942430000,22.5442080000,22.0645440000,5004513,112201630.3100,2.17,1.671200,0.37,1.395100
2023-07-12,22.5142290000,22.2743970000,22.6441380000,22.2144390000,4203387,94529054.4200,1.91,-0.977300,-0.22,1.171700
2023-07-13,22.2843900000,22.2843900000,22.3943130000,22.0645440000,3766998,83696088.3100,1.48,0.044900,0.01,1.050100
2023-07-14,22.3043760000,21.9346350000,22.3543410000,21.9046560000,4160793,91701160.8500,2.02,-1.569500,-0.35,1.159900
2023-07-17,21.8846700000,21.8846700000,21.8846700000,21.5648940000,3144924,68325080.8200,1.46,-0.227800,-0.05,0.876700
2023-07-18,21.8646840000,22.2544110000,22.4942430000,21.6948030000,4712763,104585940.3200,3.65,1.689500,0.37,1.313700
2023-07-19,22.1944530000,22.1245020000,22.3243620000,22.0345650000,2263655,50178269.0500,1.30,-0.583700,-0.13,0.631000
2023-07-20,22.1844600000,21.8147190000,22.2144390000,21.7947330000,2531800,55752224.4500,1.90,-1.400200,-0.31,0.705800
2023-07-21,21.7847400000,21.7347750000,22.0045860000,21.6748170000,2268987,49510577.2900,1.51,-0.366500,-0.08,0.632500
2023-07-24,21.7447680000,21.6348450000,21.8446980000,21.6148590000,1662101,36115640.7000,1.06,-0.459800,-0.10,0.463300
2023-07-25,21.6648240000,22.1145090000,22.1644740000,21.6648240000,3280740,72244002.0000,2.31,2.217100,0.48,0.914500
2023-07-26,22.0545510000,21.9546210000,22.1344950000,21.8646840000,1918061,42126058.0800,1.22,-0.723000,-0.16,0.534700
2023-07-27,21.8147190000,22.5741870000,23.0338650000,21.7947330000,15558084,351825459.1200,5.64,2.822000,0.62,4.337000
2023-07-28,22.2644040000,22.2743970000,22.3643340000,21.7847400000,9307504,206027675.2600,2.57,-1.328000,-0.30,2.594600
2023-07-31,22.3143690000,22.5342150000,22.6041660000,22.2344250000,6940782,155916288.4300,1.66,1.166400,0.26,1.934800
2023-08-01,22.8739770000,22.3243620000,22.8739770000,22.2544110000,6294844,141458793.8300,2.75,-0.931300,-0.21,1.754800
2023-08-02,22.3343550000,22.2943830000,22.3743270000,22.1245020000,3098018,68988958.0000,1.12,-0.134300,-0.03,0.863600
2023-08-03,22.2044460000,22.1145090000,22.2743970000,21.9446280000,3748416,82847455.0600,1.48,-0.806800,-0.18,1.044900
2023-08-04,22.1245020000,22.1544810000,22.2444180000,22.0245720000,2996044,66378420.7300,0.99,0.180800,0.04,0.835200
2023-08-07,22.1245020000,21.9846000000,22.1544810000,21.9546210000,2603826,57330112.4800,0.90,-0.766800,-0.17,0.725800
2023-08-08,21.9846000000,21.8247120000,21.9945930000,21.7747470000,3217940,70282032.6000,1.00,-0.727300,-0.16,0.897000
2023-08-09,21.8247120000,21.9746070000,21.9746070000,21.6948030000,2105143,46068820.2700,1.28,0.686800,0.15,0.586800
2023-08-10,22.0045860000,21.9146490000,22.0145790000,21.8147190000,1662003,36452115.1900,0.91,-0.272900,-0.06,0.463300
2023-08-11,21.9246420000,21.5948730000,21.9246420000,21.5848800000,2633863,57173102.5800,1.55,-1.459200,-0.32,0.734200
2023-08-14,21.5349150000,21.5748870000,21.5748870000,21.3450480000,2331964,50085044.2000,1.06,-0.092500,-0.02,0.650100
2023-08-15,21.5748870000,21.3250620000,21.6348450000,21.2351250000,2239560,47899448.6400,1.85,-1.157900,-0.25,0.624300
2023-08-16,21.2850900000,21.0652440000,21.4149990000,21.0452580000,2202300,46677497.0000,1.73,-1.218400,-0.26,0.613900
2023-08-17,21.0552510000,21.3350550000,21.4549710000,20.8054260000,3354491,71107033.9400,3.08,1.280800,0.27,0.935100
2023-08-18,21.4050060000,21.0352650000,21.4050060000,21.0152790000,2605628,55302657.4300,1.83,-1.405200,-0.30,0.726300
2023-08-21,21.0052860000,20.7954330000,21.1751670000,20.7854400000,2130497,44605956.3300,1.85,-1.140100,-0.24,0.593900
2023-08-22,20.8154190000,20.7154890000,20.9553210000,20.1858600000,3777730,77712655.9000,3.70,-0.384400,-0.08,1.053100
2023-08-23,20.7154890000,20.1059160000,20.7154890000,20.0659440000,3494198,70650488.6000,3.14,-2.942600,-0.61,0.974000
2023-08-24,20.1159090000,20.0459580000,20.2658040000,19.7961330000,2798943,56163150.0900,2.34,-0.298200,-0.06,0.780200
2023-08-25,19.9760070000,19.4363850000,19.9860000000,19.2764970000,3703889,72896398.4000,3.54,-3.040900,-0.61,1.032500
2023-08-28,20.0759370000,19.4363850000,20.3157690000,19.3964130000,3842301,76310142.0100,4.73,0.000000,0.00,1.071100
2023-08-29,19.4064060000,20.0159790000,20.1758670000,19.3364550000,4079309,81129329.1900,4.32,2.982000,0.58,1.137200
2023-08-30,20.0259720000,20.1059160000,20.2558110000,19.9860000000,2935802,59169363.2200,1.35,0.449300,0.09,0.818400
2023-08-31,20.1358950000,19.9460280000,20.1758670000,19.8760770000,1981400,39619002.0000,1.49,-0.795200,-0.16,0.552300
2023-09-01,19.9860000000,20.0159790000,20.0859300000,19.8960630000,1431251,28653975.4300,0.95,0.350700,0.07,0.399000
2023-09-04,20.1159090000,20.2558110000,20.2957830000,20.0259720000,2155500,43540020.0000,1.35,1.198200,0.24,0.600900
2023-09-05,20.2957830000,20.1358950000,20.3057760000,20.0959230000,1410658,28469267.8100,1.04,-0.592000,-0.12,0.393200
2023-09-06,20.1458880000,20.3457480000,20.3457480000,19.9860000000,2364767,47925751.6400,1.79,1.042200,0.21,0.659200
2023-09-07,20.3457480000,19.9360350000,20.3657340000,19.9160490000,2305936,46345056.5600,2.21,-2.013800,-0.41,0.642800
2023-09-08,19.9360350000,20.0359650000,20.1259020000,19.9260420000,1763546,35356322.1000,1.00,0.501300,0.10,0.491600
2023-09-11,20.0359650000,20.1558810000,20.1758670000,19.8860700000,2469511,49603000.6500,1.45,0.598500,0.12,0.688400
2023-09-12,20.2058460000,20.1958530000,20.2358250000,20.0259720000,1697611,34250140.9800,1.04,0.198300,0.04,0.473200
2023-09-13,20.2058460000,19.8460980000,20.2058460000,19.7061960000,2812600,55900943.0000,2.47,-1.731800,-0.35,0.784000
2023-09-14,19.8560910000,19.6662240000,19.8560910000,19.6362450000,1521032,30001229.8600,1.11,-0.906300,-0.18,0.424000
2023-09-15,19.7261820000,19.7361750000,19.8560910000,19.5862800000,1534300,30270839.0000,1.37,0.355700,0.07,0.427700
2023-09-18,19.6862100000,19.8560910000,20.0359650000,19.5662940000,2053913,40863092.8400,2.38,0.607600,0.12,0.572600
2023-09-19,19.8860700000,19.6462380000,19.9460280000,19.5962730000,1951700,38472788.0000,1.76,-1.056900,-0.21,0.544100
2023-09-20,19.6062660000,19.5163290000,19.7461680000,19.4963430000,1504500,29515288.0000,1.27,-0.661200,-0.13,0.419400
2023-09-21,19.4863500000,19.2964830000,19.6762170000,19.2565110000,2209700,42911949.0000,2.15,-1.126500,-0.22,0.616000
2023-09-22,19.2964830000,19.7961330000,19.8261120000,19.2165390000,2683300,52578162.0000,3.16,2.589300,0.50,0.748000
