日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,12.0900000000,13.3900000000,13.3900000000,11.9300000000,181240103,2328029937.6600,0.00,10.024700,0.00,16.161000
2023-05-29,13.8100000000,14.1900000000,14.3700000000,13.7600000000,262254424,3709306508.3300,4.56,5.974600,0.80,23.385000
2023-05-30,13.8600000000,14.3800000000,14.9900000000,13.6000000000,245838703,3510209398.9600,9.80,1.339000,0.19,21.921200
2023-05-31,14.3900000000,14.2900000000,14.7200000000,14.0700000000,188440911,2701007136.6500,4.52,-0.625900,-0.09,16.803100
2023-06-01,13.9000000000,14.5700000000,15.3000000000,13.7900000000,234491043,3432891269.2800,10.57,1.959400,0.28,20.909300
2023-06-02,14.6000000000,14.2500000000,14.7600000000,14.2300000000,142024879,2045057885.9400,3.64,-2.196300,-0.32,12.664200
2023-06-05,14.6900000000,14.9900000000,15.3200000000,14.5800000000,220365866,3279993038.1900,5.19,5.193000,0.74,19.649800
2023-06-06,14.6700000000,14.0600000000,14.9800000000,14.0400000000,181112477,2629566212.7000,6.27,-6.204100,-0.93,16.149600
2023-06-07,14.3500000000,14.5700000000,14.7500000000,14.1100000000,151881078,2191811034.1300,4.55,3.627300,0.51,13.543100
2023-06-08,14.1700000000,16.0300000000,16.0300000000,13.8000000000,185753646,2782732192.1300,15.31,10.020600,1.46,16.563500
2023-06-09,16.9900000000,17.6300000000,17.6300000000,16.8000000000,198795488,3447943264.6500,5.18,9.981300,1.60,17.726400
2023-06-12,19.3900000000,19.3900000000,19.3900000000,19.3900000000,25849846,501228513.9400,0.00,9.983000,1.76,2.305000
2023-06-13,20.1100000000,19.0900000000,21.3200000000,18.8200000000,520946146,10460977392.4500,12.89,-1.547200,-0.30,46.452300
2023-06-14,18.0000000000,18.7400000000,19.6200000000,17.2800000000,437916425,7940627383.4600,12.26,-1.833400,-0.35,39.048600
2023-06-15,17.8100000000,18.8300000000,19.5000000000,17.6600000000,331447465,6119073965.3400,9.82,0.480300,0.09,29.554900
2023-06-16,18.6000000000,19.3100000000,19.9900000000,18.4500000000,316008637,6122802320.9000,8.18,2.549100,0.48,28.178200
2023-06-19,18.9500000000,19.1100000000,19.7900000000,18.9400000000,260750276,5045242642.0000,4.40,-1.035700,-0.20,23.250900
2023-06-20,18.8000000000,20.4000000000,20.9000000000,18.6000000000,336273468,6874526614.1800,12.04,6.750400,1.29,29.985200
2023-06-21,20.6300000000,20.1100000000,21.0400000000,19.7100000000,293408255,6005966998.7700,6.52,-1.421600,-0.29,26.162900
2023-06-26,19.6000000000,18.1800000000,20.7000000000,18.1700000000,254663955,4983472980.6600,12.58,-9.597200,-1.93,22.708100
2023-06-27,18.7700000000,20.0000000000,20.0000000000,18.4000000000,290060767,5711602484.9700,8.80,10.011000,1.82,25.864400
2023-06-28,20.2000000000,20.3000000000,21.3500000000,19.5000000000,363047627,7427279555.0100,9.25,1.500000,0.30,32.372600
2023-06-29,20.5100000000,19.2900000000,20.7000000000,18.8800000000,245033816,4781527237.9900,8.97,-4.975400,-1.01,21.849400
2023-06-30,18.7100000000,19.3100000000,19.7600000000,18.2200000000,209814783,3968267102.7300,7.98,0.103700,0.02,18.709000
2023-07-03,19.3100000000,19.4600000000,20.2700000000,19.0200000000,172994318,3380960547.6100,6.47,0.776800,0.15,15.425700
2023-07-04,19.1000000000,20.7500000000,21.4000000000,18.6900000000,279543219,5641664169.6800,13.93,6.629000,1.29,24.926600
2023-07-05,20.5100000000,19.7800000000,21.1500000000,19.6400000000,243792453,5002325942.3200,7.28,-4.674700,-0.97,21.738700
