日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,25.3722480000,27.7347328000,28.5175680000,25.0507264000,30241227,1169113069.8700,0.00,4.531100,0.00,15.532500
2023-05-29,28.1051816000,27.8535560000,30.4536872000,27.6788160000,28548768,1187075021.4600,10.01,0.428400,0.12,14.663200
2023-05-30,27.9793688000,29.0278088000,30.0343112000,27.0567416000,28883716,1187309443.8500,10.69,4.215800,1.17,14.835200
2023-05-31,29.3283616000,29.3772888000,31.9284928000,27.8186080000,49202389,2087447380.7300,14.16,1.203900,0.35,25.271300
2023-06-01,27.9584000000,29.8246232000,30.1251760000,26.9099600000,38400727,1574912194.2500,10.94,1.522700,0.45,19.723300
2023-06-02,29.5380496000,32.8091824000,32.8091824000,29.0487776000,55772796,2566747589.1500,12.61,10.007000,2.98,28.646000
2023-06-05,32.1801184000,31.3833040000,32.1801184000,30.0622696000,44144575,1962842058.7500,6.46,-4.346000,-1.43,22.673500
2023-06-06,30.5445520000,29.7197792000,30.7262816000,29.5729976000,24241607,1044464491.4800,3.67,-5.300700,-1.66,12.451000
2023-06-07,29.3493304000,30.2649680000,30.8241360000,29.1116840000,24128192,1044273472.5600,5.76,1.834400,0.55,12.392700
2023-06-08,28.7691936000,27.2384712000,29.2864240000,27.2384712000,32153962,1273227666.1800,6.77,-10.000000,-3.03,16.514900
2023-06-09,26.5604800000,27.4900968000,27.9164624000,26.3997192000,22000001,855190498.3600,5.57,0.923800,0.25,11.299600
2023-06-12,27.4900968000,26.9868456000,27.9514104000,26.9099600000,18313031,716184533.2200,3.79,-1.830700,-0.50,9.405900
2023-06-13,26.4067088000,27.4691280000,27.5390240000,26.2110000000,16304312,631158754.9500,4.92,1.787100,0.48,8.374200
2023-06-14,27.2594400000,29.2724448000,29.6079456000,26.7981264000,30831132,1253712618.0600,10.23,6.564900,1.80,15.835500
2023-06-15,29.3633096000,28.5245576000,30.6004688000,28.3498176000,27063248,1143930158.8400,7.69,-2.554900,-0.75,13.900200
2023-06-16,28.5315472000,28.9998504000,29.9434464000,27.6788160000,24270959,1010883275.8200,7.94,1.666300,0.48,12.466000
2023-06-19,29.0068400000,28.2869112000,30.2509888000,27.9444208000,22514697,919963032.3400,7.95,-2.458400,-0.71,11.564000
2023-06-20,27.9514104000,30.2509888000,31.1176992000,27.5460136000,36155932,1522722220.8900,12.63,6.943400,1.96,18.570400
2023-06-21,31.2784600000,31.8585968000,33.2774856000,29.7756960000,56298828,2589117088.5800,11.58,5.314200,1.61,28.916200
2023-06-26,29.3283616000,28.6713392000,29.6918208000,28.6713392000,20261800,834291619.0900,3.20,-10.004400,-3.19,10.406800
2023-06-27,27.6648368000,27.8885040000,28.8670480000,26.5674696000,25212837,1004202439.2900,8.02,-2.730400,-0.78,12.949800
2023-06-28,27.5460136000,27.7696808000,28.4896096000,25.9174368000,22460520,868745104.7400,9.22,-0.426100,-0.12,11.536200
2023-06-29,27.4271904000,28.3568072000,29.0068400000,27.2594400000,19769752,803751539.4100,6.29,2.114300,0.59,10.154100
2023-06-30,28.3428280000,27.9584000000,28.7412352000,27.5879512000,15213209,609283236.5700,4.07,-1.405000,-0.40,7.709000
2023-07-03,27.6788160000,25.8615200000,27.9514104000,25.1625600000,25156594,935321251.6700,9.98,-7.500000,-2.10,12.920900
2023-07-04,25.5469880000,26.5395112000,26.6723136000,25.4770920000,15560056,582130951.3100,4.62,2.621600,0.68,7.991900
2023-07-05,26.4416568000,26.4206880000,27.2244920000,26.3438024000,11710330,449000977.7500,3.32,-0.447700,-0.12,6.014600
2023-07-06,26.2599272000,26.4416568000,27.0497520000,25.9104472000,9357751,355286074.9400,4.31,0.079400,0.02,4.806300
2023-07-07,26.2179896000,25.9593744000,26.7002720000,24.8899656000,11252270,415583089.0500,6.85,-1.823900,-0.48,5.779400
2023-07-10,25.9593744000,26.7631784000,26.8051160000,25.7217280000,10107116,382599478.7200,4.17,3.096400,0.80,5.191200
2023-07-11,26.7631784000,26.5744592000,26.7631784000,25.3373000000,9627365,361724396.6600,5.33,-0.705100,-0.19,4.944800
2023-07-12,26.3228336000,24.3238080000,26.9309288000,24.2399328000,19422842,702498549.9600,10.13,-8.469200,-2.25,9.975900
2023-07-13,24.7641528000,24.5964024000,25.0227680000,24.1420784000,12962753,455389769.4300,3.62,1.120700,0.27,6.657900
2023-07-14,24.8480280000,25.8894784000,26.2739064000,24.8480280000,15581410,574818517.5200,5.80,5.257200,1.29,8.002900
2023-07-17,25.8195824000,25.0786848000,25.8195824000,24.7082360000,10118793,362849200.6400,4.29,-3.131700,-0.81,5.197200
2023-07-18,25.0577160000,24.7501736000,25.2324560000,24.4146728000,5573670,198179719.9000,3.26,-1.309900,-0.33,2.862700
2023-07-19,25.3023520000,25.8195824000,26.8820016000,25.2044976000,13442556,498113192.1600,6.78,4.320800,1.07,6.904400
2023-07-20,25.8545304000,26.1271248000,27.5110656000,25.8405512000,23099954,878768884.3900,6.47,1.191100,0.31,11.864600
2023-07-21,26.1271248000,24.9039448000,26.2110000000,24.3238080000,16047771,577568826.6800,7.22,-4.681600,-1.22,8.242400
2023-07-24,25.2044976000,27.3922424000,27.3922424000,25.1625600000,22385868,862853977.4700,8.95,9.991600,2.49,11.497800
2023-07-25,27.9933480000,27.6228992000,28.4826200000,27.3503048000,26976663,1074419690.1800,4.13,0.842100,0.23,13.855700
2023-07-26,27.6578472000,27.0427624000,28.0702336000,26.6163968000,18890718,733368835.6600,5.26,-2.100200,-0.58,9.702600
2023-07-27,26.6303760000,25.7217280000,27.1755648000,25.4770920000,14298461,534903959.1900,6.28,-4.885000,-1.32,7.344000
2023-07-28,25.7077488000,25.2743936000,25.7077488000,24.9179240000,9380129,339498928.3400,3.07,-1.739100,-0.45,4.817800
2023-07-31,25.0786848000,24.9598616000,25.3932168000,24.6313504000,11563320,413690337.4000,3.01,-1.244500,-0.31,5.939100
2023-08-01,25.1485808000,24.2119744000,25.1485808000,22.9188984000,17706120,600263737.9900,8.93,-2.996400,-0.75,9.094200
2023-08-02,23.8135672000,23.8974424000,23.9952968000,23.6248480000,7049149,239938940.1400,1.53,-1.299100,-0.31,3.620600
