日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,15.6769470000,16.0949989200,16.3135260600,15.5534316600,59912487,1003603114.6100,0.00,1.013700,0.00,2.988200
2023-05-29,16.5320532000,17.3966605800,17.7006983400,16.4275402200,112730515,2056149056.8700,7.91,8.087400,1.30,5.622600
2023-05-30,17.4061617600,19.1353765200,19.1353765200,16.3515307800,139050629,2634119181.4000,16.00,9.994500,1.74,6.935400
2023-05-31,19.2873954000,19.8004591200,19.8479650200,18.8598423000,108975794,2223730378.6800,5.16,3.475700,0.67,5.435400
2023-06-01,19.1828824200,19.4774190000,20.2755181200,18.7268257800,98248644,2016454600.2800,7.82,-1.631500,-0.32,4.900300
2023-06-02,19.4774190000,18.9073482000,19.8574662000,18.8598423000,57760884,1168550120.6400,5.12,-2.926800,-0.57,2.880900
2023-06-05,18.9169396000,19.3381670000,19.3764604000,18.5052855500,65903944,1307538611.2700,4.61,2.278500,0.43,3.287100
2023-06-06,19.2424335000,18.9743797000,20.1423284000,18.4574188000,82759778,1672424181.7600,8.71,-1.881200,-0.36,4.127800
2023-06-07,18.6680325000,18.5244322500,19.0413931500,18.2850985000,57853122,1123426566.4400,3.99,-2.371300,-0.45,2.885500
2023-06-08,18.1893650000,18.0266180500,18.3521119500,17.4809371000,65715098,1228385122.5400,4.70,-2.687300,-0.50,3.277700
2023-06-09,18.0457647500,18.9456596500,19.0126731000,17.6724041000,88321849,1702356022.7900,7.43,5.098200,0.92,4.405200
2023-06-12,18.8882195500,18.7158992500,19.2615802000,18.6201657500,57975022,1140877424.6100,3.39,-1.212700,-0.23,2.891600
2023-06-13,18.7158992500,19.2711535500,20.0083015000,18.6488858000,90113921,1830869671.9600,7.26,2.966800,0.56,4.494600
2023-06-14,19.0126731000,19.3764604000,20.1997685000,18.6871792000,70595724,1421872833.7000,7.85,0.546400,0.11,3.521100
2023-06-15,19.0605398500,19.3190203000,19.5487807000,18.6680325000,50306110,1005726510.6600,4.55,-0.296400,-0.06,2.509100
2023-06-16,19.1371266500,19.3381670000,19.4243271500,18.4574188000,57670578,1147179531.0500,5.00,0.099100,0.02,2.876400
2023-06-19,19.3668870500,20.1231817000,20.1519017500,19.2424335000,72896851,1505282882.8400,4.70,4.059400,0.79,3.635900
2023-06-20,20.0370215500,21.3868639000,21.6836377500,19.8838479500,80337748,1769228442.2900,8.94,6.279700,1.26,4.007000
2023-06-21,20.9369164500,19.6349408500,21.2815570500,19.5583540500,77839107,1646505914.8800,8.06,-8.191600,-1.75,3.882400
