日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,9.4211218800,9.2831556600,9.4408313400,9.1353347100,7292557,68365628.8000,0.00,-1.257900,0.00,2.319300
2023-05-29,9.2535914700,9.0564968700,9.2930103900,9.0466421400,7304137,67665692.2900,2.65,-2.441600,-0.23,2.323000
2023-05-30,9.0959157900,9.0466421400,9.1156252500,8.9283853800,5715500,52246711.0000,2.07,-0.108800,-0.01,1.817700
2023-05-31,9.0663516000,8.9678043000,9.0663516000,8.9086759200,5632593,51250973.3000,1.74,-0.871500,-0.08,1.791300
2023-06-01,8.9579495700,8.9678043000,9.0466421400,8.9382401100,4816600,43934131.0000,1.21,0.000000,0.00,1.531800
2023-06-02,8.9973684900,9.1254799800,9.1747536300,8.9973684900,6200217,57322856.0800,1.98,1.758200,0.16,1.971900
2023-06-05,9.1451894400,9.0762063300,9.1648989000,9.0170779500,4877880,44873615.2000,1.62,-0.540000,-0.05,1.551300
2023-06-06,9.0762063300,8.8988211900,9.0959157900,8.8594022700,6621402,60120028.0700,2.61,-1.954400,-0.18,2.105800
2023-06-07,8.9579495700,8.6524529400,8.9579495700,8.6228887500,8935280,78937146.6000,3.77,-2.768500,-0.25,2.841700
2023-06-08,8.6721624000,8.6524529400,8.7510002400,8.5440509100,5755480,50533885.0000,2.39,0.000000,0.00,1.830400
2023-06-09,8.6031792900,8.6721624000,8.7017265900,8.5933245600,4005433,35202301.1200,1.25,0.227800,0.02,1.273900
2023-06-12,8.6721624000,8.7510002400,8.7904191600,8.5933245600,4592736,40549662.7300,2.27,0.909100,0.08,1.460600
2023-06-13,8.7805644300,8.7608549700,8.8101286200,8.7115813200,3715763,33036877.6700,1.13,0.112600,0.01,1.181700
2023-06-14,8.7608549700,8.7017265900,8.7904191600,8.6721624000,4128780,36533000.8000,1.35,-0.674900,-0.06,1.313100
2023-06-15,8.7115813200,8.9086759200,8.9185306500,8.6425982100,7166684,64226889.8800,3.17,2.378300,0.21,2.279200
2023-06-16,8.9086751600,8.9580580600,8.9778112200,8.8592922600,8157740,73658666.6400,1.33,0.554300,0.05,2.594400
2023-06-19,8.9679346400,8.9778112200,9.0271941200,8.9185517400,5468523,49685488.6700,1.21,0.220500,0.02,1.739200
2023-06-20,8.9481814800,8.9481814800,9.0173175400,8.9185517400,3749620,33981978.6600,1.10,-0.330000,-0.03,1.192500
2023-06-21,8.9481814800,8.7802796200,9.0271941200,8.7802796200,6341932,57180362.2400,2.76,-1.876400,-0.17,2.016900
2023-06-26,8.7802796200,8.6913904000,8.8395391000,8.6716372400,5376076,47608829.2000,1.91,-1.012400,-0.09,1.709800
2023-06-27,8.6913904000,8.9481814800,8.9679346400,8.6716372400,5761454,51843393.0400,3.41,2.954500,0.26,1.832300
2023-06-28,8.9580580600,8.9481814800,8.9679346400,8.7802796200,4969860,44744223.4000,2.10,0.000000,0.00,1.580600
2023-06-29,8.9284283200,9.0469472800,9.0864536000,8.8987985800,6490041,59406058.5600,2.10,1.103800,0.10,2.064000
2023-06-30,9.0864536000,9.2741086200,9.2741086200,9.0370707000,10755024,99830795.8200,2.62,2.510900,0.23,3.345400
2023-07-03,9.2642320400,9.4716402200,9.5210231200,9.2148491400,17445433,166718553.4100,3.30,2.129900,0.20,5.548200
2023-07-04,9.4617636400,9.5210231200,9.5210231200,9.3432446800,11067897,105925091.5400,1.88,0.521400,0.05,3.520000
2023-07-05,9.4716402200,9.4222573200,9.5210231200,9.3629978400,7061510,67388280.7000,1.66,-1.037300,-0.10,2.245800
2023-07-06,9.4913933800,9.4518870600,9.6395420800,9.4123807400,23402993,224806993.7000,2.41,0.314500,0.03,7.442900
2023-07-07,9.4518870600,9.3926275800,9.4815168000,9.3531212600,9894740,94371136.6000,1.36,-0.627000,-0.06,3.146900
2023-07-10,9.4123807400,9.5210231200,9.5901591800,9.4025041600,11347000,109544479.0000,2.00,1.367000,0.13,3.608700
2023-07-11,9.5210231200,9.5802826000,9.6000357600,9.4716402200,7766500,75016625.0000,1.35,0.622400,0.06,2.470000
2023-07-12,9.6197889200,9.5111465400,9.6592952400,9.4913933800,7334631,71068775.0400,1.75,-0.721600,-0.07,2.332700
2023-07-13,9.5111465400,9.5210231200,9.6000357600,9.4815168000,6814676,65687816.7100,1.25,0.103800,0.01,2.167300
2023-07-14,9.5605294400,9.4123807400,9.5704060200,9.4025041600,7386020,70661865.6000,1.76,-1.141100,-0.11,2.349000
2023-07-17,9.4321339000,9.4716402200,9.4815168000,9.3728744200,5651136,53950491.8000,1.15,0.629600,0.06,1.797200
2023-07-18,9.4716402200,9.5111465400,9.5506528600,9.3531212600,5694722,54526165.6600,2.09,0.417100,0.04,1.811100
2023-07-19,9.4815168000,9.4321339000,9.5308997000,9.3728744200,4676763,44658287.0200,1.66,-0.830700,-0.08,1.487400
2023-07-20,9.4617636400,9.3136149400,9.4716402200,9.2938617800,6228860,59179564.5800,1.88,-1.256500,-0.12,1.981000
2023-07-21,9.2741086200,9.2049725600,9.3234915200,9.1654662400,5698500,53243003.8000,1.70,-1.166500,-0.11,1.812300
