日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,12.1076802000,12.2266746000,12.2465070000,11.9886858000,2630902,32268436.6600,0.00,0.817700,0.00,0.731000
2023-05-29,12.2960880000,12.2365908000,12.3258366000,12.1671774000,3293853,40654435.9900,1.30,0.081100,0.01,0.915200
2023-05-30,12.2762556000,12.2762556000,12.2861718000,12.0481830000,3291203,40439796.0500,1.94,0.324100,0.04,0.914500
2023-05-31,12.2762556000,12.3555852000,12.4349148000,12.1473450000,4639050,57833955.0000,2.34,0.646200,0.08,1.289000
2023-06-01,12.3853338000,12.3060042000,12.4249986000,12.1969260000,3383803,42089335.2900,1.85,-0.401300,-0.05,0.940200
2023-06-02,12.3555852000,12.7918980000,12.8216466000,12.2068422000,11076453,141015677.7600,5.00,3.948400,0.49,3.077700
2023-06-05,12.7918980000,12.9208086000,13.1290488000,12.5439930000,10691253,139400117.7100,4.57,1.007800,0.13,2.970700
2023-06-06,13.0100544000,12.5241606000,13.0398030000,12.4448310000,6914200,88512893.0000,4.60,-3.069800,-0.40,1.921200
2023-06-07,12.5142444000,12.6629874000,12.7918980000,12.4547472000,3221800,41059275.0000,2.69,1.108500,0.14,0.895200
2023-06-08,12.6629874000,12.4944120000,12.6927360000,12.2861718000,4948600,62041710.0000,3.21,-1.331200,-0.17,1.375000
2023-06-09,12.3952500000,12.4745796000,12.6729036000,12.3456690000,3525501,44387478.6600,2.62,-0.158700,-0.02,0.979600
2023-06-12,12.5836578000,12.7324008000,12.7918980000,12.4249986000,4793900,61287677.0000,2.94,2.066800,0.26,1.332000
2023-06-13,12.6729036000,12.7423170000,12.8414790000,12.6431550000,3791300,48769629.0000,1.56,0.077900,0.01,1.053400
2023-06-14,12.6431550000,12.7918980000,12.9208086000,12.6431550000,4412600,56938044.0000,2.18,0.389100,0.05,1.226100
2023-06-15,12.7720656000,12.6134064000,12.8811438000,12.5935740000,4291800,55005009.0000,2.25,-1.395300,-0.18,1.192500
