日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,14.3915068500,14.2035765200,14.4310711300,14.0651015400,3521795,50497049.1500,0.00,-1.373600,0.00,0.875800
2023-05-29,14.2134675900,13.9068444200,14.3024872200,13.9068444200,4007523,56762130.1400,2.79,-2.089100,-0.30,0.996600
2023-05-30,13.9562997700,14.1837943800,14.2530318700,13.8474980000,4769600,67629799.2000,2.92,1.991500,0.28,1.186100
2023-05-31,14.7475853700,14.1343390300,14.8267139300,13.9562997700,7510400,108354238.7700,6.14,-0.348700,-0.05,1.867700
2023-06-01,14.0453194000,14.1145568900,14.3420515000,14.0057551200,4332076,62152482.4500,2.38,-0.140000,-0.02,1.077300
2023-06-02,14.0749926100,14.6091103900,14.6882389500,14.0749926100,7781629,114218249.7800,4.34,3.503900,0.49,1.935100
2023-06-05,14.6190014600,14.3123782900,14.6486746700,14.2728140100,5067073,73799583.9900,2.57,-2.031100,-0.30,1.260100
2023-06-06,14.2728140100,13.8376069300,14.3123782900,13.8079337200,5162100,73095888.0000,3.52,-3.317200,-0.47,1.283700
2023-06-07,13.7980426500,13.6002212500,13.8672801400,13.4518552000,4878200,67014477.0000,3.00,-1.715500,-0.24,1.213100
2023-06-08,13.6496766000,13.5013105500,13.8277158600,13.4914194800,3378441,46513480.6500,2.47,-0.727300,-0.10,0.840200
2023-06-09,13.5804391100,13.3232712900,13.7189140900,13.2738159400,4390799,59559329.5300,3.30,-1.318700,-0.18,1.091900
2023-06-12,13.2441427300,13.6298944600,13.7288051600,13.1551231000,4957008,67474573.7000,4.31,2.301400,0.31,1.232700
2023-06-13,13.5705480400,13.5804391100,13.6793498100,13.4815284100,2682407,36848376.5000,1.45,-0.362800,-0.05,0.667100
2023-06-14,13.5507659000,13.2837070100,13.6002212500,13.2738159400,3318223,44888391.8900,2.40,-2.185000,-0.30,0.825200
2023-06-15,13.2540338000,13.5507659000,13.6002212500,13.2243605900,4777586,65095907.3400,2.83,2.010400,0.27,1.179700
2023-06-16,13.5309837600,13.5309837600,13.6397855300,13.4617462700,3471813,47495268.5600,1.31,-0.146000,-0.02,0.857300
2023-06-19,13.6002212500,13.3826177100,13.6002212500,13.3628355700,3271739,44444560.1300,1.75,-1.096500,-0.15,0.807900
2023-06-20,13.3331623600,13.2639248700,13.4518552000,13.2639248700,2471321,33375108.9100,1.40,-0.886900,-0.12,0.610200
2023-06-21,13.2144695200,13.0364302600,13.4023998500,13.0265391900,3701441,49175856.0300,2.83,-1.715100,-0.23,0.914000
2023-06-26,12.8880642100,12.9869749100,13.1847963100,12.8880642100,3218858,42396779.3900,2.28,-0.379400,-0.05,0.794800
2023-06-27,12.9869749100,13.1452320300,13.1946873800,12.9375195600,2508942,33246474.4600,1.98,1.218600,0.16,0.619500
2023-06-28,13.1452320300,13.2540338000,13.3529445000,13.0759945400,3672935,49178734.1900,2.11,0.827700,0.11,0.906900
2023-06-29,13.2243605900,13.4221819900,13.5705480400,13.1650141700,4328142,58646073.7400,3.06,1.268700,0.17,1.068700
2023-06-30,13.4518552000,13.8277158600,14.0255372600,13.4518552000,7175853,100212609.7800,4.27,3.021400,0.41,1.771900
2023-07-03,13.8573890700,13.7980426500,14.1343390300,13.7881515800,5049172,71191028.4100,2.50,-0.214600,-0.03,1.246800
2023-07-04,13.6793498100,13.7386962300,13.9167354900,13.5804391100,5855653,81424120.1200,2.44,-0.430100,-0.06,1.445900
2023-07-05,13.6694587400,13.6793498100,13.8573890700,13.6298944600,2873854,39867007.4600,1.66,-0.432000,-0.06,0.709600
2023-07-06,13.6793498100,13.6496766000,13.7189140900,13.5013105500,2938295,40488379.2400,1.59,-0.216900,-0.03,0.725500
2023-07-07,13.5606569700,13.4716373400,13.6298944600,13.3628355700,2553600,34830453.5800,1.96,-1.304300,-0.18,0.630500
2023-07-10,13.3925087800,13.5013105500,13.7485873000,13.3628355700,3662795,50314476.7000,2.86,0.220300,0.03,0.904400
2023-07-11,13.5408748300,13.4122909200,13.6002212500,13.2935980800,2461000,33307684.0000,2.27,-0.659300,-0.09,0.607700
2023-07-12,13.4122909200,13.2144695200,13.4716373400,13.1946873800,2798993,37638171.2800,2.06,-1.474900,-0.20,0.691100
2023-07-13,13.2144695200,13.2540338000,13.5013105500,13.1847963100,3302200,44367453.0000,2.40,0.299400,0.04,0.815400
2023-07-14,13.2342516600,13.0166481200,13.3034891500,12.9276284900,4601000,60679282.0000,2.84,-1.791000,-0.24,1.136100
2023-07-17,13.0067570500,13.0562124000,13.0562124000,12.7199160200,3509581,45824610.5100,2.58,0.304000,0.04,0.866600
2023-07-18,13.0364302600,13.0957766800,13.1452320300,12.8583910000,3223700,42406079.0000,2.20,0.303000,0.04,0.796000
2023-07-19,13.1155588200,13.0067570500,13.1353409600,12.9177374200,2092091,27477233.0100,1.66,-0.679800,-0.09,0.516600
