日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,17.1726600000,16.9837607400,17.2070053200,16.6660665300,4460336,87599182.0800,0.00,-0.951400,0.00,0.898900
2023-05-29,17.0181060600,16.6746528600,17.0782103700,16.5887895600,4334934,84443074.7800,2.88,-1.820000,-0.31,0.873600
2023-05-30,16.7519298300,16.6918255200,16.7519298300,16.3054406700,5038700,97007973.8800,2.68,0.103000,0.02,1.015400
2023-05-31,16.8034478100,16.3140270000,16.8120341400,16.2453363600,4884000,93219724.5800,3.40,-2.263400,-0.38,0.984200
2023-06-01,16.2882680100,16.5200989200,16.6574802000,16.1766457200,4620321,88774050.2500,2.95,1.263200,0.21,0.931100
2023-06-02,16.5200989200,17.3787319200,17.4302499000,16.5200989200,7398160,148135185.9600,5.51,5.197500,0.86,1.490900
2023-06-05,17.5332858600,17.4388362300,17.9024980500,17.1726600000,6702145,136936944.6700,4.20,0.345800,0.06,1.350600
2023-06-06,17.4731815500,17.7822894300,18.2116059300,17.3443866000,9187445,191357270.9800,4.97,1.969500,0.34,1.851500
2023-06-07,17.7994620900,17.1469010100,17.8681527300,17.0610377100,6469204,130669999.1500,4.54,-3.573200,-0.64,1.303700
2023-06-08,17.1297283500,17.1898326600,17.5590448500,17.1297283500,3538700,71334188.9600,2.50,0.250400,0.04,0.713100
2023-06-09,17.1812463300,17.1383146800,17.3959045800,17.0009334000,3760358,75115173.5600,2.30,-0.299700,-0.05,0.757800
2023-06-12,17.1469010100,17.2413506400,17.3615592600,17.0009334000,3104200,62185575.0000,2.10,0.601200,0.10,0.625600
2023-06-13,17.2499369700,16.9923470700,17.4302499000,16.9580017500,4325146,86484403.6400,2.74,-1.444200,-0.25,0.871600
2023-06-14,17.0009334000,16.7433435000,17.1297283500,16.6574802000,4899371,95927050.3400,2.78,-1.465400,-0.25,0.987300
2023-06-15,16.8120341400,17.1640736700,17.2413506400,16.5887895600,4121248,81537609.8800,3.90,2.512800,0.42,0.830500
2023-06-16,17.1726600000,17.3272139400,17.4560088900,17.1554873400,4223844,84983283.0000,1.75,0.950500,0.16,0.851200
2023-06-19,17.3358002700,16.9751744100,17.3615592600,16.9236564300,4109500,81741330.0000,2.53,-2.031700,-0.35,0.828200
2023-06-20,16.9837607400,16.8463794600,17.0266923900,16.7948614800,2638914,51871606.2400,1.37,-0.758700,-0.13,0.531800
2023-06-21,16.9751744100,16.5029262600,17.0095197300,16.4857536000,3677514,71584591.8700,3.11,-2.038700,-0.34,0.741100
2023-06-26,16.4428219500,16.5286852500,16.7776888200,16.3311996600,3979512,76470575.6200,2.71,0.156100,0.03,0.802000
2023-06-27,16.5286852500,16.7862751500,16.8978974400,16.4084766300,3379065,65842660.2000,2.96,1.558400,0.26,0.681000
2023-06-28,16.7948614800,16.7261708400,16.8721384500,16.5544442400,3182690,61876659.9500,1.89,-0.358100,-0.06,0.641400
2023-06-29,16.6574802000,16.3827176400,16.6574802000,16.3140270000,3990395,76433261.3900,2.05,-2.053400,-0.34,0.804200
2023-06-30,16.4428219500,16.9150701000,17.1469010100,16.3655449800,7323600,143618634.0000,4.77,3.249500,0.53,1.472400
2023-07-03,16.9150701000,17.0867967000,17.2928686200,16.9150701000,5912318,117716592.1200,2.23,1.015200,0.17,1.191500
2023-07-04,17.0610377100,16.8377931300,17.1297283500,16.7261708400,5445238,106835528.4000,2.36,-1.457300,-0.25,1.097600
2023-07-05,16.8463794600,16.9064837700,16.9837607400,16.6574802000,3902756,76580895.6400,1.94,0.408000,0.07,0.786700
2023-07-06,16.8292068000,16.7175845100,16.8721384500,16.6746528600,3076614,60012384.6700,1.17,-1.117300,-0.19,0.620200
2023-07-07,16.6660665300,16.5029262600,16.7605161600,16.3998903000,3660853,70483974.6400,2.16,-1.284000,-0.21,0.737900
2023-07-10,16.5115125900,17.0009334000,17.2070053200,16.5115125900,7495457,148267419.4300,4.21,3.017700,0.50,1.510900
2023-07-11,17.0009334000,16.7776888200,17.0009334000,16.4599946100,6540269,126846460.5000,3.18,-1.313100,-0.22,1.318400
2023-07-12,16.6918255200,17.1726600000,17.4731815500,16.5372715800,10125361,201471568.7300,5.58,2.354100,0.39,2.041000
2023-07-13,17.1554873400,17.4044909100,17.5762175100,17.0696240400,10317354,207850432.4800,2.95,1.350000,0.23,2.079700
2023-07-14,17.4645952200,17.0696240400,17.4903542100,17.0181060600,8029969,160658198.5500,2.71,-1.924000,-0.33,1.618700
2023-07-17,17.0266923900,16.8721384500,17.1554873400,16.7519298300,4642178,91294722.0400,2.36,-1.156900,-0.20,0.935800
2023-07-18,16.9923470700,18.1600879500,18.3575735400,16.8893111100,20298630,418903192.0200,8.70,7.633600,1.29,4.091700
2023-07-19,18.0742246500,18.3919188600,18.6580950900,17.7307714500,24264860,518724321.5500,5.11,1.276600,0.23,4.891200
2023-07-20,18.3747462000,19.0959979200,19.9202856000,18.3489872100,24041612,538231603.4900,8.54,3.828200,0.70,4.846200
2023-07-21,18.8899260000,18.9070986600,19.3965194700,18.6752677500,14045676,311292107.4400,3.78,-0.989200,-0.19,2.831300
2023-07-24,18.7611310500,17.8767390600,18.8384080200,17.8166347500,13242764,278553642.9800,5.40,-5.449600,-1.03,2.669400
2023-07-25,17.9969476800,18.2287785900,18.9586166400,17.9540160300,11715154,249740527.7800,5.62,1.969300,0.35,2.361500
2023-07-26,18.2287785900,18.7611310500,19.0273072800,18.2030196000,15197832,330310342.3700,4.52,2.920400,0.53,3.063500
2023-07-27,18.5722317900,18.3747462000,18.6580950900,18.2888829000,7852437,168932089.0900,1.97,-2.059500,-0.39,1.582900
2023-07-28,18.3060555600,18.4176778500,18.5293001400,17.8939117200,8143838,173716479.6100,3.46,0.233600,0.04,1.641600
2023-07-31,18.4777821600,18.4434368400,18.6838540800,18.2116059300,9463982,202798934.1300,2.56,0.139900,0.03,1.907700
2023-08-01,18.3232282200,18.3575735400,18.3661598700,17.9540160300,7553201,159651249.8500,2.23,-0.465500,-0.09,1.522600
2023-08-02,18.8298216900,18.1600879500,18.9843756300,18.0742246500,8132159,174590491.9200,4.96,-1.075800,-0.20,1.639300
2023-08-03,17.9626023600,18.1171563000,18.1858469400,17.8939117200,4915915,103063257.3500,1.61,-0.236400,-0.04,0.990900
2023-08-04,18.1171563000,17.6534944800,18.2373649200,17.5590448500,7999503,166498377.5300,3.74,-2.559200,-0.46,1.612500
2023-08-07,17.6449081500,17.5161132000,17.7393577800,17.3787319200,5411715,110409598.4000,2.04,-0.778200,-0.14,1.090900
