日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,16.1211315200,15.5495289000,16.4699060000,14.7841626800,23468000,376119377.7400,0.00,0.500900,0.00,22.040600
2023-05-29,14.9197972000,15.1232489800,15.3945180200,14.8616681200,10366404,161223116.1200,3.43,-2.741400,-0.43,9.735900
2023-05-30,15.1135608000,15.0166790000,15.3460771200,14.4450763800,9319780,142347159.7000,5.96,-0.704700,-0.11,8.752900
2023-05-31,14.9572446000,14.4817825200,15.3732739200,14.2638624000,11255329,167945230.7700,7.39,-3.562000,-0.53,10.570700
2023-06-01,14.4619716000,13.8082112400,14.4619716000,13.6001965800,8907688,125457537.9800,5.95,-4.651200,-0.67,8.365900
2023-06-02,13.7784948600,13.6794402600,13.7784948600,13.5308583600,4444100,61115158.8000,1.79,-0.932600,-0.13,4.173800
2023-06-05,13.6695348000,13.7289675600,13.7487784800,13.5803856600,3159800,43667978.4000,1.23,0.362100,0.05,2.967600
2023-06-06,13.6596293400,13.1841672600,13.7388730200,13.1544508800,4782940,64469122.6000,4.26,-3.968300,-0.54,4.492000
2023-06-07,13.1346399600,13.3327491600,13.3525600800,13.0851126600,2164780,28956439.0000,2.03,1.127000,0.15,2.033100
2023-06-08,13.3327491600,13.2039781800,13.4119928400,13.1940727200,1952520,26179456.6000,1.63,-0.965800,-0.13,1.833800
2023-06-09,13.3129382400,13.4417092200,13.5110474400,13.2535054800,2278770,30819921.9000,1.95,1.800500,0.24,2.140200
2023-06-12,13.4714256000,13.6695348000,13.7091566400,13.3228437000,3129572,43004050.2600,2.87,1.694900,0.23,2.939200
2023-06-13,13.7586839400,13.7289675600,14.0657532000,13.7091566400,3771540,52699069.5000,2.61,0.434800,0.06,3.542100
2023-06-14,13.7190621000,13.8181167000,13.8775494600,13.6101020400,2672925,37128534.6500,1.95,0.649400,0.09,2.510300
2023-06-15,13.7983057800,14.4124443000,14.8284736200,13.7784948600,6806861,98135456.9200,7.60,4.301100,0.59,6.392800
