日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,30.0645037900,30.3041411500,30.4638993900,29.6351535200,1751707,52794819.8200,0.00,0.964700,0.00,1.544900
2023-05-29,30.2042922500,30.0844735700,30.6136727400,29.5952139600,1712400,51541388.0000,3.36,-0.724900,-0.22,1.510200
2023-05-30,29.9546700000,30.0645037900,30.1743375800,29.3455917100,1820916,54374964.6000,2.75,-0.066400,-0.02,1.606000
2023-05-31,30.0645037900,30.0145793400,30.5138238400,29.9347002200,1274400,38537720.0000,1.93,-0.166100,-0.05,1.124000
2023-06-01,29.8448362100,29.3555766000,29.9147304400,28.8563321000,1864785,55210076.4000,3.53,-2.195600,-0.66,1.644600
2023-06-02,29.2557277000,29.2357579200,29.9047455500,29.2357579200,1642985,48543634.5000,2.28,-0.408200,-0.12,1.449000
2023-06-05,29.2357579200,28.8563321000,29.5552744000,28.7864378700,1260200,36591973.0000,2.63,-1.297800,-0.38,1.111400
2023-06-06,28.7564832000,27.4884021700,29.0859845700,27.4584475000,1873885,52704441.7500,5.64,-4.740500,-1.37,1.652700
2023-06-07,27.4684323900,27.6182057400,27.7979337600,27.1589008000,1356200,37364676.0000,2.32,0.472200,0.13,1.196100
2023-06-08,27.5083719500,27.6980848600,27.8977826600,27.3585986000,895800,24775926.0000,1.95,0.289200,0.08,0.790000
2023-06-09,27.8678279900,27.6281906300,28.0475560100,27.3585986000,1796000,49732837.0000,2.49,-0.252300,-0.07,1.584000
2023-06-12,27.5183568400,27.0191123400,27.5383266200,26.8094296500,1643200,44590393.1400,2.64,-2.204600,-0.61,1.449200
2023-06-13,27.0290972300,27.0989914600,27.2287950300,26.7395354200,982400,26540128.0000,1.81,0.295600,0.08,0.866400
2023-06-14,27.0890065700,26.6596563000,27.0890065700,26.5398376200,1213300,32493718.0000,2.03,-1.621200,-0.44,1.070100
2023-06-15,26.7994447600,27.1489159100,27.3086741500,26.4100340500,1639900,44320600.0000,3.37,1.835200,0.49,1.446300
2023-06-16,27.2387799200,27.3186590400,27.7280395300,27.0690367900,1381400,37966163.0000,2.43,0.625200,0.17,1.218300
2023-06-19,27.2587497000,27.6681301900,28.3770573800,27.1489159100,2191500,61274182.0000,4.50,1.279200,0.35,1.932800
2023-06-20,27.8079186500,28.1374200200,28.3970271600,27.4684323900,1832785,51386239.6000,3.36,1.696100,0.47,1.616400
2023-06-21,27.8877977700,28.3071631500,28.8263774300,27.6281906300,2621800,74338474.0000,4.26,0.603300,0.17,2.312300
2023-06-26,27.8378733200,27.2587497000,28.4868911700,26.9691878900,2177600,60065879.0000,5.36,-3.703700,-1.05,1.920500
2023-06-27,27.2387799200,27.8877977700,27.9077675500,27.0590519000,1368300,37868055.0000,3.11,2.307700,0.63,1.206800
2023-06-28,27.7579942000,28.5567854000,28.7664680900,27.2088252500,2331700,65737365.0000,5.59,2.398900,0.67,2.056400
2023-06-29,28.3970271600,29.1259241300,29.2457428100,28.2572387000,2381700,69031372.0000,3.46,1.993000,0.57,2.100500
2023-06-30,29.1359090200,29.3256219300,29.7749419800,29.1259241300,2484700,73292563.0000,2.23,0.685600,0.20,2.197100
2023-07-03,29.1958183600,29.3555766000,29.7050477500,29.1558788000,2135500,62926739.0000,1.87,0.102100,0.03,1.883400
2023-07-04,29.4055010500,29.6151837400,29.7250175300,29.0360601200,1477300,43746439.0000,2.35,0.884400,0.26,1.302900
2023-07-05,29.5952139600,29.4554255000,29.7549722000,29.2157881400,1504000,44481447.0000,1.82,-0.539400,-0.16,1.326400
2023-07-06,29.4554255000,29.3555766000,29.6651081900,29.1858334700,1305100,38502703.0000,1.63,-0.339000,-0.10,1.151000
2023-07-07,29.3655614900,28.7764529800,29.3755463800,28.7365134200,1136000,32903252.0000,2.18,-1.972800,-0.58,1.001900
2023-07-10,29.2058032500,28.8463472100,29.2257730300,28.6566343000,963200,27874146.0000,1.98,0.242900,0.07,0.849500
2023-07-11,28.9062565500,29.0061054500,29.4055010500,28.7464983100,1122900,32682543.0000,2.28,0.553800,0.16,0.990300
2023-07-12,29.0460450100,28.6965738600,29.3455917100,28.6166947400,1318000,38274286.0000,2.51,-1.067100,-0.31,1.162400
2023-07-13,28.7065587500,28.0675257900,28.8463472100,27.9776617800,1575500,44734521.0000,3.03,-2.192100,-0.63,1.389500
2023-07-14,28.1573898000,27.6681301900,28.1773595800,27.6281906300,1081100,30132083.0000,1.96,-1.423000,-0.40,0.953500
2023-07-17,28.3670724900,28.0874955700,29.1758485800,27.8778128800,3144200,89236585.5200,4.69,1.515700,0.42,2.773000
2023-07-18,28.3371178200,28.5867400700,28.8363623200,27.3286439300,2576095,72902784.2900,5.37,1.777500,0.50,2.272000
2023-07-19,28.5068609500,28.0375711200,28.7764529800,27.9177524400,1462000,41301582.0000,3.00,-1.921100,-0.55,1.289400
2023-07-20,28.2073142500,27.6581453000,28.3570876000,27.6281906300,1314665,36810968.4500,2.60,-1.353300,-0.38,1.159500
