日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,18.2188710400,18.2188710400,18.4782144000,18.1297217600,2065830,46561997.9500,0.00,0.357100,0.00,2.024400
2023-05-29,18.1783486400,18.2756024000,18.4539009600,18.1540352000,1943630,43942964.2000,1.65,0.311400,0.06,1.904700
2023-05-30,18.1864531200,18.5187368000,18.5430502400,18.1864531200,2253105,51127655.5000,1.95,1.330400,0.24,2.208000
2023-05-31,18.5106323200,18.6970353600,18.7618712000,18.3485427200,2249530,51712055.8000,2.23,0.962800,0.18,2.204500
2023-06-01,18.6970353600,18.5187368000,18.7051398400,18.4376920000,2325501,53133896.4600,1.43,-0.953600,-0.18,2.278900
2023-06-02,18.5754681600,18.6403040000,18.7699756800,18.3809606400,1617340,37021914.2500,2.10,0.656500,0.12,1.584900
2023-06-05,18.5673636800,18.9320652800,18.9969011200,18.5268412800,1786595,41410230.2000,2.52,1.565200,0.29,1.750800
2023-06-06,18.8915428800,18.2999158400,18.8915428800,18.2431844800,2230521,51115230.0800,3.42,-3.339000,-0.63,2.185800
2023-06-07,18.4376920000,18.7213488000,18.9077518400,18.3809606400,2891420,66920475.0000,2.88,2.302900,0.42,2.832200
2023-06-08,18.7132443200,18.3647516800,18.7132443200,18.2756024000,1678582,38209169.7800,2.34,-1.904800,-0.36,1.644200
2023-06-09,18.3809606400,18.4052740800,18.5592592000,18.2350800000,1439150,32634621.8500,1.77,0.220700,0.04,1.409700
2023-06-12,18.4539009600,18.5268412800,18.6240950400,18.3809606400,1592292,36422646.9400,1.32,0.660500,0.12,1.559700
2023-06-13,18.5268412800,18.5835726400,18.6403040000,18.4539009600,1702958,39012204.3600,1.01,0.306200,0.06,1.668100
2023-06-14,18.6020290400,18.5650836000,18.6574472000,18.3988291200,2266571,45395130.7600,1.39,-0.099400,-0.02,2.018300
2023-06-15,18.5189018000,18.4450109200,18.7313380800,18.4080654800,1668976,33499422.7900,1.74,-0.646800,-0.12,1.486200
2023-06-16,18.4265382000,18.7775198800,18.9807198000,18.2879928000,2929929,59267499.6200,3.76,1.802700,0.33,2.609000
