日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,19.1741028000,19.1741028000,19.1741028000,18.8357362800,1241100,25131346.0000,0.00,0.542100,0.00,2.414200
2023-05-29,19.1647037300,18.8357362800,19.2304972200,18.8357362800,1299160,26221755.2000,2.06,-1.764700,-0.34,2.527100
2023-05-30,18.8451353500,18.8451353500,18.9861214000,18.5913604600,1607531,32062999.6200,2.10,0.049900,0.01,3.126900
2023-05-31,18.7981400000,18.4315762700,18.8451353500,18.4315762700,1380725,27331738.7500,2.19,-2.194500,-0.41,2.685800
2023-06-01,18.4315762700,18.6007595300,18.6665530200,18.2341958000,1443230,28386258.2000,2.35,0.917900,0.17,2.807300
2023-06-02,18.6007595300,19.0519148900,19.1083093100,18.5819613900,1843388,37099167.3800,2.83,2.425500,0.45,3.585700
2023-06-05,19.0519148900,19.0331167500,19.1365065200,18.8827316300,1202430,24275995.2000,1.33,-0.098700,-0.02,2.338900
2023-06-06,19.0801121000,18.7041493000,19.0895111700,18.6853511600,1339600,26882676.1000,2.12,-1.728400,-0.33,2.605800
2023-06-07,18.7041493000,18.7793418600,18.9861214000,18.6195576700,1082860,21702434.0000,1.96,0.402000,0.08,2.106400
2023-06-08,18.6853511600,18.7135483700,18.9485251200,18.6759520900,1906668,38141359.9600,1.45,-0.350400,-0.07,3.708800
2023-06-09,18.7699427900,18.3375855700,18.7887409300,18.2153976600,1685380,33098560.5000,3.06,-2.009000,-0.38,3.278400
2023-06-12,18.3657827800,18.8921307000,18.9579241900,18.2153976600,1828228,36213245.1400,4.05,3.024100,0.55,3.556200
2023-06-13,18.9015297700,18.9391260500,18.9861214000,18.7041493000,1323590,26589526.6000,1.49,0.248800,0.05,2.574600
2023-06-14,18.9391260500,18.9391260500,18.9485251200,18.7511446500,1149020,23042517.4000,1.04,0.000000,0.00,2.235000
2023-06-15,18.8827316300,19.0143186100,19.0331167500,18.8169381400,1505058,30340161.6800,1.14,0.397000,0.08,2.927600
2023-06-16,19.1769027000,18.9951764400,19.2342899400,18.9377892000,1905966,38002465.4800,1.56,-0.100600,-0.02,3.707400
2023-06-19,18.9760473600,18.8325792600,19.0621282200,18.7751920200,1508900,29788942.0000,1.51,-0.856000,-0.16,2.935100
2023-06-20,18.8230147200,18.8899665000,19.0047409800,18.5552076000,1357964,26700785.8400,2.39,0.304700,0.06,2.641500
2023-06-21,18.8038856400,18.5743366800,18.9856119000,18.5743366800,1199764,23526785.0800,2.18,-1.670900,-0.32,2.333800
2023-06-26,18.5552076000,18.4691267400,19.0429991400,18.4021749600,2239855,43724393.1000,3.45,-0.566400,-0.11,4.356900
2023-06-27,18.4691267400,19.0047409800,19.1290800000,18.3639168000,1982985,39242466.3500,4.14,2.900100,0.54,3.857300
2023-06-28,19.0238700600,19.0812573000,19.1195154600,18.6986757000,1727330,34257075.2000,2.21,0.402600,0.08,3.360000
2023-06-29,19.0812573000,19.7029524000,19.8751141200,18.9951764400,4136270,84882921.6000,4.61,3.258100,0.62,8.045800
2023-06-30,19.7220814800,19.6168715400,19.8272914200,19.5499197600,2426711,49902971.9800,1.41,-0.436900,-0.09,4.720400
2023-07-03,19.5881779200,19.7125169400,19.8751141200,19.5212261400,2359610,48646248.8000,1.80,0.487600,0.10,4.589900
2023-07-04,19.7029524000,19.7699041800,20.0472758400,19.6646942400,1630390,33773471.8000,1.94,0.291100,0.06,3.171400
2023-07-05,19.7794687200,19.6073070000,19.8655495800,19.5116616000,1303120,26750597.8000,1.79,-0.822400,-0.16,2.534800
2023-07-06,19.6073070000,19.5594843000,19.7316460200,19.5212261400,1146760,23512565.8000,1.07,-0.243900,-0.05,2.230700
2023-07-07,19.5594843000,19.6168715400,19.7029524000,19.5116616000,1088350,22338371.0000,0.98,0.293400,0.06,2.117000
2023-07-10,19.6264360800,19.6838233200,19.7316460200,19.4638389000,1007420,20639054.4000,1.37,0.341300,0.07,1.959600
2023-07-11,19.6646942400,19.7125169400,19.7507751000,19.5212261400,1118700,22951474.0000,1.17,0.145800,0.03,2.176100
2023-07-12,19.7029524000,19.4638389000,19.7890332600,19.4255807400,1284480,26328615.5000,1.84,-1.261500,-0.25,2.498500
2023-07-13,19.5307906800,19.3681935000,19.6742587800,19.3203708000,1323800,26957739.5000,1.82,-0.491400,-0.10,2.575000
2023-07-14,19.4160162000,19.3108062600,19.4829679800,19.1769027000,1342010,27179951.0000,1.58,-0.296300,-0.06,2.610400
2023-07-17,19.3108062600,19.3873225800,19.4734034400,19.1386445400,1331755,26836129.5500,1.73,0.396200,0.08,2.590500
2023-07-18,19.3873225800,19.6360006200,19.6551297000,19.1864672400,1452245,29551217.7000,2.42,1.282700,0.25,2.824900
2023-07-19,19.5594843000,19.6742587800,19.8464205000,19.5594843000,1120060,23036796.9000,1.46,0.194800,0.04,2.178700
2023-07-20,19.7029524000,19.5307906800,19.7412105600,19.4638389000,935900,19170394.2000,1.41,-0.729200,-0.14,1.820500
2023-07-21,19.5307906800,19.5786133800,19.6933878600,19.4351452800,1138700,23301328.0000,1.32,0.244900,0.05,2.215000
2023-07-24,19.5307906800,19.4447098200,19.6360006200,19.3777580400,867070,17658268.2000,1.32,-0.683900,-0.13,1.686600
2023-07-25,19.4542743600,19.8846786600,19.8942432000,19.4542743600,2155790,44605905.1100,2.26,2.262700,0.44,4.193400
2023-07-26,19.7794687200,19.8368559600,20.0185822200,19.7316460200,1470976,30590580.9800,1.44,-0.240500,-0.05,2.861300
2023-07-27,19.8751141200,19.7316460200,20.0090176800,19.7029524000,1313020,27264562.2000,1.54,-0.530400,-0.11,2.554100
