日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,38.7972592800,38.7972592800,38.8465068800,38.3934289600,2255000,88387319.1000,0.00,0.101700,0.00,0.382500
2023-05-29,39.2897352800,38.4919241600,39.5458228000,38.4229775200,4470926,176226317.7100,2.89,-0.787000,-0.31,0.758500
2023-05-30,38.4131280000,38.3737299200,38.6101184000,37.6350159200,4498819,173935035.6200,2.53,-0.307100,-0.12,0.763200
2023-05-31,38.1668900000,38.4919241600,38.6593660000,38.0388462400,3462549,135015414.2600,1.62,0.308000,0.12,0.587400
2023-06-01,38.4229775200,38.4820746400,38.7381621600,38.1176424000,3895120,152177853.7600,1.61,-0.025600,-0.01,0.660800
2023-06-02,38.5313222400,38.5017736800,38.6987640800,38.3835794400,3658352,143102447.4500,0.82,0.051200,0.02,0.620600
2023-06-05,38.5116232000,38.3638804000,38.6002688800,38.2259871200,2848469,111039243.1600,0.97,-0.358100,-0.14,0.483200
2023-06-06,38.2555356800,37.2114865600,38.5017736800,37.1129913600,5403254,206463179.3400,3.62,-3.003900,-1.15,0.916600
2023-06-07,37.1917875200,37.3198312800,37.4774236000,37.0341952000,3193314,120697994.7400,1.19,0.291200,0.11,0.541700
2023-06-08,37.2607341600,37.2114865600,37.2902827200,36.6796124800,3538745,132931702.6600,1.64,-0.290300,-0.11,0.600300
2023-06-09,37.1917875200,38.4131280000,38.4623756000,37.0341952000,6478609,248561184.7900,3.84,3.229200,1.20,1.099000
2023-06-12,38.2161376000,37.6350159200,38.3835794400,37.5266712000,6172185,236682288.7100,2.23,-2.025600,-0.78,1.047100
2023-06-13,37.5168216800,37.3395303200,37.5660692800,37.2311856000,3977925,150777216.3700,0.89,-0.785100,-0.30,0.674800
2023-06-14,37.3493798400,37.3789284000,37.5660692800,37.2311856000,3018487,114552422.4800,0.90,0.105500,0.04,0.512100
2023-06-15,37.3789284000,37.7236616000,37.7926082400,37.2607341600,3718928,141895719.5400,1.42,0.922300,0.34,0.630900
2023-06-16,37.8615548800,38.2850842400,38.5017736800,37.8024577600,4976880,193435470.9200,1.85,1.488300,0.56,0.844300
2023-06-19,38.3047832800,38.3047832800,38.9844001600,38.2161376000,5057503,197932715.6900,2.01,0.051500,0.02,0.858000
2023-06-20,38.2653852000,38.7874097600,38.9844001600,38.2358366400,6239627,245545752.9500,1.95,1.260000,0.48,1.058500
2023-06-21,38.6199679200,38.4426765600,38.8563564000,38.4032784800,3557935,139324731.0900,1.17,-0.888800,-0.34,0.603600
2023-06-26,38.3146328000,38.0979433600,38.5608708000,37.9403510400,3721972,144354253.8200,1.61,-0.896700,-0.34,0.631400
2023-06-27,38.2161376000,38.6101184000,38.6593660000,37.9797491200,3213042,125496665.7100,1.78,1.344400,0.51,0.545100
2023-06-28,38.6695171800,38.7883175400,38.9962181700,38.0854154100,4778848,186128801.0700,2.36,0.461500,0.18,0.810700
2023-06-29,38.7091173000,39.1744187100,39.3427192200,38.6101170000,4919408,194499171.0700,1.89,0.995400,0.39,0.834500
2023-06-30,39.2833190400,39.4219194600,39.6595201800,39.0655183800,4793796,191046205.2200,1.52,0.631800,0.25,0.813200
2023-07-03,39.5605198800,39.6496201500,39.7783205400,39.3031191000,5093099,203653654.4300,1.21,0.577600,0.23,0.864000
2023-07-04,39.4714196100,39.9268209900,39.9763211400,39.4615195800,4386582,176298968.6400,1.30,0.699100,0.28,0.744100
2023-07-05,39.8476207500,39.3625192800,39.8476207500,39.2932190700,3618779,144502891.5900,1.39,-1.413300,-0.56,0.613900
2023-07-06,39.3031191000,39.1150185300,39.4912196700,39.0358182900,2647900,104881320.4400,1.16,-0.628800,-0.25,0.449200
2023-07-07,39.1546186500,38.9170179300,39.2536189500,38.7784175100,2921804,115064707.6000,1.21,-0.506200,-0.20,0.495700
2023-07-10,39.1051185000,39.2338188900,39.4516195500,38.9962181700,2587911,102522104.2800,1.17,0.814000,0.32,0.439000
2023-07-11,39.3229191600,40.1050215300,40.2436219500,39.1744187100,5409398,218022412.2100,2.73,2.220500,0.87,0.917700
2023-07-12,40.1050215300,39.5308197900,40.1050215300,39.5011197000,4057170,162835639.3600,1.51,-1.431700,-0.57,0.688300
2023-07-13,39.5803199400,39.9268209900,40.2436219500,39.4021194000,4758726,191290254.6300,2.13,1.001800,0.40,0.807300
2023-07-14,40.5901230000,40.0159212600,40.6891233000,39.9466210500,7320530,297633665.3700,1.86,0.223200,0.09,1.241900
2023-07-17,39.8674208100,39.9763211400,39.9763211400,39.4813196400,4706196,188821137.3200,1.24,-0.099000,-0.04,0.798400
2023-07-18,39.8872208700,40.2931221000,40.5505228800,39.7387204200,4823390,196234388.6300,2.03,0.792500,0.32,0.818200
2023-07-19,41.0851245000,41.2930251300,42.1741278000,40.2931221000,14611308,609575703.4500,4.67,2.481600,1.00,2.478700
2023-07-20,41.8771269000,40.9960242300,42.4711287000,40.7782235700,12616935,531051266.9600,4.10,-0.719300,-0.30,2.140400
2023-07-21,40.9861242000,40.5703229400,41.4712256700,40.3129221600,7031023,289234755.2300,2.83,-1.038400,-0.43,1.192800
2023-07-24,40.3129221600,40.0555213800,40.6792232700,39.8971209000,6546327,265999085.7200,1.93,-1.268900,-0.51,1.110500
2023-07-25,40.2238218900,40.3228221900,40.4218224900,40.0258212900,5666100,230206498.4400,0.99,0.667300,0.27,0.961200
2023-07-26,40.3228221900,39.9268209900,40.3327222200,39.8476207500,4025860,162444846.1200,1.20,-0.982100,-0.40,0.683000
2023-07-27,40.2832220700,40.6099230600,41.2039248600,40.1446216500,8990448,369392896.2600,2.65,1.710900,0.68,1.525200
2023-07-28,40.2931221000,40.2634220100,40.4020224300,39.5803199400,7352525,296901512.8600,2.02,-0.853200,-0.35,1.247300
2023-07-31,40.3921224000,40.2634220100,40.4812226700,40.0753214400,5739753,233388850.3600,1.01,0.000000,0.00,0.973700
2023-08-01,40.3228221900,39.8080206300,40.4119224600,39.7585204800,4363855,176189092.1800,1.62,-1.131100,-0.46,0.740300
2023-08-02,39.6595201800,39.4021194000,39.8575207800,39.2635189800,4869103,194239757.9600,1.49,-1.019600,-0.41,0.826000
2023-08-03,39.4021194000,39.4714196100,39.5209197600,39.1150185300,3219451,127885060.3500,1.03,0.175900,0.07,0.546200
2023-08-04,39.4120194300,39.4813196400,39.7090203300,39.3031191000,3631225,144940835.7400,1.03,0.025100,0.01,0.616000
2023-08-07,39.4912196700,39.2140188300,39.4912196700,38.9962181700,4132446,163540763.4000,1.25,-0.677000,-0.27,0.701000
2023-08-08,39.2140188300,39.4516195500,39.4813196400,38.6299170600,4004989,158065604.5600,2.17,0.605900,0.24,0.679400
2023-08-09,39.3031191000,39.5110197300,39.6595201800,39.2041188000,2917017,116417863.9800,1.15,0.150600,0.06,0.494800
2023-08-10,39.6001200000,39.3526192500,39.6793202400,39.2635189800,2633233,104963575.2400,1.05,-0.400900,-0.16,0.446700
2023-08-11,39.2338188900,38.8477177200,39.4021194000,38.8081176000,3261830,128569734.0900,1.51,-1.283000,-0.50,0.553300
2023-08-14,38.5705168800,39.0655183800,39.1051185000,38.2933160400,3238584,126554309.9800,2.09,0.560700,0.22,0.549400
2023-08-15,39.0358182900,38.7190173300,39.0655183800,38.3824163100,3114239,121540511.7900,1.75,-0.887000,-0.35,0.528300
2023-08-16,38.6794172100,38.2141158000,38.8378176900,38.1547156200,2385600,92652669.5000,1.76,-1.304000,-0.50,0.404700
2023-08-17,38.1943157400,39.4516195500,39.6496201500,37.9765150800,5994394,236371555.3100,4.38,3.238300,1.24,1.016900
2023-08-18,39.4021194000,39.0259182600,39.6694202100,38.9566180500,3730619,148399267.1000,1.81,-1.079000,-0.43,0.632900
2023-08-21,39.3031191000,38.2933160400,39.4813196400,38.2636159500,3813800,149267236.5700,3.12,-1.877200,-0.73,0.647000
2023-08-22,38.2933160400,38.6200170300,38.8279176600,38.0359152600,3700396,143904326.9900,2.07,0.853200,0.33,0.627700
2023-08-23,38.5804169100,37.4518134900,38.6596171500,37.3330131300,5927474,226529345.1000,3.44,-3.024900,-1.17,1.005500
2023-08-24,37.7191143000,37.2934130100,37.7983145400,37.0756123500,3318368,125424128.0700,1.93,-0.422900,-0.16,0.562900
2023-08-25,37.1449125600,36.8182115700,37.4716135500,36.7291113000,3505858,131104068.5500,1.99,-1.274200,-0.48,0.594700
2023-08-28,38.3032160700,36.8182115700,38.5804169100,36.7390113300,4732237,179162146.8000,5.00,0.000000,0.00,0.802800
2023-08-29,36.8281116000,37.8973148400,38.2141158000,36.6796111500,5056569,192349062.7800,4.17,2.930900,1.08,0.857800
2023-08-30,37.8478146900,38.0656153500,38.3428161900,37.7983145400,3617077,139148296.2400,1.44,0.444100,0.17,0.613600
2023-08-31,37.9864151100,37.7587144200,38.1151155000,37.6597141200,2281558,87153638.5600,1.20,-0.806200,-0.31,0.387000
2023-09-01,37.9171149000,37.6795141800,37.9963151400,37.4518134900,2064847,78613573.8200,1.44,-0.209800,-0.08,0.350300
2023-09-04,37.8478146900,38.0854154100,38.1547156200,37.6894142100,2974917,114152990.3800,1.23,1.077200,0.41,0.504700
2023-09-05,38.0953154400,37.8379146600,38.1943157400,37.7884145100,1874434,71890913.8400,1.07,-0.649900,-0.25,0.318000
2023-09-06,37.7191143000,38.4517165200,38.5606168500,37.6003139400,4448579,171514599.4000,2.54,1.622200,0.61,0.754700
2023-09-07,38.4022163700,37.9765150800,38.5903169400,37.9765150800,2724700,105329540.9900,1.60,-1.235800,-0.48,0.462200
2023-09-08,38.1052154700,38.3131161000,38.5012166700,37.8676147500,2517842,97395960.2800,1.67,0.886300,0.34,0.427100
2023-09-11,38.5111167000,38.3329161600,38.5111167000,37.9765150800,3684302,142241573.8900,1.40,0.051700,0.02,0.625000
2023-09-12,38.3131161000,38.3131161000,38.5507168200,38.2141158000,2159661,83731656.2000,0.88,-0.051700,-0.02,0.366400
2023-09-13,38.3131161000,37.7686144500,38.3131161000,37.4320134300,3334785,127240196.6300,2.30,-1.421200,-0.54,0.565700
2023-09-14,37.8082145700,37.6795141800,37.8874148100,37.5211137000,1983504,75418708.8400,0.97,-0.235900,-0.09,0.336500
2023-09-15,37.6993142400,37.6003139400,37.8082145700,37.4419134600,2459169,93426222.1600,0.97,-0.210200,-0.08,0.417200
2023-09-18,37.6003139400,37.7290143300,37.7785144800,37.2439128600,2388800,90581102.0000,1.42,0.342300,0.13,0.405200
2023-09-19,37.6300140300,37.4914136100,37.6300140300,37.3033130400,2314681,87588729.1900,0.87,-0.629800,-0.24,0.392700
2023-09-20,37.3231131000,37.0855123800,37.4716135500,36.9865120800,2011298,75563943.1000,1.29,-1.082700,-0.41,0.341200
2023-09-21,37.6300140300,38.2339158600,38.7091173000,37.5706138500,7764386,299509245.6900,3.07,3.096600,1.15,1.317200
2023-09-22,37.9270149300,38.2636159500,38.3032160700,37.7686144500,4537343,174421640.9900,1.40,0.077700,0.03,0.769700
2023-09-25,37.9765150800,37.5805138800,38.1151155000,37.5706138500,3592792,137035370.2400,1.42,-1.785300,-0.68,0.609500
2023-09-26,37.5607138200,37.2043127400,37.5706138500,37.1746126500,2583568,97311072.2500,1.05,-1.001100,-0.38,0.438300
2023-09-27,37.2340128300,37.3231131000,37.7191143000,37.2043127400,2092987,79091393.1600,1.38,0.319300,0.12,0.355100
2023-09-28,37.6696141500,37.4716135500,37.8181146000,37.3231131000,2342857,88838957.4400,1.33,0.397900,0.15,0.397400
2023-10-09,37.4716135500,37.9567150200,38.2735159800,37.4518134900,4531664,173046660.9500,2.19,1.294600,0.49,0.768800
2023-10-10,38.1250155300,38.0656153500,38.3923163400,38.0062151700,3080052,118675176.8000,1.02,0.286900,0.11,0.522500
2023-10-11,38.2438158900,37.7686144500,38.3626162500,37.6696141500,3143303,120809175.7100,1.82,-0.780200,-0.30,0.533200
2023-10-12,37.9567150200,37.9468149900,38.1151155000,37.5508137900,3026600,115471719.0000,1.49,0.471800,0.18,0.513400
2023-10-13,37.9171149000,37.4815135800,37.9171149000,37.3429131600,2579724,97739548.9600,1.51,-1.226200,-0.47,0.437600
2023-10-16,37.5211137000,37.7290143300,38.2636159500,37.5013136400,3214048,122728497.8400,2.03,0.660300,0.25,0.545200
2023-10-17,37.7785144800,37.4122133700,37.9369149600,36.9964121100,3213800,121005448.9900,2.49,-0.839700,-0.32,0.545200
2023-10-18,37.2736129500,36.7984115100,37.2736129500,36.6796111500,2824900,105162523.0000,1.59,-1.640600,-0.61,0.479200
2023-10-19,36.5806108500,36.3034100100,36.9370119300,36.3034100100,2827400,104380407.0000,1.72,-1.345200,-0.50,0.479600
2023-10-20,36.1351095000,35.5807078200,36.3034100100,35.4223073400,3162383,114326420.5300,2.43,-1.990700,-0.72,0.536500
2023-10-23,35.3431071000,35.4322073700,36.0163091400,35.1847066200,2870898,103391820.9200,2.34,-0.417400,-0.15,0.487000
2023-10-24,35.5411077000,36.1351095000,36.1549095600,35.2540068300,3060811,110692824.8300,2.54,1.983800,0.70,0.519200
2023-10-25,36.5608107900,36.4915105800,36.7687114200,36.3331101000,3079065,113773244.0800,1.21,0.986300,0.36,0.522300
2023-10-26,36.2539098600,36.7489113600,36.7786114500,36.2044097100,2418200,89149405.0000,1.57,0.705400,0.26,0.410200
2023-10-27,36.7786114500,37.1350125300,37.2043127400,36.6598110900,3060802,114275955.9000,1.48,1.050600,0.39,0.519200
2023-10-30,37.1053124400,37.5211137000,37.7488143900,36.9073118400,3632244,137177284.5800,2.27,1.039700,0.39,0.616200
2023-10-31,37.5211137000,37.5805138800,37.9072148700,37.4221134000,3291800,125207735.0000,1.29,0.158300,0.06,0.558400
2023-11-01,37.6300140300,37.5508137900,37.7983145400,37.3924133100,2828709,107404149.4200,1.08,-0.079000,-0.03,0.479900
2023-11-02,37.6300140300,36.9865120800,37.7884145100,36.9667120200,2977300,112129910.4800,2.19,-1.502800,-0.56,0.505100
2023-11-03,37.0558122900,37.3330131300,37.5805138800,37.0261122000,2390700,90244528.8600,1.50,0.936800,0.35,0.405600
2023-11-06,37.5706138500,37.6894142100,37.8181146000,37.4221134000,2764370,105225211.1400,1.06,0.954700,0.36,0.469000
2023-11-07,37.6894142100,37.5013136400,37.6894142100,37.3825132800,1771903,67175848.6700,0.81,-0.499100,-0.19,0.300600
2023-11-08,37.5013136400,37.2934130100,37.5706138500,37.1548125900,2465100,93028950.0000,1.11,-0.554400,-0.21,0.418200
2023-11-09,37.1449125600,36.9271119000,37.3528131900,36.8479116600,2514970,94156107.7300,1.35,-0.982200,-0.37,0.426600
2023-11-10,36.8281116000,37.0855123800,37.1845126800,36.6103109400,1941219,72363223.9800,1.55,0.429000,0.16,0.329300
2023-11-13,37.1449125600,37.9765150800,37.9963151400,37.0261122000,4758805,180766477.9300,2.62,2.402600,0.89,0.807300
2023-11-14,37.8478146900,38.3032160700,38.4616165500,37.8379146600,4356501,168171263.0600,1.64,0.860300,0.33,0.739000
2023-11-15,38.3626162500,38.0953154400,38.4319164600,37.9468149900,2586180,99513357.1000,1.27,-0.542800,-0.21,0.438700
2023-11-16,38.0953154400,37.7389143600,38.1547156200,37.7092142700,1818650,69644973.4500,1.17,-0.935600,-0.36,0.308500
2023-11-17,37.7389143600,37.7785144800,37.9072148700,37.5508137900,1723400,65660153.0000,0.94,0.104900,0.04,0.292400
2023-11-20,37.7785144800,38.1646156500,38.2933160400,37.6993142400,2415900,92791359.0000,1.57,1.022000,0.39,0.409800
2023-11-21,38.2141158000,37.8082145700,38.2735159800,37.7785144800,2234679,85716330.9600,1.30,-0.933900,-0.36,0.379100
2023-11-22,37.6300140300,37.5508137900,37.9765150800,37.5508137900,1829429,69711142.6300,1.13,-0.680800,-0.26,0.310300
2023-11-23,37.4221134000,37.6795141800,37.7884145100,37.2736129500,1823186,69093995.3300,1.37,0.342700,0.13,0.309300
2023-11-24,37.7587144200,37.1647126200,37.7785144800,37.0063121400,2176401,81872484.6500,2.05,-1.366300,-0.51,0.369200
2023-11-27,36.9766120500,38.2834160100,38.4715165800,36.9667120200,5834029,223803751.0100,4.05,3.010100,1.12,0.989700
2023-11-28,38.2834160100,37.8379146600,38.2834160100,37.7488143900,3068879,117557324.8700,1.40,-1.163700,-0.45,0.520600
2023-11-29,37.7785144800,37.5310137300,37.8775147800,37.4320134300,1961001,74540354.0100,1.18,-0.811100,-0.31,0.332700
2023-11-30,37.4221134000,37.0459122600,37.6102139700,36.8578116900,2518800,94555494.0000,2.00,-1.292500,-0.49,0.427300
2023-12-01,37.0657123200,37.1053124400,37.1845126800,36.6400110300,2353704,87717099.4400,1.47,0.160300,0.06,0.399300
2023-12-04,37.2934130100,37.4221134000,37.8181146000,37.2637129200,3944809,149505469.3500,1.49,0.853800,0.32,0.669200
2023-12-05,37.2241128000,36.6499110600,37.3330131300,36.6400110300,2844300,105980840.0000,1.85,-2.063500,-0.77,0.482500
2023-12-06,36.6004109100,36.6400110300,36.9073118400,36.4222103700,2359553,87394697.5900,1.32,-0.027000,-0.01,0.400300
2023-12-07,36.4618104900,36.5014106100,36.6796111500,36.0361092000,2464500,90472492.9400,1.76,-0.378300,-0.14,0.418100
2023-12-08,36.5905108800,36.5806108500,36.9865120800,36.5014106100,3138257,116469644.4400,1.33,0.217000,0.08,0.532400
2023-12-11,36.3925102800,37.3528131900,37.3726132500,36.0361092000,4130455,153443998.0200,3.65,2.111000,0.77,0.700700
2023-12-12,37.6201140000,38.5012166700,40.5109227600,37.6201140000,10009535,393288753.4700,7.74,3.074500,1.15,1.698000
2023-12-13,39.3922193700,38.6101170000,39.4021194000,38.5705168800,4898205,192100443.3900,2.16,0.282800,0.11,0.830900
2023-12-14,38.7091173000,38.1943157400,38.8081176000,38.0458152900,3691000,142848993.0000,1.97,-1.076900,-0.42,0.626100
