日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,10.4156944100,10.6556111200,10.6721571000,10.2833265700,17894388,227553570.3800,0.00,2.141200,0.00,0.808300
2023-05-29,10.6225191600,10.6059731800,10.8293439100,10.5315162700,18109569,233162822.7800,2.80,-0.465800,-0.05,0.818000
2023-05-30,10.5894272000,10.5894272000,10.6721571000,10.3743294600,17419788,220879014.7900,2.81,-0.156000,-0.02,0.786800
2023-05-31,10.5066973000,10.7466140100,10.7962519500,10.4818783300,12929495,167360281.6000,2.97,1.484400,0.16,0.584000
2023-06-01,10.6969760700,10.7217950400,10.9038008200,10.6390651400,16176642,210477958.9200,2.46,-0.230900,-0.02,0.730700
2023-06-02,10.7052490600,10.6804300900,10.8789818500,10.6390651400,12335241,160030813.5900,2.24,-0.385800,-0.04,0.557200
2023-06-05,10.9120738100,10.8872548400,11.1602635100,10.3908754400,24125466,315734517.2700,7.20,1.936500,0.21,1.089700
2023-06-06,10.8955278300,10.5977001900,10.9865307200,10.5066973000,16619037,215327583.9500,4.41,-2.659600,-0.29,0.750700
2023-06-07,10.6969760700,10.6721571000,10.7135220500,10.4487863700,14125840,181323792.0300,2.50,0.702600,0.07,0.638000
2023-06-08,10.6638841100,10.4901513200,10.6638841100,10.3743294600,21223484,269041876.6000,2.71,-1.705400,-0.18,0.958600
2023-06-09,10.5894272000,10.7962519500,10.7962519500,10.3246915200,47582334,607529393.8600,4.50,2.918000,0.31,2.149200
2023-06-12,10.7714329800,11.0113496900,11.0444416500,10.5977001900,22441673,295469584.8800,4.14,1.992300,0.22,1.013700
2023-06-13,11.0196226800,11.1188985600,11.1602635100,10.7466140100,17339403,230635242.0900,3.76,0.976700,0.11,0.783200
2023-06-14,11.1106255700,11.0858066000,11.1354445400,10.9782577300,11373513,152101484.5900,1.41,-0.297600,-0.03,0.513700
2023-06-15,11.1271715500,11.2512664000,11.6649159000,11.0940795900,22415699,309161768.8300,5.15,1.492500,0.17,1.012500
2023-06-16,11.1685365000,11.0030767000,11.3091773300,10.9865307200,17807021,238976783.9600,2.87,-2.205900,-0.25,0.804300
2023-06-19,11.0113496900,11.0692606200,11.2016284600,10.9203468000,18238012,243408679.1500,2.56,0.601500,0.07,0.823800
2023-06-20,11.0692606200,11.1106255700,11.2843583600,10.9534387600,13174831,177512798.4500,2.99,0.373700,0.04,0.595100
2023-06-21,11.0858066000,11.2016284600,11.3505422800,11.0113496900,19397003,263166116.7000,3.05,0.819100,0.09,0.876100
2023-06-26,11.1685365000,10.9699847400,11.4415451700,10.8376169000,23496512,314267154.0500,5.39,-2.067900,-0.23,1.061300
2023-06-27,11.0030767000,11.1271715500,11.1850824800,10.7797059700,16177322,216302248.7200,3.70,1.432900,0.16,0.730700
2023-06-28,11.0858066000,11.5408210500,11.5821860000,11.0858066000,24521931,338405247.5200,4.46,3.717500,0.41,1.107600
