日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,14.9440782400,14.8924282000,15.0387699800,14.7288697400,13492935,232378158.7900,0.00,-0.745800,0.00,0.773500
2023-05-29,14.8924282000,14.6600030200,14.9526865800,14.6341780000,16353149,280159449.2400,2.14,-1.560700,-0.23,0.937500
2023-05-30,14.6600030200,14.5739196200,14.7030447200,14.3242777600,18646798,313606473.0300,2.58,-0.587200,-0.09,1.069000
2023-05-31,14.5136612400,14.3414944400,14.5136612400,14.2984527400,14381191,240175620.2200,1.48,-1.594800,-0.23,0.824500
2023-06-01,14.2726277200,14.6083529800,14.7719114400,14.1951526600,20767749,351157023.0700,4.02,1.860700,0.27,1.190600
2023-06-02,14.6341780000,15.0473783200,15.0645950000,14.6169613200,23821252,413779955.9100,3.06,3.005300,0.44,1.365600
2023-06-05,15.0645950000,15.0559866600,15.2453701400,14.9785116000,14708058,257705912.7200,1.77,0.057200,0.01,0.843200
2023-06-06,15.0387699800,14.9182532200,15.1937201000,14.8838198600,14777118,258123215.3900,2.06,-0.914800,-0.14,0.847200
2023-06-07,14.8924282000,14.6083529800,14.9612949200,14.5394862600,15038230,256614051.6100,2.83,-2.077300,-0.31,0.862100
2023-06-08,14.5480946000,14.6858280400,14.8493865000,14.5480946000,11308918,193247840.0300,2.06,0.530300,0.08,0.648300
2023-06-09,14.7202614000,14.6427863400,14.7891281200,14.5825279600,10849780,184753523.5000,1.41,-0.293100,-0.04,0.622000
2023-06-12,14.6341780000,14.7288697400,14.7891281200,14.5308779200,10019217,170736358.7000,1.76,0.587900,0.09,0.574400
2023-06-13,14.6772197000,14.5997446400,14.7202614000,14.5480946000,11899073,201748397.3100,1.17,-0.876700,-0.13,0.682200
2023-06-14,14.6083529800,14.4706195400,14.7030447200,14.4361861800,14509225,245062277.9300,1.83,-0.884400,-0.13,0.831800
2023-06-15,14.4447945200,14.7977364600,14.8149531400,14.3328861000,21850741,371888549.9800,3.33,2.260600,0.33,1.252700
2023-06-16,14.8321698200,14.8752115200,14.9785116000,14.7633031000,20271381,349912144.6800,1.45,0.523600,0.08,1.162100
2023-06-19,14.8838198600,14.7374780800,15.0043366200,14.7030447200,15960263,274599925.3100,2.03,-0.925900,-0.14,0.915000
2023-06-20,14.7460864200,14.5653112800,14.7719114400,14.5653112800,14329604,243432059.0000,1.40,-1.168200,-0.17,0.821500
2023-06-21,14.5480946000,14.3587111200,14.7546947600,14.3501027800,17308798,291229873.9000,2.78,-1.418400,-0.21,0.992300
2023-06-26,14.2898444000,14.1779359800,14.4189695000,13.9971608400,16915656,279393040.5300,2.94,-1.259000,-0.18,0.969800
2023-06-27,14.1348942800,14.7030447200,14.7460864200,14.1262859400,26519742,449260271.5700,4.37,3.703700,0.53,1.520300
2023-06-28,14.7374780800,14.5997446400,14.8235614800,14.4964445600,15500361,263296159.9700,2.22,-0.702600,-0.10,0.888600
2023-06-29,14.6858280400,14.3931444800,14.7030447200,14.3070610800,19861682,332988892.5300,2.71,-1.415100,-0.21,1.138600
2023-06-30,14.3242777600,14.6944363800,14.8063448000,14.3242777600,24904236,424935480.3000,3.35,2.093300,0.30,1.427700
2023-07-03,14.6772197000,14.8407781600,14.9268615600,14.6772197000,19749579,341061792.1500,1.70,0.995900,0.15,1.132200
2023-07-04,14.8752115200,14.9096448800,15.0473783200,14.8321698200,22205504,385366519.4400,1.45,0.464000,0.07,1.273000
2023-07-05,14.8579948400,14.7977364600,14.8924282000,14.7202614000,13352200,229521756.6600,1.15,-0.750600,-0.11,0.765500
2023-07-06,14.7633031000,14.7030447200,14.7805197800,14.5911363000,12620925,215304063.2000,1.28,-0.639900,-0.09,0.723500
2023-07-07,14.6341780000,14.6169613200,14.7116530600,14.4620112000,11032874,186843586.4800,1.70,-0.585500,-0.09,0.632500
2023-07-10,14.6772197000,15.0215533000,15.1248533800,14.6772197000,28229466,491176777.6800,3.06,2.768000,0.40,1.618400
2023-07-11,14.9612949200,14.7977364600,14.9612949200,14.6600030200,24297798,416828693.3000,2.01,-1.490000,-0.22,1.393000
2023-07-12,14.7891281200,15.0301616400,15.2539784800,14.7374780800,35679483,623338694.3100,3.49,1.570700,0.23,2.045500
2023-07-13,15.2367618000,15.1248533800,15.2367618000,15.0215533000,24183448,424658909.4800,1.43,0.630000,0.09,1.386400
2023-07-14,15.0732033400,15.0043366200,15.1851117600,14.9699032600,16946514,296263303.6000,1.42,-0.796800,-0.12,0.971500
2023-07-17,14.9785116000,14.9871199400,15.2195451200,14.8579948400,17925022,312541891.9600,2.41,-0.114700,-0.02,1.027600
2023-07-18,15.0645950000,15.5983120800,15.7016121600,14.9785116000,61726726,1105396795.7000,4.82,4.078100,0.61,3.538700
2023-07-19,15.4950120000,15.7274371800,16.0115124000,15.4261452800,58533584,1070070804.0300,3.75,0.827800,0.13,3.355700
2023-07-20,15.7876955600,16.3128043000,16.6829629200,15.7876955600,97730207,1861904965.7600,5.69,3.721900,0.59,5.602700
2023-07-21,16.2525459200,16.0545541000,16.2697626000,15.8135205800,51901353,968295101.1600,2.80,-1.583100,-0.26,2.975400
2023-07-24,15.9856873800,15.4433619600,16.0545541000,15.3658869000,41912265,756739103.9100,4.29,-3.807000,-0.61,2.402800
2023-07-25,15.5810954000,15.5208370200,15.9168206600,15.4950120000,42498055,771550529.7700,2.73,0.501700,0.08,2.436400
2023-07-26,15.7188288400,16.1148124800,16.3988877000,15.6499621200,70660082,1313879384.6400,4.83,3.827000,0.59,4.050800
2023-07-27,16.0975958000,15.7704788800,16.1062041400,15.7188288400,40162744,741178063.6600,2.40,-2.136800,-0.34,2.302500
2023-07-28,15.9254290000,15.9512540200,16.0115124000,15.6585704600,31559285,583101410.9100,2.24,1.146300,0.18,1.809300
2023-07-31,16.0889874600,15.8909956400,16.0889874600,15.7360455200,41243940,760741817.3200,2.21,-0.377800,-0.06,2.364500
2023-08-01,15.8909956400,15.8393456000,15.8909956400,15.4777953200,40076322,727988665.5600,2.60,-0.325000,-0.05,2.297500
2023-08-02,15.8565622800,15.7274371800,16.2095042200,15.6671788000,29074107,536773608.4400,3.42,-0.706500,-0.11,1.666800
2023-08-03,15.6671788000,15.6843954800,15.8221289200,15.6069204200,18723781,340843879.3200,1.37,-0.273700,-0.04,1.073400
2023-08-04,15.7188288400,15.4605786400,15.7704788800,15.4519703000,29539857,534973435.4900,2.03,-1.427000,-0.22,1.693500
2023-08-07,15.3831035800,15.3400618800,15.3831035800,15.2023284400,19829335,352073226.8500,1.17,-0.779500,-0.12,1.136800
2023-08-08,15.2798035000,15.6671788000,15.6930038200,15.0732033400,28851931,517906312.9700,4.04,2.132400,0.33,1.654000
