日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,23.6619587500,23.5424035900,23.7117734000,23.2235898300,2530356,59474459.5700,0.00,-0.211100,0.00,0.352900
2023-05-29,24.1302164600,23.4826260100,24.2896233400,23.4128855000,5791355,138553034.7200,3.72,-0.253900,-0.06,0.807600
2023-05-30,23.1937010400,23.1937010400,23.3829967100,22.8250726300,5405486,125365038.5100,2.38,-1.230400,-0.29,0.753800
2023-05-31,22.9247019300,23.3132562000,23.4726630800,22.9247019300,3754145,87860547.7100,2.36,0.515500,0.12,0.523500
2023-06-01,23.2933303400,23.3730337800,23.5722923800,23.0044053700,2834206,66518399.2800,2.44,0.256400,0.06,0.395200
2023-06-02,23.4826260100,23.3630708500,23.4826260100,23.2435156900,2464624,57733836.8400,1.02,-0.042600,-0.01,0.343700
2023-06-05,23.2734044800,23.1638122500,23.3829967100,23.1139976000,2652890,61865050.2500,1.15,-0.852900,-0.20,0.369900
2023-06-06,23.1937010400,22.4664071500,23.1937010400,22.4165925000,4721779,107679875.9000,3.35,-3.010800,-0.70,0.658400
2023-06-07,22.4564442200,22.5660364500,22.5959252400,22.3269261300,2408105,54337124.1400,1.20,0.443500,0.10,0.335800
2023-06-08,22.5162218000,22.3867037100,22.7852209100,22.3368890600,4359668,98537061.5700,1.99,-0.794700,-0.18,0.607900
2023-06-09,22.3867037100,22.2771114800,22.5859623100,21.9881865100,4741084,105607582.0500,2.67,-0.489500,-0.11,0.661100
2023-06-12,22.1177046000,21.5298917300,22.3568149200,21.2808184800,7875443,171787908.6200,4.83,-3.354200,-0.75,1.098200
2023-06-13,21.5398546600,21.3405960600,21.6095951700,21.2708555500,5169639,111096504.0600,1.57,-0.879200,-0.19,0.720900
2023-06-14,21.3505589900,21.4003736400,21.4501882900,21.2310038300,3335079,71550667.5500,1.03,0.280100,0.06,0.465100
2023-06-15,21.4103365700,21.7690020500,21.8487054900,21.3405960600,5100901,110973232.3400,2.37,1.722500,0.37,0.711300
2023-06-16,21.8088537700,22.1974080400,22.3667778500,21.7391132600,6930717,153767515.5000,2.88,1.968000,0.43,0.966500
2023-06-19,22.1675192500,22.2372597600,22.4863330100,22.0977787400,4853600,108603961.0000,1.75,0.179500,0.04,0.676800
2023-06-20,22.0878158100,22.9446277900,22.9745165800,22.0878158100,9386635,213782690.2900,3.99,3.181000,0.71,1.308900
2023-06-21,22.9446277900,22.6357769600,22.9844795100,22.6357769600,4847012,110819115.7500,1.52,-1.346100,-0.31,0.675900
2023-06-26,22.6357769600,22.3867037100,22.8151097000,22.2870744100,4522316,102318422.1900,2.33,-1.100400,-0.25,0.630600
2023-06-27,22.6058881700,22.4066295700,22.6058881700,22.3070002700,3466137,78123654.5300,1.34,0.089000,0.02,0.483300
2023-06-28,22.4066295700,22.8449984900,22.9147390000,22.2173339000,5452598,123921768.6600,3.11,1.956400,0.44,0.760400
2023-06-29,22.7951838400,23.0641829500,23.1638122500,22.6955545400,5024648,116191259.0400,2.05,0.959400,0.22,0.700700
2023-06-30,23.1040346700,23.3630708500,23.4627001500,22.9844795100,5734690,134022612.9200,2.07,1.295900,0.30,0.799700
2023-07-03,23.4427742900,23.2634415500,23.6021811700,23.2036639700,5633752,132254826.5500,1.71,-0.426400,-0.10,0.785600
2023-07-04,23.2235898300,23.3730337800,23.4328113600,23.0940717400,5103334,119421034.9700,1.46,0.471100,0.11,0.711600
2023-07-05,23.4029225700,23.2235898300,23.4826260100,23.2136269000,3069319,71897688.3500,1.15,-0.639400,-0.15,0.428000
2023-07-06,23.1638122500,22.9745165800,23.2634415500,22.9147390000,4224307,97773743.5000,1.50,-1.072500,-0.25,0.589100
2023-07-07,23.0244606000,22.6748484000,23.0744052000,22.6748484000,2610779,59652465.5800,1.74,-1.304300,-0.30,0.364100
2023-07-10,22.7247930000,22.9745160000,23.2941614400,22.7247930000,3039610,70065529.6300,2.51,1.321600,0.30,0.423900
2023-07-11,22.9745160000,23.0943830400,23.2941614400,22.8446600400,2620460,60580586.6500,1.96,0.521700,0.12,0.365400
2023-07-12,23.0044827600,22.5749592000,23.0943830400,22.5549813600,3886814,88743881.7000,2.34,-2.249100,-0.52,0.542000
2023-07-13,22.6748484000,22.7647486800,22.8546489600,22.5549813600,2799500,63623523.0000,1.33,0.840700,0.19,0.390400
2023-07-14,22.7747376000,22.7447708400,22.9245714000,22.5949370400,2812730,64003741.9400,1.45,-0.087800,-0.02,0.392200
2023-07-17,22.7247930000,22.6249038000,22.8646378800,22.5250146000,2395000,54387421.9000,1.49,-0.527000,-0.12,0.334000
2023-07-18,22.6049259600,23.0544273600,23.0744052000,22.5350035200,4767500,109298502.0000,2.38,1.898500,0.43,0.664800
2023-07-19,23.0544273600,22.5949370400,23.0644162800,22.5749592000,3804056,86595521.5600,2.12,-1.993100,-0.46,0.530500
2023-07-20,22.5549813600,22.0954910400,22.6948262400,22.0355575200,3957584,88501301.9200,2.92,-2.210400,-0.50,0.551900
2023-07-21,22.1354467200,22.0855021200,22.2752916000,22.0255686000,2005801,44437902.0900,1.13,-0.045200,-0.01,0.279700
2023-07-24,22.0655242800,22.2353359200,22.3452140400,21.8857237200,2017255,44837105.4500,2.08,0.678400,0.15,0.281300
2023-07-25,22.3851697200,22.5649702800,22.5749592000,22.3252362000,3753234,84384929.3800,1.12,1.482500,0.33,0.523400
