日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,9.8363977800,9.8462538900,9.9349588800,9.6885561300,28117963,280363099.5600,0.00,0.000000,0.00,2.279600
2023-05-29,9.8166855600,10.4080521600,10.5460377000,9.6885561300,67679205,695127130.6000,8.71,5.705700,0.56,5.487100
2023-05-30,10.2503544000,10.3587716100,10.4869010400,10.0039516500,64804481,672042914.9600,4.64,-0.473500,-0.05,5.254000
2023-05-31,10.3094910600,10.2109299600,10.7333037900,10.2109299600,53086912,561505656.4900,5.04,-1.427200,-0.15,4.304000
2023-06-01,10.2897788400,10.0828005300,10.3489155000,10.0828005300,33200293,343702396.5900,2.61,-1.254800,-0.13,2.691700
2023-06-02,10.1222249700,10.0828005300,10.2109299600,10.0532322000,29365031,301656924.3700,1.56,0.000000,0.00,2.380800
2023-06-05,10.0926566400,10.0138077600,10.1616494100,9.9152466600,27510660,279923625.2500,2.44,-0.684300,-0.07,2.230400
2023-06-06,10.0039516500,9.6885561300,10.0729444200,9.6491316900,34607986,345463851.5500,4.23,-3.248000,-0.33,2.805800
2023-06-07,9.6885561300,9.7181244600,9.9251027700,9.5210022600,28610231,281688404.7800,4.17,0.305200,0.03,2.319600
2023-06-08,9.6688439100,9.4520094900,9.7378366800,9.4421533800,25033393,242761262.1600,3.04,-2.738300,-0.27,2.029600
2023-06-09,9.4125850500,9.5111461500,9.6787000200,9.2647434000,34459509,329686654.9300,4.38,0.625700,0.06,2.793800
2023-06-12,9.5111461500,9.8955344400,10.0532322000,9.4914339300,55866357,558790566.2800,5.91,4.041500,0.38,4.529300
2023-06-13,9.8363977800,10.0729444200,10.3094910600,9.8363977800,47846427,490551617.3000,4.78,1.792800,0.18,3.879100
2023-06-14,10.0729444200,10.3094910600,10.4573327100,10.0039516500,58761761,613079454.0300,4.50,2.348300,0.24,4.764100
2023-06-15,10.7234476800,10.7530160100,11.3443826100,10.6741671300,125917381,1396782483.7400,6.50,4.302100,0.44,10.208700
2023-06-16,10.7530160100,11.8273320000,11.8273320000,10.6051743600,167451372,1932196935.5500,11.37,9.990800,1.07,13.576000
2023-06-19,12.7932307800,12.2708569500,12.9115041000,12.1624397400,251264849,3185661012.5800,6.33,3.750000,0.44,20.371200
2023-06-20,12.4876913700,12.3398497200,12.8030868900,12.2905691700,148407686,1881927489.1300,4.18,0.562200,0.07,12.032100
2023-06-21,12.2807130600,12.5074035900,13.2466118400,12.2511447300,154181280,1982891005.6600,8.07,1.357800,0.17,12.500200
2023-06-26,12.2905691700,12.5566841400,13.1184824100,12.2708569500,146865892,1884899426.1800,6.78,0.394000,0.05,11.907100
2023-06-27,12.4186986000,12.0835908600,12.5468280300,11.8273320000,122244167,1501458481.4100,5.73,-3.767700,-0.47,9.910900
2023-06-28,12.1230153000,11.4823681500,12.1230153000,10.8712893300,143659024,1649069812.5100,10.36,-4.975500,-0.60,11.647100
2023-06-29,11.4330876000,11.6302098000,11.9160369900,11.2359654000,90562138,1058188640.6500,5.92,1.287600,0.15,7.342300
2023-06-30,11.5809292500,11.7484831200,11.8766125500,11.4725120400,75110462,889805266.3800,3.47,1.016900,0.12,6.089500
2023-07-03,11.7287709000,11.5020803700,11.8076197800,11.4232314900,62394370,731874908.2800,3.27,-2.097300,-0.25,5.058600
2023-07-04,11.7189147900,11.4725120400,11.7484831200,11.3443826100,50614682,589816955.1100,3.51,-0.257100,-0.03,4.103600
2023-07-05,11.3739509400,11.2655337300,11.5612170300,11.2556776200,62416736,720931904.8800,2.66,-1.804100,-0.21,5.060400
2023-07-06,11.2359654000,11.3443826100,11.5809292500,11.2063970700,62975430,730406740.5000,3.32,0.699900,0.08,5.105700
2023-07-07,11.2458215100,11.0388432000,11.2852459500,10.9008576600,57543171,645476927.3000,3.39,-2.693300,-0.31,4.665300
2023-07-10,10.9994187600,10.8515771100,11.0881237500,10.7431599000,38144871,421066590.2700,3.12,-1.696400,-0.19,3.092600
2023-07-11,10.9205698800,10.9895626500,11.0191309800,10.8515771100,34231243,380048251.4800,1.54,1.271600,0.14,2.775300
2023-07-12,10.9205698800,10.6741671300,10.9402821000,10.6248865800,44793144,488881045.9000,2.87,-2.870000,-0.32,3.631600
2023-07-13,10.7234476800,10.8712893300,10.9107137700,10.6938793500,32463512,355572879.6900,2.03,1.846700,0.20,2.632000
2023-07-14,10.9008576600,10.9107137700,11.0782676400,10.8121526700,38868880,431527210.1200,2.45,0.362600,0.04,3.151300
2023-07-17,10.9107137700,10.8417210000,10.9698504300,10.7431599000,24952348,274234352.7900,2.08,-0.632300,-0.07,2.023000
2023-07-18,10.7924404500,10.7825843400,10.9797065400,10.7431599000,26623841,292800599.9100,2.18,-0.545500,-0.06,2.158500
2023-07-19,10.7530160100,10.6051743600,10.7825843400,10.5460377000,29291461,316221058.6000,2.19,-1.645300,-0.18,2.374800
2023-07-20,10.6150304700,10.3292032800,10.6544549100,10.3193471700,35048217,371881129.9000,3.16,-2.602200,-0.28,2.841500
2023-07-21,10.3292032800,10.2700666200,10.3587716100,10.1715055200,21109748,220137435.4300,1.81,-0.572500,-0.06,1.711500
2023-07-24,10.2109299600,10.2109299600,10.3686277200,10.1912177400,13368505,139221527.2100,1.73,-0.575800,-0.06,1.083800
2023-07-25,10.3292032800,10.5657499200,10.6150304700,10.2996349500,29589134,314639508.9000,3.09,3.474900,0.35,2.398900
2023-07-26,10.5756060300,10.2700666200,10.5756060300,10.2602105100,21818227,229752550.8900,2.99,-2.798500,-0.30,1.768900
2023-07-27,10.2799227300,10.1912177400,10.3686277200,10.1616494100,15267414,158724416.3900,2.02,-0.767800,-0.08,1.237800
2023-07-28,10.2109299600,10.3390593900,10.3489155000,10.0926566400,18133821,188618259.9300,2.51,1.450700,0.15,1.470200
2023-07-31,10.3883399400,10.4474766000,10.5263254800,10.3193471700,23058773,243612512.1900,2.00,1.048600,0.11,1.869500
2023-08-01,10.3981960500,10.3981960500,10.4474766000,10.3292032800,13395642,141132936.1500,1.13,-0.471700,-0.05,1.086000
2023-08-02,10.4573327100,10.4671888200,10.6051743600,10.4179082700,21298046,226907723.2700,1.80,0.663500,0.07,1.726700
2023-08-03,10.4080521600,10.4277643800,10.4573327100,10.2700666200,16049813,168943056.7700,1.79,-0.376600,-0.04,1.301200
2023-08-04,10.4573327100,10.5854621400,10.5953182500,10.4474766000,27076452,289695457.9600,1.42,1.512300,0.16,2.195200
2023-08-07,10.6051743600,10.6150304700,10.7135915700,10.5066132600,25015972,269175430.3000,1.96,0.279300,0.03,2.028200
2023-08-08,10.6248865800,10.3784838300,10.6544549100,10.3686277200,21045161,224089131.9300,2.69,-2.228400,-0.24,1.706200
2023-08-09,10.4474766000,10.1123688600,10.4474766000,10.1123688600,22105048,228609416.0400,3.23,-2.564100,-0.27,1.792200
2023-08-10,10.0630883100,10.1320810800,10.1715055200,10.0335199800,9660151,99310019.6600,1.36,0.194900,0.02,0.783200
2023-08-11,10.1123688600,9.9152466600,10.2010738500,9.9152466600,16207639,164639569.4700,2.82,-2.140100,-0.22,1.314000
2023-08-14,9.8561100000,9.9743833200,9.9842394300,9.7969733400,14742209,147685318.0400,1.89,0.596400,0.06,1.195200
2023-08-15,9.9940955400,9.8856783300,10.0433760900,9.8166855600,10371957,104395168.1500,2.27,-0.889300,-0.09,0.840900
2023-08-16,9.8363977800,9.7674050100,9.9053905500,9.7674050100,10835580,108004819.2000,1.40,-1.196400,-0.12,0.878500
2023-08-17,9.7181244600,9.9152466600,9.9349588800,9.6195633600,14131949,140781670.3800,3.23,1.513600,0.15,1.145700
2023-08-18,9.8068294500,9.5012900400,9.8561100000,9.4815778200,31765761,311041976.8200,3.78,-4.175000,-0.41,2.575400
2023-08-21,9.5308583700,9.4914339300,9.6491316900,9.4618656000,13409614,129768018.1900,1.97,-0.103700,-0.01,1.087200
2023-08-22,9.5505705900,9.5899950300,9.6294194700,9.3731606100,17759897,171362783.3500,2.70,1.038400,0.10,1.439900
2023-08-23,9.5308583700,9.2745995100,9.5308583700,9.2745995100,15774534,150036529.8700,2.67,-3.288800,-0.32,1.278900
2023-08-24,9.3435922800,9.2745995100,9.4027289400,9.1464700800,15584883,146795315.9500,2.76,0.000000,0.00,1.263500
2023-08-25,9.2351750700,9.0183406500,9.3041678400,8.9296356600,20770969,191966179.9600,4.04,-2.763000,-0.26,1.684000
2023-08-28,9.4618656000,9.1464700800,9.5012900400,9.0676212000,24857856,234729044.9100,4.81,1.420800,0.13,2.015300
2023-08-29,9.1366139700,9.4421533800,9.5210022600,9.1169017500,21861625,207858728.1800,4.42,3.232800,0.30,1.772400
2023-08-30,9.4125850500,9.4815778200,9.6195633600,9.3633045000,19196856,184991959.6300,2.71,0.417500,0.04,1.556400
2023-08-31,9.4618656000,9.3830167200,9.4618656000,9.3435922800,12142820,115675328.0900,1.25,-1.039500,-0.10,0.984500
2023-09-01,9.4125850500,9.4027289400,9.4421533800,9.3435922800,9975755,94993433.0500,1.05,0.210100,0.02,0.808800
