日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,32.9965581500,33.2661215600,33.3559760300,32.8168492100,11323612,376106284.8400,0.00,0.816900,0.00,0.799600
2023-05-29,33.2860892200,32.7968815500,33.5257011400,32.7669300600,13107297,434541419.6600,2.28,-1.410600,-0.47,0.925600
2023-05-30,32.6970432500,31.6287734400,32.7170109100,30.3907785200,32494442,1017590569.8800,7.09,-3.561600,-1.17,2.294700
2023-05-31,31.3492262000,31.8983368500,32.6770755900,31.2793393900,20294780,651123631.8400,4.42,0.852300,0.27,1.433200
2023-06-01,31.8983368500,31.9183045100,32.3276415400,31.1295819400,16135443,513785103.0100,3.76,0.062600,0.02,1.139500
2023-06-02,32.0281266400,32.1479326000,32.4075121800,31.6786925900,13019694,418384032.6200,2.28,0.719400,0.23,0.919400
2023-06-05,32.0980134500,31.8883530200,32.5972049500,31.8084823800,12573845,404710339.1200,2.45,-0.807500,-0.26,0.887900
2023-06-06,31.6986602500,30.7302287400,31.6986602500,30.6004389500,16014416,498963331.2800,3.44,-3.631800,-1.16,1.130900
2023-06-07,30.7302287400,30.3208917100,31.0197598100,30.2310372400,12906993,394263021.7600,2.57,-1.332000,-0.41,0.911500
2023-06-08,30.2510049000,29.8716193600,30.2510049000,29.6819265900,13139670,393482191.2500,1.88,-1.481700,-0.45,0.927900
2023-06-09,29.8316840400,30.0712959600,30.0712959600,29.3524602000,18198921,541275866.1600,2.41,0.668400,0.20,1.285200
2023-06-12,30.0712959600,29.8316840400,30.1711342600,29.7518134000,12204803,365339725.8600,1.39,-0.796800,-0.24,0.861900
2023-06-13,29.8416678700,30.6004389500,30.6303904400,29.6120397800,17602699,533332719.1300,3.41,2.577000,0.77,1.243100
2023-06-14,30.5405359700,30.4107461800,30.6004389500,30.2110695800,10816551,329503162.8900,1.27,-0.619900,-0.19,0.763800
2023-06-15,30.3608270300,30.7202449100,30.8001155500,30.3308755400,12707207,389326726.5100,1.54,1.017700,0.31,0.897400
2023-06-16,30.6004389500,31.0896466200,31.1096142800,30.5305521400,13317002,412272658.6800,1.88,1.202500,0.37,0.940400
2023-06-19,31.0896466200,30.8799861900,31.2394040700,30.7701640600,15083995,468485977.4700,1.51,-0.674400,-0.21,1.065200
2023-06-20,30.8700023600,31.4390806700,31.6886764200,30.7801478900,21950659,690467496.6300,2.94,1.810500,0.56,1.550100
2023-06-21,31.2993070500,30.3009240500,31.3691938600,30.2909402200,14889564,458310497.1500,3.43,-3.620200,-1.14,1.051500
2023-06-26,30.1411827700,29.9215385100,30.5505198000,29.6320074400,13702493,412199406.9400,3.03,-1.252100,-0.38,0.967600
2023-06-27,29.9315223400,30.0014091500,30.2609887300,29.8316840400,7904539,237468218.3400,1.43,0.266900,0.08,0.558200
2023-06-28,30.0513283000,29.5920721200,30.0812797900,29.1527836000,13099929,388356776.1900,3.09,-1.364400,-0.41,0.925100
2023-06-29,29.5521368000,29.6719427600,30.1012474500,29.4522985000,10760775,321237177.8300,2.19,0.269900,0.08,0.759900
2023-06-30,29.5621206300,30.2210534100,30.4706491600,29.4522985000,14030970,423331292.8500,3.43,1.850600,0.55,0.990800
2023-07-03,30.2510049000,30.4706491600,30.8200832100,30.2510049000,10382218,317021272.8200,1.88,0.825900,0.25,0.733200
2023-07-04,30.7102610800,31.7086440800,32.0980134500,30.4806329900,30256901,952999424.8200,5.31,4.062900,1.24,2.136700
2023-07-05,31.5189513100,31.3192747100,31.8683853600,31.2693555600,15143418,478090040.0500,1.89,-1.228000,-0.39,1.069400
2023-07-06,31.2394040700,31.1695172600,31.6687087600,31.0596951300,10788779,338331665.5400,1.94,-0.478200,-0.15,0.761900
2023-07-07,30.9698406600,30.6803095900,30.9898083200,30.4606653300,9486313,291785363.4500,1.70,-1.569500,-0.49,0.669900
2023-07-10,30.9199215100,30.8799861900,31.1096142800,30.7501964000,7658614,237182639.0800,1.17,0.650800,0.20,0.540800
2023-07-11,30.8600185300,31.3392423700,31.4490645000,30.8300670400,11628782,363912652.3000,2.00,1.487200,0.46,0.821200
2023-07-12,31.3292585400,30.6902934200,31.4490645000,30.6104227800,11252658,349073688.9600,2.68,-2.070700,-0.65,0.794600
2023-07-13,30.7202449100,31.4290968400,31.5489028000,30.7202449100,16341651,512680699.7100,2.70,2.407300,0.74,1.154000
2023-07-14,31.5189513100,31.1595334300,31.6187896100,31.0696789600,12007930,375868818.2700,1.75,-0.857700,-0.27,0.848000
2023-07-17,30.2510049000,30.6503581000,30.8100993800,29.6419912700,17387960,526708410.0400,3.75,-1.634100,-0.51,1.227900
2023-07-18,30.7302287400,30.8200832100,31.4490645000,30.7002772500,15369701,478869458.7500,2.44,0.553700,0.17,1.085400
2023-07-19,30.7202449100,30.6403742700,31.0796627900,30.3508432000,8989293,275478905.7500,2.36,-0.583100,-0.18,0.634800
2023-07-20,30.6403742700,30.1511666000,30.8200832100,30.0213768100,9012365,274161292.1000,2.61,-1.596600,-0.49,0.636400
2023-07-21,30.1711342600,29.8616355300,30.5704874600,29.8217002100,10762692,323661432.1100,2.48,-0.960300,-0.29,0.760000
2023-07-24,29.7518134000,29.5721044600,30.0213768100,29.4323308400,9114635,270619319.4300,1.97,-0.969600,-0.29,0.643700
2023-07-25,29.8616355300,30.2510049000,30.3308755400,29.7617972300,10254416,308898420.6100,1.92,2.295700,0.68,0.724100
2023-07-26,30.3308755400,30.0912636200,30.3308755400,29.9514900000,6884540,207624641.7900,1.25,-0.528100,-0.16,0.486200
2023-07-27,30.1311989400,29.8516517000,30.2510049000,29.7717810600,6920980,207715823.0300,1.59,-0.796300,-0.24,0.488700
2023-07-28,29.7717810600,30.2210534100,30.3109078800,29.5820882900,11197599,336811090.7100,2.44,1.237500,0.37,0.790800
2023-07-31,30.2210534100,30.5804712900,30.8999538500,30.1212151100,15174728,465095053.0200,2.58,1.189300,0.36,1.071600
2023-08-01,30.5804712900,30.5605036300,30.8799861900,30.3508432000,11999700,367951201.0000,1.73,-0.065300,-0.02,0.847400
2023-08-02,30.4406976700,30.3009240500,30.6403742700,30.2110695800,8592552,261604522.8800,1.40,-0.849400,-0.26,0.606800
2023-08-03,30.2410210700,30.4007623500,30.5105844800,30.0213768100,8070300,244707124.5100,1.61,0.329500,0.10,0.569900
2023-08-04,30.4406976700,30.0513283000,30.7002772500,29.8616355300,18598507,562471241.3200,2.76,-1.149400,-0.35,1.313400
2023-08-07,29.8716193600,29.6719427600,30.0313606400,29.6220236100,11597195,345596265.0800,1.36,-1.262500,-0.38,0.819000
2023-08-08,29.6919104200,29.6020559500,29.8516517000,29.5022176500,8754046,259671490.9900,1.18,-0.235500,-0.07,0.618200
2023-08-09,29.5621206300,29.6220236100,29.7617972300,29.4323308400,6224628,184576272.9700,1.11,0.067500,0.02,0.439600
2023-08-10,29.7318457400,29.6919104200,29.8716193600,29.5920721200,5507202,163784027.8600,0.94,0.235900,0.07,0.388900
2023-08-11,29.6819265900,29.2626057300,29.7318457400,29.2526219000,7642200,225177114.3400,1.61,-1.445900,-0.43,0.539700
2023-08-14,29.1527836000,28.1444167700,29.2626057300,27.9647078300,16955588,483309755.6300,4.44,-3.821200,-1.12,1.197400
2023-08-15,28.1444167700,27.0362116400,28.1743682600,26.9164056800,19245055,526468579.3100,4.47,-3.937600,-1.11,1.359000
2023-08-16,26.9663248300,26.3972465200,27.2059367500,26.3573112000,17243061,460569807.7500,3.14,-2.363400,-0.64,1.217700
2023-08-17,26.3972465200,26.5669716300,26.6867775900,26.1276831100,10814388,286618855.1600,2.12,0.643000,0.17,0.763700
2023-08-18,26.5769554600,25.5386371400,26.7366967400,25.5286533100,15906889,414793275.0400,4.55,-3.870700,-1.03,1.123300
2023-08-21,25.4587665000,25.0893647900,25.7383137400,25.0693971300,13011522,330891174.3900,2.62,-1.759200,-0.45,0.918800
2023-08-22,25.2590899000,24.8896881900,25.3788958600,24.1109494500,26997747,665016519.8200,5.05,-0.795900,-0.20,1.906500
2023-08-23,24.8098175500,24.0610303000,24.8098175500,24.0410626400,12725707,310262709.6100,3.09,-3.329300,-0.83,0.898700
2023-08-24,24.2507230700,24.3305937100,24.6101409500,23.8813213600,14765691,359737086.4400,3.03,1.120300,0.27,1.042700
2023-08-25,24.1708524300,23.8613537000,24.2207715800,23.7016124200,11096364,266360563.6200,2.13,-1.928600,-0.47,0.783600
2023-08-28,25.1093324500,24.2407392400,25.2391222400,24.1409009400,19209815,474184628.4700,4.60,1.590000,0.38,1.356600
2023-08-29,24.4204481800,25.1392839400,25.2291384100,24.3405775400,19543160,486651383.2000,3.67,3.706800,0.90,1.380100
2023-08-30,25.5186694800,25.3090090500,26.0178609800,25.1792192600,24900123,637064411.3200,3.34,0.675100,0.17,1.758400
2023-08-31,25.1592516000,25.3090090500,25.6384754400,24.9595750000,14370241,364504387.4800,2.68,0.000000,0.00,1.014800
2023-09-01,25.2990252200,25.2790575600,25.6384754400,25.0893647900,9487868,240337453.3900,2.17,-0.118300,-0.03,0.670000
2023-09-04,25.3189928800,25.6983784200,25.7083622500,25.1692354300,11762427,299834039.6900,2.13,1.658800,0.42,0.830600
2023-09-05,25.6883945900,25.6983784200,26.0078771500,25.5685886300,13616180,351630406.8000,1.71,0.000000,0.00,0.961500
2023-09-06,25.5785724600,26.2275214100,26.3173758800,25.4887179900,22705346,591523655.1400,3.22,2.059100,0.53,1.603400
2023-09-07,26.0478124700,25.4687503300,26.1176992800,25.4687503300,14932773,384875648.6200,2.47,-2.893000,-0.76,1.054500
2023-09-08,25.4188311800,25.6883945900,25.8082005500,25.2191545800,8711791,223952860.7300,2.31,0.862400,0.22,0.615200
2023-09-11,25.6484592700,25.7682652300,25.8980550200,25.5486209700,9172678,236628282.3400,1.36,0.310900,0.08,0.647800
2023-09-12,25.8581197000,25.6983784200,25.8980550200,25.5985401200,7023609,181030566.3700,1.16,-0.271200,-0.07,0.496000
2023-09-13,25.5885562900,25.3489443700,25.7083622500,25.1592516000,8413430,213963054.2900,2.14,-1.359800,-0.35,0.594100
2023-09-14,25.3389605400,25.0793809600,25.4487826700,24.9595750000,7094226,178544551.0400,1.93,-1.063400,-0.27,0.501000
2023-09-15,25.1592516000,25.3189928800,25.9579580000,24.8597367000,12954861,329475647.8700,4.38,0.955400,0.24,0.914800
2023-09-18,25.1792192600,25.1892030900,25.5186694800,25.0594133000,7285027,184390870.7400,1.81,-0.512600,-0.13,0.514500
2023-09-19,25.5785724600,24.9096558500,25.5785724600,24.6500762700,9363237,233845496.6200,3.69,-1.109800,-0.28,0.661200
2023-09-20,24.9296235100,24.5202864800,25.1093324500,24.5202864800,6143208,152295648.3400,2.36,-1.563100,-0.39,0.433800
2023-09-21,24.4903349900,24.4803511600,24.8098175500,24.4004805200,7247540,178371612.8200,1.67,-0.162900,-0.04,0.511800
2023-09-22,24.4803511600,24.9196396800,24.9396073400,24.2906583900,8732641,215822766.2300,2.65,1.794500,0.44,0.616700
2023-09-25,24.9196396800,24.4404158400,24.9396073400,24.3405775400,8913114,218538178.5200,2.40,-1.923100,-0.48,0.629400
2023-09-26,24.4404158400,24.0909817900,24.4503996700,24.0410626400,7665039,185740666.8800,1.67,-1.429700,-0.35,0.541300
2023-09-27,24.0909817900,24.1409009400,24.5901732900,23.9611920000,8006338,194559092.5900,2.61,0.207200,0.05,0.565400
2023-09-28,24.2806745600,24.3206098800,24.4503996700,24.1109494500,7003110,170428183.8600,1.41,0.744400,0.18,0.494500
2023-10-09,24.2806745600,24.1908200900,24.4104643500,24.0310788100,8560280,207443605.5600,1.56,-0.533700,-0.13,0.604500
2023-10-10,24.3705290300,24.7798660600,25.2491060700,24.2207715800,19156559,474880123.1300,4.25,2.435000,0.59,1.352800
2023-10-11,24.8198013800,24.9795426600,25.2690737300,24.7598984000,15352610,384543374.0400,2.05,0.805800,0.20,1.084200
2023-10-12,25.1093324500,25.1093324500,25.1492677700,24.6900115900,10416130,260173122.4600,1.84,0.519600,0.13,0.735600
2023-10-13,24.9595750000,25.0893647900,25.3189928800,24.8397690400,10372245,260710407.7200,1.91,-0.079500,-0.02,0.732500
2023-10-16,25.0094941500,24.2607069000,25.0094941500,24.1808362600,11187861,274066975.3400,3.30,-3.302800,-0.83,0.790100
2023-10-17,24.3305937100,24.5003188200,24.7399307400,24.1608686000,8936742,218875785.9600,2.39,0.987700,0.24,0.631100
2023-10-18,24.4603835000,23.7615154000,24.6301086100,23.7615154000,10915534,262767161.8300,3.55,-3.015500,-0.74,0.770800
2023-10-19,23.5618388000,23.8114345500,24.8397690400,23.4719843300,17265355,419116083.2800,5.76,0.210100,0.05,1.219200
2023-10-20,23.8114345500,23.1924370900,23.9112728500,23.1325341100,13341750,312601843.2200,3.27,-2.599600,-0.62,0.942200
2023-10-23,23.0326958100,22.6033911200,23.1025826200,22.4336660100,10350090,235679271.2000,2.88,-2.539800,-0.59,0.730900
2023-10-24,22.6932455900,23.1225502800,23.2024209200,22.3038762200,12664262,289914830.2800,3.98,2.296800,0.52,0.894300
