日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,23.3105114600,24.3691890200,24.8397123800,23.2418934700,28157102,694461562.8900,0.00,3.196300,0.00,0.779000
2023-05-29,24.2319530400,24.4476095800,24.5358327100,24.0555067800,16205595,401536042.0700,1.97,0.321800,0.08,0.448400
2023-05-30,24.4574121500,24.2613607500,24.8005021000,24.0751119200,18821756,467492131.1500,2.97,-0.761800,-0.19,0.520700
2023-05-31,24.5358327100,24.7514892500,25.0945792000,24.3887941600,27021327,681908985.8000,2.91,2.020200,0.49,0.747600
2023-06-01,24.8985278000,25.0259612100,25.9474027900,24.8789226600,33754636,869722088.6000,4.32,1.108900,0.27,0.933900
2023-06-02,25.2808280300,25.6239179800,26.2512824600,25.2808280300,36695078,967683509.5600,3.88,2.389300,0.60,1.015200
2023-06-05,25.0161586400,24.5652404200,25.1141843400,24.5162275700,28760528,725433766.3200,2.33,-4.131600,-1.06,0.795700
2023-06-06,24.9279355100,24.5064250000,25.5651025600,24.3789915900,27969827,708358942.5500,4.83,-0.239400,-0.06,0.773800
2023-06-07,24.5652404200,24.3397813100,24.8201072400,24.2417556100,15534813,387360907.3800,2.36,-0.680000,-0.17,0.429800
2023-06-08,24.0260990700,24.2025453300,24.3103736000,23.7712322500,18872274,462051079.7800,2.22,-0.563800,-0.14,0.522100
2023-06-09,24.5946481300,24.8985278000,25.0357637800,24.2515581800,23680973,598501665.2400,3.24,2.875700,0.70,0.655200
2023-06-12,24.7612918200,24.4476095800,24.7612918200,24.1535324800,18037512,448928534.6000,2.44,-1.811000,-0.45,0.499000
2023-06-13,24.3397813100,24.5162275700,24.5652404200,24.1241247700,13898758,345231974.7000,1.80,0.280700,0.07,0.384500
2023-06-14,24.1633350500,24.5064250000,24.6044507000,23.9280733700,29637156,730800177.3400,2.76,-0.040000,-0.01,0.820000
2023-06-15,24.0064939300,23.0850523500,24.0064939300,22.5557135700,75775264,1787314619.3300,5.92,-5.800000,-1.42,2.096500
2023-06-16,23.1340652000,23.4477474400,23.6241937000,23.0164343600,39789709,949609506.4200,2.63,1.571100,0.36,1.100900
2023-06-19,23.3889320200,23.4183397300,23.4869577200,22.8399881000,23169056,547640751.0500,2.76,-0.125400,-0.03,0.641000
2023-06-20,23.1438677700,23.3007088900,23.5653782800,22.8791983800,18324303,435207443.2400,2.93,-0.502300,-0.12,0.507000
2023-06-21,23.0360395000,22.8890009500,23.4085371600,22.8497906700,15865006,373867032.9100,2.40,-1.766900,-0.41,0.438900
2023-06-26,22.8890009500,22.9772240800,23.5163654300,22.7517649700,22691191,536467861.5200,3.34,0.385400,0.09,0.627800
2023-06-27,22.7223572600,23.3007088900,23.3595243100,22.7223572600,15880787,374924211.3400,2.77,1.407800,0.32,0.439400
2023-06-28,23.1536703400,23.1536703400,23.3301166000,22.9576189400,13892473,327990050.9200,1.60,-0.631000,-0.15,0.384400
2023-06-29,23.0948549200,23.4085371600,23.5751808500,22.7125546900,17526215,417486737.1700,3.73,1.100800,0.25,0.484900
2023-06-30,23.4085371600,23.0164343600,23.4183397300,22.8791983800,16801920,395838716.8800,2.30,-1.675000,-0.39,0.464900
2023-07-03,23.1144600600,23.5457731400,23.7418245400,23.0654472100,22217754,531609116.9100,2.94,2.299800,0.53,0.614700
2023-07-04,23.6045885600,23.3203140300,23.6928116900,23.0850523500,13511607,321189186.1400,2.58,-0.957500,-0.23,0.373800
2023-07-05,23.3301166000,23.4673525800,23.5849834200,23.2026831900,14138043,338606186.8900,1.64,0.630500,0.15,0.391200
