日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,15.0939628200,15.4138734000,15.4914274800,14.8225235400,36570155,575146805.6800,0.00,2.713200,0.00,2.673100
2023-05-29,15.3169308000,14.9194661400,15.3654021000,14.8516063200,29204037,452045968.2100,3.33,-3.207500,-0.49,2.134700
2023-05-30,14.9776317000,15.5108160000,15.5108160000,14.9485489200,38470525,609585509.8700,3.77,3.963600,0.59,2.812000
2023-05-31,15.5495930400,15.3654021000,15.6465356400,15.2490709800,27482167,437038327.3100,2.56,-0.937500,-0.15,2.008800
2023-06-01,15.3654021000,15.0745743000,15.4429561800,15.0357972600,30954449,484171444.8900,2.65,-1.892700,-0.29,2.262600
2023-06-02,15.1230456000,15.3266250600,15.4623447000,15.0551857800,28428494,448506216.1100,2.70,1.672000,0.25,2.078000
2023-06-05,15.5980643400,15.7628667600,15.8501151000,15.2587652400,42665238,688105113.3700,3.86,2.846300,0.44,3.118600
2023-06-06,15.7047012000,15.3654021000,15.8210323200,15.2878480200,29261674,469615188.2600,3.38,-2.521500,-0.40,2.138900
2023-06-07,15.3654021000,15.3750963600,15.6368413800,15.1909054200,21514911,342016144.8400,2.90,0.063100,0.01,1.572600
2023-06-08,15.3847906200,15.0939628200,15.4914274800,14.8903833600,24217264,377449185.6100,3.91,-1.828500,-0.28,1.770200
2023-06-09,15.1715169000,15.7337839800,15.8210323200,15.1715169000,44518762,717309063.0300,4.30,4.238900,0.64,3.254100
2023-06-12,15.7337839800,16.9455664800,17.0618976000,15.7337839800,74294688,1270378211.7700,8.44,7.701800,1.21,5.430600
2023-06-13,16.9649550000,16.8583181400,17.1103689000,16.6644329400,47070253,816267296.8800,2.63,-0.514900,-0.09,3.440600
2023-06-14,16.8583181400,16.6838214600,17.0134263000,16.5481018200,30128004,518583067.8100,2.76,-1.035100,-0.17,2.202200
2023-06-15,16.6547386800,17.0037320400,17.4399737400,16.6450444200,62272548,1099197759.9500,4.76,1.917500,0.32,4.551800
2023-06-16,17.0425090800,16.8486238800,17.1976172400,16.7904583200,37903513,661569885.2900,2.39,-0.912200,-0.16,2.770600
2023-06-19,16.9552607400,17.2654770600,17.5659991200,16.9552607400,43260607,773020586.3500,3.62,2.474100,0.42,3.162100
2023-06-20,17.4593622600,17.5756933800,17.8083556200,17.1394516800,44771267,810083143.6900,3.87,1.796700,0.31,3.272600
2023-06-21,17.4011967000,16.9843435200,17.6435532000,16.9649550000,47609828,846385258.1000,3.86,-3.364600,-0.59,3.480000
2023-06-26,16.9067894400,16.7419870200,17.4011967000,16.6838214600,39322990,689485466.4800,4.22,-1.426900,-0.24,2.874300
2023-06-27,16.8001525800,16.6838214600,16.8195411000,16.3832994000,27834158,476569058.4000,2.61,-0.347400,-0.06,2.034500
2023-06-28,16.6644329400,16.7032099800,16.9552607400,16.1700256800,32264561,549566071.4300,4.71,0.116200,0.02,2.358400
2023-06-29,16.6644329400,16.9746492600,17.1685344600,16.6450444200,31039289,541725714.5400,3.13,1.625100,0.27,2.268800
2023-06-30,16.8777066600,17.1006746400,17.1976172400,16.7225985000,31342455,549220795.9600,2.80,0.742400,0.13,2.291000
2023-07-03,17.2073115000,17.3333368800,18.0216293400,17.1879229800,46286034,839723439.4100,4.88,1.360500,0.23,3.383300
2023-07-04,17.4399737400,18.2833743600,18.7583931000,17.2945598400,83638244,1570699454.8200,8.45,5.481000,0.95,6.113500
2023-07-05,18.2349030600,17.6435532000,18.2736801000,17.5466106000,63214057,1164630150.6400,3.98,-3.499500,-0.64,4.620600
2023-07-06,17.6047761600,18.1379604600,18.3415399200,17.4011967000,51004308,943738890.8900,5.33,2.802200,0.49,3.728200
2023-07-07,18.1282662000,18.1670432400,18.5838964200,18.0313236000,49975223,944016241.8200,3.05,0.160300,0.03,3.652900
2023-07-10,18.5257308600,18.1185719400,18.6129792000,17.9440752600,35862086,674479582.3600,3.68,-0.266800,-0.05,2.621300
2023-07-11,18.1573489800,19.2721888800,19.6017937200,17.8471326600,82254823,1598150925.3100,9.68,6.367000,1.15,6.012400
2023-07-12,19.8732330000,19.8538444800,20.9202130800,19.7181248400,123688416,2586888597.5900,6.24,3.018100,0.58,9.041000
2023-07-13,19.9217043000,19.9507870800,20.2513091400,19.3885200000,72757687,1491255713.6200,4.35,0.488300,0.10,5.318200
2023-07-14,19.7956789200,19.3303544400,20.2610034000,19.3109659200,58261175,1182545229.5300,4.76,-3.109800,-0.62,4.258600
2023-07-17,19.1461635000,19.9604813400,19.9701756000,18.9038070000,58142344,1176592912.6800,5.52,3.259800,0.63,4.249900
2023-07-18,19.7375133600,19.3303544400,19.8829272600,19.1073864600,55182895,1106133473.8300,3.89,-3.156900,-0.63,4.033600
2023-07-19,19.1364692400,19.2334118400,19.5339339000,19.0686094200,30004603,595245642.3100,2.41,-0.501500,-0.10,2.193200
2023-07-20,19.3885200000,18.5935906800,19.4757683400,18.4578710400,49787167,968189312.8200,5.29,-3.326600,-0.64,3.639200
2023-07-21,18.3027628800,18.4481767800,18.7583931000,18.3027628800,27631397,528380239.8800,2.45,-0.782100,-0.15,2.019700
2023-07-24,18.4384825200,18.5548136400,18.8553357000,18.3124571400,21146538,405764332.8300,2.94,0.578000,0.11,1.545700
2023-07-25,18.9522783000,19.1170807200,19.2140233200,18.6129792000,39620591,775171924.0600,3.24,3.030300,0.56,2.896100
2023-07-26,19.0007496000,18.2349030600,19.0201381200,18.1961260200,37727577,717068402.4300,4.31,-4.614600,-0.88,2.757700
2023-07-27,19.0879979400,18.8747242200,19.6599592800,18.8068644000,62481129,1238698157.1100,4.68,3.508800,0.64,4.567100
2023-07-28,18.8747242200,18.7680873600,19.1461635000,18.2155145400,49187197,948504761.8000,4.93,-0.565000,-0.11,3.595300
2023-07-31,19.0879979400,18.4384825200,19.4176027800,18.3221514000,48492569,943866384.3400,5.84,-1.756200,-0.33,3.544600
2023-08-01,18.3027628800,18.0507121200,18.4772595600,17.9634637800,35436900,663743208.6700,2.79,-2.103000,-0.39,2.590300
2023-08-02,17.9731580400,18.1670432400,18.2736801000,17.8762154400,25270364,471586834.8500,2.20,0.644500,0.12,1.847100
2023-08-03,18.2252088000,18.0313236000,18.5548136400,17.9440752600,23622676,443184958.0400,3.36,-0.747100,-0.14,1.726700
2023-08-04,18.2155145400,19.1655520200,19.3400487000,18.1282662000,49941000,965853127.0400,6.72,6.290300,1.13,3.650400
2023-08-07,19.0492209000,19.0007496000,19.4466855600,18.8941127400,29776996,587879901.5100,2.88,-0.859900,-0.16,2.176500
2023-08-08,19.0298323800,18.8262529200,19.3788257400,18.7293103200,20229325,396039570.8600,3.42,-0.918400,-0.17,1.478700
2023-08-09,18.6614505000,18.3027628800,18.8068644000,18.0894891600,25219983,476800219.5500,3.81,-2.780600,-0.52,1.843500
2023-08-10,18.2155145400,18.2058202800,18.3900112200,17.9925465600,16430255,307837455.9800,2.17,-0.529700,-0.10,1.201000
2023-08-11,18.2833743600,17.6144704200,18.2833743600,17.6144704200,25553096,469636385.6000,3.67,-3.248100,-0.59,1.867800
2023-08-14,17.4496680000,17.3915024400,17.4496680000,16.9455664800,29553635,524802812.6200,2.86,-1.265800,-0.22,2.160200
2023-08-15,17.4399737400,17.6823302400,17.8762154400,17.3624196600,23880123,434418487.6900,2.95,1.672200,0.29,1.745500
2023-08-16,17.6435532000,17.3333368800,17.7404958000,17.2557828000,12366721,222325697.6300,2.74,-1.973700,-0.35,0.903900
2023-08-17,17.4108909600,18.1476547200,18.3415399200,17.1685344600,28098110,517855104.4800,6.77,4.698000,0.81,2.053800
2023-08-18,18.0797949000,17.4787507800,18.2736801000,17.4302794800,20564124,376726650.8200,4.65,-3.685900,-0.67,1.503100
2023-08-21,17.4302794800,17.5369163400,17.9343810000,17.3624196600,18169511,330826690.7900,3.27,0.332800,0.06,1.328100
2023-08-22,17.7308015400,17.8374384000,17.9828523000,17.2557828000,25420336,462655638.2500,4.15,1.713700,0.30,1.858100
2023-08-23,17.7501900600,17.1394516800,17.8277441400,17.1200631600,21675822,390225498.1100,3.97,-3.913000,-0.70,1.584400
2023-08-24,17.1588402000,17.6241646800,17.9246867400,17.1588402000,27079275,491591692.7600,4.47,2.828100,0.48,1.979400
2023-08-25,17.4787507800,17.0425090800,17.6338589400,16.9067894400,20585076,364287368.1000,4.13,-3.300300,-0.58,1.504700
2023-08-28,18.1282662000,16.8970951800,18.1379604600,16.8777066600,26675617,480386671.8900,7.39,-0.853200,-0.15,1.949900
2023-08-29,16.9067894400,18.0216293400,18.1573489800,16.8874009200,38572252,705091361.8000,7.52,6.655200,1.12,2.819400
2023-08-30,18.0507121200,17.9828523000,18.1864317600,17.8374384000,21156736,393261076.4400,1.94,-0.215200,-0.04,1.546400
2023-08-31,17.9343810000,17.7792728400,18.1185719400,17.6823302400,15303562,281730763.1100,2.43,-1.132100,-0.20,1.118600
2023-09-01,17.8956039600,17.7889671000,17.9731580400,17.5175278200,14944906,273310053.2600,2.56,0.054500,0.01,1.092400
2023-09-04,17.9343810000,18.3027628800,18.3706227000,17.6920245000,31416448,586171599.3100,3.81,2.888300,0.51,2.296400
2023-09-05,18.2349030600,18.1670432400,18.3997054800,18.0894891600,18619339,349360847.7300,1.69,-0.741500,-0.14,1.361000
2023-09-06,18.1282662000,18.1961260200,18.4869538200,18.0410178600,20207790,380014124.6100,2.45,0.160100,0.03,1.477100
2023-09-07,18.0313236000,17.4981393000,18.0701006400,17.3915024400,25139540,457113677.5700,3.73,-3.835900,-0.70,1.837600
2023-09-08,17.3721139200,17.6435532000,17.8277441400,17.2363942800,13140406,238036218.9600,3.38,0.831000,0.15,0.960500
2023-09-11,17.7308015400,18.3609284400,18.4190940000,17.5950819000,33019329,619119615.3300,4.67,4.065900,0.72,2.413500
2023-09-12,18.7390045800,18.6032849400,18.8650299600,18.3221514000,30376044,582450386.3900,2.96,1.320000,0.24,2.220300
2023-09-13,18.5354251200,17.9246867400,18.6129792000,17.7501900600,21145588,394408631.2000,4.64,-3.647700,-0.68,1.545600
2023-09-14,17.7017187600,16.9649550000,17.8180498800,16.8292353600,35534332,630816216.9300,5.52,-5.354200,-0.96,2.597400
2023-09-15,16.9649550000,16.8680124000,17.0231205600,16.5965731200,20891040,362439228.6000,2.51,-0.571400,-0.10,1.527000
2023-09-18,16.7225985000,17.7986613600,18.1961260200,16.6838214600,41459125,755871594.7000,8.97,5.517200,0.93,3.030500
2023-09-19,17.7695785800,17.4981393000,17.7695785800,17.3430311400,17141154,309647915.1700,2.40,-1.688500,-0.30,1.252900
2023-09-20,17.3139483600,17.2848655800,17.6435532000,17.2654770600,11670340,209686795.3800,2.16,-1.218800,-0.21,0.853000
2023-09-21,17.2267000200,16.9552607400,17.3236426200,16.9261779600,13165722,231751601.7700,2.30,-1.906900,-0.33,0.962300
2023-09-22,16.9649550000,17.2267000200,17.2460885400,16.7516812800,23910382,419324262.5900,2.92,1.600900,0.27,1.747700
2023-09-25,17.1976172400,16.9746492600,17.4496680000,16.7710698000,23845213,417683141.7200,3.94,-1.463100,-0.25,1.743000
2023-09-26,16.8583181400,16.7032099800,16.9843435200,16.6838214600,13143440,227373100.5000,1.77,-1.599100,-0.27,0.960700
2023-09-27,16.7032099800,16.6644329400,16.8874009200,16.6062673800,13226796,228236760.6800,1.68,-0.232200,-0.04,0.966800
2023-09-28,16.7516812800,16.8777066600,17.1200631600,16.6741272000,18020661,314607597.9100,2.68,1.279800,0.21,1.317200
