日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,58.1653072000,58.1180951000,58.6657554600,57.6743013600,1877954,115481426.5100,0.00,-0.081200,0.00,0.384500
2023-05-29,58.1180951000,56.7772714600,58.1558647800,56.0407627000,4692306,281793217.0700,3.64,-2.307100,-1.34,0.960800
2023-05-30,56.8811380800,56.3995746600,56.9850047000,55.5497568600,2565574,152602091.8000,2.53,-0.665200,-0.38,0.525300
2023-05-31,55.8519143000,55.0587510200,56.4090170800,54.9926540800,2948092,173220296.2000,2.51,-2.377400,-1.34,0.603700
2023-06-01,55.0493086000,55.3514660400,56.5128837000,54.8226905200,2606717,153660024.2700,3.07,0.531600,0.29,0.533800
2023-06-02,55.4270054000,56.1635141600,56.4373443400,55.2381570000,2941526,174308944.9100,2.17,1.467100,0.81,0.602300
2023-06-05,55.9652233400,54.9926540800,56.3334777200,54.9171147200,3167805,185826138.0100,2.52,-2.084700,-1.17,0.648700
2023-06-06,54.7660360000,55.4742175000,56.0124354400,54.4449937200,3677625,216189333.1000,2.85,0.875700,0.48,0.753100
2023-06-07,55.5214296000,55.7291628400,58.0708830000,55.5214296000,4112657,244843790.7900,4.60,0.459600,0.25,0.842100
2023-06-08,55.5686417000,55.2759266800,56.3995746600,55.0304237600,3241490,190647154.0300,2.46,-0.813300,-0.45,0.663700
2023-06-09,55.5686417000,54.5960724400,55.6819507400,54.3033574200,3483075,202294148.2700,2.49,-1.229900,-0.68,0.713200
2023-06-12,54.4922058200,57.5987620000,57.8820346000,54.3127998400,7055964,422431403.8200,6.54,5.499800,3.00,1.444800
2023-06-13,57.5987620000,58.6279857800,59.0623371000,57.2777197200,5131007,317011185.6300,3.10,1.786900,1.03,1.050700
2023-06-14,58.6185433600,60.2804092800,61.0358028800,58.5996585200,7479446,477242732.0700,4.16,2.818500,1.65,1.531500
2023-06-15,60.3748334800,60.5259122000,60.7430878600,59.5722277800,4487111,286211120.9800,1.94,0.407300,0.25,0.918800
2023-06-16,60.5825667200,61.1396695000,61.5929056600,60.3465062200,4471498,288789764.0100,2.06,1.014000,0.61,0.915600
2023-06-19,61.0546877200,60.4409304200,61.7534268000,60.0821184600,3848158,247124807.7200,2.73,-1.142900,-0.70,0.788000
2023-06-20,60.0537912000,59.7610761800,60.6675485000,59.7233065000,2010934,127803995.4400,1.56,-1.124800,-0.68,0.411800
2023-06-21,59.6760944000,58.7696220800,60.3276213800,58.7696220800,2117800,133378608.7700,2.61,-1.659000,-0.99,0.433700
2023-06-26,58.7129675600,57.8631497600,58.7696220800,57.4099136000,2265003,139222466.3900,2.31,-1.542400,-0.91,0.463800
2023-06-27,57.8537073400,58.5713312600,58.7412948200,57.4382408600,2469332,152644823.9800,2.25,1.223900,0.71,0.505600
2023-06-28,58.5807736800,58.3352707600,59.1567613000,57.8631497600,2160117,133601044.3000,2.21,-0.403000,-0.24,0.442300
2023-06-29,58.0803254200,56.2201686800,58.0803254200,55.7102780000,4713168,282099949.3900,4.06,-3.625800,-2.12,0.965100
2023-06-30,56.1351869000,55.7008355800,56.6261927400,55.6158538000,3200328,189417786.1700,1.80,-0.923700,-0.52,0.655300
2023-07-03,55.7102780000,58.4013677000,58.4202525400,55.3325812000,6244986,377979868.6500,5.54,4.848300,2.70,1.278800
2023-07-04,58.0614405800,58.3163859200,58.5807736800,57.3438166600,2736727,167979923.2100,2.12,-0.145500,-0.08,0.560400
2023-07-05,58.0708830000,57.6931862000,58.1086526800,56.7489442000,3912022,237655676.1800,2.33,-1.068700,-0.62,0.801100
2023-07-06,57.2966045600,56.6167503200,58.2219617200,56.4373443400,2360940,142659918.7700,3.09,-1.865800,-1.08,0.483400
2023-07-07,56.3806898200,56.5600958000,57.2021803600,55.7858173600,2193019,131624943.7000,2.50,-0.100100,-0.06,0.449100
2023-07-10,56.5600958000,58.3541556000,59.3456097000,56.5600958000,5145716,318544703.3500,4.92,3.172000,1.79,1.053700
2023-07-11,58.5524464200,58.3069435000,58.8073917600,57.6743013600,2440830,150252333.0000,1.94,-0.080900,-0.05,0.499800
2023-07-12,58.5430040000,57.4948953800,58.6185433600,57.3815863400,2408141,147638762.8200,2.12,-1.392700,-0.81,0.493100
2023-07-13,57.6082044200,60.1954275000,60.4692576800,57.6082044200,6592666,416134125.6100,4.98,4.697000,2.70,1.350000
2023-07-14,60.0537912000,59.3928218000,60.7147606000,59.3078400200,3256845,205859062.9000,2.34,-1.333300,-0.80,0.666900
2023-07-17,59.2039734000,59.1473188800,59.2039734000,58.3258283400,2254582,140339108.1600,1.48,-0.413400,-0.25,0.461700
2023-07-18,59.2983976000,59.1945309800,59.4966884200,58.7318524000,2003775,125494119.9800,1.29,0.079800,0.05,0.410300
2023-07-19,59.2039734000,59.4872460000,59.4872460000,58.7885069200,2231237,139949850.0900,1.18,0.494500,0.29,0.456900
2023-07-20,59.9404821600,58.9207008000,60.7147606000,58.8168341800,3350176,212104125.3300,3.19,-0.952400,-0.57,0.686000
2023-07-21,58.7318524000,60.8375120600,60.9036090000,58.5524464200,6877637,440037865.9600,3.99,3.253200,1.92,1.408300
2023-07-24,61.1396695000,60.1198881400,61.1396695000,59.8649428000,2948690,188374109.0700,2.10,-1.179600,-0.72,0.603800
2023-07-25,61.5645784000,63.7174501600,65.2282373600,61.5645784000,13174559,889786343.6800,6.09,5.984000,3.60,2.697700
2023-07-26,63.2642140000,63.8213167800,64.5578255400,63.0564807600,5287339,356486849.0600,2.36,0.163000,0.10,1.082700
2023-07-27,63.8118743600,64.4067468200,66.0214006400,63.2642140000,6940751,476383436.5200,4.32,0.917300,0.59,1.421200
2023-07-28,63.9251834000,64.9638496000,65.3415464000,63.5474866000,5830184,399058559.1500,2.79,0.865000,0.56,1.193800
2023-07-31,66.2008066200,71.1391922800,71.4602345600,66.1063824200,18164032,1361091604.7700,8.24,9.505800,6.18,3.719400
