日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,13.6946673000,13.7043798300,13.7917926000,13.4712791100,12404968,174217501.4600,0.00,0.284300,0.00,0.801000
2023-05-29,13.6558171800,13.7140923600,13.9763306700,13.6363921200,12135561,172077174.1400,2.48,0.070900,0.01,0.783600
2023-05-30,13.6558171800,14.0928810300,14.2677065700,13.4227164600,33446369,479199526.0700,6.16,2.762000,0.38,2.159700
2023-05-31,14.0637434400,14.1025935600,14.3162692200,13.9666181400,26059005,379399764.6300,2.48,0.068900,0.01,1.682600
2023-06-01,14.0831685000,14.5785075300,14.6853453600,13.8986304300,39226739,580873382.7300,5.58,3.374700,0.48,2.532900
2023-06-02,14.6270701800,14.3648318700,14.6659203000,14.2579940400,29875187,443561871.2200,2.80,-1.465700,-0.21,1.929100
2023-06-05,14.3842569300,14.1414436800,14.4716697000,14.0637434400,24434131,357206991.2300,2.84,-1.555100,-0.22,1.577700
2023-06-06,14.0928810300,13.8306427200,14.2871316300,13.7917926000,20086332,290507148.9200,3.50,-2.197800,-0.31,1.297000
2023-06-07,13.8889179000,14.1317311500,14.3356942800,13.8306427200,21037175,306496440.2100,3.65,2.177000,0.30,1.358400
2023-06-08,14.0637434400,14.0831685000,14.1802938000,13.8403552500,15588317,224645976.5400,2.41,-0.343600,-0.05,1.006500
2023-06-09,14.0928810300,13.8986304300,14.1511562100,13.8306427200,17552741,251620468.5400,2.28,-1.310300,-0.18,1.133400
2023-06-12,14.0928810300,13.9083429600,14.2871316300,13.8306427200,18736699,270298399.2000,3.28,0.069900,0.01,1.209800
2023-06-13,13.8792053700,14.0831685000,14.1608687400,13.7043798300,19003605,273170853.2100,3.28,1.257000,0.17,1.227100
2023-06-14,14.0831685000,14.3939694600,14.6367827100,13.8792053700,37693312,555223412.2800,5.38,2.206900,0.31,2.433900
2023-06-15,14.2482815100,14.0151807900,14.5105198200,14.0054682600,27431183,400408862.8000,3.51,-2.631600,-0.38,1.771300
2023-06-16,13.9957557300,14.2288564500,14.4328195800,13.9666181400,23993850,351860892.0500,3.33,1.524600,0.21,1.549300
2023-06-19,14.3259817500,14.5979325900,14.7630456000,14.1802938000,46234128,687845784.5600,4.10,2.593900,0.37,2.985400
2023-06-20,14.4813822300,14.1123060900,14.5882200600,14.0831685000,31461888,463636944.7600,3.46,-3.326700,-0.49,2.031500
2023-06-21,14.0831685000,13.4227164600,14.1025935600,13.4227164600,25281244,357096990.3000,4.82,-4.886400,-0.69,1.632400
2023-06-26,13.3547287500,12.8788147800,13.3547287500,12.8108270700,20494993,274278555.7000,4.05,-4.052100,-0.54,1.323400
2023-06-27,12.8788147800,13.2964535700,13.4518540500,12.8788147800,16641891,226273583.6900,4.45,3.242800,0.42,1.074600
2023-06-28,13.2284658600,13.1410530900,13.2478909200,12.8205396000,11868412,159283448.2300,3.21,-1.168700,-0.16,0.766400
2023-06-29,13.1410530900,13.0147902000,13.2187533300,12.9565150200,9175531,123405711.8100,2.00,-0.960800,-0.13,0.592500
2023-06-30,12.9953651400,13.5198417600,13.7140923600,12.9953651400,19194445,265062000.7000,5.52,3.880600,0.51,1.239400
2023-07-03,13.9180554900,13.9277680200,14.3065566900,13.7432299500,26800605,386451589.0200,4.17,3.017200,0.41,1.730500
2023-07-04,13.7917926000,13.8500677800,14.0054682600,13.7432299500,12170999,173701058.7000,1.88,-0.557900,-0.08,0.785900
2023-07-05,13.8209301900,13.5878294700,13.8403552500,13.5586918800,10471275,147601921.0400,2.03,-1.893400,-0.26,0.676100
2023-07-06,13.5392668200,13.8112176600,13.8792053700,13.5295542900,11218406,158766352.9500,2.57,1.644000,0.22,0.724400
2023-07-07,13.7432299500,14.0151807900,14.2094313900,13.7140923600,23351731,338033093.2900,3.59,1.476800,0.20,1.507800
2023-07-10,13.9763306700,13.8209301900,13.9763306700,13.6752422400,12602866,179022148.0200,2.15,-1.386000,-0.19,0.813800
2023-07-11,13.9083429600,13.7432299500,13.9666181400,13.6752422400,7853492,111245726.5800,2.11,-0.562200,-0.08,0.507100
2023-07-12,13.7529424800,13.1119155000,13.7820800700,12.9468024900,25744670,348581332.5100,6.08,-4.593600,-0.63,1.662400
2023-07-13,13.7529424800,14.0054682600,14.1997188600,13.7043798300,36236783,520801769.5800,3.78,6.814800,0.89,2.339800
2023-07-14,14.0349235000,13.8679580000,14.0840310000,13.8581365000,16789152,238604720.2900,1.61,-0.981800,-0.14,1.084100
2023-07-17,13.8679580000,15.2527895000,15.2527895000,13.7108140000,53278487,798053506.3800,11.12,9.985800,1.38,3.440200
2023-07-18,14.9286800000,15.2920755000,16.1760105000,14.8501080000,86957275,1372903669.1400,8.69,0.257600,0.04,5.614900
2023-07-19,15.0268950000,15.6161850000,15.9010085000,15.0268950000,58571776,924825228.7600,5.72,2.119500,0.32,3.782000
2023-07-20,15.4197550000,15.1447530000,15.5376130000,15.0760025000,38485876,597762593.4000,2.96,-3.018900,-0.47,2.485100
2023-07-21,15.1545745000,15.0956455000,15.5081485000,15.0858240000,30290026,470020872.3100,2.79,-0.324300,-0.05,1.955800
2023-07-24,15.0465380000,14.9090370000,15.2429680000,14.8010005000,23698318,361863325.2000,2.93,-1.236200,-0.19,1.530200
2023-07-25,15.1152885000,15.1840390000,15.4001120000,15.0465380000,33526944,519541082.7600,2.37,1.844500,0.28,2.164900
2023-07-26,15.2233250000,15.5670775000,15.8617225000,15.0465380000,55292971,872572687.5400,5.37,2.522600,0.38,3.570300
2023-07-27,15.3117185000,14.8992155000,15.3608260000,14.8599295000,37445189,575240528.9000,3.22,-4.290200,-0.67,2.417900
2023-07-28,14.8697510000,15.0661810000,15.0956455000,14.6831425000,24511555,372922479.2700,2.77,1.120600,0.17,1.582700
2023-07-31,15.1447530000,15.3117185000,15.6358280000,15.1251100000,36614842,573929356.7700,3.39,1.629700,0.25,2.364200
2023-08-01,15.3706475000,16.0581525000,16.8340510000,15.2233250000,74430794,1215290936.0800,10.52,4.874900,0.75,4.806000
2023-08-02,15.8224365000,16.9519090000,17.6394140000,15.8126150000,90439297,1543511845.6500,11.38,5.565700,0.89,5.839700
2023-08-03,16.5001200000,16.5983350000,16.7456575000,16.2545825000,54656098,917717117.7700,2.90,-2.085700,-0.35,3.529200
2023-08-04,16.5885135000,16.8144080000,16.8733370000,16.3135115000,54623910,921632612.4600,3.37,1.301800,0.22,3.527100
