日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,9.8296775500,10.1589012000,10.2247459300,9.7732392100,128083399,1367316401.5700,0.00,2.661600,0.00,0.624000
2023-05-29,10.1777139800,10.1589012000,10.2341523200,10.0742436900,115787493,1249777587.7500,1.57,0.000000,0.00,0.564100
2023-05-30,10.1494948100,10.0742436900,10.2247459300,9.9801797900,118788486,1273962445.9600,2.41,-0.833300,-0.08,0.578700
2023-05-31,10.1118692500,10.0554309100,10.2247459300,9.9801797900,124179454,1332813547.2800,2.43,-0.186700,-0.02,0.605000
2023-06-01,10.0930564700,10.3940609500,10.5633759700,10.0460245200,220497810,2431831428.8100,5.14,3.367600,0.34,1.074300
2023-06-02,10.5069376300,10.9020060100,10.9302251800,10.5069376300,267583940,3071508966.6200,4.07,4.886900,0.51,1.303700
2023-06-05,10.7326909900,10.6104079200,10.7326909900,10.4787184600,167579066,1884615625.1200,2.33,-2.674700,-0.29,0.816500
2023-06-06,10.7044718200,10.7138782100,10.9584443500,10.6668462600,168797874,1940115544.8400,2.75,0.975200,0.10,0.822400
2023-06-07,10.7797229400,10.7232846000,10.9114124000,10.6856590400,110395819,1267421317.6800,2.11,0.087800,0.01,0.537900
2023-06-08,10.6104079200,10.8361612800,10.8831932300,10.4975312400,117954964,1346032613.8900,3.60,1.052600,0.11,0.574700
2023-06-09,10.9960699100,11.0148826900,11.1747913200,10.8361612800,150815129,1754620086.0200,3.12,1.649300,0.18,0.734800
2023-06-12,10.9020060100,10.8643804500,10.9302251800,10.7044718200,136545790,1572107109.0800,2.05,-1.366400,-0.15,0.665300
2023-06-13,10.8079421100,10.9114124000,10.9302251800,10.7420973800,88581336,1021045510.6500,1.73,0.432900,0.05,0.431600
2023-06-14,11.0054763000,11.1747913200,11.2876680000,11.0054763000,196690302,2340740618.7100,2.59,2.413800,0.26,0.958300
2023-06-15,11.1747932800,11.2896028000,11.3278726400,10.9260393200,145484376,1697224235.8400,3.60,1.027400,0.11,0.708800
2023-06-16,11.3374401000,11.5096543800,11.7488408800,11.3278726400,180454160,2181097715.6200,3.73,1.949200,0.22,0.879200
2023-06-19,11.5096543800,11.2991702600,11.5574916800,11.2034956600,148234676,1748223930.5100,3.08,-1.828800,-0.21,0.722200
2023-06-20,11.2800353400,11.2513329600,11.3470075600,11.0886861400,92657207,1089373378.1700,2.29,-0.423400,-0.05,0.451400
2023-06-21,11.0982536000,11.0695512200,11.3374401000,11.0408488400,84114400,983109004.7800,2.64,-1.615600,-0.18,0.409800
2023-06-26,11.0217139200,10.9930115400,11.1460909000,10.9356067800,79180144,912614623.7800,1.90,-0.691400,-0.08,0.385800
2023-06-27,10.9547417000,11.1843607400,11.2226305800,10.7920948800,102267126,1183301063.0900,3.92,1.740600,0.19,0.498200
2023-06-28,11.0886861400,11.1556583600,11.2226305800,11.0217139200,73042283,848689369.4000,1.80,-0.256600,-0.03,0.355900
2023-06-29,11.1078210600,10.8590671000,11.1556583600,10.8399321800,94829276,1082828353.7000,2.83,-2.658700,-0.30,0.462000
2023-06-30,10.8973369400,10.8782020200,11.0217139200,10.7633925000,66313367,756138024.9900,2.38,0.176200,0.02,0.323100
2023-07-03,11.0025790000,11.4139797800,11.5096543800,10.9930115400,171518591,2037155959.1300,4.75,4.925200,0.54,0.835600
2023-07-04,11.4522496200,11.2896028000,11.4809520000,11.2321980400,107427130,1267639364.9700,2.18,-1.089700,-0.12,0.523400
2023-07-05,11.2704678800,11.2896028000,11.3852774000,11.2226305800,71207528,840514440.1700,1.44,0.000000,0.00,0.346900
2023-07-06,11.2034956600,11.1078210600,11.2417655000,11.0217139200,76833555,891638838.5200,1.95,-1.610200,-0.18,0.374300
2023-07-07,11.0121464600,11.0504163000,11.2130631200,10.7920948800,125582984,1442386663.7300,3.79,-0.516800,-0.06,0.611800
2023-07-10,11.0791186800,11.0408488400,11.2513329600,10.9834440800,80589768,935831992.4000,2.42,-0.086600,-0.01,0.392600
2023-07-11,11.2034956600,11.3278726400,11.4331147000,11.1747932800,121686578,1437145245.5900,2.34,2.599700,0.29,0.592900
2023-07-12,11.3183051800,11.4331147000,11.5287893000,11.2609004200,187653141,2243047026.7000,2.36,0.929100,0.11,0.914300
2023-07-13,11.8445154800,11.9784599200,12.2080789600,11.8445154800,289777576,3643040703.9500,3.18,4.769900,0.55,1.411800
2023-07-14,12.1985115000,12.0358646800,12.2463488000,12.0167297600,127187184,1608069170.0500,1.92,0.479200,0.06,0.619700
2023-07-17,11.9401900800,11.8062456400,11.9593250000,11.7679758000,86362787,1069695816.2400,1.59,-1.907800,-0.23,0.420800
2023-07-18,11.8062456400,11.8636504000,11.9880273800,11.7297059600,68098977,845908311.7900,2.19,0.486200,0.06,0.331800
2023-07-19,12.0167297600,12.0454321400,12.1124043600,11.9114877000,103886841,1304436928.7400,1.69,1.532300,0.18,0.506100
2023-07-20,11.9975948400,12.0645670600,12.2463488000,11.9784599200,98663315,1251621301.2200,2.22,0.158900,0.02,0.480700
2023-07-21,12.0071623000,11.9880273800,12.1315392800,11.9497575400,70515847,887056619.7000,1.51,-0.634400,-0.08,0.343600
2023-07-24,11.8732178600,11.8923527800,12.0741345200,11.8445154800,57319982,715170937.0100,1.92,-0.798100,-0.10,0.279300
2023-07-25,12.0932694400,12.3802932400,12.5333726000,12.0932694400,175567357,2270880545.7000,3.70,4.103000,0.49,0.855400
2023-07-26,12.3994281600,12.5046702200,12.5142376800,12.3228884800,89449527,1161974128.5700,1.55,1.004600,0.12,0.435800
2023-07-27,12.5046702200,12.3228884800,12.5333726000,12.2750511800,76066981,986230626.0700,2.07,-1.453700,-0.18,0.370600
2023-07-28,12.1124043600,12.2367813400,12.2846186400,12.0071623000,145064577,1840514413.0400,2.25,-0.698800,-0.09,0.706800
2023-07-31,12.4281305400,12.4472654600,12.6099122800,12.3898607000,116713079,1524225381.4000,1.80,1.720100,0.21,0.568600
2023-08-01,12.6960194200,12.4855353000,12.8586662400,12.4376980000,120142346,1584776007.3900,3.38,0.307500,0.04,0.585300
2023-08-02,12.2654837200,12.3037535600,12.3994281600,12.2176464200,83936798,1078483437.5300,1.46,-1.455900,-0.18,0.408900
2023-08-03,12.1985115000,12.1889440400,12.2463488000,12.0549996000,109846621,1394928275.1000,1.56,-0.933100,-0.11,0.535200
2023-08-04,12.3037535600,12.2941861000,12.4281305400,12.2272138800,78105281,1007042199.6300,1.65,0.863400,0.11,0.380500
2023-08-07,12.2272138800,12.2941861000,12.3228884800,12.1793765800,44623088,572241705.8300,1.17,0.000000,0.00,0.217400
2023-08-08,12.2941861000,12.4664003800,12.5620749800,12.1889440400,111902027,1455326073.7300,3.04,1.400800,0.17,0.545200
2023-08-09,12.3420234000,12.3133210200,12.4185630800,12.1889440400,84007485,1079691460.0100,1.84,-1.227900,-0.15,0.409300
2023-08-10,12.2463488000,12.1793765800,12.3228884800,12.1411067400,70330322,897239230.3400,1.48,-1.087800,-0.13,0.342700
2023-08-11,12.1985115000,11.9593250000,12.2750511800,11.9019202400,93182422,1172097977.6300,3.06,-1.806800,-0.22,0.454000
2023-08-14,11.8540829400,11.7871107200,11.8827853200,11.6244639000,131024479,1612319538.3700,2.16,-1.440000,-0.17,0.638400
2023-08-15,11.8062456400,11.7871107200,11.8923527800,11.6340313600,68007984,835672640.8100,2.19,0.000000,0.00,0.331300
2023-08-16,11.6531662800,11.6627337400,11.7201385000,11.5574916800,74573738,907904340.5300,1.38,-1.055200,-0.12,0.363300
2023-08-17,11.5383567600,11.7584083400,11.8062456400,11.3278726400,101796875,1234023155.0700,4.10,0.820300,0.10,0.496000
2023-08-18,11.7584083400,11.5574916800,11.8923527800,11.5287893000,76821225,939366605.2100,3.09,-1.708700,-0.20,0.374300
2023-08-21,11.5574916800,11.4618170800,11.6531662800,11.4618170800,75479962,910248452.3500,1.66,-0.827800,-0.10,0.367700
2023-08-22,11.5574916800,11.8732178600,11.9401900800,11.5574916800,165777633,2045267562.3300,3.34,3.589300,0.41,0.807700
2023-08-23,11.9114877000,11.6435988200,11.9497575400,11.5957615200,126975644,1557000098.1600,2.98,-1.933900,-0.23,0.618600
2023-08-24,11.9114877000,11.9497575400,12.1028369000,11.8158131000,138872628,1736015214.4300,2.47,2.629400,0.31,0.676600
2023-08-25,11.8636504000,11.7679758000,11.9114877000,11.6244639000,127145799,1563198557.7900,2.40,-1.521200,-0.18,0.619500
2023-08-28,12.3611583200,11.6148964400,12.4089956200,11.5383567600,203852109,2505833264.7000,7.40,-1.300800,-0.15,0.993200
2023-08-29,11.5861940600,11.5574916800,11.8349480200,11.5192218400,140982272,1719289961.4900,2.72,-0.494200,-0.06,0.686900
2023-08-30,11.7201385000,11.9114877000,11.9975948400,11.6914361200,159470560,1978837053.4900,2.65,3.062900,0.35,0.776900
2023-08-31,11.9497575400,11.8253805600,12.0549996000,11.8062456400,82969987,1031632502.8400,2.09,-0.722900,-0.09,0.404200
2023-09-01,11.8540829400,12.2463488000,12.3420234000,11.8349480200,143485185,1825917255.9600,4.29,3.559900,0.42,0.699100
2023-09-04,12.3898607000,12.6290472000,12.9160710000,12.3898607000,188698652,2493402696.3700,4.30,3.125000,0.38,0.919300
2023-09-05,12.5333726000,12.5812099000,12.6386146600,12.4089956200,80427855,1051883312.9400,1.82,-0.378800,-0.05,0.391800
2023-09-06,12.4568329200,12.4951027600,12.6099122800,12.3707257800,72466469,946999081.4600,1.90,-0.684400,-0.09,0.353100
2023-09-07,12.3802932400,12.4472654600,12.5429400600,12.3420234000,72247716,941296011.8000,1.61,-0.382800,-0.05,0.352000
2023-09-08,12.4472654600,12.3228884800,12.5333726000,12.2559162600,55492369,716285757.5800,2.23,-0.999200,-0.12,0.270400
2023-09-11,12.3228884800,12.4376980000,12.5812099000,12.2654837200,87787035,1141585554.2200,2.56,0.931700,0.11,0.427700
2023-09-12,12.4472654600,12.2846186400,12.5238051400,12.2463488000,84410056,1088460258.5200,2.23,-1.230800,-0.15,0.411200
2023-09-13,12.2272138800,12.2846186400,12.4185630800,12.2080789600,87054305,1118569961.3800,1.71,0.000000,0.00,0.424100
2023-09-14,12.3420234000,12.4185630800,12.5333726000,12.2846186400,152218542,1978039446.8400,2.02,1.090300,0.13,0.741600
2023-09-15,12.6194797400,12.5812099000,12.8395313200,12.4951027600,173231399,2293010436.1000,2.77,1.309700,0.16,0.844000
2023-09-18,12.5142376800,12.5046702200,12.5142376800,12.3324559400,105742734,1373023886.1000,1.44,-0.608400,-0.08,0.515200
2023-09-19,12.4376980000,12.6003448200,12.6768845000,12.4185630800,108154112,1423466929.4000,2.07,0.765100,0.10,0.526900
2023-09-20,12.5333726000,12.6768845000,12.7055868800,12.4759678400,90314021,1192683790.1100,1.82,0.607400,0.08,0.440000
2023-09-21,12.5333726000,12.5238051400,12.6290472000,12.4185630800,96166185,1258503964.2500,1.66,-1.207500,-0.15,0.468500
2023-09-22,12.3898607000,12.3707257800,12.4185630800,12.1315392800,186231640,2383603518.3400,2.29,-1.222300,-0.15,0.907300
2023-09-25,12.3228884800,12.2080789600,12.4281305400,12.1889440400,115655415,1484110321.9100,1.93,-1.314800,-0.16,0.563500
2023-09-26,12.1411067400,12.1028369000,12.1985115000,11.9497575400,128915086,1627524476.8500,2.04,-0.862100,-0.11,0.628100
2023-09-27,12.1028369000,11.8732178600,12.1315392800,11.8445154800,133613484,1666206857.1200,2.37,-1.897200,-0.23,0.651000
2023-09-28,11.8732178600,11.6053289800,11.9784599200,11.5383567600,149985684,1827180749.9300,3.71,-2.256200,-0.27,0.730700
2023-10-09,11.3948448600,11.6723012000,11.7201385000,11.2321980400,122116683,1471766811.5700,4.20,0.577100,0.07,0.595000
2023-10-10,11.7488408800,11.6914361200,11.8827853200,11.6723012000,68398356,839634889.7200,1.80,0.163900,0.02,0.333200
2023-10-11,11.7679758000,11.6053289800,11.7775432600,11.4713845400,85168723,1030641326.2200,2.62,-0.736500,-0.09,0.414900
2023-10-12,11.7392734200,11.7584083400,11.8253805600,11.6531662800,70314506,862664146.9900,1.48,1.319000,0.15,0.342600
2023-10-13,11.6053289800,11.5000869200,11.6244639000,11.4809520000,66449566,800676293.3400,1.22,-2.196900,-0.26,0.323700
2023-10-16,11.7201385000,11.6148964400,11.7488408800,11.5766266000,94815422,1156057632.8400,1.50,0.998300,0.11,0.461900
2023-10-17,11.5957615200,11.5383567600,11.6148964400,11.4618170800,80051798,964979087.9500,1.32,-0.659000,-0.08,0.390000
2023-10-18,11.5670591400,11.4618170800,11.6053289800,11.4426821600,73584741,886160394.3100,1.41,-0.663300,-0.08,0.358500
2023-10-19,11.4331147000,11.2609004200,11.4618170800,11.2417655000,98618747,1167806409.2400,1.92,-1.752900,-0.20,0.480500
2023-10-20,11.3087377200,11.1460909000,11.4139797800,11.0886861400,79552087,932493225.6600,2.89,-1.019500,-0.11,0.387600
2023-10-23,11.0791186800,10.9547417000,11.1556583600,10.8399321800,85800104,985685575.1900,2.83,-1.716700,-0.19,0.418000
2023-10-24,11.0408488400,11.2417655000,11.3183051800,11.0312813800,119694433,1396287628.2900,2.62,2.620100,0.29,0.583200
2023-10-25,11.5192218400,11.5574916800,11.7775432600,11.5192218400,129416820,1575510361.3400,2.30,2.808500,0.32,0.630500
2023-10-26,11.4809520000,11.5574916800,11.5861940600,11.3661424800,74025968,887984381.7300,1.90,0.000000,0.00,0.360700
2023-10-27,11.4618170800,11.4905194600,11.6340313600,11.4331147000,92836222,1118062156.7400,1.74,-0.579500,-0.07,0.452300
2023-10-30,11.6723012000,11.8827853200,12.1315392800,11.6627337400,180159501,2233732783.9200,4.08,3.413800,0.39,0.877700
2023-10-31,11.8636504000,11.9019202400,11.9210551600,11.7488408800,75169604,929308103.0800,1.45,0.161000,0.02,0.366200
2023-11-01,11.7871107200,11.6723012000,11.8158131000,11.6148964400,93872097,1145423054.3800,1.69,-1.929300,-0.23,0.457300
2023-11-02,11.8158131000,11.6818686600,11.9401900800,11.6723012000,91383818,1128790482.7800,2.30,0.082000,0.01,0.445200
2023-11-03,11.6914361200,11.6435988200,11.7679758000,11.5766266000,81585921,992620603.6300,1.64,-0.327600,-0.04,0.397500
2023-11-06,11.6531662800,11.4139797800,11.6723012000,11.3565750200,144313303,1725547500.4600,2.71,-1.972100,-0.23,0.703100
2023-11-07,11.3661424800,11.4905194600,11.5096543800,11.2130631200,91670061,1090796540.1200,2.60,0.670600,0.08,0.446600
2023-11-08,11.3661424800,11.3087377200,11.4331147000,11.2130631200,113321587,1340004024.2100,1.92,-1.582000,-0.18,0.552100
2023-11-09,11.1939282000,11.3661424800,11.3852774000,11.1939282000,77642269,918449508.1600,1.69,0.507600,0.06,0.378300
2023-11-10,11.3183051800,11.2704678800,11.3470075600,11.2130631200,43771753,515193192.7700,1.18,-0.841800,-0.10,0.213300
2023-11-13,11.2800353400,11.3852774000,11.4139797800,11.2226305800,55328036,654865236.3900,1.70,1.018700,0.11,0.269600
2023-11-14,11.4331147000,11.3470075600,11.4618170800,11.2991702600,49533264,587725506.2800,1.43,-0.336100,-0.04,0.241300
2023-11-15,11.7010035800,11.4809520000,11.7010035800,11.4139797800,100819208,1214529080.7800,2.53,1.180400,0.13,0.491200
2023-11-16,11.4522496200,11.4522496200,11.5096543800,11.3374401000,72428050,864811238.3200,1.50,-0.250000,-0.03,0.352900
2023-11-17,11.4618170800,11.4522496200,11.5000869200,11.3565750200,56250453,670740301.6500,1.25,0.000000,0.00,0.274100
2023-11-20,11.4426821600,11.3470075600,11.4522496200,11.2609004200,67797583,804255270.2700,1.67,-0.919000,-0.11,0.330300
2023-11-21,11.4426821600,11.6148964400,11.6818686600,11.3948448600,146698506,1779892323.3300,2.53,2.360900,0.27,0.714700
2023-11-22,11.6148964400,11.4331147000,11.6148964400,11.4044123200,62734020,753600457.2600,1.81,-1.565100,-0.18,0.305600
2023-11-23,11.4235472400,11.4713845400,11.4809520000,11.3087377200,55954963,665698869.4000,1.51,0.334700,0.04,0.272600
2023-11-24,11.4522496200,11.3374401000,11.4713845400,11.3278726400,51770983,615768319.4700,1.25,-1.167600,-0.13,0.252200
2023-11-27,11.3470075600,11.3565750200,11.5096543800,11.2226305800,57775499,685011611.2500,2.53,0.168800,0.02,0.281500
2023-11-28,11.3470075600,11.3757099400,11.3852774000,11.2034956600,62640831,739510570.0700,1.60,0.168500,0.02,0.305200
2023-11-29,11.5670591400,11.6244639000,11.6723012000,11.5574916800,169653492,2061141701.7000,1.01,2.186700,0.25,0.826600
2023-11-30,11.6148964400,11.6531662800,11.7392734200,11.5479242200,116747513,1421931900.1100,1.65,0.246900,0.03,0.568800
2023-12-01,11.6244639000,11.5192218400,11.6723012000,11.4426821600,101753675,1228288082.7500,1.97,-1.149400,-0.13,0.495700
2023-12-04,11.9114877000,11.8636504000,12.1411067400,11.8445154800,229119485,2865128222.5900,2.57,2.990000,0.34,1.116300
2023-12-05,11.5957615200,11.4331147000,11.6340313600,11.4044123200,158484060,1905395189.2000,1.94,-3.629000,-0.43,0.772100
2023-12-06,11.3278726400,11.4809520000,11.5574916800,11.2417655000,110464022,1321048902.9600,2.76,0.418400,0.05,0.538200
2023-12-07,11.3852774000,11.2896028000,11.4044123200,11.2417655000,108883301,1285326253.0100,1.42,-1.666700,-0.19,0.530500
2023-12-08,11.2991702600,11.1652258200,11.3183051800,11.1460909000,118281121,1383385683.8000,1.53,-1.101700,-0.12,0.576200
2023-12-11,11.0886861400,11.1652258200,11.2226305800,10.8877694800,111213214,1285375456.5400,3.00,0.000000,0.00,0.541800
2023-12-12,11.0695512200,11.1173885200,11.1269559800,10.9643091600,89300708,1030115692.6500,1.46,-0.428400,-0.05,0.435100
2023-12-13,11.0408488400,10.9451742400,11.1078210600,10.9451742400,85644343,987071611.0900,1.46,-1.549100,-0.17,0.417200
