日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,41.0733656800,41.0340986000,41.1715333800,40.4450924000,11524048,478663497.9000,0.00,-0.095600,0.00,1.239600
2023-05-29,40.7101451900,39.8659029700,40.9162973600,39.6695675700,14469016,590622131.7700,3.04,-2.846900,-1.17,1.556400
2023-05-30,39.7677352700,39.6695675700,40.2094899200,39.3848812400,12462456,503963138.9000,2.07,-0.492500,-0.20,1.340600
2023-05-31,39.6008501800,40.8868470500,40.8868470500,39.3750644700,14203784,580046998.0400,3.81,3.068500,1.22,1.527900
2023-06-01,40.6414278000,40.1015054500,40.6512445700,39.7579185000,14414008,591408698.9400,2.18,-1.920800,-0.79,1.550500
2023-06-02,39.9542539000,40.0033377500,40.2389402300,39.6695675700,12117484,492757647.4800,1.42,-0.244800,-0.10,1.303500
2023-06-05,39.9051700500,39.4732321700,40.1309557600,39.4437818600,11431074,462449192.3000,1.72,-1.325200,-0.53,1.229600
2023-06-06,39.4634154000,38.7369744200,39.5910334100,38.7369744200,11492840,457363254.3500,2.16,-1.865200,-0.74,1.236300
2023-06-07,38.6289899500,38.6093564100,39.0609278300,38.2854030000,8292011,326523318.1900,2.00,-0.329400,-0.13,0.892000
2023-06-08,38.6191731800,38.8744092000,39.6401172600,38.3835707000,12823752,508678643.1800,3.25,0.686500,0.27,1.379500
2023-06-09,38.9725769000,38.4424713200,39.0020272100,38.4424713200,13816272,543846030.7600,1.44,-1.111100,-0.43,1.486200
2023-06-12,38.5700893300,38.2461359200,38.6682570300,38.0890676000,10767147,421153310.5600,1.51,-0.510700,-0.20,1.158200
2023-06-13,38.4719216300,38.5308222500,38.5700893300,38.0105334400,9116353,355913585.1700,1.46,0.744400,0.28,0.980700
2023-06-14,38.5897228700,38.3933874700,38.9431265900,38.3835707000,10488222,412833571.7600,1.45,-0.356700,-0.14,1.128200
2023-06-15,38.4817384000,38.9627601300,39.1590955300,38.1872353000,18744030,738899492.0100,2.53,1.483000,0.57,2.016300
2023-06-16,38.9725769000,39.1689123000,39.2768967700,38.8155085800,14078688,559767407.9100,1.18,0.529100,0.21,1.514500
2023-06-19,39.0903781400,38.8253253500,39.0903781400,38.6780738000,9643812,381332809.9700,1.05,-0.877200,-0.34,1.037400
2023-06-20,38.7762415000,38.2461359200,38.9627601300,38.1676017600,11731916,459986208.1500,2.05,-1.491800,-0.58,1.262000
2023-06-21,38.1676017600,36.2140645300,38.2755862300,36.0275459000,26265718,987383678.8700,5.88,-5.313100,-2.03,2.825400
2023-06-26,35.8312105000,35.1538533700,35.8312105000,34.9575179700,15780745,567629462.5300,2.41,-2.927600,-1.06,1.697500
2023-06-27,35.2029372200,35.2225707600,35.4778067800,35.0655024400,13006297,466502357.4700,1.17,0.195500,0.07,1.399100
2023-06-28,35.1342198300,34.5059465500,35.1342198300,34.4372291600,16734070,591418457.7000,1.98,-2.034600,-0.72,1.800100
2023-06-29,34.5255800900,34.5255800900,34.7513658000,34.2310769900,8270599,291135891.5400,1.51,0.056900,0.02,0.889700
2023-06-30,34.4764962400,34.8691670400,35.1931204500,34.4666794700,13730103,487807274.2500,2.10,0.995200,0.34,1.477000
