日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,32.9779957500,32.4475560300,33.2222772000,32.3358845100,2320184,108463864.3600,0.00,-2.023200,0.00,0.515200
2023-05-29,32.4615149700,32.4964123200,32.7965295300,31.9031573700,3032982,140218273.4000,2.75,0.150600,0.05,0.673500
2023-05-30,31.8612805500,31.9659726000,32.3847408000,30.8981136900,5640856,254977477.5200,4.57,-1.632300,-0.53,1.252500
2023-05-31,32.1055620000,31.5611633400,32.7895500600,31.4774097000,3912401,179351189.6000,4.10,-1.266400,-0.40,0.868700
2023-06-01,31.7147116800,32.5173507300,32.9989341600,31.2959434800,5071557,235424483.0000,5.40,3.029600,0.96,1.126100
2023-06-02,32.5173507300,32.4056792100,32.7616321800,32.1613977600,2639593,122670837.6500,1.85,-0.343400,-0.11,0.586100
2023-06-05,32.3149461000,31.3936560600,32.7197553600,31.1633335500,4655424,210043176.2400,4.80,-3.123000,-1.01,1.033700
2023-06-06,31.3378203000,30.3816329100,31.3936560600,30.2211051000,4282304,188572561.0300,3.73,-3.223700,-1.01,0.950900
2023-06-07,30.5840375400,30.2769408600,30.9190521000,30.2699613900,3011464,131351162.0100,2.14,-0.344600,-0.10,0.668700
2023-06-08,30.3048587400,30.4025713200,30.8771752800,30.0117210000,3257827,141932851.9300,2.86,0.414900,0.13,0.723400
2023-06-09,30.4025713200,31.6169991000,31.8543010800,30.1792282800,7827800,349363976.5900,5.51,3.994500,1.21,1.738100
2023-06-12,31.4076150000,31.5472044000,32.4196381500,31.0656209700,4869151,221770999.1200,4.28,-0.220800,-0.07,1.081200
2023-06-13,31.6867938000,31.1354156700,32.1613977600,31.0656209700,3217935,144688996.9200,3.47,-1.305300,-0.41,0.714500
2023-06-14,31.3308408300,30.6817501200,31.4634507600,30.6817501200,3478662,154743439.4600,2.51,-1.457100,-0.45,0.772400
2023-06-15,30.6259143600,31.9101368400,31.9240957800,30.6259143600,7242212,326430918.1700,4.23,4.003600,1.23,1.608100
2023-06-16,31.9520136600,31.8263832000,32.1683772300,31.4494918200,4657617,211949033.5000,2.25,-0.262500,-0.08,1.034200
2023-06-19,31.7565885000,31.2261487800,31.9310752500,31.1842719600,3474181,156533216.8600,2.35,-1.886000,-0.60,0.771400
2023-06-20,31.4006355300,30.9050931600,31.6728348600,30.8701958100,3443848,153955092.9800,2.57,-1.028200,-0.32,0.764700
2023-06-21,30.7096680000,29.1672051300,30.9050931600,29.0764720200,7051541,299145783.6900,5.92,-5.623300,-1.74,1.565800
2023-06-26,28.3994634300,29.0485541400,29.7046243200,28.3715455500,4586856,191355506.3300,4.57,-0.406800,-0.12,1.018500
2023-06-27,29.2090819500,28.8321905700,29.5091991600,28.7065601100,3577638,148528461.8800,2.76,-0.744800,-0.22,0.794400
2023-06-28,28.8321905700,28.4762376000,28.8950058000,28.2110177400,3176827,129307376.1800,2.37,-1.234600,-0.36,0.705400
2023-06-29,28.4762376000,28.0435104600,28.5739501800,27.9039210600,3048253,123035210.2700,2.35,-1.519600,-0.43,0.676900
2023-06-30,28.1412230400,28.5460323000,28.8042726900,27.8899621200,3591111,146740571.9300,3.26,1.791900,0.50,0.797400
2023-07-03,28.7274985200,28.7903137500,29.1462667200,28.4204018400,3582260,147486100.3400,2.54,0.855700,0.24,0.795400
2023-07-04,28.6716627600,29.2858561200,29.5022196900,28.5041554800,4984918,207204126.6500,3.47,1.721200,0.50,1.106900
2023-07-05,29.3835687000,28.9648005000,29.4743018100,28.8601084500,3748909,155947389.8500,2.10,-1.096300,-0.32,0.832400
2023-07-06,28.9648005000,28.5041554800,28.9857389100,28.4552991900,3068119,125838247.8000,1.83,-1.590400,-0.46,0.681300
2023-07-07,28.4273813100,28.1342435700,28.6088475300,28.0993462200,2088840,84606114.2800,1.79,-1.297700,-0.37,0.463800
2023-07-10,28.1621614500,28.2877919100,29.0206362600,28.0644488700,3775646,154318324.7200,3.40,0.545800,0.15,0.838400
2023-07-11,28.3645660800,28.3715455500,28.4134223700,28.0295515200,2557995,103393692.2100,1.36,0.296100,0.08,0.568000
2023-07-12,28.2319561500,27.8341263600,28.4064429000,27.8341263600,2868200,115358141.1000,2.02,-1.894200,-0.54,0.636900
2023-07-13,28.1272641000,28.8670879200,29.2439793000,27.9178800000,5857511,241500621.4400,4.76,3.711100,1.03,1.300600
2023-07-14,28.9927183800,28.5809296500,28.9927183800,28.5041554800,2821504,115825860.7400,1.69,-0.991300,-0.29,0.626500
2023-07-17,26.6336575200,25.7263264200,26.7872058600,25.7263264200,8218171,305314235.1100,3.71,-9.987800,-2.85,1.824800
2023-07-18,25.5169423200,26.4033350100,26.5219860000,25.3424555700,8767338,326104608.8700,4.58,2.631600,0.68,1.946800
2023-07-19,26.4591707700,26.3474992500,26.9965899600,26.2428072000,5065133,192197599.0500,2.85,-0.211500,-0.06,1.124700
2023-07-20,26.6406369900,25.9636284000,26.7453290400,25.9008131700,3826794,144213850.7800,3.21,-1.457000,-0.38,0.849700
2023-07-21,26.0194641600,25.9636284000,26.7872058600,25.8449774100,4773684,179329907.6600,3.63,0.000000,0.00,1.060000
2023-07-24,25.9217515800,25.9845668100,26.5568833500,25.8589363500,4791803,179049196.5300,2.69,0.080600,0.02,1.064000
2023-07-25,26.1228135000,26.4191025000,26.6462574000,26.0141742000,5974179,159318379.8400,2.43,1.672400,0.43,0.947600
2023-07-26,26.4388551000,27.0610620000,27.4363614000,26.3203395000,7819400,213550548.4400,4.22,2.429900,0.64,1.240200
2023-07-27,26.9129175000,26.8339071000,27.2783406000,26.7450204000,4639089,126594322.0300,1.97,-0.839400,-0.23,0.735800
2023-07-28,26.7746493000,27.3968562000,27.4166088000,26.5672470000,5849514,160242172.2500,3.17,2.097900,0.56,0.927800
2023-07-31,27.4561140000,27.6832689000,28.2067128000,27.3375984000,7114356,200186755.9700,3.17,1.045400,0.29,1.128400
2023-08-01,27.8709186000,27.3178458000,28.5425070000,27.1993302000,9420008,264893328.1900,4.85,-1.320000,-0.37,1.494100
