日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,29.9937531500,29.9647550000,30.3030667500,29.6167772000,966200,29963859.0000,0.00,-0.958500,0.00,2.415500
2023-05-29,29.5877790500,29.8777605500,29.9744210500,28.8821574000,2571603,78380617.4300,3.65,-0.290300,-0.09,6.429000
2023-05-30,29.7714340000,29.2108031000,30.1194118000,28.7758308500,1137565,34374276.6000,4.50,-2.232300,-0.67,2.843900
2023-05-31,29.1528068000,30.1967402000,30.3707291000,28.8144950500,1510616,46395127.9800,5.33,3.375200,0.99,3.776500
2023-06-01,29.8487624000,29.4331222500,30.5253859000,28.9014895000,1700689,51893310.9800,5.38,-2.528800,-0.76,4.251700
2023-06-02,29.4331222500,29.0851444500,30.3417309500,28.9884839500,1414888,43146517.3600,4.60,-1.182300,-0.35,3.537200
2023-06-05,29.1624728500,29.3751259500,30.2547365000,28.7661648000,1646288,50412992.1600,5.12,0.997000,0.29,4.115700
2023-06-06,29.3364617500,28.1862018000,29.3847920000,28.0992073500,1340494,39690455.0000,4.38,-4.047400,-1.19,3.351200
2023-06-07,28.2248660000,28.0025468500,28.4955154000,27.8865542500,668500,19436098.0000,2.16,-0.651600,-0.18,1.671300
2023-06-08,28.0992073500,27.4322499000,28.2538641500,27.4129178000,677680,19441025.3600,3.00,-2.036600,-0.57,1.694200
2023-06-09,27.4612480500,27.7995598000,28.3988549000,27.2872591500,811823,23333184.9200,4.05,1.339000,0.37,2.029600
2023-06-12,27.8382240000,27.8092258500,27.9348845000,27.3355894000,647607,18523828.0300,2.16,0.034800,0.01,1.619000
2023-06-13,27.8285579500,28.0702092000,28.4375191000,27.7318974500,766188,22222945.6400,2.54,0.938500,0.26,1.915500
2023-06-14,28.0218789500,27.2969252000,28.2731962500,27.2679270500,880200,25036400.0000,3.58,-2.754800,-0.77,2.200500
2023-06-15,27.2582610000,27.4419159500,27.5289104000,27.1132702500,697200,19731987.0000,1.52,0.531200,0.14,1.743000
2023-06-16,27.4419370000,27.1990880000,27.5196486800,26.9173831600,788304,21991033.7600,2.19,-0.885000,-0.24,1.970800
2023-06-19,27.0533786000,26.9173831600,27.3447974000,26.8590994000,1097533,30564322.7900,1.79,-1.035700,-0.28,2.743800
2023-06-20,26.8590994000,26.4802549600,26.9076692000,26.4025432800,872594,23896820.3600,1.88,-1.624000,-0.44,2.181500
2023-06-21,26.3928293200,26.3151176400,26.7813877200,26.1402663600,712283,19369131.2600,2.42,-0.623600,-0.17,1.780700
2023-06-26,26.2665478400,25.7419940000,26.3151176400,25.6448544000,782959,20920417.9000,2.55,-2.177900,-0.57,1.957400
2023-06-27,25.8197056800,27.1213763200,27.1699461200,25.6934242000,1897735,52156204.5000,5.74,5.358500,1.38,4.744300
2023-06-28,26.9853808800,26.8105296000,27.1408042400,26.2082640800,991516,27209267.4000,3.44,-1.146100,-0.31,2.478800
2023-06-29,26.9270971200,27.8790652000,28.4619028000,26.7133900000,2185366,62673272.3500,6.52,3.985500,1.07,5.463400
2023-06-30,27.6847860000,28.6076122000,29.1418800000,27.5876464000,2205776,65049527.9400,5.57,2.613200,0.73,5.514400
2023-07-03,28.5881842800,29.7635734400,30.2298435200,28.5590424000,2354152,71246669.4800,5.84,4.040700,1.16,5.885400
2023-07-04,29.6858617600,29.8218572000,30.1715597600,29.5304384000,1293011,39636570.1400,2.15,0.195800,0.06,3.232500
2023-07-05,30.1035620400,29.4138708800,30.1035620400,29.1321660400,1199476,36312693.6000,3.26,-1.368100,-0.41,2.998700
2023-07-06,29.2584475200,29.0544543600,29.6761478000,28.9476008000,888775,26752592.7500,2.48,-1.221900,-0.36,2.221900
2023-07-07,29.2584475200,28.8116053600,29.2584475200,28.4327609200,716055,21172746.3700,2.84,-0.835800,-0.24,1.790100
2023-07-10,28.8116053600,29.3750150400,29.5498663200,28.7338936800,884374,26639410.7200,2.83,1.955500,0.56,2.210900
2023-07-11,29.2001637600,29.4915825600,29.6275780000,28.9184589200,643500,19430587.0000,2.41,0.396800,0.12,1.608800
2023-07-12,29.4721546400,29.1224520800,29.7150036400,29.0253124800,666388,20109257.0800,2.34,-1.251600,-0.37,1.666000
2023-07-13,29.3167312800,29.1224520800,30.0161364000,28.8116053600,886400,26773364.0000,4.14,0.000000,0.00,2.216000
2023-07-14,29.3750150400,29.8412851200,30.3561250000,29.0253124800,1715764,52397383.8400,4.57,2.468300,0.72,4.289400
2023-07-17,29.8315711600,28.1607700400,29.8995688800,27.1699461200,3136122,90639829.2600,9.15,-5.631500,-1.68,7.840300
2023-07-18,28.0636304400,27.9664908400,28.4036190400,27.5973603600,1066100,30703287.0000,2.86,-0.689900,-0.19,2.665300
2023-07-19,27.9762048000,27.6847860000,28.0150606400,27.5973603600,579835,16556789.0200,1.49,-1.007300,-0.28,1.449600
2023-07-20,27.7042139200,27.4905068000,27.8984931200,27.3447974000,524300,14873414.0000,2.00,-0.701800,-0.19,1.310800
2023-07-21,27.5682184800,27.3836532400,28.3453352800,27.3059415600,1027605,29346162.7500,3.78,-0.388700,-0.11,2.569000
2023-07-24,27.3836532400,27.8013535200,28.1704840000,26.9853808800,898500,25536251.0000,4.33,1.525400,0.42,2.246300
2023-07-25,27.9373489600,28.5104726000,28.7144657600,27.9373489600,1299255,37989157.9500,2.80,2.550700,0.71,3.248100
2023-07-26,28.5104726000,28.3647632000,28.8893170400,28.1219142000,847976,24904356.4800,2.69,-0.511100,-0.15,2.119900
2023-07-27,28.5493284400,28.3939050800,28.8893170400,28.0830583600,653900,19199970.0000,2.84,0.102700,0.03,1.634800
2023-07-28,28.0247746000,28.0247746000,28.5396144800,27.4710788800,1070932,30702145.7500,3.76,-1.300000,-0.37,2.677300
2023-07-31,27.9179210400,27.9762048000,28.1413421200,26.8590994000,1187593,33702141.9100,4.58,-0.173300,-0.05,2.969000
2023-08-01,27.8790652000,27.5099347200,27.8790652000,27.1602321600,1021364,28865752.1600,2.57,-1.666700,-0.47,2.553400
2023-08-02,27.2962276000,27.8790652000,27.9276350000,27.2962276000,587176,16730041.6000,2.30,1.341800,0.37,1.467900
2023-08-03,27.8693512400,27.6070743200,27.8693512400,27.4710788800,495688,14090625.2800,1.43,-0.975600,-0.27,1.239200
2023-08-04,27.6070743200,27.4225090800,27.8110674800,27.3933672000,417487,11851523.5300,1.51,-0.668500,-0.18,1.043700
2023-08-07,27.4225090800,27.3156555200,27.7042139200,27.0825204800,594900,16679513.0000,2.27,-0.389700,-0.11,1.487300
2023-08-08,27.3836532400,27.3350834400,27.8402093600,27.0145227600,406276,11402160.9600,3.02,0.071100,0.02,1.015700
2023-08-09,27.3350834400,26.9173831600,27.3642253200,26.7619598000,421476,11692020.2800,2.20,-1.528100,-0.42,1.053700
2023-08-10,26.7619598000,27.7042139200,27.7236418400,26.7619598000,1326688,37489462.1600,3.57,2.923100,0.79,3.316700
2023-08-11,27.5002207600,27.0048088000,27.5002207600,26.9756669200,783600,21974078.4400,1.89,-2.524500,-0.70,1.959000
2023-08-14,26.7716737600,26.7619598000,26.8105296000,26.1402663600,664888,18094572.1600,2.48,-0.899300,-0.24,1.662200
2023-08-15,26.7619598000,26.0916965600,27.0728065200,25.9459871600,754988,20483063.8000,4.21,-2.504500,-0.67,1.887500
2023-08-16,26.2276920000,25.7517079600,26.2276920000,25.6448544000,693564,18460368.0800,2.23,-1.303100,-0.34,1.733900
2023-08-17,25.7614219200,26.2859757600,26.4705410000,25.4700031200,778141,20911948.3100,3.89,2.074700,0.53,1.945400
2023-08-18,26.2859757600,26.5482526800,27.2865136400,26.0528407200,1053147,29132012.3300,4.69,0.997800,0.26,2.632900
2023-08-21,26.5482526800,26.8785273200,27.3156555200,26.5482526800,825676,22868484.8800,2.89,1.244100,0.33,2.064200
2023-08-22,26.8882412800,25.9071313200,27.0145227600,25.4700031200,961600,25773594.0000,5.75,-3.614000,-0.97,2.404000
