日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,54.6574737600,54.7686792000,55.0003572000,53.6936932800,1613858,94740543.6000,0.00,0.424800,0.00,0.201700
2023-05-29,54.6945422400,53.7585631200,55.0281585600,53.2952071200,2107806,122680723.6200,3.16,-1.844300,-1.01,0.263500
2023-05-30,53.3878783200,52.8874538400,53.9253712800,52.2665568000,2372300,135541029.1900,3.09,-1.620400,-0.87,0.296500
2023-05-31,52.7484470400,52.2943581600,53.0357277600,51.7105296000,2757843,155742659.2500,2.51,-1.121400,-0.59,0.344700
2023-06-01,52.0626801600,52.2387554400,53.3415427200,51.8866048800,2470270,139974386.7800,2.78,-0.106300,-0.06,0.308800
2023-06-02,52.4148307200,53.2674057600,53.3786112000,51.7846665600,3127981,177824999.3000,3.05,1.969100,1.03,0.391000
2023-06-05,53.0820633600,52.4518992000,53.2488715200,52.2665568000,2853819,162289741.3100,1.84,-1.531000,-0.82,0.356700
2023-06-06,52.3962964800,52.2387554400,53.2674057600,51.9885432000,2027069,115252824.3800,2.44,-0.406400,-0.21,0.253400
2023-06-07,52.1738856000,51.3027763200,52.6928443200,50.9691600000,2926488,162416016.3700,3.30,-1.791700,-0.94,0.365800
2023-06-08,51.1081668000,52.5353032800,52.8225840000,51.1081668000,2566111,144357497.7100,3.34,2.402500,1.23,0.320800
2023-06-09,53.0172489000,52.5919768500,54.3403175000,52.1761552900,3129152,175982393.5600,4.12,0.107900,0.06,0.391100
2023-06-12,52.8660410600,56.0886581500,56.8446973500,52.6108778300,6112765,355079298.7200,8.05,6.648700,3.50,0.764100
2023-06-13,55.8712968800,56.2587669700,57.0148061700,55.5688812000,4180580,248499543.8000,2.58,0.303300,0.17,0.522600
2023-06-14,56.2682174600,57.9409541900,59.0750129900,55.7862424700,6266436,385405261.0100,5.85,2.990100,1.68,0.783300
2023-06-15,58.2717213400,60.6248933500,61.0596158900,58.2150184000,6978427,440838115.7900,4.91,4.632200,2.68,0.872300
2023-06-16,61.4281850000,59.7837997400,61.4281850000,59.1884188700,4274901,270913064.8400,3.69,-1.387400,-0.84,0.534400
2023-06-19,59.4435821000,59.2545723000,60.0578639500,58.7631468200,4472145,280404912.2600,2.17,-0.885200,-0.53,0.559000
2023-06-20,59.0655625000,58.2906223200,60.1051164000,58.0732610500,2776808,172632328.1800,3.43,-1.626800,-0.96,0.347100
2023-06-21,58.5930380000,58.4796321200,59.4341316100,58.0260086000,3355935,208645347.0500,2.42,0.324300,0.19,0.419500
2023-06-26,57.2227169500,55.7862424700,58.0165581100,55.5783316900,5232494,312011356.3500,4.17,-4.605700,-2.69,0.654100
2023-06-27,56.3249204000,57.8464492900,58.2622708500,55.8712968800,5910018,357728986.3500,4.29,3.693000,2.06,0.738800
2023-06-28,57.8086473300,59.3679781800,60.5870913900,57.3833752800,5419316,340396790.9600,5.54,2.630300,1.52,0.677400
2023-06-29,59.3490772000,58.8198497600,59.6609433700,58.3095233000,2788390,173505233.8400,2.28,-0.923300,-0.55,0.348500
2023-06-30,58.8009487800,60.2941262000,60.8139031500,58.8009487800,4871968,311076300.0700,3.42,2.506400,1.47,0.609000
2023-07-03,60.0200619900,60.5965418800,61.1730217700,59.3396267100,2975543,190207875.9800,3.04,0.501600,0.30,0.371900
2023-07-04,60.5965418800,60.2941262000,60.8611556000,59.8688541500,1734333,110682662.9600,1.64,-0.499100,-0.30,0.216800
2023-07-05,60.2846757100,58.6875429000,60.4453340400,58.3662262400,3399832,212440884.3600,3.45,-2.664600,-1.61,0.425000
2023-07-06,58.4512806500,57.6763404700,58.9899585800,57.2510684200,1922944,117743737.8900,2.96,-1.723000,-1.01,0.240400
2023-07-07,57.4211772400,57.5629345900,58.1016125200,57.0809596000,1295775,79012069.7500,1.77,-0.196600,-0.11,0.162000
2023-07-10,57.7897463500,57.9598551700,58.6969933900,57.3266723400,2488945,152660981.2600,2.38,0.689500,0.40,0.311100
2023-07-11,57.6952414500,57.1093110700,58.1205135000,56.3249204000,2360055,142144508.7200,3.10,-1.467500,-0.85,0.295000
2023-07-12,56.8919498000,58.4890826100,58.7442458400,56.7312914700,2781435,170900663.4700,3.52,2.416000,1.38,0.347700
2023-07-13,58.4512806500,61.8818085200,62.1653232200,58.4512806500,5257156,338480206.4200,6.35,5.800600,3.39,0.657100
2023-07-14,62.1842242000,61.3336801000,63.0253178100,60.9556605000,2145300,139623790.5800,3.34,-0.885800,-0.55,0.268200
2023-07-17,60.8422546200,60.5870913900,61.3053286300,59.5947899400,1680700,107412747.5100,2.79,-1.217300,-0.75,0.210100
2023-07-18,60.8517051100,60.5398389400,61.6927987200,60.3886311000,1766468,113933836.6800,2.15,-0.078000,-0.05,0.220800
2023-07-19,60.4831360000,60.6815962900,60.8706060900,60.0106115000,1358527,86905693.6500,1.42,0.234200,0.14,0.169800
2023-07-20,61.0596158900,60.0673144400,62.3637835100,60.0578639500,2245574,145187554.3600,3.80,-1.012300,-0.61,0.280700
2023-07-21,59.9161066000,61.9763134200,62.3259815500,59.6609433700,3465830,225831727.1900,4.44,3.178100,1.91,0.433200
2023-07-24,61.5037889200,61.8440065600,62.1086202800,61.1635712800,1998776,130375125.9300,1.52,-0.213500,-0.13,0.249800
2023-07-25,64.0743222000,63.5167432900,65.4918957000,63.0347683000,5759312,391137804.3800,3.97,2.704800,1.67,0.719900
2023-07-26,63.9420153400,63.8475104400,64.4995942500,62.9402634000,2765368,186423496.7000,2.45,0.520800,0.33,0.345700
2023-07-27,63.7152035800,64.5279457200,66.1534300000,63.4127879000,4098886,282130807.5100,4.29,1.065700,0.68,0.512400
2023-07-28,64.4145398400,66.2951873500,66.9094692000,64.0837726900,4121910,288115167.5100,4.38,2.738700,1.77,0.515200
2023-07-31,66.7771623400,65.9644202000,69.5556064000,65.7754104000,4721109,336993642.0500,5.70,-0.498900,-0.33,0.590100
2023-08-01,65.9549697100,65.3973908000,67.2685878200,64.8303614000,3751845,261337435.3700,3.70,-0.859600,-0.57,0.469000
2023-08-02,65.4068412900,65.3028859000,66.0778260800,64.9059653200,2068979,143015675.9000,1.79,-0.144500,-0.09,0.258600
2023-08-03,65.1989305100,66.4274942100,66.5976030300,65.0004702200,2333332,163138554.5200,2.45,1.722100,1.12,0.291700
2023-08-04,67.0984790000,65.7754104000,67.5426520300,65.5013461900,2234431,156471633.0100,3.07,-0.981600,-0.65,0.279300
2023-08-07,65.3028859000,64.1688271000,65.5864006000,63.8191589700,4349424,296136728.7200,2.69,-2.442500,-1.61,0.543700
2023-08-08,64.2633320000,65.5769501100,66.0116726500,63.9420153400,2384913,164531195.7000,3.23,2.194400,1.41,0.298100
2023-08-09,65.2083810000,65.2083810000,65.4918957000,64.5279457200,1511137,104036990.2200,1.47,-0.562000,-0.37,0.188900
2023-08-10,65.4918957000,66.7204594000,66.9378206700,64.4617922900,2612797,182022150.8200,3.80,2.318800,1.51,0.326600
