日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,26.7288317400,27.0480380200,27.0668148600,26.7288317400,1849500,53017714.0000,0.00,0.769500,0.00,1.671000
2023-05-29,27.1700874800,27.4986821800,27.6958390000,27.1137569600,2777830,81185052.6000,2.15,1.666100,0.45,2.509800
2023-05-30,27.4799053400,27.7615579400,27.7897232000,27.2358064200,2019708,59393708.6000,2.01,0.956000,0.26,1.824800
2023-05-31,27.7333926800,30.5405302600,30.5405302600,27.5362358600,7971500,251669492.0000,10.82,10.010100,2.78,7.202300
2023-06-01,31.5169259400,33.5917667600,33.5917667600,31.4418185800,12317500,434657717.0000,7.04,9.990800,3.05,11.128900
2023-06-02,33.6762625400,31.9206280000,34.3522287800,31.4605954200,15393000,540837077.5000,8.61,-4.974800,-1.67,13.907700
2023-06-05,32.5496521400,33.7513699000,34.7371540000,32.3900490000,10090963,362907228.1600,7.35,5.735300,1.83,9.117200
2023-06-06,33.7701467400,32.1553385000,33.8734193600,32.0145122000,7236263,253490293.7100,5.51,-4.728800,-1.60,6.538000
2023-06-07,32.5308753000,35.3755665600,35.3755665600,32.3900490000,4303708,156465971.4400,9.28,10.014600,3.22,3.888400
2023-06-08,36.8026064000,36.0515328000,37.4410189600,34.4273361400,13707964,519045773.6400,8.52,1.910800,0.68,12.385200
2023-06-09,35.2065750000,35.1877981600,36.1078633200,34.4836666600,9134600,343186137.5000,4.51,-2.395800,-0.86,8.253200
2023-06-12,35.7229381000,34.9530876600,35.8637644000,34.4648898200,5766400,215230961.0000,3.98,-0.667000,-0.23,5.210000
2023-06-13,34.9624760800,34.5493856000,36.0233675400,34.3616172000,5554613,207355710.4600,4.75,-1.155000,-0.40,5.018600
2023-06-14,34.4930550800,34.2395677400,34.7840961000,33.7044278000,4833542,176382005.2500,3.13,-0.896700,-0.31,4.367100
2023-06-15,34.1738488000,34.2865098400,34.4648898200,33.7232046400,3526700,128071412.0000,2.17,0.137100,0.05,3.186400
2023-06-16,34.2865098400,33.9391383000,34.5493856000,33.8077004200,2976100,107827270.0000,2.16,-1.013100,-0.35,2.688900
2023-06-19,33.7983120000,33.4791057200,34.2583445800,33.4039983600,2986400,107383262.0000,2.52,-1.355500,-0.46,2.698200
2023-06-20,33.4791057200,33.0941805000,33.9766919800,32.9158005200,3135743,111274766.1300,3.17,-1.149700,-0.38,2.833200
2023-06-21,33.0941805000,32.3243300600,33.8452541000,32.2398342800,3451300,120928227.0000,4.85,-2.326200,-0.77,3.118300
2023-06-26,31.9206280000,31.7422480200,32.9533542000,31.6014217200,3639457,124994272.4500,4.18,-1.800800,-0.58,3.288300
2023-06-27,31.7422480200,32.8406931600,33.9860804000,31.7328596000,6578057,231368342.6000,7.10,3.460500,1.10,5.943300
2023-06-28,32.8406931600,32.6623131800,32.8406931600,31.8549090600,3716257,127592459.7700,3.00,-0.543200,-0.18,3.357700
2023-06-29,32.4088258400,32.0520658800,32.6717016000,31.8455206400,2366900,80883897.0000,2.53,-1.868400,-0.61,2.138500
2023-06-30,32.0145122000,32.4369911000,32.7655858000,31.7610248600,2934364,101195974.7600,3.13,1.200900,0.38,2.651200
2023-07-03,32.3900490000,33.5729899200,33.9860804000,32.2961648000,6196080,220222671.2000,5.21,3.502200,1.14,5.598200
2023-07-04,33.2443952200,33.8452541000,34.0330225000,32.5778174000,4778900,170452925.0000,4.33,0.811000,0.27,4.317800
2023-07-05,33.6199320200,33.4603288800,33.9860804000,33.2631720600,2284200,81749225.3100,2.14,-1.137300,-0.38,2.063800
2023-07-06,33.3570562600,33.5166594000,34.0799646000,33.2256183800,2315000,82685882.0000,2.55,0.168400,0.06,2.091600
2023-07-07,33.4227752000,33.3664446800,33.8452541000,33.0660152400,1835300,65280249.0000,2.32,-0.448200,-0.15,1.658200
2023-07-10,33.4227752000,33.9015846200,34.1832372200,33.2631720600,2739680,98646008.0000,2.76,1.603800,0.54,2.475300
2023-07-11,32.8594700000,33.1880647000,33.4509404600,31.9487932600,3559902,124599235.3000,4.43,-2.104700,-0.71,3.216400
2023-07-12,33.3288910000,32.9439657800,33.5823783400,32.7655858000,2196700,77358662.1200,2.46,-0.735500,-0.24,1.984700
2023-07-13,32.8406931600,32.8594700000,33.0754036600,31.8361322200,3351400,115620169.0000,3.76,-0.256500,-0.08,3.028000
2023-07-14,32.8500815800,32.1459500800,32.8500815800,32.0426774600,1865420,64040510.0000,2.46,-2.171400,-0.71,1.685400
2023-07-17,31.1413891400,31.3291575400,31.7610248600,30.8879018000,3142400,104826662.0000,2.72,-2.540900,-0.82,2.839200
2023-07-18,31.3291575400,30.7564639200,31.5169259400,30.5217534200,2760100,90684351.5000,3.18,-1.828000,-0.57,2.493800
2023-07-19,30.6907449800,30.7001334000,31.2352733400,30.4278692200,1652200,54087930.0000,2.63,-0.183200,-0.06,1.492800
2023-07-20,30.5593071000,30.4560344800,31.0475049400,30.4466460600,1712050,56125397.5000,1.96,-0.795100,-0.24,1.546800
2023-07-21,30.3433734400,30.3809271200,30.9348439000,30.2401008200,2274900,73906488.0000,2.28,-0.246600,-0.08,2.055400
2023-07-24,30.4654229000,30.7282986600,30.8409597000,30.0429440000,2316620,75241311.2000,2.63,1.143400,0.35,2.093100
2023-07-25,30.9817860000,30.9536207400,31.1695544000,30.7470755000,2219410,73165461.7000,1.37,0.733300,0.23,2.005200
