日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,24.3362027800,24.2785568200,24.4322793800,23.7117048800,2928115,73638728.7000,0.00,-1.095900,0.00,10.804200
2023-05-29,24.0479729800,23.7597431800,24.2113032000,23.6444512600,1824815,45377886.2500,2.33,-2.136900,-0.52,6.733200
2023-05-30,23.5868053000,23.5579823200,24.0960112800,23.3562214600,1619115,39724945.4900,3.11,-0.849200,-0.20,5.974200
2023-05-31,23.6348436000,23.9999346800,24.1632649000,23.4811210400,2353189,58445109.9700,2.90,1.876000,0.44,8.682800
2023-06-01,24.0191500000,23.7501355200,24.2113032000,23.6732742400,1722177,42933437.6900,2.24,-1.040800,-0.25,6.354500
2023-06-02,23.5579823200,23.8077814800,23.9999346800,23.5195516800,1454263,35968404.2500,2.02,0.242700,0.06,5.366000
2023-06-05,23.7885661600,25.4699066600,25.6428445400,23.6348436000,6655113,172815189.5700,8.43,6.981400,1.66,24.556100
2023-06-06,25.0759926000,24.6820785400,25.4410836800,24.4034564000,3568043,92119934.6900,4.07,-3.093200,-0.79,13.165400
2023-06-07,24.5571789600,24.2593415000,24.6436479000,23.9134657400,2472637,62301680.8500,2.96,-1.712700,-0.42,9.123600
2023-06-08,24.2982570600,22.8678030000,24.4247598000,22.6731834000,3209200,76919898.1300,7.22,-5.736100,-1.39,11.841300
2023-06-09,22.7802241800,23.2083873000,23.4030069000,22.7802241800,1824928,43496542.6900,2.72,1.489400,0.34,6.733600
2023-06-12,23.0332296600,23.3543520000,23.4808547400,22.7802241800,1608652,38265566.9700,3.02,0.628900,0.15,5.935600
2023-06-13,23.3835449400,23.3932759200,23.7533221800,23.1986563200,1182326,28409641.8900,2.38,0.166700,0.04,4.362600
2023-06-14,23.5489716000,23.2083873000,23.5489716000,23.0624226000,1030063,24567188.1400,2.08,-0.790300,-0.18,3.800700
2023-06-15,23.1110775000,23.4321998400,23.6754743400,23.1013465200,1414441,34001743.0400,2.47,0.964400,0.22,5.219000
2023-06-16,23.3738139600,23.4613927800,23.9965966800,23.3640829800,1614726,39231763.5300,2.70,0.124600,0.03,5.958000
2023-06-19,23.3543520000,23.4711237600,23.7825151200,23.2570422000,1135263,27462602.6400,2.24,0.041500,0.01,4.188900
2023-06-20,23.5003167000,23.4419308200,23.5392406200,23.0624226000,1535800,36748805.7400,2.03,-0.124400,-0.03,5.666800
2023-06-21,23.2667731800,22.9845747600,23.8409010000,22.9651128000,1378700,33132912.0000,3.74,-1.951000,-0.46,5.087100
2023-06-26,22.9845747600,23.2181182800,23.6073574800,22.6342594800,1829186,43480803.6900,4.23,1.016100,0.23,6.749300
2023-06-27,22.9456508400,23.3154280800,23.4516618000,22.9067269200,1680489,40174282.5300,2.35,0.419100,0.10,6.200700
2023-06-28,23.2570422000,23.1694633800,23.3056971000,22.5758736000,1424867,33619685.4000,3.13,-0.626000,-0.15,5.257500
2023-06-29,23.1500014200,24.0257896200,24.3274500000,23.0040367200,3766547,92829140.1900,5.71,3.695900,0.86,13.897800
2023-06-30,23.8798249200,23.9187488400,24.2301402000,23.7046672800,2102494,51675505.2100,2.19,-0.445500,-0.11,7.757800
2023-07-03,24.0841755000,23.7241292400,24.3079880400,23.6754743400,1666327,40934945.3900,2.64,-0.813700,-0.19,6.148400
2023-07-04,23.7533221800,23.9965966800,24.1230994200,23.7533221800,1460200,35960689.0000,1.56,1.148500,0.27,5.387900
2023-07-05,23.9868657000,23.5781645400,23.9868657000,23.5392406200,1284300,31293208.0000,1.87,-1.743700,-0.42,4.738800
2023-07-06,23.4905857200,23.6852053200,23.8798249200,23.2765041600,993915,24130938.1100,2.56,0.454000,0.11,3.667400
2023-07-07,23.5976265000,23.6073574800,23.7825151200,23.4711237600,663615,16110992.7500,1.31,-0.328700,-0.08,2.448600
2023-07-10,23.6073574800,23.4808547400,23.7435912000,23.4516618000,708500,17118487.0300,1.24,-0.535900,-0.13,2.614200
2023-07-11,23.3640829800,23.7435912000,23.7630531600,23.3640829800,759913,18465340.9900,1.70,1.118900,0.26,2.803900
2023-07-12,23.6852053200,23.5003167000,23.9771347200,23.4711237600,818869,19968286.7300,2.13,-1.024600,-0.24,3.021500
2023-07-13,23.4127378800,23.6657433600,23.7046672800,23.4127378800,676102,16401809.3600,1.24,0.703900,0.17,2.494700
2023-07-14,23.8214390400,23.8992868800,24.0257896200,23.5100476800,901943,22096470.7700,2.18,0.986800,0.23,3.328000
2023-07-17,23.8409010000,23.6268194400,23.8798249200,23.5100476800,653563,15869900.1200,1.55,-1.140100,-0.27,2.411500
2023-07-18,23.5684335600,23.9090178600,23.9868657000,23.5684335600,932682,22849787.9000,1.77,1.194400,0.28,3.441400
2023-07-19,23.8798249200,23.6754743400,24.0257896200,23.5197786600,842500,20486861.0000,2.12,-0.976800,-0.23,3.108700
2023-07-20,23.7046672800,23.1889253400,23.8117080600,23.1791943600,1061626,25542434.3600,2.67,-2.055100,-0.49,3.917200
2023-07-21,23.0916155400,22.9845747600,23.3835449400,22.9261888800,767900,18235287.7400,1.97,-0.881200,-0.20,2.833400
2023-07-24,22.9748437800,22.9943057400,23.1500014200,22.8191481000,509600,12051619.0000,1.44,0.042300,0.01,1.880300
2023-07-25,23.1597324000,24.2106782400,24.6777652800,23.0429606400,3270000,80585879.0000,7.11,5.289900,1.22,12.065700
2023-07-26,24.1717543200,23.9576727600,24.4344907800,23.8214390400,1511400,37327549.0000,2.53,-1.045000,-0.25,5.576800
2023-07-27,23.9674037400,23.8798249200,24.2885260800,23.7727841400,1425300,35168952.0000,2.15,-0.324900,-0.08,5.259100
2023-07-28,23.8409010000,23.8506319800,23.9576727600,23.4905857200,1430769,34891344.6400,1.96,-0.122200,-0.03,5.279300
2023-07-31,23.9090178600,24.0841755000,24.3079880400,23.7046672800,1986926,48942404.6400,2.53,0.979200,0.23,7.331400
2023-08-01,24.2204092200,23.7727841400,24.2204092200,23.5781645400,1335067,32653122.6800,2.67,-1.292900,-0.31,4.926100
2023-08-02,23.5976265000,23.6754743400,23.8409010000,23.5976265000,800563,19489201.6400,1.02,-0.409300,-0.10,2.953900
2023-08-03,23.6268194400,23.3446210200,23.6754743400,23.2570422000,987300,23740027.0000,1.77,-1.397500,-0.33,3.642900
2023-08-04,23.3446210200,23.1791943600,23.4711237600,23.1597324000,944796,22587224.1400,1.33,-0.708600,-0.17,3.486100
2023-08-07,23.1500014200,23.0818845600,23.2667731800,22.9748437800,768300,18221750.0000,1.26,-0.419800,-0.10,2.834900
2023-08-08,23.0818845600,23.2278492600,23.2570422000,22.9943057400,717500,17055259.6200,1.14,0.632400,0.15,2.647400
2023-08-09,23.2278492600,23.0040367200,23.2278492600,22.9164579000,707252,16729702.7200,1.34,-0.963600,-0.22,2.609600
2023-08-10,22.9651128000,23.1597324000,23.2278492600,22.9164579000,615341,14619013.4500,1.35,0.676800,0.16,2.270500
2023-08-11,23.1986563200,22.9651128000,23.3056971000,22.9651128000,857570,20338646.6000,1.47,-0.840300,-0.19,3.164300
2023-08-14,22.8775339800,22.9748437800,23.0429606400,22.3812540000,976626,22826375.1600,2.88,0.042400,0.01,3.603600
2023-08-15,22.8872649600,23.1208084800,23.3056971000,22.8872649600,951200,22556823.0000,1.82,0.635300,0.15,3.509700
2023-08-16,23.1208084800,23.3835449400,23.9965966800,22.9553818200,3280666,79653802.4600,4.50,1.136400,0.26,12.105000
2023-08-17,23.4613927800,24.0063276600,24.1133684400,22.4396398800,4827878,116294126.9600,7.16,2.663300,0.62,17.814000
2023-08-18,24.0452515800,24.4442217600,26.1763362000,24.0257896200,7708190,196763355.5800,8.96,1.824100,0.44,28.441800
2023-08-21,24.4831456800,24.5318005800,25.3978578000,24.4734147000,5675924,144338875.8700,3.78,0.358300,0.09,20.943100
2023-08-22,24.5901864600,24.2787951000,24.9696946800,23.8409010000,4014498,100370658.1100,4.60,-1.031300,-0.25,14.812700
2023-08-23,24.1814853000,23.5781645400,24.2496021600,23.5781645400,2494100,61062457.0000,2.77,-2.885800,-0.70,9.202800
2023-08-24,23.4419308200,22.2936751800,23.5587025800,22.1087865600,3881000,89946942.8400,6.15,-5.447800,-1.28,14.320200
2023-08-25,22.0990555800,20.8534901400,22.2644822400,20.6394085800,3552463,78078875.1900,7.29,-6.460100,-1.44,13.107900
2023-08-28,21.7973952000,21.1551505200,22.0017457800,21.1356885600,2424645,53349945.8000,4.15,1.446600,0.30,8.946500
2023-08-29,21.0286477800,22.5758736000,22.6245285000,21.0286477800,3170545,71823192.7400,7.54,6.715700,1.42,11.698700
2023-08-30,23.3251590600,23.8603629600,24.8334609600,23.3154280800,6231834,155072684.2300,6.72,5.689700,1.28,22.994300
