日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,31.2325110300,31.0145054100,31.2389229600,30.6682611900,1333861,64324923.0000,0.00,-0.677600,0.00,2.000800
2023-05-29,31.1491559400,31.1299201500,31.2773945400,30.8413833000,1355865,65760880.5500,1.41,0.372100,0.12,2.033800
2023-05-30,31.0839004300,29.7860532400,31.0839004300,29.7308257000,2671147,87687496.7900,4.35,-4.317000,-1.34,2.861900
2023-05-31,29.6387798000,29.3442329200,29.8136670100,29.0036630900,2260602,71978600.3300,2.72,-1.483300,-0.44,2.422100
2023-06-01,29.2982099700,29.1877548900,29.6203706200,29.0957089900,1366153,43537426.6700,1.79,-0.533200,-0.16,1.463700
2023-06-02,29.2337778400,30.0806001200,30.8721948600,29.2337778400,2527261,83097223.0400,5.61,3.059000,0.89,2.707800
2023-06-05,30.0621909400,29.7216211100,30.1726460200,29.5743476700,1498657,48494520.5300,1.99,-1.193400,-0.36,1.605700
2023-06-06,29.6479843900,28.8840034200,29.6663935700,28.8103667000,1746765,55442919.8300,2.88,-2.818200,-0.84,1.871500
2023-06-07,28.9484355500,28.6999116200,29.1693457100,28.6262749000,1009386,31600707.0800,1.88,-0.637300,-0.18,1.081500
2023-06-08,28.8379804700,28.9392309600,29.3994604600,28.7459345700,1446772,45727846.9400,2.28,0.833900,0.24,1.550100
2023-06-09,28.8932080100,29.2521870200,29.2521870200,28.5250244100,1958254,61302780.9500,2.51,1.081400,0.31,2.098100
2023-06-12,29.0588906300,29.5375293100,29.8412807800,29.0036630900,1598562,51434281.2600,2.86,0.975500,0.29,1.712700
2023-06-13,29.7216211100,29.2890053800,29.7216211100,29.0957089900,1021659,32497277.9300,2.12,-0.841400,-0.25,1.094600
2023-06-14,29.2982099700,28.6907070300,29.2982099700,28.6446840800,1338079,41935675.5800,2.23,-2.042700,-0.60,1.433700
2023-06-15,28.6907070300,28.8840034200,28.9392309600,28.6262749000,1014130,31751959.6000,1.09,0.673700,0.19,1.086600
2023-06-16,28.8747988300,28.8471850600,28.9944585000,28.7275253900,1012124,31729639.6800,0.92,-0.127500,-0.04,1.084400
2023-06-19,28.9944585000,28.8471850600,29.6203706200,28.7275253900,1732644,54673853.4000,3.10,0.000000,0.00,1.856400
2023-06-20,28.9300263700,29.0036630900,29.1325273500,28.3501372000,1880293,58663770.2000,2.71,0.542400,0.16,2.014600
2023-06-21,28.7735483400,28.2857050700,28.9484355500,28.2672958900,1443380,44701711.5200,2.35,-2.475400,-0.72,1.546500
2023-06-26,28.0832040900,27.9543398300,28.3041142500,27.8530893400,1119407,34081080.3600,1.59,-1.171500,-0.33,1.199400
2023-06-27,27.8991122900,28.2396821200,28.4145693300,27.8899077000,797018,24464352.2000,1.88,1.020700,0.29,0.853900
2023-06-28,28.1476362200,27.7702480300,28.2396821200,27.6137700000,1442468,43537220.5200,2.22,-1.662300,-0.47,1.545500
2023-06-29,28.0003627800,27.8070663900,28.1384316300,27.7978618000,855980,25946853.4600,1.23,0.132600,0.04,0.917100
2023-06-30,27.8899077000,28.4237739200,28.6630932600,27.7242250800,1510563,46456110.5100,3.38,2.217800,0.62,1.618500
2023-07-03,28.4421831000,28.5894565400,28.8195712900,28.4329785100,1031525,32129055.7200,1.36,0.582900,0.17,1.105200
2023-07-04,28.5342290000,28.6538886700,28.7643437500,28.4421831000,922104,28659755.5400,1.13,0.225400,0.06,0.988000
2023-07-05,28.6262749000,28.4882060500,28.7183208000,28.4421831000,822482,25502885.2600,0.96,-0.578200,-0.17,0.881200
2023-07-06,28.5802519500,28.2580913000,28.5894565400,28.2580913000,726680,22378973.4000,1.16,-0.807800,-0.23,0.778600
2023-07-07,28.1476362200,28.1660454000,28.3133188400,28.0095673700,712867,21779197.8700,1.07,-0.325700,-0.09,0.763800
2023-07-10,28.2580913000,28.6538886700,28.8103667000,28.2396821200,1175393,36591009.0400,2.03,1.732000,0.49,1.259300
