日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,10.2773016000,10.4202309600,10.4542617600,10.1411784000,2021799,30729496.9500,0.00,1.122900,0.00,0.976800
2023-05-29,10.4814864000,10.3045262400,10.4814864000,10.2704954400,1421806,21587037.9400,2.02,-1.110400,-0.12,0.686900
2023-05-30,10.3737395600,10.3737395600,10.4844666000,10.2768534000,1409549,21140375.4400,2.01,0.671600,0.07,0.681000
2023-05-31,10.3737395600,10.2214898800,10.3806600000,10.1799672400,1379521,20467616.2100,1.93,-1.467600,-0.15,0.666500
2023-06-01,10.2214898800,10.3598986800,10.4498644000,10.1868876800,1873135,28037903.9000,2.57,1.354100,0.14,0.905000
2023-06-02,10.4844666000,10.4360235200,10.5259892400,10.3114556000,1341389,20209873.1500,2.07,0.734800,0.08,0.648100
2023-06-05,10.4567848400,10.4498644000,10.5259892400,10.4221826400,1183980,17884171.1000,0.99,0.132600,0.01,0.572000
2023-06-06,10.5536710000,10.2491716400,10.5536710000,10.2214898800,1442800,21538896.2500,3.18,-1.920500,-0.20,0.697100
2023-06-07,10.2422512000,10.0207971200,10.2699329600,10.0000358000,1793478,26146047.5400,2.63,-2.228200,-0.23,0.866500
2023-06-08,10.0761606400,9.9169905200,10.1038424000,9.8962292000,1577554,22716868.0800,2.07,-1.035900,-0.10,0.762200
2023-06-09,9.9169905200,10.0069562400,10.1453650400,9.9169905200,1255340,18136220.8400,2.30,0.907200,0.09,0.606500
2023-06-12,10.0346380000,10.6367162800,10.9412156400,9.9446722800,8137951,124186304.8100,9.96,6.293200,0.63,3.931800
2023-06-13,10.4983074800,10.7405228800,10.8304886000,10.4983074800,6163423,95622302.6600,3.12,0.975900,0.10,2.977800
2023-06-14,10.7197615600,10.6505571600,10.7820455200,10.6159549600,3083472,47556959.6400,1.55,-0.837600,-0.09,1.489800
2023-06-15,10.6228754000,10.6021140800,10.7751250800,10.5259892400,2595614,39982245.3400,2.34,-0.454800,-0.05,1.254100
2023-06-16,10.6090345200,10.6574776000,10.6920798000,10.5190688000,2932287,44906810.4700,1.63,0.522200,0.06,1.416700
2023-06-19,10.7266820000,10.9135338800,10.9688974000,10.6574776000,4590788,72122176.8800,2.92,2.402600,0.26,2.218000
2023-06-20,11.0934653200,12.0069634000,12.0069634000,10.9896587200,24857746,420015268.1800,9.32,10.019000,1.09,12.009900
2023-06-21,12.0208042800,11.7163049200,12.1453722000,11.6194187600,22034701,375735376.5400,4.38,-2.420700,-0.29,10.646000
2023-06-26,11.6263392000,11.4394873200,11.8823954800,11.3841238000,12188484,203431147.5500,4.25,-2.362700,-0.28,5.888800
2023-06-27,11.4048851200,11.4187260000,11.4394873200,11.0450222400,11155676,181695333.9600,3.45,-0.181500,-0.02,5.389800
2023-06-28,11.2733967600,11.1211470800,11.3356807200,10.6920798000,11388721,180511886.3100,5.64,-2.606100,-0.30,5.502400
2023-06-29,11.1280675200,11.4810099600,11.9515998800,11.0104200400,15447149,256609679.4600,8.46,3.235800,0.36,7.463200
