日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,21.3904756400,21.5692785600,21.6445640000,21.0799232000,1509860,34369326.8000,0.00,1.595700,0.00,0.941100
2023-05-29,21.6257426400,21.3810649600,21.7386708000,21.2304940800,977049,22242024.3300,2.36,-0.872600,-0.19,0.609000
2023-05-30,21.2775474800,21.8233669200,22.0680446000,21.1740300000,2003000,46003179.0000,4.18,2.068700,0.44,1.248400
2023-05-31,21.8327776000,21.4375290400,21.8798310000,21.2493154400,1305100,29699917.0000,2.89,-1.768000,-0.39,0.813400
2023-06-01,21.4092970000,21.2963688400,21.4939931200,21.1740300000,1130600,25615039.0000,1.49,-0.658500,-0.14,0.704700
2023-06-02,21.3810649600,21.6257426400,21.7386708000,21.2399047600,1492300,34064894.0000,2.34,1.546600,0.33,0.930100
2023-06-05,21.6445640000,21.9362950800,22.6797388000,21.5880999200,2568913,60557906.0300,5.05,1.436000,0.31,1.601200
2023-06-06,21.9739378000,21.2304940800,22.1056873200,21.0987445600,1139600,25918538.0000,4.59,-3.217500,-0.71,0.710300
2023-06-07,21.4469397200,21.1457979600,21.4751717600,20.8070134800,669500,14972374.0400,3.15,-0.398900,-0.08,0.417300
2023-06-08,21.1081552400,20.7787814400,21.1834406800,20.6752639600,1201300,26620562.0000,2.40,-1.735600,-0.37,0.748700
2023-06-09,20.7787814400,20.7411387200,20.8917096000,20.4117649200,864700,18933357.0000,2.31,-0.181200,-0.04,0.539000
2023-06-12,20.7411387200,20.9858164000,21.0987445600,20.6658532800,907600,20096731.0000,2.09,1.179700,0.24,0.565700
2023-06-13,20.8352455200,21.0611018400,21.1269766000,20.7034960000,940100,20925248.0000,2.02,0.358700,0.08,0.585900
2023-06-14,21.0611018400,20.9764057200,21.1269766000,20.6093892000,912200,20233084.0000,2.46,-0.402100,-0.08,0.568600
2023-06-15,21.0140484400,20.8352455200,21.0516911600,20.7034960000,559000,12370448.0000,1.66,-0.672900,-0.14,0.348400
2023-06-16,20.8822989200,20.8728882400,20.9481736800,20.6564426000,639900,14136008.0000,1.40,0.180700,0.04,0.398800
2023-06-19,21.1175659200,21.8327776000,21.9833484800,20.8070134800,3000700,68969195.0000,5.64,4.598700,0.96,1.870300
2023-06-20,22.7079708400,23.6302174800,24.0160553600,21.6633853600,12796813,315220479.4300,10.78,8.232800,1.80,7.976000
