日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,40.4778735000,40.1093707500,40.4778735000,39.2431500000,361487,30130199.4700,0.00,-0.922100,0.00,0.301000
2023-05-29,40.0375845000,39.2670787500,40.2577290000,39.0852202500,528998,43613069.2500,2.92,-2.100000,-0.84,0.440500
2023-05-30,39.2431500000,38.9225047500,39.5590095000,38.4295725000,520953,42299400.8500,2.88,-0.877500,-0.34,0.433800
2023-05-31,38.7645750000,38.1759277500,39.1713637500,38.0562840000,497550,39891963.0000,2.86,-1.918100,-0.75,0.414300
2023-06-01,38.0467125000,38.6545027500,39.3484365000,37.8552825000,760422,61653224.4800,3.91,1.253600,0.48,0.633200
2023-06-02,39.1905067500,39.9418695000,40.1428710000,38.4678585000,672000,55506574.0000,4.33,3.330400,1.29,0.559500
2023-06-05,39.9418695000,39.4393657500,40.6788750000,39.0277912500,531742,43729341.0900,4.13,-1.258100,-0.50,0.442800
2023-06-06,39.1522207500,37.6112092500,39.1522207500,37.4532795000,640714,50971731.2500,4.31,-4.635400,-1.83,0.533500
2023-06-07,37.4867797500,36.9172755000,37.6973527500,36.7258455000,453003,35011674.6300,2.58,-1.845000,-0.69,0.377200
2023-06-08,37.1709202500,36.4530577500,37.4915655000,36.4243432500,433006,33291407.7200,2.89,-1.257500,-0.46,0.360500
2023-06-09,36.4530577500,36.6301305000,36.8550607500,36.0606262500,480790,36562282.6400,2.18,0.485800,0.18,0.400300
2023-06-12,36.3238425000,37.6064235000,37.9031400000,36.0031972500,772278,59832361.2800,5.19,2.665300,0.98,0.643000
2023-06-13,37.6590667500,37.0608480000,37.7787105000,36.9794902500,482337,37542815.3900,2.13,-1.450800,-0.55,0.401600
2023-06-14,37.0321335000,36.4817722500,37.0799910000,36.3717000000,331100,25256397.8800,1.91,-1.562500,-0.58,0.275700
2023-06-15,36.8454892500,37.8600682500,38.0227837500,36.4195575000,886981,69559020.6600,4.39,3.778000,1.38,0.738500
2023-06-16,38.1663562500,38.3865007500,38.5875022500,37.7212815000,782820,62493850.5800,2.29,1.390500,0.53,0.651800
2023-06-19,38.3865007500,38.6449312500,38.8602900000,37.8074250000,515120,41460575.7900,2.74,0.673200,0.26,0.428900
2023-06-20,38.6449312500,42.5118172500,42.5118172500,38.1519990000,1349478,115042713.4300,11.28,10.006200,3.87,1.123600
2023-06-21,46.7575294800,44.9633770600,46.7643773900,44.3744568000,5491217,364633527.1000,5.62,5.766800,2.45,3.269000
2023-06-26,43.8197760900,45.6824076100,48.1545031200,43.8197760900,4644850,313222182.1900,9.64,1.599100,0.72,2.765100
2023-06-27,43.7102095300,44.0320613000,45.2441413700,41.8407301000,4077950,256934837.5800,7.45,-3.612700,-1.65,2.427700
2023-06-28,43.1007455400,45.6961034300,46.5726359100,43.1007455400,3818183,252157774.0800,7.88,3.779200,1.66,2.273000
2023-06-29,45.4016433000,50.2431156700,50.2636594000,44.3744568000,5678810,396152312.2900,12.89,9.950500,4.55,3.380700
2023-06-30,48.6201610000,48.0175449200,48.6201610000,47.1684040800,4162163,291705244.4000,2.89,-4.429600,-2.23,2.477800
2023-07-03,47.7778680700,46.5041568100,48.5311381700,45.8262137200,2878273,197204922.0200,5.63,-3.151700,-1.51,1.713500
2023-07-04,45.8809970000,50.0650700100,51.0717127800,45.8809970000,5089999,363104961.0200,11.16,7.657200,3.56,3.030100
2023-07-05,48.3462446000,48.1134156600,48.8666857600,47.4560163000,2063951,145038709.5400,2.82,-3.898200,-1.95,1.228700
2023-07-06,47.6409098700,48.1134156600,48.6749442800,47.3122101900,1453920,102107225.2100,2.83,0.000000,0.00,0.865500
2023-07-07,47.4971037600,48.8119024800,49.2227770800,47.4971037600,1440859,101761637.5800,3.59,1.451800,0.70,0.857800
2023-07-10,48.4215716100,51.2292147100,51.8934619800,48.4215716100,2560731,188901489.5200,7.11,4.952300,2.42,1.524400
