日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,40.3100000000,40.2500000000,40.4700000000,39.4700000000,1972795,78962095.3700,0.00,-0.617300,0.00,0.957300
2023-05-29,40.1100000000,39.2300000000,40.4500000000,38.9900000000,2178004,85667744.7200,3.63,-2.534200,-1.02,1.056900
2023-05-30,38.4500000000,39.0400000000,39.2200000000,37.7400000000,3210496,123666542.4900,3.77,-0.484300,-0.19,1.557900
2023-05-31,39.0100000000,39.0900000000,40.0200000000,38.5900000000,2659497,104411062.6900,3.66,0.128100,0.05,1.290500
2023-06-01,39.0400000000,40.0200000000,40.1500000000,38.5800000000,2448960,97341176.8000,4.02,2.379100,0.93,1.188300
2023-06-02,39.8000000000,39.9800000000,40.3000000000,39.4600000000,2026500,80941570.0000,2.10,-0.100000,-0.04,0.983300
2023-06-05,39.9000000000,39.5200000000,40.0700000000,39.2100000000,2200783,86997364.5700,2.15,-1.150600,-0.46,1.067900
2023-06-06,39.7000000000,37.9600000000,39.7000000000,37.9100000000,2946308,113356986.1100,4.53,-3.947400,-1.56,1.429700
2023-06-07,37.5300000000,38.0600000000,38.5800000000,37.5300000000,1661360,63076235.6000,2.77,0.263400,0.10,0.806200
2023-06-08,38.2100000000,37.5500000000,38.4600000000,37.3000000000,1400980,52811497.0000,3.05,-1.340000,-0.51,0.679800
2023-06-09,37.4000000000,37.2900000000,37.6700000000,36.8100000000,1577733,58669245.1300,2.29,-0.692400,-0.26,0.765600
2023-06-12,37.4600000000,37.6500000000,37.7500000000,36.9600000000,1485789,55622113.3700,2.12,0.965400,0.36,0.721000
2023-06-13,37.7300000000,37.3000000000,37.7500000000,36.4400000000,2061201,76703535.4200,3.48,-0.929600,-0.35,1.000200
2023-06-14,37.4800000000,37.5300000000,37.7000000000,36.5600000000,1977564,73497331.3200,3.06,0.616600,0.23,0.959600
2023-06-15,37.8800000000,39.1800000000,39.4000000000,37.7500000000,3697477,143808610.4500,4.40,4.396500,1.65,1.794200
2023-06-16,39.2000000000,39.5100000000,39.6700000000,39.0000000000,2483989,97765064.8400,1.71,0.842300,0.33,1.205300
2023-06-19,39.1500000000,40.3400000000,40.6400000000,39.0200000000,4240149,169539669.3500,4.10,2.100700,0.83,2.057500
2023-06-20,44.3300000000,44.3700000000,44.3700000000,41.1500000000,16574033,718708791.9100,7.98,9.990100,4.03,8.042400
2023-06-21,44.3700000000,46.9600000000,47.0000000000,43.3700000000,17784260,803055080.0200,8.18,5.837300,2.59,8.629600
2023-06-26,45.5400000000,43.1600000000,46.9500000000,42.4000000000,12855941,572044726.6900,9.69,-8.092000,-3.80,6.238200
2023-06-27,43.0800000000,42.8100000000,44.2000000000,41.6900000000,7779944,332086535.2000,5.82,-0.810900,-0.35,3.775100
2023-06-28,42.5300000000,43.1500000000,44.3800000000,41.3000000000,9133688,388084177.8000,7.19,0.794200,0.34,4.432000
2023-06-29,42.9500000000,44.8100000000,46.1000000000,42.5500000000,13000747,583065348.6500,8.23,3.847000,1.66,6.308500
2023-06-30,44.3600000000,45.1500000000,46.0000000000,44.2300000000,7997853,360102787.5200,3.95,0.758800,0.34,3.880900
2023-07-03,45.6000000000,42.5600000000,45.7600000000,42.5000000000,8952331,388276335.3800,7.22,-5.736400,-2.59,4.344000
2023-07-04,42.3700000000,42.6000000000,43.6200000000,42.3100000000,6088488,261007265.5000,3.08,0.094000,0.04,2.954400
2023-07-05,42.3200000000,41.3900000000,42.5000000000,41.1600000000,4704156,196334776.2000,3.15,-2.840400,-1.21,2.282600
2023-07-06,41.5100000000,41.6900000000,42.5000000000,40.6400000000,4471740,186092421.4400,4.49,0.724800,0.30,2.169900
2023-07-07,41.3900000000,40.8900000000,42.3100000000,40.8000000000,4293840,178052273.5200,3.62,-1.918900,-0.80,2.083500
2023-07-10,40.8000000000,38.9300000000,40.9700000000,38.7700000000,6577777,259480965.2500,5.38,-4.793300,-1.96,3.191800
2023-07-11,38.9400000000,38.5800000000,38.9900000000,38.1500000000,3912828,150662184.6800,2.16,-0.899000,-0.35,1.898700
2023-07-12,38.8000000000,38.1800000000,39.1100000000,38.0100000000,3848500,148418897.9200,2.85,-1.036800,-0.40,1.867400
2023-07-13,38.1800000000,38.1300000000,38.5500000000,37.8900000000,3811903,145356355.4000,1.73,-0.131000,-0.05,1.849700
2023-07-14,38.2400000000,38.0000000000,38.4500000000,37.7900000000,3564180,136067365.8500,1.73,-0.340900,-0.13,1.729500
2023-07-17,36.6600000000,37.5100000000,38.0200000000,34.9800000000,5536076,203229716.9900,8.00,-1.289500,-0.49,2.686300
2023-07-18,37.5900000000,37.3300000000,37.9000000000,37.2000000000,2251402,84573721.2000,1.87,-0.479900,-0.18,1.092500
2023-07-19,37.3500000000,36.9100000000,37.6500000000,36.5500000000,2148152,79140571.3200,2.95,-1.125100,-0.42,1.042400
2023-07-20,36.9300000000,36.6500000000,37.1900000000,36.6000000000,1729293,63830653.5800,1.60,-0.704400,-0.26,0.839100
2023-07-21,36.5700000000,36.0000000000,36.8300000000,36.0000000000,1986778,72086270.0100,2.26,-1.773500,-0.65,0.964100
2023-07-24,35.8900000000,35.9900000000,36.2100000000,35.6700000000,1242919,44667936.2000,1.50,-0.027800,-0.01,0.603100
2023-07-25,35.9900000000,36.9300000000,37.0800000000,35.9900000000,2610064,95768411.6000,3.03,2.611800,0.94,1.266500
2023-07-26,37.0000000000,36.4700000000,37.0000000000,36.3500000000,1449900,53043756.0000,1.76,-1.245600,-0.46,0.703500
2023-07-27,36.4000000000,36.7200000000,36.9300000000,36.4000000000,1356213,49731177.6100,1.45,0.685500,0.25,0.658100
2023-07-28,36.9000000000,36.8700000000,36.9300000000,36.0500000000,1605294,58674249.2000,2.40,0.408500,0.15,0.779000
2023-07-31,36.9100000000,36.9100000000,37.2800000000,36.7200000000,1521389,56266796.8500,1.52,0.108500,0.04,0.738200
2023-08-01,37.1900000000,36.7600000000,37.1900000000,36.6500000000,918680,33778570.8000,1.46,-0.406400,-0.15,0.445800
2023-08-02,36.7500000000,37.0700000000,37.1200000000,36.6000000000,1328765,49031878.0800,1.41,0.843300,0.31,0.644800
2023-08-03,37.0500000000,36.7600000000,37.0500000000,36.4900000000,1223389,44944439.9400,1.51,-0.836300,-0.31,0.593600
2023-08-04,36.8900000000,37.5900000000,38.0200000000,36.5600000000,2377719,88713753.1000,3.97,2.257900,0.83,1.153800
2023-08-07,37.4900000000,37.6500000000,37.8800000000,37.2900000000,1096300,41218004.0000,1.57,0.159600,0.06,0.532000
2023-08-08,37.6700000000,37.1100000000,37.9800000000,36.9900000000,1290000,48167351.1200,2.63,-1.434300,-0.54,0.626000
2023-08-09,37.1100000000,36.2700000000,37.1100000000,36.1300000000,1871240,68314367.8800,2.64,-2.263500,-0.84,0.908000
2023-08-10,36.2700000000,35.8800000000,36.5700000000,35.7500000000,1339024,48191077.0000,2.26,-1.075300,-0.39,0.649700
2023-08-11,35.8800000000,35.1900000000,36.4100000000,35.1000000000,1417755,50199610.2200,3.65,-1.923100,-0.69,0.688000
2023-08-14,35.0000000000,34.6300000000,35.2000000000,33.7600000000,2584562,88891261.7600,4.09,-1.591400,-0.56,1.254100
2023-08-15,34.7300000000,33.8800000000,35.0400000000,33.5800000000,1956235,66590324.6800,4.22,-2.165800,-0.75,0.949200
2023-08-16,33.8800000000,33.1500000000,34.2500000000,32.8600000000,2767580,92205820.6000,4.10,-2.154700,-0.73,1.342900
2023-08-17,33.1500000000,33.9800000000,34.7100000000,32.8000000000,3267300,110658121.7500,5.76,2.503800,0.83,1.585400
2023-08-18,34.0100000000,33.2200000000,34.1800000000,33.2000000000,1557635,52275094.7700,2.88,-2.236600,-0.76,0.755800
2023-08-21,33.0500000000,32.5900000000,33.5800000000,32.5500000000,1393414,45951863.8000,3.10,-1.896400,-0.63,0.676100
2023-08-22,32.5500000000,32.5000000000,32.8800000000,31.6000000000,2193136,70384491.9200,3.93,-0.276200,-0.09,1.064200
2023-08-23,32.4900000000,31.7900000000,32.4900000000,31.7000000000,1573024,50208549.9800,2.43,-2.184600,-0.71,0.763300
