日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,35.3607301700,33.9912285000,35.3607301700,33.5872747700,3431852,119394981.0000,0.00,-3.062700,0.00,0.747900
2023-05-29,34.0010810300,34.5823803000,34.9666289700,34.0010810300,2005863,70395661.4800,2.84,1.739100,0.59,0.437100
2023-05-30,34.5823803000,32.9961229700,34.5823803000,32.0699851500,5705533,190220756.8400,7.26,-4.586900,-1.59,1.243300
2023-05-31,32.8975976700,32.5330540600,33.1734685100,32.3557085200,3291737,108946396.4300,2.48,-1.403400,-0.46,0.717300
2023-06-01,32.6217268300,32.7596622500,33.4000767000,32.2670357500,4137566,137689429.6400,3.48,0.696500,0.23,0.901600
2023-06-02,32.7005470700,33.0256805600,33.2818463400,32.5823167100,2677042,89371540.8600,2.14,0.812000,0.27,0.583400
2023-06-05,33.0059755000,32.4246762300,33.0256805600,32.3458559900,2653271,87768948.8800,2.06,-1.819800,-0.60,0.578200
2023-06-06,32.3360034600,31.5970637100,32.4542338200,31.4197181700,5382192,173488349.6500,3.19,-2.552400,-0.83,1.172900
2023-06-07,31.6266213000,31.3803080500,31.8926396100,31.1142897400,3106462,99005665.4800,2.46,-0.686000,-0.22,0.677000
2023-06-08,31.4886858800,30.8384189000,31.5970637100,30.8187138400,3551315,111924577.1800,2.48,-1.726800,-0.54,0.773900
2023-06-09,30.9960593800,30.7300410700,31.1734049200,30.3556449300,5013553,155797784.7300,2.65,-0.351400,-0.11,1.092500
2023-06-12,30.6807784200,30.7595986600,30.9862068500,30.4541702300,3117597,97137389.3800,1.73,0.096200,0.03,0.679400
2023-06-13,30.8778290200,30.0896266200,30.8778290200,29.9713962600,5082411,155643851.2400,2.95,-2.178100,-0.67,1.107500
2023-06-14,30.0896266200,29.5970001200,30.0994791500,29.5575900000,5077458,153187495.3600,1.80,-1.637200,-0.49,1.106500
2023-06-15,29.6068526500,30.0797740900,30.2472671000,29.5674425300,3808848,116077739.1000,2.30,1.631200,0.48,0.830000
2023-06-16,30.1093316800,30.1191842100,30.2275620400,29.8728709600,3262200,99574094.2200,1.18,0.131000,0.04,0.710900
2023-06-19,30.1881519200,30.9960593800,31.1931099800,30.1290367400,6835326,213322912.5400,3.53,2.911400,0.88,1.489500
2023-06-20,30.9960593800,34.0996063300,34.0996063300,30.7398936000,16954394,573614411.5400,10.84,10.012700,3.10,3.694600
2023-06-21,33.8828506700,33.6266848900,34.5035600600,33.2818463400,15350423,526243336.7400,3.58,-1.386900,-0.47,3.345100
2023-06-26,33.6168323600,32.3655610500,33.6168323600,31.5280960000,10050586,330601764.1500,6.21,-3.750400,-1.26,2.190200
2023-06-27,32.3655610500,32.5626116500,32.9961229700,32.1093952700,5091706,168005677.0900,2.74,0.608800,0.20,1.109600
2023-06-28,32.5724641800,32.9074502000,32.9764179100,31.8433769600,5614556,185561387.8300,3.48,1.059000,0.34,1.223500
