日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,12.9402189800,13.1274727200,13.2654491600,12.7431097800,5264806,69479245.8800,0.00,0.150400,0.00,3.115200
2023-05-29,13.1373281800,12.9303635200,13.2063164000,12.8318089200,3429359,44987574.5000,2.85,-1.501500,-0.20,2.029200
2023-05-30,12.8909416800,13.0190626600,13.3344373800,12.8219534600,3526100,46519867.0000,3.96,0.686000,0.09,2.086400
2023-05-31,12.9993517400,13.0880508800,13.3245819200,12.9106526000,2588597,34301890.1600,3.18,0.529900,0.07,1.531700
2023-06-01,13.2851600800,13.1077618000,13.2851600800,12.9106526000,2600565,34633461.3500,2.86,0.150600,0.02,1.538800
2023-06-02,13.2161718600,13.5512575000,13.5512575000,13.0880508800,4393650,59753476.9000,3.53,3.383500,0.44,2.599800
2023-06-05,13.5611129600,13.5414020400,13.7779330800,13.4132810600,3121857,42947577.5800,2.69,-0.072700,-0.01,1.847200
2023-06-06,13.4527029000,13.6990894000,13.8863431400,13.3442928400,2904770,40224384.6000,4.00,1.164500,0.16,1.718800
2023-06-07,13.7877885400,14.3396943000,14.3396943000,13.5512575000,5197409,73732202.0400,5.76,4.676300,0.64,3.075400
2023-06-08,14.3495497600,14.2509951600,14.4481043600,13.9257649800,3708314,53438670.5600,3.64,-0.618600,-0.09,2.194200
2023-06-09,13.9553313600,15.6800368600,15.6800368600,13.8370658400,5778426,88120923.0400,12.93,10.027700,1.43,3.419100
2023-06-12,16.0643998000,16.8331256800,17.2470550000,15.0689983400,10729858,176738048.2800,13.89,7.353900,1.15,6.349000
2023-06-13,16.3107863000,16.1826653200,16.4881845800,15.7687360000,7468109,122058553.0500,4.27,-3.864200,-0.65,4.418900
2023-06-14,16.1038216400,16.2417980800,16.9513912000,15.8081578400,6394853,106865962.3800,7.06,0.365400,0.06,3.783900
2023-06-15,16.0643998000,15.6997477800,16.2516535400,15.5420604200,5860250,93925242.5300,4.37,-3.337400,-0.54,3.467600
2023-06-16,15.5716268000,15.2266857000,15.7687360000,15.0887092600,4882325,76088350.3000,4.33,-3.013200,-0.47,2.888900
2023-06-19,15.3055293800,15.6011931800,15.6504704800,14.7831900000,4088173,63795288.5500,5.70,2.459500,0.37,2.419000
2023-06-20,15.6011931800,15.4533612800,15.7785914600,15.3153848400,2513523,39666874.9300,2.97,-0.947600,-0.15,1.487300
2023-06-21,15.6209041000,14.9605882800,15.6898923200,14.8916000600,2151488,33091704.6000,5.17,-3.188800,-0.49,1.273100
