日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,33.9664352800,33.8045089200,34.1378867200,33.4711311200,1968680,69727421.0000,0.00,-0.365000,0.00,1.060800
2023-05-29,33.9092848000,32.9186764800,33.9759603600,32.8520009200,2951209,102994996.4200,3.32,-2.620500,-0.89,1.590200
2023-05-30,33.1282282400,32.4043221600,33.2425292000,32.2614459600,3217830,110507661.1000,2.98,-1.562500,-0.51,1.733900
2023-05-31,32.3852720000,32.5376732800,32.7567501200,31.7185164000,3367309,114045205.0600,3.20,0.411500,0.13,1.814400
2023-06-01,32.8234256800,33.7664086000,34.2902880000,32.4805228000,4749579,168440527.5300,5.56,3.776300,1.23,2.559200
2023-06-02,33.7092581200,34.7665420000,35.0046690000,33.7092581200,4238234,153100800.5000,3.84,2.961900,1.00,2.283700
2023-06-05,34.8903680400,35.6714246000,35.9571770000,34.7760670800,4255980,159125553.9100,3.40,2.602700,0.90,2.293200
2023-06-06,35.6523744400,35.0999198000,35.9952773200,34.9856188400,3989935,148444372.2700,2.83,-1.602100,-0.57,2.149900
2023-06-07,35.2332709200,34.5379400800,35.4332976000,34.3760137200,2733262,99393637.9200,3.01,-1.601100,-0.56,1.472800
2023-06-08,34.8046423200,34.6522410400,36.0714779600,34.6141407200,2860918,105646766.2400,4.22,0.330900,0.11,1.541500
2023-06-09,34.8427426400,34.4998397600,34.9189432800,34.1569368800,2196980,79324022.7600,2.20,-0.439800,-0.15,1.183800
2023-06-12,34.7379667600,34.9189432800,35.1761204400,34.2045622800,2180395,79758198.4500,2.82,1.214800,0.42,1.174900
2023-06-13,34.9665686800,34.7665420000,35.0046690000,34.5474651600,1757220,64145038.0000,1.31,-0.436400,-0.15,0.946800
2023-06-14,34.9570436000,35.2523210800,35.7381001600,34.9570436000,2152487,79858294.3900,2.25,1.397300,0.49,1.159800
2023-06-15,35.2427960000,35.1761204400,35.3094715600,34.3950638800,2050474,75347550.0400,2.59,-0.216200,-0.08,1.104800
2023-06-16,35.2999464800,36.2810297200,36.7191834000,35.1761204400,3781598,142907152.2600,4.39,3.141100,1.10,2.037600
2023-06-19,36.6715580000,38.6146743200,39.3385804000,36.6715580000,9201444,370843559.7900,7.35,6.432100,2.33,4.958000
