日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,25.7000000000,25.9000000000,26.0800000000,25.0600000000,683500,17418346.0000,0.00,-0.384600,0.00,0.632400
2023-05-29,25.7200000000,25.3200000000,25.9600000000,25.1100000000,536640,13690221.8000,3.28,-2.239400,-0.58,0.496500
2023-05-30,25.3200000000,25.3000000000,26.0200000000,24.8500000000,656400,16588863.0000,4.62,-0.079000,-0.02,0.607300
2023-05-31,25.2600000000,25.0300000000,25.3000000000,24.9500000000,533400,13384302.0000,1.38,-1.067200,-0.27,0.493500
2023-06-01,25.0300000000,25.1100000000,25.3700000000,24.6000000000,548300,13707131.0000,3.08,0.319600,0.08,0.507300
2023-06-02,25.1100000000,25.4200000000,25.7000000000,25.0200000000,453500,11476310.0000,2.71,1.234600,0.31,0.419600
2023-06-05,25.4900000000,25.0200000000,25.4900000000,24.9200000000,414653,10395223.2400,2.24,-1.573600,-0.40,0.383700
2023-06-06,25.1000000000,24.4900000000,25.1000000000,24.3800000000,543733,13405862.0700,2.88,-2.118300,-0.53,0.503100
2023-06-07,24.5100000000,24.8000000000,24.8000000000,24.0200000000,309400,7628908.0000,3.18,1.265800,0.31,0.286300
2023-06-08,24.7700000000,24.8700000000,24.9600000000,24.6000000000,372000,9228640.0000,1.45,0.282300,0.07,0.344200
2023-06-09,24.8000000000,24.4500000000,24.8600000000,24.2600000000,372600,9110896.0000,2.41,-1.688800,-0.42,0.344700
2023-06-12,24.2100000000,24.7900000000,25.0500000000,24.2000000000,402453,9915288.3100,3.48,1.390600,0.34,0.372400
2023-06-13,25.1000000000,24.5400000000,25.1800000000,24.4300000000,539980,13266052.8000,3.03,-1.008500,-0.25,0.499600
2023-06-14,24.5500000000,24.5300000000,24.6500000000,24.2500000000,283000,6922355.0000,1.63,-0.040700,-0.01,0.261800
2023-06-15,24.2000000000,24.8500000000,25.1900000000,24.2000000000,621920,15374142.6000,4.04,1.304500,0.32,0.575400
2023-06-16,24.8400000000,24.8400000000,25.0700000000,24.5800000000,439200,10912569.0000,1.97,-0.040200,-0.01,0.406400
2023-06-19,24.6600000000,24.8700000000,25.1000000000,24.6600000000,370680,9238645.2000,1.77,0.120800,0.03,0.343000
2023-06-20,25.1000000000,24.8800000000,25.1000000000,24.7500000000,341132,8503526.8800,1.41,0.040200,0.01,0.315600
2023-06-21,25.0400000000,24.9000000000,25.1700000000,24.7600000000,411500,10265118.6000,1.65,0.080400,0.02,0.380700
2023-06-26,24.9000000000,24.2200000000,24.9000000000,24.1800000000,498780,12191593.8000,2.89,-2.730900,-0.68,0.461500
2023-06-27,24.9800000000,24.8400000000,24.9800000000,23.6800000000,810700,19939555.6000,5.37,2.559900,0.62,0.750100
2023-06-28,24.6700000000,24.9100000000,25.0500000000,24.2400000000,606900,14967815.0000,3.26,0.281800,0.07,0.561500
2023-06-29,25.2000000000,25.4900000000,25.7500000000,24.8500000000,1465320,37264998.0000,3.61,2.328400,0.58,1.355800
2023-06-30,25.3700000000,25.5300000000,25.8800000000,25.3700000000,892220,22871121.0000,2.00,0.156900,0.04,0.825500
2023-07-03,25.7000000000,25.4400000000,25.8800000000,25.3700000000,490420,12516998.6000,2.00,-0.352500,-0.09,0.453800
2023-07-04,25.7500000000,25.6300000000,25.8000000000,25.2100000000,442800,11354183.0000,2.32,0.746900,0.19,0.409700
2023-07-05,25.6300000000,25.2200000000,25.7800000000,25.2100000000,369700,9378303.0000,2.22,-1.599700,-0.41,0.342100
2023-07-06,25.2100000000,25.2100000000,25.4800000000,25.1000000000,300800,7581363.0000,1.51,-0.039700,-0.01,0.278300
2023-07-07,25.2600000000,25.0000000000,25.3900000000,25.0000000000,305300,7679903.0000,1.55,-0.833000,-0.21,0.282500
2023-07-10,25.1000000000,24.9200000000,25.2100000000,24.7500000000,351620,8749436.0000,1.84,-0.320000,-0.08,0.325300
2023-07-11,24.8000000000,25.1900000000,25.4900000000,24.8000000000,336400,8460917.0000,2.77,1.083500,0.27,0.311300
2023-07-12,25.0300000000,24.9400000000,25.2800000000,24.8500000000,306300,7683714.0000,1.71,-0.992500,-0.25,0.283400
2023-07-13,25.1200000000,25.1600000000,25.2000000000,24.7800000000,423400,10583613.0000,1.68,0.882100,0.22,0.391700
2023-07-14,25.1300000000,25.2200000000,25.2500000000,24.9800000000,313120,7872546.0000,1.07,0.238500,0.06,0.289700
2023-07-17,25.2100000000,25.0300000000,25.2100000000,24.7000000000,320620,7982877.8000,2.02,-0.753400,-0.19,0.296700
2023-07-18,25.0300000000,25.2000000000,25.5100000000,24.8700000000,353200,8901544.2200,2.56,0.679200,0.17,0.326800
2023-07-19,25.2400000000,24.8100000000,25.2900000000,24.7300000000,338200,8438701.0000,2.22,-1.547600,-0.39,0.312900
2023-07-20,24.9100000000,24.4700000000,25.1000000000,24.3800000000,437000,10736077.0000,2.90,-1.370400,-0.34,0.404300
2023-07-21,24.0800000000,24.0600000000,24.4100000000,23.9100000000,501554,12113588.3400,2.04,-1.675500,-0.41,0.464100
2023-07-24,24.0600000000,24.0400000000,24.3600000000,23.9400000000,254800,6147234.0000,1.75,-0.083100,-0.02,0.235800
2023-07-25,24.2600000000,24.3300000000,24.5800000000,24.1000000000,459640,11208902.0000,2.00,1.206300,0.29,0.425300
2023-07-26,24.1800000000,24.0800000000,24.5100000000,24.0700000000,340300,8238041.8000,1.81,-1.027500,-0.25,0.314900
2023-07-27,24.0900000000,23.7400000000,24.2800000000,23.7200000000,455400,10920197.0000,2.33,-1.412000,-0.34,0.421400
2023-07-28,23.7600000000,24.0500000000,24.1200000000,23.6200000000,389820,9335065.0600,2.11,1.305800,0.31,0.360700
2023-07-31,24.4400000000,24.3200000000,24.4900000000,24.0800000000,410740,9984330.8000,1.70,1.122700,0.27,0.380000
2023-08-01,24.3800000000,24.2700000000,24.5000000000,24.1300000000,296900,7213557.0000,1.52,-0.205600,-0.05,0.274700
2023-08-02,24.2700000000,24.3600000000,24.4600000000,24.0800000000,319140,7768952.4000,1.57,0.370800,0.09,0.295300
2023-08-03,24.3500000000,24.3000000000,24.4700000000,24.1200000000,237700,5777260.0000,1.44,-0.246300,-0.06,0.219900
2023-08-04,24.2900000000,23.9900000000,24.6800000000,23.9600000000,517200,12589337.0000,2.96,-1.275700,-0.31,0.478500
2023-08-07,24.1100000000,24.0500000000,24.5800000000,23.9000000000,451860,10911201.4000,2.83,0.250100,0.06,0.418100
2023-08-08,23.8800000000,23.8000000000,24.1300000000,23.7600000000,241500,5763046.0000,1.54,-1.039500,-0.25,0.223400
2023-08-09,23.7300000000,23.5800000000,24.4200000000,23.5700000000,365300,8683706.0000,3.57,-0.924400,-0.22,0.338000
2023-08-10,23.5800000000,23.9200000000,23.9500000000,23.3000000000,308800,7341802.0000,2.76,1.441900,0.34,0.285700
2023-08-11,24.0700000000,23.5500000000,24.0700000000,23.5000000000,388300,9188725.0000,2.38,-1.546800,-0.37,0.359300
2023-08-14,23.5800000000,23.6400000000,23.7800000000,22.8700000000,519500,12133391.0000,3.86,0.382200,0.09,0.480700
2023-08-15,23.5900000000,23.6400000000,23.7600000000,23.4000000000,304400,7178519.0000,1.52,0.000000,0.00,0.281600
2023-08-16,23.2700000000,23.6100000000,23.9400000000,23.2700000000,250600,5951646.0000,2.83,-0.126900,-0.03,0.231900
2023-08-17,23.3100000000,24.2700000000,24.2900000000,23.3100000000,506520,12106586.0000,4.15,2.795400,0.66,0.468700
2023-08-18,24.2900000000,24.2300000000,24.8000000000,23.7500000000,555400,13644348.0000,4.33,-0.164800,-0.04,0.513900
2023-08-21,24.3500000000,23.7800000000,24.4700000000,23.7000000000,432500,10326476.0000,3.18,-1.857200,-0.45,0.400200
2023-08-22,23.7800000000,23.4100000000,24.1100000000,23.0700000000,618200,14545925.0000,4.37,-1.555900,-0.37,0.572000
2023-08-23,23.4000000000,23.0200000000,23.4000000000,22.9700000000,308300,7119814.0000,1.84,-1.666000,-0.39,0.285300
2023-08-24,23.0200000000,22.1900000000,23.0500000000,22.0000000000,626000,14082019.0000,4.56,-3.605600,-0.83,0.579200
2023-08-25,21.8700000000,22.1300000000,22.8700000000,21.3500000000,738400,16549561.0000,6.85,-0.270400,-0.06,0.683200
2023-08-28,23.7000000000,22.0700000000,23.7000000000,21.7700000000,632500,14211254.0000,8.72,-0.271100,-0.06,0.585200
2023-08-29,22.0100000000,23.8000000000,23.8000000000,21.9000000000,895420,20804112.2000,8.61,7.838700,1.73,0.828500
2023-08-30,23.8800000000,24.1000000000,24.2000000000,23.7000000000,684300,16405071.0000,2.10,1.260500,0.30,0.633100
2023-08-31,23.3000000000,24.0500000000,24.3000000000,23.3000000000,452920,10904963.8000,4.15,-0.207500,-0.05,0.419100
2023-09-01,24.0600000000,23.9500000000,24.3100000000,23.5000000000,426180,10152054.6000,3.37,-0.415800,-0.10,0.394300
2023-09-04,23.8700000000,23.6400000000,24.1500000000,23.5200000000,393100,9298402.0000,2.63,-1.294400,-0.31,0.363700
2023-09-05,23.5300000000,23.8000000000,24.0600000000,23.5300000000,251700,5984724.0000,2.24,0.676800,0.16,0.232900
