日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-31,57.9700,63.6000,67.9700,57.9700,169743,1059890107.92,98.72,527.8400,53.4700,89.3400
2025-08-01,58.5400,54.1900,58.9700,53.9900,98060,561216289.49,7.83,-14.8000,-9.4100,51.6100
2025-08-04,52.9700,51.4800,53.4700,50.6000,58288,307044890.80,5.30,-5.0000,-2.7100,30.6800
2025-08-05,52.0700,51.8800,53.6600,51.0400,47350,252315423.53,5.09,0.7800,0.4000,24.9200
2025-08-06,51.4800,52.8100,53.0400,49.4700,52813,275937228.64,6.88,1.7900,0.9300,27.8000
2025-08-07,52.2700,51.6500,52.8500,51.6500,35783,190111613.09,2.27,-2.2000,-1.1600,18.8300
2025-08-08,50.9900,50.5800,51.7700,49.6400,37161,191658622.12,4.12,-2.0700,-1.0700,19.5600
2025-08-11,50.8500,50.8100,51.4000,50.1400,18709,97078652.73,2.49,0.4500,0.2300,9.8500
2025-08-12,50.4900,50.6800,51.2800,49.8600,23890,123124551.77,2.79,-0.2600,-0.1300,12.5700
2025-08-13,50.7700,50.8700,51.7400,50.4400,22205,115616026.79,2.57,0.3700,0.1900,11.6900
2025-08-14,50.8800,49.4700,50.8800,49.4700,23508,120028212.90,2.77,-2.7500,-1.4000,12.3700
2025-08-15,49.2300,49.9700,50.1700,49.1700,16613,84463952.75,2.02,1.0100,0.5000,8.7400
2025-08-18,50.2000,51.7100,51.9500,50.0400,33450,175174809.79,3.82,3.4800,1.7400,17.6100
2025-08-19,52.2200,51.9000,53.9000,51.7800,38939,209225295.61,4.10,0.3700,0.1900,20.4900
2025-08-20,51.3600,52.8300,53.7700,50.9200,27682,147269896.66,5.49,1.7900,0.9300,14.5700
2025-08-21,52.5900,51.5600,52.9500,51.3500,19586,103900350.12,3.03,-2.4000,-1.2700,10.3100
2025-08-22,51.8500,50.6800,51.8500,50.5200,20969,108794623.29,2.58,-1.7100,-0.8800,11.0400
2025-08-25,50.8400,51.5200,51.5200,50.3000,18723,97298136.31,2.41,1.6600,0.8400,9.8500
2025-08-26,51.6900,51.9000,52.6200,50.9700,25539,135279863.50,3.20,0.7400,0.3800,13.4400
2025-08-27,51.9500,50.2200,51.9500,50.1200,23278,120610944.92,3.53,-3.2400,-1.6800,12.2500
2025-08-28,50.2100,50.6900,50.8300,49.4800,16190,82786252.24,2.69,0.9400,0.4700,8.5200
2025-08-29,50.6900,50.8500,51.4500,50.4400,14718,76625299.49,1.99,0.3200,0.1600,7.7500
2025-09-01,51.1800,50.9100,51.5400,50.1800,15413,79967583.05,2.67,0.1200,0.0600,8.1100
2025-09-02,51.3700,52.0300,52.7000,50.3700,29575,155762698.39,4.58,2.2000,1.1200,15.5700
2025-09-03,52.5500,52.5200,55.8500,52.2700,40275,220544466.59,6.88,0.9400,0.4900,21.2000
2025-09-04,51.7400,50.8500,51.7400,50.4500,28161,146269504.80,2.46,-3.1800,-1.6700,14.8200
2025-09-05,50.9700,51.4700,51.7300,50.4700,21261,111054261.39,2.48,1.2200,0.6200,11.1900
2025-09-08,51.3300,52.4700,52.6600,50.7900,20516,108777703.99,3.63,1.9400,1.0000,10.8000
2025-09-09,52.0700,50.5000,52.3700,50.4700,21161,110164440.04,3.62,-3.7500,-1.9700,11.1400
2025-09-10,50.7000,50.3100,50.7500,49.9700,9738,50186155.87,1.54,-0.3800,-0.1900,5.1300
2025-09-11,50.4700,50.9500,51.0800,50.0900,10143,52524485.36,1.97,1.2700,0.6400,5.3400
2025-09-12,50.9700,50.1900,51.2000,50.1500,11528,59410903.52,2.06,-1.4900,-0.7600,6.0700
2025-09-15,50.5400,50.1000,50.6500,49.8700,8749,44769320.20,1.55,-0.1800,-0.0900,4.6000
2025-09-16,49.9600,50.0100,50.4000,49.6300,8929,45488868.99,1.54,-0.1800,-0.0900,4.7000
2025-09-17,50.0800,49.9900,50.3600,49.7300,8433,43117348.35,1.26,-0.0400,-0.0200,4.4400
2025-09-18,49.9700,49.6200,50.4600,49.4700,12881,65592927.77,1.98,-0.7400,-0.3700,6.7800
2025-09-19,49.8000,48.5100,49.8500,48.4500,14373,71666723.00,2.82,-2.2400,-1.1100,7.5600
2025-09-22,49.1200,48.9200,49.4600,48.3700,8288,41483651.94,2.25,0.8500,0.4100,4.3600
2025-09-23,48.9700,45.8300,48.9700,44.6300,19961,94093048.08,8.87,-6.3200,-3.0900,10.5100
2025-09-24,45.7700,46.1300,46.3700,45.0400,8292,38856923.46,2.90,0.6500,0.3000,4.3600
2025-09-25,45.7700,45.2600,45.9600,45.1500,8101,37577553.07,1.76,-1.8900,-0.8700,4.2600
2025-09-26,45.2400,45.4300,46.7500,45.2400,9458,44564837.15,3.34,0.3800,0.1700,4.9800
2025-09-29,45.3100,44.6700,45.8400,44.3700,7965,36425895.00,3.24,-1.6700,-0.7600,4.1900
2025-09-30,45.7700,44.8200,45.7700,44.7700,3865,17856775.57,2.24,0.3400,0.1500,2.0300
2025-10-09,44.7200,45.1000,45.7000,44.7200,6535,30246559.56,2.19,0.6200,0.2800,3.4400
2025-10-10,45.1000,45.4200,45.9000,44.7400,6918,32099924.55,2.57,0.7100,0.3200,3.6400
2025-10-13,44.4200,43.9200,44.4200,43.5500,10201,45776991.15,1.92,-3.3000,-1.5000,5.3700
2025-10-14,43.9700,44.1300,44.6900,43.8500,5153,23383010.49,1.91,0.4800,0.2100,2.7100
2025-10-15,44.0400,44.2700,44.5700,43.7400,3567,16119101.30,1.88,0.3200,0.1400,1.8800
2025-10-16,44.2700,44.3700,44.8500,44.0800,5973,27225978.02,1.74,0.2300,0.1000,3.1400
2025-10-17,44.5000,44.2100,46.2200,44.0300,11455,53102612.12,4.94,-0.3600,-0.1600,6.0300
2025-10-20,44.4200,43.9800,44.8200,43.8200,5513,24986563.36,2.26,-0.5200,-0.2300,2.9000
2025-10-21,44.1700,45.0000,45.2500,43.6700,7150,32547797.45,3.59,2.3200,1.0200,3.7600
2025-10-22,45.6300,45.9700,46.6600,44.6600,13465,63278531.80,4.44,2.1600,0.9700,7.0900
2025-10-23,45.3700,45.6000,46.1400,45.0300,6438,29992798.58,2.41,-0.8000,-0.3700,3.3900
2025-10-24,45.5800,45.1500,45.8200,44.9700,5636,26073901.74,1.86,-0.9900,-0.4500,2.9700
2025-10-27,45.2200,44.8200,45.5300,44.6600,6600,30317472.53,1.93,-0.7300,-0.3300,3.4700
2025-10-28,45.0800,45.3500,45.4900,44.6800,5424,25047910.08,1.81,1.1800,0.5300,2.8500
2025-10-29,45.3700,47.2700,47.3200,45.1800,14652,69490220.56,4.72,4.2300,1.9200,7.7100
2025-10-30,47.3000,45.9700,47.5600,45.9000,14961,71594037.22,3.51,-2.7500,-1.3000,7.8700
2025-10-31,46.1700,46.0900,47.1300,45.7700,7816,37030702.31,2.96,0.2600,0.1200,4.1100
2025-11-03,46.0900,46.8000,47.6300,45.9700,8481,40599484.77,3.60,1.5400,0.7100,4.4600
2025-11-04,46.9700,46.6700,46.9700,46.0900,4988,23686441.42,1.88,-0.2800,-0.1300,2.6300
2025-11-05,46.1300,46.4000,46.7400,45.6000,8174,38577937.95,2.44,-0.5800,-0.2700,4.3000
2025-11-06,46.6700,46.0500,46.6700,45.8500,4809,22684731.91,1.77,-0.7500,-0.3500,2.5300
2025-11-07,46.3200,45.4700,46.3200,44.9800,5486,25630804.27,2.91,-1.2600,-0.5800,2.8900
2025-11-10,45.4500,45.0400,45.7400,44.9100,6302,29034431.25,1.83,-0.9500,-0.4300,3.3200
