日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,3.7900,3.7800,3.9100,3.6800,19960,11135453.05,5.93,-2.5800,-0.1000,9.7100
2023-05-29,3.7600,3.6800,3.8300,3.6700,13406,7437115.26,4.23,-2.6500,-0.1000,6.5200
2023-05-30,3.6300,3.7200,3.8100,3.6100,17384,9640022.84,5.43,1.0900,0.0400,8.4500
2023-05-31,3.7500,3.5600,3.7500,3.5500,12993,6810263.72,5.38,-4.3000,-0.1600,6.3200
2023-06-01,3.6000,3.4800,3.6000,3.4600,10241,5225540.98,3.93,-2.2500,-0.0800,4.9800
2023-06-02,3.5100,3.5400,3.5400,3.4700,6132,3146643.68,2.01,1.7200,0.0600,2.9800
2023-06-05,3.5400,3.5100,3.5500,3.4800,4253,2172771.15,1.98,-0.8500,-0.0300,2.0700
2023-06-06,3.5000,3.4900,3.5300,3.4600,4214,2152797.59,1.99,-0.5700,-0.0200,2.0500
2023-06-07,3.4900,3.4600,3.5100,3.4400,3748,1897196.02,2.01,-0.8600,-0.0300,1.8200
2023-06-08,3.4800,3.4500,3.4800,3.4300,2179,1100123.06,1.45,-0.2900,-0.0100,1.0600
2023-06-09,3.4600,3.4600,3.5600,3.4400,3995,2032460.83,3.48,0.2900,0.0100,1.9400
2023-06-12,3.4800,3.4100,3.4800,3.3900,3815,1907730.48,2.60,-1.4500,-0.0500,1.8600
2023-06-13,3.4100,3.4000,3.4300,3.3800,3377,1680990.22,1.47,-0.2900,-0.0100,1.6400
2023-06-14,3.4100,3.4000,3.4100,3.3700,2499,1236969.83,1.18,0.0000,0.0000,1.2200
2023-06-15,3.3600,3.3900,3.4000,3.3300,2016,996385.34,2.06,-0.2900,-0.0100,0.9800
2023-06-16,3.4100,3.4400,3.4600,3.4100,1718,862238.01,1.47,1.4700,0.0500,0.8400
2023-06-19,3.4600,3.3800,3.4600,3.3600,1960,975050.63,2.91,-1.7400,-0.0600,0.9500
2023-06-20,3.3600,3.3300,3.4200,3.2800,6960,3389340.94,4.14,-1.4800,-0.0500,3.3800
2023-06-21,3.3300,3.3700,3.4000,3.3200,3968,1949700.31,2.40,1.2000,0.0400,1.9300
2023-06-26,3.3600,3.5300,3.6800,3.3100,14949,7668523.03,10.98,4.7500,0.1600,7.2700
2023-06-27,3.5100,3.4700,3.5500,3.3900,8103,4084933.40,4.53,-1.7000,-0.0600,3.9400
2023-06-28,3.4300,3.6600,4.0700,3.4200,40571,22151771.01,18.73,5.4800,0.1900,19.7300
2023-06-29,3.5300,3.7900,3.9000,3.5300,30594,16567241.92,10.11,3.5500,0.1300,14.8800
2023-06-30,3.7400,3.6900,3.7800,3.6600,11386,6136426.25,3.17,-2.6400,-0.1000,5.5400
2023-07-03,3.7500,3.6600,3.7600,3.6300,9417,5032302.28,3.52,-0.8100,-0.0300,4.5800
