日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-21,47.8800,43.0400,54.0000,43.0100,141618,688872968.28,73.36,187.3200,28.0600,78.2300
2026-01-22,39.0000,37.6800,41.0000,37.5000,86646,340897644.80,8.13,-12.4500,-5.3600,47.8600
2026-01-23,37.9700,38.0600,38.9600,37.8000,53091,208279084.82,3.08,1.0100,0.3800,29.3300
2026-01-26,38.0100,39.4500,40.7500,37.1000,57831,228639712.40,9.59,3.6500,1.3900,31.9500
2026-01-27,38.6000,37.6300,38.6000,37.5100,33278,129292821.67,2.76,-4.6100,-1.8200,18.3800
2026-01-28,37.5200,37.0700,37.5700,37.0200,25644,97859327.24,1.46,-1.4900,-0.5600,14.1700
2026-01-29,37.0100,36.2400,37.1500,36.2000,20544,77285126.94,2.56,-2.2400,-0.8300,11.3500
2026-01-30,36.2100,36.3500,36.6300,36.0700,11485,42872500.96,1.55,0.3000,0.1100,6.3400
2026-02-02,36.4500,35.6600,36.5000,35.6600,11600,42988038.15,2.31,-1.9000,-0.6900,6.4100
2026-02-03,36.0000,35.8100,36.0800,35.3900,10015,36686273.39,1.93,0.4200,0.1500,5.5300
2026-02-04,35.9100,36.1600,36.2900,35.7100,7630,28287005.53,1.62,0.9800,0.3500,4.2100
2026-02-05,36.1600,35.6600,36.2500,35.5800,6323,23262020.12,1.85,-1.3800,-0.5000,3.4900
2026-02-06,35.8800,35.7300,35.9600,35.6800,4873,17927856.03,0.79,0.2000,0.0700,2.6900
2026-02-09,36.0000,35.7700,36.2600,35.6900,6536,24056912.97,1.60,0.1100,0.0400,3.6100
2026-02-10,35.8600,35.7300,35.9300,35.5900,4831,17761955.26,0.95,-0.1100,-0.0400,2.6700
2026-02-11,35.7100,35.7000,35.9700,35.6900,4097,15070072.11,0.78,-0.0800,-0.0300,2.2600
2026-02-12,35.6500,35.0600,35.7000,35.0600,9049,32878648.80,1.79,-1.7900,-0.6400,5.0000
2026-02-13,35.0000,35.0700,35.4700,35.0000,6221,22486470.69,1.34,0.0300,0.0100,3.4400
2026-02-24,35.2600,35.2900,35.4800,35.0800,4130,14957645.37,1.14,0.6300,0.2200,2.2800
2026-02-25,35.5200,35.3800,35.5200,35.2600,4572,16626457.65,0.74,0.2600,0.0900,2.5300
2026-02-26,35.4500,35.2900,35.5800,35.1300,7158,26012217.34,1.27,-0.2500,-0.0900,3.9500
2026-02-27,35.4900,36.3500,36.6800,35.3600,22003,81921139.90,3.74,3.0000,1.0600,12.1500
2026-03-02,35.8300,35.7300,36.2800,35.4700,11815,43383512.77,2.23,-1.7100,-0.6200,6.5300
2026-03-03,35.7500,34.8700,35.9400,34.7900,10524,38277146.49,3.22,-2.4100,-0.8600,5.8100
2026-03-04,34.5800,34.6000,34.9100,34.3500,4929,17526097.15,1.61,-0.7700,-0.2700,2.7200
2026-03-05,34.6600,34.4000,34.8800,34.3900,4720,16800790.78,1.42,-0.5800,-0.2000,2.6100
2026-03-06,34.4800,34.6500,34.8300,34.3000,3373,12018115.19,1.54,0.7300,0.2500,1.8600
2026-03-09,34.5900,34.2000,34.6000,34.1000,3821,13454239.53,1.44,-1.3000,-0.4500,2.1100
2026-03-10,34.2300,34.6800,34.7700,34.2100,5047,17943144.03,1.64,1.4000,0.4800,2.7900
2026-03-11,34.6800,35.1500,35.4800,34.5100,7054,25497356.87,2.80,1.3600,0.4700,3.9000
2026-03-12,35.1400,34.8100,35.1400,34.7600,4251,15234633.29,1.08,-0.9700,-0.3400,2.3500
2026-03-13,34.8600,35.5700,35.7700,34.7100,10242,37289679.02,3.05,2.1800,0.7600,5.6600
2026-03-16,35.4400,35.0200,35.4500,35.0000,5223,18889136.26,1.27,-1.5500,-0.5500,2.8900
2026-03-17,35.0300,35.9500,36.5600,35.0300,15853,58614404.65,4.37,2.6600,0.9300,8.7600
2026-03-18,36.3000,35.8200,36.5000,35.6000,11125,41194914.54,2.50,-0.3600,-0.1300,6.1500
2026-03-19,35.5600,34.5000,35.8000,34.3100,9714,34997462.89,4.16,-3.6900,-1.3200,5.3700
