日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-31,36.0000,37.8000,43.1100,36.0000,142826,543820578.45,28.79,53.0400,13.1000,93.3500
2026-04-01,35.6100,34.7000,36.7000,34.6600,80093,283145141.38,5.40,-8.2000,-3.1000,52.3500
2026-04-02,34.5300,34.2900,35.8600,33.9600,42197,146902378.54,5.48,-1.1800,-0.4100,27.5800
2026-04-03,34.2900,33.0000,34.6000,32.8700,34090,114090826.26,5.05,-3.7600,-1.2900,22.2800
2026-04-07,33.0800,32.6500,33.2100,32.3800,19371,63562496.95,2.52,-1.0600,-0.3500,12.6600
2026-04-08,33.2500,33.9800,33.9800,33.2100,28133,94385427.32,2.36,4.0700,1.3300,18.3900
2026-04-09,33.5100,32.6600,33.5400,32.4300,22784,75076370.61,3.27,-3.8800,-1.3200,14.8900
2026-04-10,32.6300,32.8400,33.5000,32.6200,17478,57783039.31,2.69,0.5500,0.1800,11.4200
2026-04-13,32.1400,33.1900,33.5500,32.1300,17727,58583916.54,4.32,1.0700,0.3500,11.5900
2026-04-14,33.5000,33.8000,34.7400,33.2300,23512,80053328.17,4.55,1.8400,0.6100,15.3700
2026-04-15,34.2500,33.4400,34.5600,33.4200,21605,73294153.78,3.37,-1.0700,-0.3600,14.1200
2026-04-16,33.7700,33.1600,33.7700,32.8400,17586,58207778.34,2.78,-0.8400,-0.2800,11.4900
2026-04-17,33.2800,35.1400,35.4700,32.8000,37060,127141521.19,8.05,5.9700,1.9800,24.2200
2026-04-20,35.0000,35.2200,36.2800,34.7500,33605,119668949.88,4.35,0.2300,0.0800,21.9600
2026-04-21,34.9700,35.1000,35.2900,33.8600,19751,68261161.32,4.06,-0.3400,-0.1200,12.9100
2026-04-22,34.9000,35.7000,35.9200,34.8000,17908,63474841.92,3.19,1.7100,0.6000,11.7000
2026-04-23,35.6800,35.0900,35.7000,34.3100,14079,49053972.97,3.89,-1.7100,-0.6100,9.2000
2026-04-24,34.5100,33.6100,34.6800,33.5000,18081,61356923.36,3.36,-4.2200,-1.4800,11.8200
2026-04-27,33.6800,33.1100,33.6900,32.5000,13545,44778905.90,3.54,-1.4900,-0.5000,8.8500
2026-04-28,32.9000,32.7200,33.8000,32.6200,14120,46722044.25,3.56,-1.1800,-0.3900,9.2300
2026-04-29,33.3400,34.5300,34.6600,33.2000,19081,64986280.33,4.46,5.5300,1.8100,12.4700
2026-04-30,34.5100,35.1300,35.9600,34.1700,21621,76416338.44,5.18,1.7400,0.6000,14.1300
2026-05-06,35.1300,35.1300,36.2800,34.9900,23914,84926716.62,3.67,0.0000,0.0000,15.6300
2026-05-07,35.3600,35.3400,35.9200,35.0200,18039,63854085.75,2.56,0.6000,0.2100,11.7900
2026-05-08,35.3800,37.5500,38.1000,35.3500,39580,146480431.32,7.78,6.2500,2.2100,25.8700
2026-05-11,37.4700,39.0500,39.1100,36.7000,32289,122429848.07,6.42,3.9900,1.5000,21.1000
2026-05-12,38.7300,38.0500,40.5900,37.6000,28116,108821036.43,7.66,-2.5600,-1.0000,18.3800
2026-05-13,37.6000,37.6000,37.9600,37.0900,15761,59041706.72,2.29,-1.1800,-0.4500,10.3000
2026-05-14,37.8100,36.5800,38.2800,36.5100,19116,71295153.50,4.71,-2.7100,-1.0200,12.4900
2026-05-15,37.0900,38.5300,39.1000,36.3600,25855,98073811.29,7.49,5.3300,1.9500,16.9000
2026-05-18,38.6000,39.3600,39.5700,37.7600,23845,91959901.25,4.70,2.1500,0.8300,15.5800
2026-05-19,39.3500,37.7500,39.3500,37.5900,20998,80113116.02,4.47,-4.0900,-1.6100,13.7200
2026-05-20,26.4300,36.5900,37.8000,26.4300,18673,68293755.24,30.12,-3.0700,-1.1600,12.2000
2026-05-21,36.7500,33.7200,36.7800,33.7200,22760,80034721.49,8.36,-7.8400,-2.8700,14.8800
2026-05-22,34.4000,33.7200,34.4200,33.3800,11651,39411442.25,3.08,0.0000,0.0000,7.6100
2026-05-25,33.5900,32.7500,33.8300,32.6600,8751,28882640.83,3.47,-2.8800,-0.9700,5.7200
2026-05-26,32.7000,31.8800,32.9800,31.2500,9340,29787070.91,5.28,-2.6600,-0.8700,6.1000
