日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-07-10,11.2300,9.6900,11.7200,9.3700,101385,140119454.62,30.01,23.7500,1.8600,67.8900
2023-07-11,9.3100,9.2200,10.2800,9.0800,56727,71881147.14,12.38,-4.8500,-0.4700,37.9900
2023-07-12,8.9500,8.2700,9.0700,8.1700,56422,64067159.64,9.76,-10.3000,-0.9500,37.7800
2023-07-13,8.3500,8.2200,8.5900,8.1300,31382,34523320.46,5.56,-0.6000,-0.0500,21.0100
2023-07-14,8.2000,8.6200,8.8500,8.0900,44249,49969415.95,9.25,4.8700,0.4000,29.6300
2023-07-17,8.8100,8.8400,9.2200,8.6400,39172,46293021.65,6.73,2.5500,0.2200,26.2300
2023-07-18,9.1000,8.6900,9.4400,8.6900,29812,35712574.79,8.48,-1.7000,-0.1500,19.9600
2023-07-19,8.4700,8.3000,8.6800,8.2800,27340,30540631.43,4.60,-4.4900,-0.3900,18.3100
2023-07-20,8.3300,8.7800,9.1700,8.3100,38532,45377649.00,10.36,5.7800,0.4800,25.8000
2023-07-21,8.7000,8.3900,8.7000,8.3200,25450,28442566.28,4.33,-4.4400,-0.3900,17.0400
2023-07-24,8.3500,7.9200,8.3800,7.8800,20656,22106358.01,5.96,-5.6000,-0.4700,13.8300
2023-07-25,8.0000,8.2100,8.3500,7.7700,17603,18779481.68,7.32,3.6600,0.2900,11.7900
2023-07-26,8.2200,7.9800,8.3100,7.8800,14169,15046004.23,5.24,-2.8000,-0.2300,9.4900
2023-07-27,7.8900,7.9200,8.0000,7.8500,10628,11118021.47,1.88,-0.7500,-0.0600,7.1200
2023-07-28,8.0000,9.0000,9.5200,7.9800,65560,76616490.34,19.44,13.6400,1.0800,43.9000
2023-07-31,9.5100,9.9000,11.0800,9.1600,69365,91324730.34,21.33,10.0000,0.9000,46.4500
2023-08-01,9.1700,9.6300,9.8400,9.0100,49840,61609612.36,8.38,-2.7300,-0.2700,33.3700
2023-08-02,9.6300,10.0400,11.0000,9.3500,47895,64288982.89,17.13,4.2600,0.4100,32.0700
2023-08-03,10.2300,10.8000,11.6500,9.6200,49331,67632420.86,20.22,7.5700,0.7600,33.0300
2023-08-04,11.4600,13.0000,13.6000,10.8500,63667,100738580.38,25.46,20.3700,2.2000,42.6300
2023-08-07,12.9200,12.4100,13.2300,12.1200,56605,93524440.22,8.54,-4.5400,-0.5900,37.9000
