日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-09-01,6.1300,7.3500,8.4600,6.1200,139959,182754708.08,41.56,30.5500,1.7200,78.7200
2023-09-04,7.7700,8.1500,9.4900,7.5500,100706,141784003.46,26.39,10.8800,0.8000,56.6400
2023-09-05,7.5900,6.6900,7.5900,6.6300,78739,96656860.01,11.78,-17.9100,-1.4600,44.2900
2023-09-06,6.5400,6.3600,6.7600,6.1400,53088,60216337.00,9.27,-4.9300,-0.3300,29.8600
2023-09-07,6.2400,6.2500,6.6000,6.1300,38253,43161393.12,7.39,-1.7300,-0.1100,21.5200
2023-09-08,6.2000,5.7800,6.2500,5.7600,33351,35885845.68,7.84,-7.5200,-0.4700,18.7600
2023-09-11,5.7900,5.8900,5.9900,5.6100,22673,23734378.92,6.57,1.9000,0.1100,12.7500
2023-09-12,5.8100,5.6900,5.9400,5.6400,12283,12822560.94,5.09,-3.4000,-0.2000,6.9100
2023-09-13,5.6200,5.6800,5.8600,5.5900,13192,13695338.86,4.75,-0.1800,-0.0100,7.4200
2023-09-14,5.6800,5.6700,5.8300,5.6100,10235,10638982.13,3.87,-0.1800,-0.0100,5.7600
2023-09-15,5.7400,5.6300,5.7400,5.4400,15735,16045357.96,5.29,-0.7100,-0.0400,8.8500
2023-09-18,5.4900,5.6300,5.6300,5.4000,18138,18366491.93,4.09,0.0000,0.0000,10.2000
2023-09-19,5.5300,5.4500,5.5600,5.4200,7985,8065445.42,2.49,-3.2000,-0.1800,5.0300
2023-09-20,5.4600,5.1600,5.4700,5.1600,9988,9840308.49,5.69,-5.3200,-0.2900,6.2900
2023-09-21,5.1200,4.8100,5.1900,4.7900,12233,11479974.16,7.75,-6.7800,-0.3500,7.7100
2023-09-22,4.7800,5.0900,5.2800,4.7700,10750,10178205.80,10.60,5.8200,0.2800,6.7700
2023-09-25,5.1600,4.8900,5.1600,4.7000,7875,7288326.34,9.04,-3.9300,-0.2000,4.9600
2023-09-26,4.8400,4.7900,4.8900,4.7400,6645,6084250.77,3.07,-2.0400,-0.1000,4.1900
2023-09-27,4.7700,4.8400,4.9900,4.7700,4908,4552508.56,4.59,1.0400,0.0500,3.0900
2023-09-28,4.9100,4.9100,4.9700,4.8400,3653,3391650.91,2.69,1.4500,0.0700,2.3000
2023-10-09,4.9400,4.8400,4.9500,4.8100,4786,4413542.95,2.85,-1.4300,-0.0700,3.0100
2023-10-10,4.8500,4.7600,4.9000,4.7200,5184,4721154.33,3.72,-1.6500,-0.0800,3.2700
2023-10-11,4.7400,4.5900,4.7500,4.5900,6113,5456623.92,3.36,-3.5700,-0.1700,3.8500
2023-10-12,4.5900,4.5500,4.6600,4.5200,4173,3675380.84,3.05,-0.8700,-0.0400,2.6300
2023-10-13,4.5000,4.3400,4.5400,4.3200,6266,5384932.89,4.84,-4.6200,-0.2100,3.9500
2023-10-16,4.3400,4.2600,4.3400,4.1600,5279,4399889.02,4.15,-1.8400,-0.0800,3.3300
2023-10-17,4.2700,4.2400,4.2900,4.1900,2172,1808514.59,2.35,-0.4700,-0.0200,1.3700
2023-10-18,4.2300,4.0700,4.2300,4.0600,2926,2388915.31,4.01,-4.0100,-0.1700,1.8400
2023-10-19,4.0500,3.8400,4.0600,3.7900,6783,5357774.32,6.63,-5.6500,-0.2300,4.2700
2023-10-20,3.7900,3.8600,3.9100,3.7900,3066,2397498.64,3.13,0.5200,0.0200,1.9300
2023-10-23,3.8400,3.7000,3.8500,3.7000,3677,2832514.14,3.89,-4.1500,-0.1600,2.3200
2023-10-24,3.6900,3.8100,3.8800,3.6900,4552,3526947.81,5.14,2.9700,0.1100,2.8700
2023-10-25,3.8900,3.9200,4.0200,3.8400,3310,2621170.31,4.72,2.8900,0.1100,2.0900
2023-10-26,3.9100,3.9900,4.0100,3.8100,4462,3530461.04,5.10,1.7900,0.0700,2.8100
2023-10-27,3.9700,4.5900,4.8400,3.8800,18870,16480498.47,24.06,15.0400,0.6000,11.8900
2023-10-30,4.4000,4.8600,5.1200,4.3500,20732,18949545.06,16.78,5.8800,0.2700,13.0600
2023-10-31,4.5400,4.4100,4.6900,4.4100,13082,11466768.77,5.76,-9.2600,-0.4500,8.2400
2023-11-01,4.5100,4.4400,4.5900,4.3800,5268,4574352.93,4.76,0.6800,0.0300,3.3200
2023-11-02,4.4500,4.4100,4.4700,4.2800,5643,4836752.60,4.28,-0.6800,-0.0300,3.5600
2023-11-03,4.4300,4.6000,4.7300,4.3300,9289,8270272.14,9.07,4.3100,0.1900,5.8500
2023-11-06,4.6400,4.8800,4.9800,4.5900,14702,13382005.01,8.48,6.0900,0.2800,9.2600
2023-11-07,4.8400,4.8700,4.9000,4.7700,9019,8264226.40,2.66,-0.2000,-0.0100,5.6800
2023-11-08,4.9000,4.9900,5.0900,4.8300,13221,12417057.35,5.34,2.4600,0.1200,8.3300
2023-11-09,4.9900,4.8600,5.0300,4.8500,9261,8630103.86,3.61,-2.6100,-0.1300,5.8300
2023-11-10,4.9100,4.8300,4.9100,4.7500,4644,4256939.19,3.29,-0.6200,-0.0300,2.9300
2023-11-13,4.8100,4.8900,4.8900,4.7800,5231,4802410.76,2.28,1.2400,0.0600,3.3000
2023-11-14,4.9600,5.4500,5.4500,4.8500,26126,25533760.28,12.27,11.4500,0.5600,16.4600
2023-11-15,5.6100,5.5400,6.2000,5.4500,30104,31562666.77,13.76,1.6500,0.0900,18.9600
2023-11-16,5.1300,5.1600,5.4100,5.1300,14985,14590031.76,5.05,-6.8600,-0.3800,9.4400
2023-11-17,5.2600,5.3800,5.4000,5.1300,10607,10454866.04,5.23,4.2600,0.2200,6.6800
2023-11-20,5.4900,5.6600,5.7600,5.2700,18039,18436133.02,9.11,5.2000,0.2800,11.3600
2023-11-21,5.7700,6.0600,6.8200,5.7000,42173,46842868.93,19.79,7.0700,0.4000,26.5700
2023-11-22,6.0300,7.4500,7.7100,5.8000,51932,62888287.57,31.52,22.9400,1.3900,32.7100
2023-11-23,7.6400,7.0600,8.1800,6.7700,42414,54494554.94,18.93,-5.2300,-0.3900,26.7200
2023-11-24,7.0600,8.2000,8.3100,7.0600,57702,77126842.28,17.71,16.1500,1.1400,36.3500
2023-11-27,8.6300,10.4800,10.8900,8.2700,70520,108190744.91,31.95,27.8000,2.2800,44.4200
2023-11-28,9.5300,9.7900,11.6300,8.7800,54902,89856636.28,27.19,-6.5800,-0.6900,34.5900
2023-11-29,9.7900,8.1900,10.1700,8.1300,44967,67346947.89,20.84,-16.3400,-1.6000,28.3300
2023-11-30,8.2800,7.8900,8.4600,7.6400,25322,34508716.44,10.01,-3.6600,-0.3000,15.9500
2023-12-01,7.9100,7.2300,8.1900,7.2100,21286,27946253.86,12.42,-8.3700,-0.6600,13.4100
2023-12-04,7.2400,7.4100,7.6600,6.7900,18809,23862148.61,12.03,2.4900,0.1800,11.8500
2023-12-05,7.3400,8.3400,8.4200,7.2800,27932,38208589.77,15.38,12.5500,0.9300,17.6000
2023-12-06,8.2000,8.1300,8.6300,7.8700,20549,28742276.68,9.11,-2.5200,-0.2100,12.9500
2023-12-07,8.3900,9.0400,9.6400,8.2700,36124,54543388.46,16.85,11.1900,0.9100,22.7600
2023-12-08,9.2400,9.5100,9.6100,8.7400,32713,50519951.33,9.62,5.2000,0.4700,20.6100
2023-12-11,9.7000,9.6400,10.2700,8.9000,36046,56866635.06,14.41,1.3700,0.1300,22.7100
2023-12-12,9.2500,9.7000,10.0200,9.2400,25443,40340699.44,8.09,0.6200,0.0600,16.0300
2023-12-13,9.8400,9.8900,10.0400,9.4200,33682,54263241.14,6.39,1.9600,0.1900,21.2200
2023-12-14,9.9100,9.7000,10.3900,9.6500,32106,52885821.33,7.48,-1.9200,-0.1900,20.2300
2023-12-15,9.4400,9.5200,9.7000,9.0900,24689,38576565.13,6.29,-1.8600,-0.1800,15.5500
2023-12-18,10.1600,9.9400,11.1900,9.8800,40956,69900097.21,13.76,4.4100,0.4200,25.8000
2023-12-19,9.8500,9.8400,10.1200,9.5400,23904,38468129.30,5.84,-1.0100,-0.1000,15.0600
2023-12-20,9.7900,10.5000,10.6700,9.7100,35889,60565635.38,9.76,6.7100,0.6600,22.6100
2023-12-21,10.5700,8.5400,10.9400,7.6600,43802,70099233.31,31.24,-18.6700,-1.9600,27.5900
2023-12-22,8.5400,8.7300,8.9700,8.2200,17239,24939495.56,8.78,2.2200,0.1900,10.8600
2023-12-25,8.5900,11.0400,11.8300,8.5900,60067,99964517.51,37.11,26.4600,2.3100,37.8400
2023-12-26,10.9100,11.4200,11.4900,10.0600,55069,96709198.53,12.95,3.4400,0.3800,34.6900
2023-12-27,11.0400,10.8900,11.5200,10.6300,34305,61230080.90,7.79,-4.6400,-0.5300,21.6100
2023-12-28,10.9100,10.8400,11.3100,10.4900,29714,52329636.50,7.53,-0.4600,-0.0500,18.7200
2023-12-29,10.7700,11.5200,12.2700,10.5700,40492,75652008.40,15.68,6.2700,0.6800,25.5100
2024-01-02,11.7100,12.2900,12.3300,11.2600,40776,77707626.68,9.29,6.6800,0.7700,25.6900
2024-01-03,11.9800,11.6900,12.0900,11.4900,26112,49412412.18,4.88,-4.8800,-0.6000,16.4500
2024-01-04,11.5900,11.9400,12.0600,11.3400,23400,44065649.94,6.16,2.1400,0.2500,14.7400
2024-01-05,11.9300,10.7900,12.1600,10.7800,20308,37202035.27,11.56,-9.6300,-1.1500,12.7900
