交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率,行业,地域板块,概念题材
上交所,沪市主板,600000,1,浦发银行,,8.96,0.10000000000000142,1.1286681715575781,2,99003358.0,883300247.0,3.160270880361167,9.03,8.86,8.75,8.88,0.65,0.25,4.13,0.39,银行Ⅱ,上海板块,"长江三角,互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600004,1,白云机场,,8.23,-0.049999999999998934,-0.603864734299504,2,7593378.0,62699118.0,0.8454106280193272,8.3,8.28,8.23,8.3,1.01,0.38,31.82,1.01,航空机场,广东板块,"粤港自贸,央国企改革,免税概念"
上交所,沪市主板,600006,1,东风股份,,6.5,-0.04999999999999982,-0.7633587786259515,2,13965672.0,90987093.0,1.8320610687022918,6.59,6.55,6.47,6.58,0.78,0.95,15.94,1.64,商用车,湖北板块,"燃料电池概念,央国企改革,一带一路,人工智能,无人驾驶,冷链物流,氢能源,新能源车,车联网(车路云),地摊经济,湖北自贸,汽车芯片,汽车整车,汽车一体化压铸,新型工业化,首发经济,电池技术"
上交所,沪市主板,600007,1,中国国贸,,21.24,0.28999999999999915,1.3842482100238622,2,2074327.0,43654446.0,2.911694510739854,21.33,20.95,20.72,20.96,0.53,0.16,17.27,2.1,房地产开发,北京板块,
上交所,沪市主板,600008,1,首创环保,,3.06,0.010000000000000231,0.327868852459024,2,69686020.0,213212898.0,1.3114754098360668,3.08,3.05,3.04,3.06,0.97,1.17,13.03,1.06,环境治理,北京板块,"节能环保,央国企改革,PPP模式,海绵城市,雄安新区,垃圾分类,医废处理,REITs概念,绿色电力,地下管网,土壤修复,机器人概念,DeepSeek概念"
上交所,沪市主板,600009,1,上海机场,,25.2,-0.40000000000000213,-1.5625000000000084,2,10688457.0,270299313.0,1.9921874999999922,25.65,25.6,25.14,25.58,1.07,0.59,27.56,1.48,航空机场,上海板块,"长江三角,上海自贸,央国企改革,免税概念,零售概念"
上交所,沪市主板,600010,1,包钢股份,,2.53,-0.010000000000000231,-0.39370078740158393,2,506650336.0,1279276268.0,1.968503937007867,2.55,2.54,2.5,2.52,0.96,1.96,-62.15,2.23,普钢,内蒙古,"稀土永磁,西部大开发,央国企改革,氟化工概念,小金属概念,一带一路,华为概念,数据中心,雅下水电概念"
上交所,沪市主板,600011,1,华能国际,,7.32,0.0,0.0,2,105454243.0,770340940.0,2.049180327868845,7.38,7.32,7.23,7.3,0.74,1.3,6.41,1.64,电力,河北板块,"核能核电,光伏概念,风能,央国企改革,一带一路,雄安新区,绿色电力,超超临界发电"
上交所,沪市主板,600012,1,皖通高速,,15.72,-0.4900000000000002,-3.022825416409625,2,5489287.0,86968856.0,3.763109191856886,16.21,16.21,15.6,16.2,1.47,0.42,12.91,2.07,铁路公路,安徽板块,央国企改革
上交所,沪市主板,600015,1,华夏银行,,6.75,0.04999999999999982,0.7462686567164152,2,72860728.0,489116509.0,1.940298507462685,6.77,6.7,6.64,6.69,1.15,0.49,5.35,0.33,银行Ⅱ,北京板块,"互联网金融,蚂蚁概念,跨境支付"
