日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,15.7544205000,15.4254820500,15.7832747500,15.3677735500,2037691,54743853.6700,0.00,-2.480800,0.00,3.361100
2025-04-29,15.5178156500,15.3793152500,15.6043784000,15.2465857000,1572525,42036726.3000,2.32,-0.299300,-0.05,2.593800
2025-04-30,15.4139403500,15.7544205000,15.8871500500,15.4081695000,1825951,49592733.7800,3.11,2.439000,0.38,3.011900
2025-05-06,15.9390877000,16.3892140000,16.4584642000,15.9390877000,2911276,82144905.4700,3.30,4.029300,0.63,4.802100
2025-05-07,16.5104018500,16.1699217000,16.5796520500,16.0429630000,2101697,59294934.8800,3.27,-1.338000,-0.22,3.466700
2025-05-08,16.1295257500,16.4065265500,16.5219435500,16.1295257500,1721322,48902785.7900,2.43,1.463200,0.24,2.839300
2025-05-09,16.3892140000,16.2449427500,16.4584642000,16.0891298000,1439137,40450353.5700,2.25,-0.984900,-0.16,2.373800
2025-05-12,16.3257346500,16.4469225000,16.5277144000,16.3257346500,1490656,42427872.1300,1.24,1.243300,0.20,2.458800
2025-05-13,16.7354650000,16.4642350500,16.7527775500,16.3892140000,1622334,46501679.1400,2.21,0.105300,0.02,2.676000
2025-05-14,16.5796520500,16.2911095500,16.5796520500,16.2160885000,1511439,42755503.4700,2.21,-1.051500,-0.17,2.493100
2025-05-15,16.2045468000,16.1468383000,16.3315055000,15.9910253500,1295140,36187785.2000,2.09,-0.885600,-0.14,2.136300
2025-05-16,16.0429630000,16.2564844500,16.4411516500,16.0429630000,1682931,47627626.5000,2.47,0.679100,0.11,2.775900
2025-05-19,16.3026512500,16.4469225000,16.5623395000,16.0660464000,1738334,49189905.9000,3.05,1.171500,0.19,2.867300
2025-05-20,16.4469225000,16.4353808000,16.5046310000,16.2507136000,1210003,34297602.3400,1.54,-0.070200,-0.01,1.995900
2025-05-21,16.4411516500,16.3430472000,16.5046310000,16.2045468000,1186960,33593316.1000,1.83,-0.561800,-0.09,1.957900
2025-05-22,16.2680261500,16.1237549000,16.4526933500,16.1237549000,1370406,38581767.1400,2.01,-1.341800,-0.22,2.260400
2025-05-23,16.1237549000,16.0314213000,16.4065265500,15.9910253500,1651904,46400874.5400,2.58,-0.572700,-0.09,2.724800
2025-05-26,15.9910253500,15.9967962000,16.1006715000,15.8582958000,1123838,31112631.9100,1.51,-0.216000,-0.03,1.853700
2025-05-27,15.9967962000,15.8352124000,15.9967962000,15.6851703000,1196029,32739365.8600,1.95,-1.010100,-0.16,1.972800
2025-05-28,15.7659622000,15.6851703000,16.0025670500,15.6159201000,1482263,40508476.5900,2.44,-0.947500,-0.15,2.445000
2025-05-29,15.7428788000,15.8698375000,16.0891298000,15.6390035000,1881275,51954029.0800,2.87,1.177300,0.18,3.103100
2025-05-30,15.9160043000,15.6390035000,15.9967962000,15.5524407500,1722857,46762352.9000,2.80,-1.454500,-0.23,2.840600
2025-06-03,15.6274618000,15.5178156500,15.6851703000,15.4889614000,1844155,49722412.6700,1.25,-0.774900,-0.12,3.040600
2025-06-04,15.5639824500,15.7197954000,15.7486496500,15.5524407500,1181077,32111395.5900,1.26,1.301600,0.20,1.947300
2025-06-05,15.7197954000,15.6851703000,15.7428788000,15.5293573500,1168369,31720057.9100,1.36,-0.220300,-0.03,1.926400
2025-06-06,15.6793994500,15.5697533000,15.6851703000,15.4947322500,1475027,39767686.4800,1.21,-0.735800,-0.12,2.432000
2025-06-09,15.6216909500,15.7659622000,15.8063581500,15.5408990500,2561600,69790378.4300,1.70,1.260200,0.20,4.223500
2025-06-10,15.7582647900,15.3737292900,15.7813369200,15.2276058000,3383174,68066978.6200,3.51,-2.487800,-0.39,4.290800
2025-06-11,15.4583271000,15.7198112400,15.8659347300,15.4583271000,3468109,70947921.2800,2.65,2.251100,0.35,4.398500
2025-06-12,15.7044298200,15.7044298200,15.7582647900,15.5198527800,1895813,38539324.8000,1.52,-0.097800,-0.02,2.404400
2025-06-13,15.9659139600,15.4044921300,16.0966560300,15.3814200000,3340996,67940155.0100,4.55,-1.909900,-0.30,4.237300
2025-06-16,15.3275850300,15.4583271000,15.4890899400,15.2660593500,1473137,29518751.2400,1.45,0.349500,0.05,1.868400
2025-06-17,15.4275642600,15.4121828400,15.5352342000,15.3814200000,1336812,26844952.2000,1.00,-0.298500,-0.05,1.695500
2025-06-18,15.4121828400,15.3506571600,15.4121828400,15.1506987000,1392508,27657097.7900,1.70,-0.399200,-0.06,1.766100
2025-06-19,15.3045129000,15.1660801200,15.4275642600,15.0199566300,1319348,26202731.3200,2.66,-1.202400,-0.18,1.673300
2025-06-20,15.0891730200,15.0737916000,15.3122036100,15.0430287600,1087485,21408111.5700,1.77,-0.608500,-0.09,1.379200
2025-06-23,14.9968845000,15.1122451500,15.1891522500,14.9199774000,1418733,27806204.8400,1.79,0.255100,0.04,1.799400
2025-06-24,15.2199150900,15.7582647900,15.9736046700,15.2199150900,3512426,71667535.5300,4.99,4.274800,0.65,4.454800
2025-06-25,15.7198112400,15.8120997600,15.8120997600,15.6121413000,2590853,53022623.7500,1.27,0.341600,0.05,3.285900
2025-06-26,15.7351926600,15.5813784600,15.8044090500,15.5429249100,2000133,40742230.9800,1.65,-1.459100,-0.23,2.536700
2025-06-27,15.6890484000,15.6505948500,15.7813369200,15.5813784600,1529663,31167141.6300,1.28,0.444200,0.07,1.940000
2025-06-30,15.6198320100,15.8966975700,15.9043882800,15.6044505900,1895519,38993018.4800,1.92,1.572500,0.25,2.404100
2025-07-01,15.8966975700,15.8966975700,15.9505325400,15.6967391100,1622950,33366451.3500,1.60,0.000000,0.00,2.058400
2025-07-02,15.8890068600,15.7967183400,15.8890068600,15.7044298200,1337818,27434325.7400,1.16,-0.628900,-0.10,1.696700
2025-07-03,15.8197904700,15.8966975700,15.9351511200,15.7582647900,1444370,29786544.0800,1.12,0.632900,0.10,1.831900
2025-07-04,15.9043882800,15.7121205300,15.9505325400,15.6582855600,1527945,31294185.6400,1.84,-1.161100,-0.18,1.937900
2025-07-07,15.6582855600,15.7121205300,15.7121205300,15.5967598800,1170668,23806288.5000,0.73,0.000000,0.00,1.484700
2025-07-08,15.6890484000,15.8966975700,15.9274604100,15.6352134300,2032436,41846506.9900,1.86,1.174700,0.18,2.577700
2025-07-09,15.8966975700,15.8044090500,15.9966768000,15.7813369200,1519334,31308940.1000,1.35,-0.580600,-0.09,1.926900
2025-07-10,15.7582647900,15.8044090500,15.8428626000,15.6582855600,1356086,27777139.2900,1.17,0.000000,0.00,1.719900
2025-07-11,15.7967183400,15.8505533100,15.9582232500,15.6967391100,1513266,31171220.2200,1.65,0.292000,0.05,1.919300
2025-07-14,15.7967183400,16.0735839000,16.1043467400,15.7659555000,2318739,48280306.1700,2.13,1.407100,0.22,2.940800
2025-07-15,16.0658931900,16.1428002900,16.3119959100,16.0043675100,2694912,56532660.9600,1.91,0.430600,0.07,3.417900
2025-07-16,16.1504910000,16.3658308800,16.4273565600,16.0889653200,2609669,55368900.3100,2.10,1.381600,0.22,3.309800
2025-07-17,16.4042844300,16.3812123000,16.4119751400,16.2658516500,1772059,37695427.7300,0.89,0.094000,0.02,2.247500
2025-07-18,16.3812123000,16.3965937200,16.4427379800,16.2273981000,1805375,38317310.5200,1.31,0.093900,0.02,2.289700
2025-07-21,16.4581194000,16.5196450800,16.5888614700,16.3658308800,2075277,44506309.2700,1.36,0.750500,0.12,2.632000
2025-07-22,16.5734800500,16.5042636600,16.5888614700,16.4196658500,1939438,41574729.5500,1.02,-0.093100,-0.02,2.459800
2025-07-23,16.4965729500,16.2812330700,16.5350265000,16.2581609400,2329008,49646297.8500,1.68,-1.351400,-0.22,2.953800
2025-07-24,16.2812330700,16.5350265000,16.6503871500,16.2581609400,3092093,66266134.1000,2.41,1.558800,0.25,3.921700
