日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,41.9226703000,41.8452150200,42.2615371500,41.7774416500,9310132,403863494.3600,0.00,-0.322900,0.00,0.194400
2025-04-29,41.7387140100,41.9807617600,42.1647180500,40.7124315500,15617888,671093912.8100,3.47,0.323900,0.14,0.326000
2025-04-30,41.9517160300,42.1356723200,42.8521336600,41.6515768200,16685432,728581165.0500,2.86,0.369000,0.15,0.348300
2025-05-06,42.3099467000,42.4067658000,42.5907220900,41.7290321000,21685451,947308093.1200,2.05,0.643400,0.27,0.452700
2025-05-07,42.7165869200,42.5326306300,42.8424517500,42.3196286100,13684122,602127379.3100,1.23,0.296800,0.13,0.285600
2025-05-08,42.4067658000,42.1453542300,42.6972231000,42.1356723200,12311623,538654492.0300,1.32,-0.910500,-0.39,0.257000
2025-05-09,42.1453542300,42.2809009700,42.3583562500,42.0678989500,11203402,488585295.9700,0.69,0.321600,0.14,0.233900
2025-05-12,42.6004040000,41.7774416500,42.6584954600,41.6999863700,15428050,667396335.8300,2.27,-1.190700,-0.50,0.322000
2025-05-13,42.0678989500,41.9904436700,42.1743999600,41.7871235600,10440499,452710168.9700,0.93,0.509800,0.21,0.217900
2025-05-14,42.0194894000,42.5907220900,42.7359507400,41.6515768200,16721090,730820488.9700,2.58,1.429600,0.60,0.349000
2025-05-15,42.5035849000,42.3874019800,42.7746783800,42.3680381600,13827325,608014700.9100,0.95,-0.477400,-0.20,0.288600
2025-05-16,42.2905828800,41.7774416500,42.5713582700,41.7483959200,8918053,386150365.1400,1.94,-1.439000,-0.61,0.186200
2025-05-19,41.7968054700,41.6322130000,41.9517160300,41.4192109800,9960608,428310669.1500,1.27,-0.347600,-0.15,0.207900
2025-05-20,41.5838034500,44.3915573500,44.6239231900,41.5450758100,50039866,2259018421.1500,7.40,6.627900,2.76,1.044500
2025-05-21,44.6916965600,45.0208815000,45.2145197000,44.1495096000,27442616,1267338556.0100,2.40,1.417700,0.63,0.572800
2025-05-22,44.8950166700,44.7788337500,45.1951558800,44.3915573500,16170325,748338356.5400,1.78,-0.537600,-0.24,0.337500
2025-05-23,44.7304242000,44.1785553300,45.0789729600,44.0526905000,14567009,669084388.1800,2.29,-1.340500,-0.60,0.304100
2025-05-26,44.1688734200,44.1688734200,44.5755136400,43.5201854500,20307117,922733845.1500,2.39,-0.021900,-0.01,0.423900
2025-05-27,43.9558714000,43.9268256700,44.6239231900,43.7622332000,13742175,625489485.0100,1.95,-0.548000,-0.24,0.286900
2025-05-28,43.9171437600,45.1951558800,45.6986152000,43.9171437600,21205425,987987128.8300,4.06,2.887400,1.27,0.442600
2025-05-29,45.1177006000,45.0402453200,45.3887940800,44.7788337500,15116543,703962234.7100,1.35,-0.342800,-0.15,0.315500
2025-05-30,44.8756528500,44.6820146500,45.6986152000,44.6820146500,22482056,1050416982.6200,2.26,-0.795400,-0.36,0.469300
2025-06-03,44.4399669000,46.3957127200,46.5409413700,44.3915573500,40038176,1904450522.5000,4.81,3.835300,1.71,0.835800
2025-06-04,46.2795298000,45.7470247500,46.6474423800,45.6502056500,19837664,940524232.1000,2.15,-1.398200,-0.65,0.413700
2025-06-05,45.7663885700,45.8728895800,46.6668062000,45.7663885700,17605696,838792686.4200,1.97,0.275100,0.13,0.367100
2025-06-06,45.9890725000,45.4081579000,46.1343011500,45.3210207100,13160700,619179963.1500,1.77,-1.013100,-0.46,0.274500
2025-06-09,45.4759312700,45.2919749800,45.7276609300,44.9918357700,14808415,692915053.7500,1.62,-0.255900,-0.12,0.308800
2025-06-10,45.2726111600,44.9627900400,45.6598875600,44.7691518400,13156122,614093924.8600,1.97,-0.726800,-0.33,0.274400
2025-06-11,45.1177006000,45.4081579000,46.0665277800,44.9724719500,18356724,865063014.5600,2.43,0.990500,0.45,0.382800
2025-06-12,45.2822930700,47.2283569800,47.4316770900,45.1854739700,32524392,1566253939.2000,4.95,4.008500,1.82,0.678300
2025-06-13,46.8604444000,47.4316770900,47.7221343900,46.6668062000,23076528,1125501274.2300,2.23,0.430500,0.20,0.481200
2025-06-16,47.3929494500,48.2159118000,48.5741424700,47.0153549600,27052679,1342865400.3300,3.29,1.653400,0.78,0.564200
2025-06-17,48.5063691000,48.0997288800,48.6031882000,48.0222736000,19556942,974445344.5700,1.20,-0.241000,-0.12,0.407800
2025-06-18,48.3030489900,48.5547786500,48.8936455000,47.9254545000,18519905,926243525.2900,2.01,0.946100,0.46,0.386200
2025-06-19,48.4095500000,47.5962695600,48.5063691000,47.4123132700,20056380,990766969.6400,2.25,-1.974100,-0.96,0.418300
2025-06-20,47.8673630400,49.0388741500,49.5036058300,47.8673630400,30604857,1551994903.7900,3.44,3.030900,1.44,0.638200
2025-06-23,48.6515977500,48.3127309000,48.9711007800,47.8867268600,20412936,1017571938.2400,2.21,-1.480800,-0.73,0.425700
2025-06-24,48.6031882000,49.0872837000,49.3293314500,48.3805042700,18955109,959291982.8700,1.96,1.603200,0.77,0.395300
2025-06-25,49.0872837000,48.6903253900,49.0872837000,48.1190927000,19992815,1000278877.0200,1.97,-0.808700,-0.40,0.416900
2025-06-26,47.2477208000,47.5865876500,48.0706831500,45.9890725000,38455479,1876546170.4900,4.28,-2.266900,-1.10,0.801900
2025-06-27,47.4123132700,47.1412197900,47.6543610200,47.0444006900,17798529,869603235.9900,1.28,-0.935900,-0.45,0.371200
2025-06-30,47.1509017000,47.2089931600,47.6446791100,47.0540826000,14793169,722692802.7800,1.25,0.143800,0.07,0.308500
2025-07-01,47.2186750700,47.6349972000,48.0803650600,47.1896293400,13050680,642803153.9800,1.89,0.902400,0.43,0.272200
2025-07-02,47.8770449500,46.7345795700,47.8867268600,46.6668062000,16169397,784315694.3000,2.56,-1.890200,-0.90,0.337200
2025-07-03,46.7055338400,45.9406629500,46.7248976600,45.6889332900,26167729,1242159786.7000,2.22,-1.698800,-0.79,0.545700
2025-07-04,45.9890725000,46.3860308100,46.7248976600,45.8341619400,17362313,832016398.7600,1.94,0.969400,0.45,0.362100
2025-07-07,46.4634860900,46.2408021600,46.6571242900,46.1149373300,8754954,419316723.7900,1.17,-0.313100,-0.15,0.182600
2025-07-08,46.2504840700,46.2117564300,46.3569850800,45.6792513800,17626529,838351937.4200,1.47,-0.062800,-0.03,0.367600
2025-07-09,46.1827107000,46.1536649700,46.6183966500,45.9987544100,12288403,587219733.7000,1.34,-0.125700,-0.06,0.256300
2025-07-10,46.2214383400,46.6183966500,47.4219951800,46.1923926100,27464645,1326652851.7100,2.66,1.006900,0.46,0.572700
2025-07-11,46.7248976600,45.8438438500,47.0540826000,45.7470247500,24148957,1151896757.9300,2.80,-1.661500,-0.77,0.503600
2025-07-14,45.6211599200,45.9697086800,46.2504840700,45.6211599200,14430102,684631600.2400,1.37,0.274600,0.13,0.300900
2025-07-15,46.0665277800,45.4662493600,46.1149373300,45.3016568900,17725544,833904364.9300,1.77,-1.095200,-0.50,0.369600
2025-07-16,45.4759312700,45.5437046400,45.6792513800,45.1273825100,13591583,637313990.6500,1.21,0.170400,0.08,0.283400
2025-07-17,45.5828111200,45.3091578800,45.8466910300,45.2407445700,19147669,891745094.1700,1.33,-0.515000,-0.23,0.399300
2025-07-18,45.3189312100,46.6285574300,46.7751573800,45.2993845500,24570655,1163141147.3900,3.26,2.912000,1.32,0.512400
2025-07-21,46.6676507500,46.5210508000,47.1856372400,46.3549041900,14363522,685249622.4300,1.78,-0.230600,-0.11,0.299500
2025-07-22,46.4721841500,46.6774240800,46.7165174000,45.8760110200,17647988,835916909.0500,1.81,0.336100,0.16,0.368000
2025-07-23,46.7653840500,46.5503707900,46.8826640100,45.9346510000,19890032,945381608.6000,2.03,-0.272200,-0.13,0.414800
2025-07-24,46.5210508000,46.7360640600,46.9901706400,46.3549041900,15578941,744132004.6900,1.36,0.398900,0.19,0.324900
2025-07-25,46.7360640600,46.8631173500,47.7622637100,46.2278509000,22314130,1074204058.1300,3.28,0.271900,0.13,0.465300
2025-07-28,46.9119840000,46.5015041400,47.1269972600,46.2864908800,14110999,673272349.7900,1.79,-0.771600,-0.36,0.294300
2025-07-29,46.3451308600,46.4135441700,46.5601441200,45.8857843500,16038986,757940192.7700,1.45,-0.189200,-0.09,0.334500
2025-07-30,46.5796907800,46.5992374400,47.4397438200,46.4233175000,22037502,1058804119.8100,2.19,0.400100,0.19,0.459600
2025-07-31,46.2864908800,44.9573180000,46.5796907800,44.8595847000,25678684,1193297309.6600,3.69,-3.523500,-1.64,0.535500
2025-08-01,45.0843712900,45.1234646100,45.9151043400,44.7618514000,21879886,1017536743.5100,2.57,0.369600,0.17,0.456300
2025-08-04,45.1234646100,45.3873445200,45.4362111700,44.9670913300,12199230,564759955.1700,1.04,0.584800,0.26,0.254400
2025-08-05,45.3873445200,45.5437178000,45.6219044400,45.2016512500,11353667,528075668.6600,0.93,0.344500,0.16,0.236800
2025-08-06,45.5632644600,45.3677978600,45.6219044400,45.1723312600,12087000,560592831.0300,0.99,-0.386300,-0.18,0.252100
2025-08-07,45.4850778200,46.0519309600,46.2473975600,45.3775711900,20166567,948719325.3100,1.92,1.508000,0.68,0.420600
2025-08-08,46.0030643100,46.5015041400,46.7458373900,45.8075977100,18370893,872466115.2800,2.04,0.976200,0.45,0.383100
2025-08-11,46.4233175000,46.0323843000,46.5015041400,45.7489577300,16216942,763088017.7100,1.62,-1.008800,-0.47,0.339800
2025-08-12,46.0128376400,45.8173710400,46.1301176000,45.6316777700,12775951,599718795.0800,1.08,-0.467100,-0.22,0.267700
2025-08-13,45.8857843500,45.7391844000,46.0323843000,45.3580245300,19535425,912217988.5500,1.47,-0.170600,-0.08,0.409400
2025-08-14,45.7391844000,45.6414511000,46.1203442700,45.5925844500,14933023,700495943.3400,1.15,-0.213700,-0.10,0.312900
2025-08-15,45.5437178000,45.4557578300,45.6316777700,45.2114245800,19712759,915748418.8400,0.92,-0.406900,-0.19,0.413100
