日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,26.5619607600,26.4488509200,26.6185156800,26.4111476400,26372329,741662946.1700,0.00,-0.425800,0.00,0.289600
2025-04-29,26.4488509200,26.5242574800,26.5808124000,26.3168894400,17870823,502173920.4000,1.00,0.285100,0.08,0.196300
2025-04-30,26.5336833000,26.5902382200,26.6844964200,26.4865542000,23129660,652806908.4500,0.75,0.248800,0.07,0.254000
2025-05-06,26.7221997000,27.1746390600,27.1746390600,26.6750706000,38826813,1110450579.8700,1.88,2.197800,0.58,0.426400
2025-05-07,27.3820071000,27.1840648800,27.5893751400,26.9955484800,34500782,996400272.4900,2.19,0.034700,0.01,0.378900
2025-05-08,27.0332517600,27.2594714400,27.3348780000,27.0238259400,26358218,762003275.9800,1.14,0.277400,0.08,0.289500
2025-05-09,27.2594714400,27.0049743000,27.2594714400,26.9012902800,22194801,636217185.2500,1.31,-0.933600,-0.25,0.243700
2025-05-12,27.1369357800,27.2783230800,27.2877489000,27.0049743000,34235231,987151433.4900,1.05,1.012200,0.27,0.376000
2025-05-13,27.5893751400,27.1652132400,27.6082267800,27.0803808600,31152687,901057998.5700,1.94,-0.414700,-0.11,0.342100
2025-05-14,27.1746390600,27.3443038200,27.4102845600,27.0521034000,31825935,919245155.6900,1.32,0.659300,0.18,0.349500
2025-05-15,27.3160263600,27.1369357800,27.3160263600,27.0803808600,20099559,578986284.9100,0.86,-0.758400,-0.21,0.220700
2025-05-16,27.0521034000,27.1463616000,27.2029165200,26.9107161000,16930451,486869068.7900,1.08,0.034700,0.01,0.185900
2025-05-19,27.1557874200,27.1180841400,27.2029165200,26.9672710200,19415184,557555180.1600,0.87,-0.104200,-0.03,0.213200
2025-05-20,27.1470728000,27.2243598400,27.2436816000,26.9538552000,25877848,726235946.3200,1.07,0.391900,0.11,0.284200
2025-05-21,27.2243598400,27.5141862400,27.6880820800,27.1567336800,30361429,861690464.5300,1.95,1.064600,0.29,0.333400
2025-05-22,27.4368992000,27.3499512800,27.4948644800,27.2630033600,19357835,548167945.5500,0.84,-0.596900,-0.16,0.212600
2025-05-23,27.3306295200,27.2243598400,27.4272383200,27.1663945600,23755323,671120232.6900,0.95,-0.459200,-0.13,0.260900
2025-05-26,27.2243598400,27.2823251200,27.3113077600,27.0891075200,18936921,532483962.7400,0.82,0.212900,0.06,0.208000
2025-05-27,27.1953772000,27.1567336800,27.2243598400,27.0118204800,18594499,521531860.5700,0.78,-0.460300,-0.13,0.204200
2025-05-28,27.1470728000,27.0601248800,27.2243598400,27.0504640000,16116189,452466041.6800,0.64,-0.355700,-0.10,0.177000
2025-05-29,27.1180901600,27.3209686400,27.3789339200,27.0601248800,23610739,666452365.1700,1.18,0.963900,0.26,0.259300
2025-05-30,27.2340207200,27.1760554400,27.2630033600,27.0987684000,15228872,428402303.0400,0.60,-0.530400,-0.14,0.167200
2025-06-03,27.0891075200,27.0891075200,27.2340207200,26.9828378400,21592839,605673851.3300,0.92,-0.319900,-0.09,0.237100
2025-06-04,27.1277510400,27.2919860000,27.3306295200,27.0987684000,20005757,564200164.4200,0.86,0.748900,0.20,0.219700
2025-06-05,27.3306295200,27.5141862400,27.5624906400,27.2436816000,26559462,753867583.0800,1.17,0.814200,0.22,0.291700
2025-06-06,27.5818124000,27.5818124000,27.6784212000,27.3499512800,23292626,663638201.2600,1.19,0.245800,0.07,0.255800
2025-06-09,27.6011341600,27.4852036000,27.6784212000,27.3885948000,36301550,1033706098.9000,1.05,-0.350300,-0.10,0.398700
2025-06-10,27.4852036000,27.1760554400,27.4948644800,27.0214813600,39311829,1106474618.0600,1.72,-1.124800,-0.31,0.431700
2025-06-11,27.1760554400,27.1663945600,27.3209686400,27.0891075200,33289079,936562782.4400,0.85,-0.035500,-0.01,0.365600
2025-06-12,27.1374119200,27.0408031200,27.1374119200,26.8669072800,38373174,1071476921.6800,1.00,-0.462300,-0.13,0.421400
2025-06-13,26.9635160800,26.8186028800,26.9924987200,26.7509767200,37660872,1045624845.7300,0.89,-0.821700,-0.22,0.413600
2025-06-16,26.6833505600,26.6543679200,26.8282637600,26.4804720800,45667750,1258522078.7600,1.30,-0.612400,-0.16,0.501500
2025-06-17,26.5770808800,26.6833505600,26.7219940800,26.5094547200,20525407,566029532.9600,0.80,0.108700,0.03,0.225400
2025-06-18,26.6833505600,26.7123332000,26.7219940800,26.5191156000,18574639,512527937.6600,0.76,0.108600,0.03,0.204000
2025-06-19,26.6447070400,26.5191156000,26.6833505600,26.3742024000,30540453,837238377.5000,1.16,-0.723300,-0.19,0.335400
2025-06-20,26.4031850400,26.3355588800,26.5094547200,26.3162371200,20800055,568151398.8700,0.73,-0.692200,-0.18,0.228400
2025-06-23,26.1326804000,26.3935241600,26.4225068000,26.1036977600,19887937,540488460.1900,1.21,0.220100,0.06,0.218400
2025-06-24,26.4514894400,26.6736896800,26.7026723200,26.3838632800,28127600,774094086.4800,1.21,1.061500,0.28,0.308900
2025-06-25,26.7123332000,26.8669072800,26.8765681600,26.5964026400,32056602,887219822.3100,1.05,0.724400,0.19,0.352100
2025-06-26,26.8572464000,26.6543679200,27.0311422400,26.6060635200,31480830,871626806.8700,1.58,-0.791100,-0.21,0.345700
2025-06-27,26.6543679200,26.7026723200,26.8958899200,26.6253852800,28215365,780884763.3000,1.01,0.181200,0.05,0.309900
2025-06-30,26.1133586400,26.7896202400,26.8379246400,26.1133586400,44230073,1215035054.1500,2.71,0.325600,0.09,0.485700
2025-07-01,26.6640288000,26.5964026400,26.6930114400,26.4514894400,32806540,901660674.8100,0.90,-0.721200,-0.19,0.360300
2025-07-02,26.5674200000,26.5770808800,26.6350461600,26.4514894400,21287180,584614298.2900,0.69,-0.072600,-0.02,0.233800
2025-07-03,26.5577591200,26.7702984800,26.8186028800,26.5287764800,32689225,905049835.3400,1.09,0.727000,0.19,0.359000
2025-07-04,26.7799593600,26.6736896800,26.8572464000,26.6543679200,29922600,828603656.4600,0.76,-0.360900,-0.10,0.328600
2025-07-07,26.6833505600,26.4997938400,26.6833505600,26.4708112000,22958675,629863850.3500,0.80,-0.651900,-0.17,0.252100
2025-07-08,26.5094547200,26.6833505600,26.7123332000,26.5094547200,25614982,706339653.9000,0.77,0.692700,0.18,0.281300
2025-07-09,26.6930114400,26.7413158400,26.8282637600,26.6157244000,32650256,903779820.9300,0.80,0.217200,0.06,0.358600
2025-07-10,26.7219940800,26.8379246400,26.9152116800,26.6157244000,30483456,844228428.0000,1.12,0.361300,0.10,0.334800
2025-07-11,26.8475855200,26.9538552000,27.0987684000,26.8475855200,48918413,1366329581.4200,0.94,0.432000,0.12,0.537200
2025-07-14,26.9538552000,26.8186028800,26.9731769600,26.7799593600,28636688,795812812.9400,0.72,-0.501800,-0.14,0.314500
2025-07-15,26.8186028800,26.9828378400,27.0021596000,26.6930114400,46228837,1284598500.6500,1.15,0.612400,0.16,0.507700
2025-07-16,26.8669072800,26.7799593600,26.9055508000,26.7413158400,36651762,1017030735.3600,0.61,-0.751900,-0.20,0.402500
2025-07-17,26.7799593600,26.9924987200,27.0311422400,26.7123332000,44850193,1248362421.2200,1.19,0.793700,0.21,0.492600
2025-07-18,27.0408031200,27.0601248800,27.2050380800,26.9731769600,42985575,1205792652.8800,0.86,0.250500,0.07,0.472100
2025-07-21,27.1277510400,27.1857163200,27.3306295200,27.0601248800,44539432,1251130075.3600,1.00,0.464100,0.13,0.489100
2025-07-22,27.1760554400,27.4368992000,27.5335080000,27.0697857600,63659303,1798929052.1400,1.71,0.924000,0.25,0.699100
2025-07-23,27.4465600800,27.3113077600,27.8233344000,27.2436816000,65732297,1873084917.5100,2.11,-0.457700,-0.13,0.721900
2025-07-24,27.2919860000,27.6687603200,27.6687603200,27.2630033600,48612625,1383918300.1400,1.49,1.308800,0.36,0.533900
2025-07-25,27.7460473600,27.6880820800,27.8426561600,27.6204559200,38655315,1108600549.3300,0.80,0.069800,0.02,0.424500
2025-07-28,27.7750300000,27.6204559200,27.8426561600,27.4948644800,46419583,1328452395.2000,1.26,-0.244200,-0.07,0.509800
2025-07-29,27.5335080000,27.5914732800,27.6204559200,27.2823251200,44379737,1261139262.8400,1.22,-0.104900,-0.03,0.487400
2025-07-30,27.5818124000,27.5238471200,27.7170647200,27.2919860000,48365182,1378418518.1500,1.54,-0.245100,-0.07,0.531200
2025-07-31,27.4755427200,27.1470728000,27.5045253600,27.0504640000,54243077,1530864325.3500,1.65,-1.368900,-0.38,0.595700
2025-08-01,27.3016468800,28.1228216800,28.5575612800,27.1470728000,130564407,3793419996.7900,5.20,3.594300,0.98,1.433900
2025-08-04,27.7750300000,27.6011341600,28.1614652000,27.4079165600,114128187,3266338733.2600,2.68,-1.855000,-0.52,1.252100
2025-08-05,27.6880820800,28.3353610400,28.3933263200,27.6880820800,107630133,3133436709.1700,2.56,2.660100,0.73,1.180800
2025-08-06,28.3063784000,28.2870566400,28.6734918400,28.2194304800,79940445,2351431325.4400,1.60,-0.170500,-0.05,0.877000
2025-08-07,28.3160392800,28.1614652000,28.7701006400,28.1131608000,65613285,1923263399.7000,2.32,-0.444000,-0.13,0.719900
2025-08-08,28.2097696000,27.7943517600,28.2387522400,27.7846908800,51256720,1479854187.5600,1.61,-1.303600,-0.37,0.562300
2025-08-11,27.8233344000,27.8716388000,27.9875693600,27.7170647200,49379449,1424360683.1400,0.97,0.278100,0.08,0.541800
2025-08-12,28.1034999200,28.2580740000,28.6348483200,28.0648564000,66891599,1961048829.3000,2.05,1.386500,0.39,0.733900
2025-08-13,28.3063784000,28.5189177600,28.6445092000,28.2387522400,65516999,1931536929.0300,1.44,0.923100,0.26,0.718800
2025-08-14,28.4995960000,28.2001087200,28.6445092000,28.1131608000,57326820,1685314835.4800,1.86,-1.117900,-0.32,0.628900
2025-08-15,28.1807869600,28.5575612800,28.5575612800,28.1711260800,56637891,1663746388.6000,1.37,1.267600,0.36,0.621400
2025-08-18,28.6058656800,29.0019617600,29.4656840000,28.5962048000,109384547,3296400496.6700,3.04,1.556200,0.44,1.200100
2025-08-19,29.0019617600,28.8473876800,29.1468749600,28.7894224000,57784483,1729825287.9800,1.23,-0.533000,-0.15,0.634000
2025-08-20,28.7894224000,29.1661967200,29.1661967200,28.6058656800,60242515,1805583307.9600,1.94,1.105200,0.32,0.660900
2025-08-21,29.2531446400,29.3014490400,29.7072060000,29.0309444000,70048326,2130708778.1500,2.32,0.463700,0.14,0.768500
2025-08-22,29.2241620000,30.0356759200,30.0936412000,29.1372140800,99802967,3073840134.2000,3.26,2.505800,0.73,1.095000
2025-08-25,30.4124502400,30.1226238400,30.4800764000,29.7651712800,102105891,3180160108.5000,2.38,0.289500,0.09,1.120200
2025-08-26,29.9583888800,30.2192326400,30.4027893600,29.8327974400,67290054,2102228949.7800,1.89,0.320700,0.10,0.738300
2025-08-27,30.4800764000,29.8038148000,31.1756597600,29.7748321600,117736600,3726441578.7600,4.64,-1.374700,-0.42,1.291700
2025-08-28,29.7651712800,30.1226238400,30.2385544000,29.3690752000,90716760,2803129927.5100,2.92,1.069700,0.32,0.995300
2025-08-29,30.1226238400,30.1129629600,30.5090590400,29.9970324000,86500233,2709144477.9500,1.70,-0.032100,-0.01,0.949000
2025-09-01,30.1419456000,30.0936412000,30.2578761600,29.7555104000,69932677,2171963597.3400,1.67,-0.064200,-0.02,0.767200
2025-09-02,30.0260150400,29.6009363200,30.1322847200,29.2338228800,75306939,2310385500.2300,2.99,-1.637200,-0.49,0.826200
2025-09-03,29.6105972000,28.8860312000,29.8327974400,28.7507788800,64823677,1956421186.0200,3.66,-2.415100,-0.71,0.711200
2025-09-04,28.9729791200,28.3063784000,29.0502661600,27.9489258400,74905648,2197851399.2800,3.81,-2.006700,-0.58,0.821800
2025-09-05,28.3063784000,28.6155265600,28.6541700800,28.0068911200,55723637,1637903223.4500,2.29,1.092200,0.31,0.611400
2025-09-08,28.6251874400,29.3014490400,29.6395798400,28.6251874400,74952066,2269926292.9900,3.54,2.397000,0.69,0.828500
2025-09-09,29.3014490400,29.1565358400,29.3014490400,28.9826400000,45418683,1369352609.1000,1.09,-0.494600,-0.14,0.502100
2025-09-10,29.2724664000,29.1758576000,29.6589016000,28.9343356000,49545198,1499729560.5000,2.49,0.066300,0.02,0.547700
2025-09-11,29.1565358400,29.8424583200,29.8424583200,29.0599270400,69017208,2110916725.6800,2.68,2.284800,0.67,0.762900
2025-09-12,29.9294062400,29.7072060000,30.2482152800,29.6975451200,70497789,2187807277.7600,1.85,-0.453200,-0.14,0.779300
2025-09-15,29.6975451200,29.4560231200,29.8424583200,29.2821272800,49098976,1498757340.8300,1.89,-0.845500,-0.25,0.542700
2025-09-16,29.3787360800,29.8231365600,29.9100844800,29.2821272800,52135558,1599359737.8100,2.13,1.246300,0.37,0.576300
2025-09-17,29.8231365600,29.7072060000,29.9100844800,29.3497534400,48006194,1472246994.1000,1.88,-0.388700,-0.12,0.530700
2025-09-18,29.7072060000,29.8714409600,31.0114248000,29.5526319200,119137259,3727138853.2700,4.91,0.552800,0.16,1.317000
2025-09-19,29.8714409600,29.6685624800,30.0066932800,29.6202580800,57449779,1770162061.2000,1.29,-0.679200,-0.20,0.635100
2025-09-22,29.6105972000,29.3787360800,29.7265277600,29.1758576000,56041671,1704414624.5100,1.86,-0.976900,-0.29,0.619500
2025-09-23,29.3787360800,29.2628055200,29.6202580800,28.8667094400,58540738,1768501191.1400,2.56,-0.394600,-0.12,0.647100
2025-09-24,29.1565358400,29.9197453600,29.9873715200,29.0019617600,80514666,2460617368.9600,3.37,2.245000,0.66,0.890000
2025-09-25,29.9487280000,30.1805891200,30.4317720000,29.8327974400,76454546,2388389969.5500,2.00,0.871800,0.26,0.845100
2025-09-26,30.1322847200,29.6202580800,30.2771979200,29.5236492800,55166826,1702939762.0800,2.50,-1.856600,-0.56,0.609800
2025-09-29,29.6202580800,30.1612673600,30.2385544000,29.1855184800,65929399,2025428182.1000,3.56,1.826500,0.54,0.728800
2025-09-30,30.1612673600,30.4510937600,30.8085463200,30.0260150400,78501363,2470207367.4000,2.59,0.960900,0.29,0.867800
2025-10-09,30.7215984000,33.0112269600,33.4942709600,30.7215984000,291095522,9883137909.1200,9.11,8.407400,2.56,3.217800
2025-10-10,33.0209971800,33.1480762100,33.7052688800,32.5224563700,192092499,6529742130.3100,3.58,0.414600,0.14,2.123400
2025-10-13,32.0141402500,32.6104341600,32.8157156700,31.5938019200,154199912,5075046931.1700,3.69,-1.621900,-0.54,1.704500
2025-10-14,32.7668391200,32.5029057500,33.9985281800,32.3073995500,139943219,4740161991.1600,5.19,-0.329700,-0.11,1.546900
2025-10-15,32.3660514100,32.6202094700,33.0503231100,31.8284093600,102301172,3391789503.9100,3.76,0.360900,0.12,1.130800
2025-10-16,32.4638045100,32.6495354000,33.4511108200,32.0630168000,100157146,3341044489.0000,4.26,0.089900,0.03,1.107100
2025-10-17,32.6006588500,32.3171748600,33.3338071000,31.8968365300,116180306,3857658496.5700,4.40,-1.018000,-0.33,1.284300
2025-10-20,33.1285255900,31.6329031600,33.2360540000,31.3298685500,127913183,4186908902.1500,5.90,-2.117400,-0.68,1.414000
2025-10-21,31.6329031600,31.8479599800,32.0532414900,31.4960488200,75199461,2449246069.9100,1.76,0.679900,0.22,0.831300
2025-10-22,31.5840266100,32.7179625700,32.8450416000,31.2418907600,100321456,3304836689.0500,5.03,2.731700,0.87,1.109000
2025-10-23,32.6202094700,32.6788613300,32.9427947000,32.0239155600,70412997,2343588102.1500,2.81,-0.119500,-0.04,0.778400
2025-10-24,32.6788613300,32.5420069900,33.0894243500,32.4344785800,71580595,2391640133.0200,2.00,-0.418800,-0.14,0.791300
2025-10-27,32.8743675300,33.1383009000,33.5097626800,32.6299847800,94747722,3206845210.8200,2.70,1.832400,0.60,1.047300
2025-10-28,32.7961650500,32.2389723800,32.9818959400,32.2096464500,74750881,2489095789.5500,2.33,-2.713900,-0.90,0.826300
2025-10-29,32.3562761000,32.6006588500,32.6886366400,32.2682983100,50588481,1680721443.0600,1.30,1.121900,0.36,0.559200
2025-10-30,32.5322316800,32.4735798200,33.1871774500,32.3562761000,75104552,2513012908.7100,2.55,-0.389800,-0.13,0.830200
2025-10-31,32.3562761000,32.1314439700,32.9134687700,32.0630168000,73380725,2432170771.1800,2.62,-1.053600,-0.34,0.811200
2025-11-03,32.1412192800,31.8675106000,32.4051526500,31.3396438600,59034023,1917342461.2500,3.32,-0.821400,-0.26,0.652600
2025-11-04,31.8186340500,31.0757104900,31.8968365300,30.8020018100,62853368,2009488488.9400,3.44,-2.484700,-0.79,0.694800
2025-11-05,30.7531252600,30.7922265000,30.9193055300,30.3621128600,58225187,1825640597.8300,1.79,-0.912200,-0.28,0.643600
2025-11-06,30.9877327000,31.0854858000,31.2321154500,30.8899796000,45062832,1432288356.1000,1.11,0.952400,0.29,0.498100
2025-11-07,30.8411030500,30.6651474700,30.9584067700,30.6455968500,39681247,1249820793.7200,1.01,-1.352200,-0.42,0.438600
2025-11-10,30.6749227800,31.0952611100,31.2321154500,30.6749227800,41366332,1312089107.8400,1.82,1.402600,0.43,0.457300
2025-11-11,31.0952611100,31.0072833200,31.2614413800,30.9095302200,36548961,1161834960.1500,1.13,-0.282900,-0.09,0.404000
2025-11-12,30.8411030500,30.7237993300,30.9779573900,30.4109894100,37316878,1174338136.0500,1.83,-0.914200,-0.28,0.412500
