日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,17.3032680000,16.9328318400,17.6737041600,16.9230835200,11969375,211901754.2500,0.00,-1.025600,0.00,4.243600
2025-04-29,16.9913217600,17.3910028800,17.5469760000,16.8061036800,15053700,268405147.0000,4.38,2.705800,0.46,5.337200
2025-04-30,17.6152142400,18.1123785600,18.5802979200,17.4104995200,24043327,448041169.5000,6.73,4.148000,0.72,8.524400
2025-05-06,18.1611201600,18.5705496000,18.6192912000,17.9856504000,20207246,381042609.9200,3.50,2.529600,0.46,7.164300
2025-05-07,18.7460193600,18.2488550400,18.7850126400,18.0051470400,15792800,296756142.0000,4.20,-1.732300,-0.32,5.599200
2025-05-08,18.2293584000,18.4340731200,18.5997945600,18.1123785600,11470875,216542457.5000,2.67,1.015000,0.19,4.066900
2025-05-09,18.4438214400,17.9271604800,18.4828147200,17.8491739200,9873000,182479822.0000,3.44,-2.749900,-0.51,3.500400
2025-05-12,18.0343920000,18.1903651200,18.2975966400,17.9953987200,7770729,144493891.7500,1.69,1.468200,0.26,2.755100
2025-05-13,18.5705496000,20.0133009600,20.0133009600,18.5705496000,19147496,387115124.3500,7.93,10.021400,1.82,6.788600
2025-05-14,20.0425459200,20.8029148800,20.9491396800,19.7598446400,66767568,1397690116.8700,5.94,3.945400,0.79,23.671900
2025-05-15,20.2765056000,19.4284017600,20.2765056000,19.4186534400,30426018,613527819.5400,4.12,-6.607300,-1.37,10.787300
2025-05-16,19.2041904000,20.0815392000,20.4032337600,19.0092240000,29399123,596297224.7500,7.18,3.361800,0.65,10.423200
2025-05-19,19.7988379200,19.6038715200,19.9353144000,19.3211702400,18720950,374740052.0000,3.06,-2.378600,-0.48,6.637400
2025-05-20,19.8106348800,19.5841713600,19.8795585600,19.2493992000,16970475,337391967.8300,3.21,-0.100500,-0.02,6.016700
2025-05-21,19.3577078400,19.0721668800,19.5546326400,18.9047808000,15578812,303177319.5400,3.32,-2.614400,-0.51,5.523300
2025-05-22,18.8752420800,19.4069390400,19.8795585600,18.6586248000,21856725,429681207.8300,6.40,1.755300,0.33,7.749100
2025-05-23,19.2198604800,18.6192398400,19.2789379200,18.5995473600,16834100,322634061.8200,3.50,-4.058900,-0.79,5.968400
2025-05-26,18.5109312000,18.9047808000,19.0426281600,18.3533913600,12099084,229511782.3800,3.70,1.533600,0.29,4.289600
2025-05-27,19.0032432000,18.8949345600,19.6924800000,18.8850883200,14386871,280669101.2400,4.27,-0.052100,-0.01,5.100800
2025-05-28,18.8161646400,18.3435451200,18.9047808000,18.3140064000,13178878,246746492.0800,3.13,-2.918200,-0.55,4.672500
2025-05-29,18.3238526400,18.5700086400,18.6980097600,18.1761590400,10362625,194641864.7500,2.84,1.234600,0.23,3.674000
2025-05-30,18.3632376000,18.8161646400,19.6432488000,17.9201568000,20610900,392694362.0000,9.28,1.325600,0.25,7.307400
2025-06-03,18.3336988800,18.3927763200,18.5503161600,18.3140064000,10538100,197213201.7500,1.26,-2.250100,-0.42,3.736200
2025-06-04,18.3140064000,18.5109312000,18.5306236800,18.2746214400,7839800,146922162.0000,1.39,0.642400,0.12,2.779500
2025-06-05,18.6093936000,18.9835507200,19.0524744000,18.3730838400,14104299,269437122.2300,3.67,2.553200,0.47,5.000600
2025-06-06,18.8457033600,19.6334025600,19.8500198400,18.5995473600,28695274,563602869.7100,6.59,3.423200,0.65,10.173700
2025-06-09,19.6334025600,19.9977134400,20.1060220800,19.3675540800,28436488,572361211.3900,3.76,1.855600,0.36,10.081900
2025-06-10,19.8992510400,19.3281691200,19.9090972800,18.9146270400,18551623,365829483.0800,4.97,-3.348100,-0.67,6.577300
2025-06-11,19.2986304000,19.2789379200,19.4758627200,19.1312443200,8446525,165632741.5000,1.78,-0.254700,-0.05,2.994600
2025-06-12,19.3281691200,19.0820131200,19.3774003200,19.0032432000,8491850,165669173.7500,1.94,-1.021500,-0.20,3.010700
2025-06-13,18.8457033600,18.1761590400,18.8457033600,18.1761590400,13369050,250284131.2500,3.51,-4.747200,-0.91,4.739900
2025-06-16,18.0186192000,18.3829300800,18.4518537600,17.9300030400,7234991,134207574.4700,2.87,1.137600,0.21,2.565100
2025-06-17,18.3632376000,17.9398492800,18.3730838400,17.9300030400,8383804,153973675.9600,2.41,-2.410300,-0.44,2.972400
2025-06-18,18.0186192000,17.6050771200,18.0186192000,17.4869222400,8936600,159961708.0000,2.96,-1.866100,-0.33,3.168400
2025-06-19,17.6247696000,17.1029188800,17.7724632000,17.0733801600,8507300,150330984.0000,3.97,-2.852300,-0.50,3.016200
2025-06-20,17.0143027200,16.8567628800,17.2210737600,16.7484542400,6512175,111897900.5000,2.76,-1.439300,-0.25,2.308800
2025-06-23,16.6893768000,17.0339952000,17.0832264000,16.6401456000,5919400,101798801.0000,2.63,1.051400,0.18,2.098700
2025-06-24,17.0536876800,17.4770760000,17.6050771200,17.0536876800,8616904,152504316.0400,3.24,2.601200,0.44,3.055100
2025-06-25,17.4770760000,17.7527707200,17.8216944000,17.4475372800,8604200,153999754.0000,2.14,1.577500,0.28,3.050600
2025-06-26,17.7626169600,17.6740008000,18.0776966400,17.5656921600,9926225,179776716.0000,2.88,-0.443700,-0.08,3.519300
2025-06-27,17.5853846400,17.6740008000,17.8709256000,17.5558459200,6480589,116659633.1700,1.78,0.000000,0.00,2.297600
2025-06-30,17.9103105600,18.6684710400,19.4463240000,17.7724632000,30570014,583434651.5100,9.47,5.626700,0.99,10.838400
2025-07-01,18.5207774400,18.1860052800,18.6487785600,18.0875428800,19086675,353735388.2500,3.01,-2.584400,-0.48,6.767000
2025-07-02,18.1269278400,17.8906180800,18.1269278400,17.7823094400,8451304,153750864.2800,1.89,-1.624300,-0.30,2.996300
2025-07-03,18.0776966400,17.9201568000,18.0973891200,17.8118481600,5353327,97409438.3400,1.60,0.165100,0.03,1.898000
2025-07-04,17.8216944000,17.6543083200,18.0678504000,17.6444620800,8381300,151924180.7500,2.36,-1.483500,-0.27,2.971500
2025-07-07,17.6050771200,17.6641545600,17.7330782400,17.4376910400,5160700,92284625.0000,1.67,0.055800,0.01,1.829700
