日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,17.04,17.01,17.17,16.89,23238,40113803.00,1.64,-0.41,-0.07,0.60
2023-05-29,16.99,16.78,17.06,16.61,31798,54213662.10,2.65,-1.35,-0.23,0.82
2023-05-30,16.78,16.54,16.78,16.34,39656,66582291.39,2.62,-1.43,-0.24,1.02
2023-05-31,16.50,16.65,16.66,16.22,43434,72468179.22,2.66,0.67,0.11,1.12
2023-06-01,16.56,16.49,16.64,16.45,21446,36001815.98,1.14,-0.96,-0.16,0.55
2023-06-02,16.47,17.02,17.04,16.40,38743,65992614.01,3.88,3.21,0.53,1.00
2023-06-05,17.08,17.52,17.71,17.01,62011,109502751.58,4.11,2.94,0.50,1.60
2023-06-06,17.54,17.03,17.61,17.00,41952,73594210.99,3.48,-2.80,-0.49,1.08
2023-06-07,17.03,17.04,17.13,16.92,19821,34282080.81,1.23,0.06,0.01,0.51
2023-06-08,17.02,16.96,17.05,16.86,18237,31410374.11,1.12,-0.47,-0.08,0.47
2023-06-09,16.92,16.79,16.96,16.77,20277,34680238.19,1.12,-1.00,-0.17,0.52
2023-06-12,16.76,16.75,16.83,16.59,25077,42501632.62,1.43,-0.24,-0.04,0.65
2023-06-13,16.74,16.75,17.07,16.73,21755,37213600.81,2.03,0.00,0.00,0.56
2023-06-14,16.71,16.77,16.90,16.65,23621,40206000.87,1.49,0.12,0.02,0.61
2023-06-15,16.77,16.89,16.93,16.67,24167,41274404.10,1.55,0.72,0.12,0.62
2023-06-16,16.94,18.03,18.17,16.89,123554,222258841.51,7.58,6.75,1.14,3.19
2023-06-19,17.98,16.93,17.98,16.88,119240,206621209.85,6.10,-6.10,-1.10,3.08
2023-06-20,17.00,16.79,17.02,16.78,42098,71798063.08,1.42,-0.83,-0.14,1.09
2023-06-21,16.76,16.63,16.99,16.61,34369,58300586.00,2.26,-0.95,-0.16,0.89
2023-06-26,16.59,16.20,16.59,16.20,36072,59822115.67,2.35,-2.59,-0.43,0.93
2023-06-27,16.20,16.63,16.68,16.20,27990,46767311.29,2.96,2.65,0.43,0.72
2023-06-28,16.64,16.86,16.95,16.31,30517,51514134.32,3.85,1.38,0.23,0.79
2023-06-29,16.95,16.60,16.95,16.57,23480,39744660.55,2.25,-1.54,-0.26,0.61
2023-06-30,16.63,16.61,16.85,16.49,77298,130155046.96,2.17,0.06,0.01,1.99
2023-07-03,16.61,16.64,16.72,16.50,44958,75520912.81,1.32,0.18,0.03,1.16
2023-07-04,16.64,16.49,16.66,16.38,40586,67622064.05,1.68,-0.90,-0.15,1.05
2023-07-05,16.41,16.34,16.49,16.24,29969,49608650.49,1.52,-0.91,-0.15,0.77
2023-07-06,16.34,16.03,16.34,16.03,33905,55420663.27,1.90,-1.90,-0.31,0.87
2023-07-07,16.05,15.41,16.10,15.18,78103,122412378.33,5.74,-3.87,-0.62,2.01
2023-07-10,15.43,15.47,15.53,15.35,30318,47389350.52,1.17,0.39,0.06,0.78
2023-07-11,15.47,15.51,15.55,15.40,20179,31644608.00,0.97,0.26,0.04,0.52
2023-07-12,15.53,15.62,15.72,15.46,37674,59463295.06,1.68,0.71,0.11,0.97
2023-07-13,15.67,15.89,16.02,15.61,48654,78032796.04,2.62,1.73,0.27,1.26
2023-07-14,15.89,15.96,16.03,15.80,36907,59458840.85,1.45,0.44,0.07,0.95
2023-07-17,15.95,15.84,15.95,15.77,20737,33238016.30,1.13,-0.75,-0.12,0.54
2023-07-18,15.84,15.92,16.09,15.80,24856,40091001.80,1.83,0.51,0.08,0.64
2023-07-19,15.84,15.94,16.19,15.84,27229,44121668.72,2.20,0.13,0.02,0.70
2023-07-20,16.06,15.91,16.06,15.84,22523,36338834.43,1.38,-0.19,-0.03,0.58
2023-07-21,15.84,15.92,15.98,15.84,14405,23215642.60,0.88,0.06,0.01,0.37
2023-07-24,15.86,15.77,15.93,15.77,15346,24608673.15,1.01,-0.94,-0.15,0.40
2023-07-25,15.78,15.79,15.90,15.74,17308,27686517.50,1.01,0.13,0.02,0.45
2023-07-26,15.89,15.76,15.89,15.69,16262,25985274.00,1.27,-0.19,-0.03,0.42
2023-07-27,15.82,15.55,15.83,15.51,17509,27761445.02,2.03,-1.33,-0.21,0.45
2023-07-28,15.55,15.47,15.55,15.38,24822,38833127.46,1.09,-0.51,-0.08,0.64
2023-07-31,15.52,15.73,15.78,15.52,19353,30683171.90,1.68,1.68,0.26,0.50
2023-08-01,15.72,15.75,15.89,15.63,18218,29041344.76,1.65,0.13,0.02,0.47
2023-08-02,15.76,15.60,15.78,15.52,19328,30524967.78,1.65,-0.95,-0.15,0.50
2023-08-03,15.54,15.66,15.68,15.54,14713,23269017.60,0.90,0.38,0.06,0.38
2023-08-04,15.70,15.48,15.79,15.44,32058,50566591.00,2.23,-1.15,-0.18,0.83
2023-08-07,15.49,14.99,15.54,14.95,46034,70512631.52,3.81,-3.17,-0.49,1.19
2023-08-08,15.00,15.01,15.07,14.95,18863,28649786.67,0.80,0.13,0.02,0.49
2023-08-09,15.01,14.89,15.01,14.82,19308,29113751.68,1.27,-0.80,-0.12,0.50
2023-08-10,14.97,14.84,14.97,14.82,13315,20059287.52,1.01,-0.34,-0.05,0.34
2023-08-11,14.90,14.43,14.90,14.40,41197,60973867.32,3.37,-2.76,-0.41,1.06
2023-08-14,14.38,14.31,14.41,14.08,30680,44185535.00,2.29,-0.83,-0.12,0.79
2023-08-15,14.33,14.18,14.36,14.07,21135,30411318.55,2.03,-0.91,-0.13,0.55
2023-08-16,14.11,14.21,14.30,14.09,18434,26545928.02,1.48,0.21,0.03,0.48
2023-08-17,14.34,14.30,14.44,14.04,21368,30795486.95,2.81,0.63,0.09,0.55
2023-08-18,14.31,14.08,14.37,14.08,22594,32632940.75,2.03,-1.54,-0.22,0.58
2023-08-21,14.01,14.03,14.20,13.99,12915,18436364.56,1.49,-0.36,-0.05,0.33
2023-08-22,14.14,13.74,14.18,13.53,35641,49755377.15,4.63,-2.07,-0.29,0.92
