日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,53.3187920000,52.8045900000,53.8824365000,52.1123950000,9641553,515239330.3700,0.00,-1.476000,0.00,3.268100
2025-04-29,52.9726945000,57.1654185000,58.0454950000,52.6364855000,14710989,828002169.8200,10.24,8.258400,4.36,4.986400
2025-04-30,56.1666800000,55.8205825000,58.5399200000,55.4744850000,11515805,659731836.8800,5.36,-2.352500,-1.34,3.903400
2025-05-06,55.8205825000,56.3446730000,56.5918855000,54.9108405000,8951932,505226404.9600,3.01,0.938900,0.52,3.034300
2025-05-07,56.2358995000,55.9095790000,59.5287700000,55.3261575000,10020191,575632129.9800,7.46,-0.772200,-0.44,3.396400
2025-05-08,55.4744850000,54.9306175000,56.0974605000,54.5845200000,8691992,485399011.4100,2.71,-1.751000,-0.98,2.946200
2025-05-09,54.5944085000,56.1963455000,56.9083175000,54.5944085000,7738527,438845898.3300,4.21,2.304200,1.27,2.623000
2025-05-12,56.2457880000,56.6512165000,57.3335230000,55.4052655000,6558478,375344102.1800,3.43,0.809400,0.45,2.223100
2025-05-13,56.6314395000,60.1616340000,60.7944980000,55.8799135000,10631841,627442876.0300,8.68,6.196500,3.51,3.603800
2025-05-14,59.5287700000,60.2407420000,61.3581425000,58.7673555000,7905260,480482080.1400,4.31,0.131500,0.08,2.679600
2025-05-15,60.1814110000,62.6832015000,63.5336125000,58.9849025000,9288236,574835936.2900,7.55,4.054500,2.44,3.148300
2025-05-16,62.0602260000,63.4446160000,67.2319115000,60.6659475000,11883552,768029900.6500,10.47,1.214700,0.76,4.028000
2025-05-19,62.5744280000,64.6015705000,66.9154795000,60.4286235000,13198676,847248764.9200,10.22,1.823600,1.16,4.473800
2025-05-20,64.0280375000,68.4580855000,70.8807680000,63.7808250000,16374101,1109469941.1100,10.99,5.969700,3.86,5.550200
2025-05-21,66.7473750000,63.0886300000,68.2306500000,62.8018635000,14969014,992553580.7700,7.93,-7.843400,-5.37,5.073900
2025-05-22,63.3160655000,63.5336125000,64.8191175000,62.1788880000,11104021,710263566.1200,4.18,0.705300,0.44,3.763800
2025-05-23,62.8414175000,62.3568810000,63.8599330000,62.0008950000,8442189,536098266.7200,2.93,-1.852100,-1.18,2.861600
2025-05-26,62.2975500000,62.7820865000,63.6324975000,61.9316755000,7129731,453026649.6400,2.73,0.681900,0.43,2.416700
2025-05-27,62.1986650000,62.2283305000,62.9205255000,61.6943515000,7119568,448003448.4500,1.95,-0.882000,-0.55,2.356800
2025-05-28,62.2283305000,61.8624560000,63.0194105000,61.2988115000,5890025,368636837.3700,2.76,-0.588000,-0.37,1.949800
2025-05-29,61.5460240000,61.7437940000,62.6930900000,61.4075850000,5577062,349382543.7200,2.08,-0.191800,-0.12,1.846200
2025-05-30,62.0008950000,62.1591110000,63.2369575000,61.6449090000,5177971,325710483.0800,2.58,0.672600,0.42,1.714100
2025-06-03,61.8023176000,65.5887627200,66.0546342400,61.5644257600,12574535,820563922.3700,7.22,5.517500,3.43,4.162600
2025-06-04,65.2715736000,71.6054438400,72.1506126400,64.7363169600,16454148,1143940003.8900,11.30,9.173300,6.02,5.446800
2025-06-05,71.6054438400,70.0591468800,73.3499840000,69.3851200000,14459314,1039652399.4900,5.54,-2.159500,-1.55,4.786500
2025-06-06,69.2859984000,63.8937833600,69.7518699200,63.4477361600,16073617,1055542697.7700,9.00,-8.800200,-6.17,5.320900
2025-06-09,63.8343104000,65.4400803200,66.0149856000,63.1701956800,8676648,568705700.7200,4.45,2.420100,1.55,2.872200
2025-06-10,65.3706952000,68.5921472000,69.5238902400,64.7561412800,11249024,770649220.1900,7.29,4.816700,3.15,3.723800
2025-06-11,68.2055729600,67.6703163200,69.2661740800,66.8178705600,7476234,511868168.1100,3.57,-1.343900,-0.92,2.474900
2025-06-12,67.7099649600,68.1361878400,68.9390728000,66.8079584000,7597832,520617752.9700,3.15,0.688400,0.47,2.515100
2025-06-13,68.1262756800,67.6504920000,69.0679308800,66.9070800000,6467501,442081039.2000,3.17,-0.712800,-0.49,2.140900
2025-06-16,67.3035664000,64.6768440000,67.3035664000,64.2803576000,8921271,587463290.6700,4.47,-4.395600,-2.97,2.953200
2025-06-17,64.6768440000,62.9323038400,65.7176208000,62.5259052800,8331662,535885829.0700,4.93,-2.697300,-1.74,2.758000
2025-06-18,62.4466080000,62.2483648000,63.2990537600,61.7527568000,7072664,444501750.2500,2.46,-1.086800,-0.68,2.341300
2025-06-19,62.0897702400,59.8297977600,62.4466080000,59.4729600000,10543155,643994324.8600,4.78,-3.885400,-2.42,3.490100
2025-06-20,59.8297977600,58.5709534400,60.5930340800,57.8870144000,12299158,729714334.7600,4.52,-2.104000,-1.26,4.071400
2025-06-23,57.9861360000,58.7493723200,58.9178790400,56.9453592000,9761644,572238009.8300,3.37,0.304600,0.18,3.231400
2025-06-24,59.3540140800,58.9476155200,60.7119800000,58.6205142400,9299067,557541781.0100,3.56,0.337400,0.20,3.078300
2025-06-25,58.6898993600,59.7108518400,60.4245273600,58.6898993600,7795999,468675628.8400,2.94,1.294800,0.76,2.580700
2025-06-26,59.2152438400,58.4817440000,59.7108518400,58.3528859200,5914639,351029976.0700,2.27,-2.058400,-1.23,1.957900
2025-06-27,58.3528859200,59.2747168000,59.7703248000,58.1546427200,5261074,313116660.2600,2.76,1.355900,0.79,1.741600
2025-06-30,58.9773520000,61.3265339200,62.0302972800,58.6006899200,9476573,578196877.7500,5.79,3.461500,2.05,3.137000
2025-07-01,61.3265339200,64.6074588800,65.2220128000,61.1481150400,12060126,774740748.3300,6.64,5.349900,3.28,3.962300
2025-07-02,64.2803576000,62.1393310400,65.0535060800,61.3860068800,10080450,642071883.9100,5.68,-3.820200,-2.47,3.311900
2025-07-03,61.6437230400,61.0985542400,62.6250268800,60.4840003200,6764418,418128991.7600,3.45,-1.674900,-1.04,2.222400
2025-07-04,60.5137368000,60.7516286400,61.2472366400,59.9685680000,4870088,297795655.4000,2.09,-0.567800,-0.35,1.600000
2025-07-07,61.0489934400,60.1866355200,61.8221419200,59.8595342400,4607031,282117824.4900,3.23,-0.930000,-0.56,1.513600
2025-07-08,59.9685680000,59.8991828800,60.4443516800,59.4630478400,4528601,273474349.8000,1.63,-0.477600,-0.29,1.487900
2025-07-09,59.8991828800,60.1668112000,61.3265339200,59.6117302400,4530080,275940959.3500,2.86,0.446800,0.27,1.488300
2025-07-10,60.0676896000,56.7471160000,60.0676896000,56.0631769600,12147371,704745560.0200,6.66,-5.683700,-3.42,3.991000
2025-07-11,56.4993120000,56.2812444800,57.1535145600,55.9244067200,8042900,458417106.7400,2.17,-0.821000,-0.47,2.642500
2025-07-14,56.3010688000,56.2515080000,56.4993120000,53.8428531200,12107563,675519660.5900,4.72,-0.052800,-0.03,3.977900
2025-07-15,55.8748459200,55.6072176000,56.1028256000,55.0917852800,5073955,284267950.4200,1.80,-1.145400,-0.64,1.667000
2025-07-16,55.5279203200,55.4585352000,56.9255348800,55.3693257600,7088977,401981074.0100,2.80,-0.267400,-0.15,2.329100
2025-07-17,53.6644342400,54.0410963200,54.7349475200,52.5443601600,13424636,727246252.2700,3.95,-2.555900,-1.42,4.410600
2025-07-18,53.6941707200,54.0609206400,54.9827515200,53.5157518400,7546167,412455945.3300,2.71,0.036700,0.02,2.479300
2025-07-21,54.0609206400,55.5080960000,56.0037040000,53.6446099200,10442419,583366276.6900,4.36,2.676900,1.45,3.430800
2025-07-22,55.4089744000,54.8638056000,55.9442310400,54.5664408000,7158874,399711882.4700,2.48,-1.160700,-0.64,2.352000
2025-07-23,54.5168800000,54.2789881600,54.8935420800,53.9717112000,5878469,321874856.6200,1.68,-1.065900,-0.58,1.931300
2025-07-24,54.0212720000,54.1501300800,54.7151232000,53.7536436800,4142643,226106257.9500,1.77,-0.237400,-0.13,1.361000
2025-07-25,54.1600422400,55.3891500800,56.2515080000,54.1600422400,8700798,487758066.5000,3.86,2.288100,1.24,2.858600
2025-07-28,55.3891500800,54.7845083200,55.7658121600,54.7646840000,4951426,275283200.0700,1.81,-1.091600,-0.60,1.626800
2025-07-29,54.8538934400,53.7139950400,55.2900284800,53.1688262400,5886665,319039203.5500,3.87,-1.954000,-1.07,1.934000
2025-07-30,53.6743464000,55.6468662400,55.8649337600,53.4661910400,8165568,453500853.8700,4.47,3.598400,1.93,2.682800
2025-07-31,55.7658121600,56.3010688000,56.3803660800,54.7250353600,7492057,421700637.1100,2.97,1.175600,0.65,2.461500
2025-08-01,56.3803660800,54.4673192000,56.8957984000,54.0014476800,7569051,421725048.6800,5.14,-3.257000,-1.83,2.486800
2025-08-04,54.1699544000,57.9167508800,58.4619196800,53.9221504000,11686842,677485635.2800,8.33,6.333000,3.45,3.839700
2025-08-05,58.1149940800,58.2042035200,58.7097236800,57.3517577600,7322594,429130375.4800,2.34,0.496300,0.29,2.405800
2025-08-06,58.3727102400,56.9354470400,58.7394601600,53.9915355200,14118737,794287666.6300,8.16,-2.179800,-1.27,4.638600
2025-08-07,56.5290484800,59.9685680000,61.4058312000,56.4993120000,15181899,916847923.3400,8.62,5.327300,3.03,4.987900
2025-08-08,60.0082166400,59.0665614400,60.9102232000,58.5114804800,9155020,550307863.7900,4.00,-1.504100,-0.90,3.007800
2025-08-11,59.2747168000,57.4905280000,59.7306761600,57.3715820800,10027173,586012502.2700,3.99,-2.668200,-1.58,3.294400
2025-08-12,57.3021969600,57.4905280000,58.7791088000,57.2922848000,6091898,354994226.9100,2.59,0.000000,0.00,2.001500
2025-08-13,57.3121091200,56.9651835200,57.7383320000,56.4001904000,7794433,447826200.5300,2.33,-0.913800,-0.53,2.560800
2025-08-14,56.9949921000,58.6859430000,59.1136541100,56.8457905500,10196483,597552665.1400,3.98,3.020800,1.72,3.350000
2025-08-15,58.1090303400,58.8152510100,59.2728024300,57.5221709100,7660227,451230965.6800,2.98,0.220300,0.13,2.516700
2025-08-18,58.8251977800,59.2827492000,59.7999812400,57.5321176800,9460337,556853289.0500,3.86,0.794900,0.47,3.108100
2025-08-19,59.1832815000,60.0784908000,61.6600272300,58.7754639300,10792890,653179021.8900,4.87,1.342300,0.80,3.545900
2025-08-20,60.0884375700,62.4159817500,62.6447574600,58.9246654800,13704596,844406110.9700,6.19,3.890700,2.34,4.502600
