日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,20.0536798000,20.2781948000,20.7900890000,19.6764946000,10811600,244296707.0000,0.00,0.938800,0.00,2.013900
2025-04-29,20.2781948000,20.3320784000,20.7990696000,20.2063500000,5686500,129586731.0000,2.92,0.265700,0.05,1.059200
2025-04-30,20.3320784000,20.3051366000,20.4488262000,20.2692142000,4834700,109535125.0000,0.88,-0.132500,-0.03,0.900600
2025-05-06,20.3769814000,20.5386322000,20.5835352000,20.1345052000,7121297,162093498.0200,2.21,1.149900,0.23,1.326500
2025-05-07,20.6553800000,21.0954294000,21.1942160000,20.6194576000,13704537,318925162.3300,2.80,2.711000,0.56,2.552700
2025-05-08,21.0505264000,20.8798950000,21.0505264000,20.7631472000,5955200,138389113.0000,1.36,-1.021700,-0.22,1.109300
2025-05-09,20.9158174000,20.8170308000,21.0864488000,20.7541666000,5840500,135691389.0000,1.59,-0.301100,-0.06,1.087900
2025-05-12,20.8978562000,20.8798950000,20.9966428000,20.7002830000,5947300,137819352.0000,1.42,0.302000,0.06,1.107800
2025-05-13,20.9697010000,21.2391190000,21.3648474000,20.7541666000,11278100,264966180.0000,2.92,1.720400,0.36,2.100800
2025-05-14,21.2031966000,21.3019832000,21.3917892000,21.0864488000,5975200,141418078.0000,1.44,0.296000,0.06,1.113000
2025-05-15,21.2750414000,21.2930026000,21.7510132000,21.2570802000,6275096,150155204.2800,2.32,-0.042200,-0.01,1.168900
2025-05-16,21.2480996000,22.8466464000,23.1609674000,21.2480996000,18665605,464042977.8000,8.98,7.296500,1.55,3.476800
2025-05-19,22.7658210000,22.4515000000,22.8646076000,22.2269850000,10996600,274368452.9200,2.79,-1.729600,-0.40,2.048300
2025-05-20,22.4515000000,22.3796552000,22.5233448000,22.1820820000,7662035,190831279.4600,1.52,-0.320000,-0.07,1.427200
2025-05-21,22.2988298000,22.4694612000,22.6580538000,22.2988298000,8349995,209028153.0000,1.61,0.401300,0.09,1.555300
2025-05-22,22.3796552000,22.4784418000,22.7209180000,22.1102372000,8503954,212619494.8100,2.72,0.040000,0.01,1.584000
2025-05-23,22.5862090000,22.6760150000,22.9903360000,22.4784418000,8343500,211122563.2000,2.28,0.878900,0.20,1.554100
2025-05-26,22.8825688000,22.4065970000,23.5112108000,22.2180044000,9053004,228642683.8300,5.70,-1.188100,-0.27,1.686300
2025-05-27,22.5233448000,22.8107240000,22.8466464000,22.3706746000,6320678,159301352.8600,2.12,1.803600,0.40,1.177300
2025-05-28,22.7927628000,22.7388792000,22.9903360000,22.4784418000,4803492,121498022.6100,2.24,-0.315000,-0.07,0.894700
2025-05-29,22.6849956000,22.5053836000,22.7837822000,22.4245582000,5338982,134067649.9900,1.58,-1.026900,-0.23,0.994500
2025-05-30,22.3706746000,22.4964030000,22.6311120000,22.2269850000,4470675,111517772.4200,1.80,-0.039900,-0.01,0.832700
2025-06-03,22.4335388000,22.2090238000,22.5413060000,22.1731014000,5012719,124530467.6700,1.64,-1.277400,-0.29,0.933700
2025-06-04,22.3257716000,21.7779550000,22.3347522000,21.7240714000,9428355,229098824.4900,2.75,-1.941000,-0.43,1.756200
2025-06-05,21.7420326000,21.7779550000,21.8857222000,21.6791684000,4135800,100375511.0000,0.95,0.000000,0.00,0.770400
2025-06-06,21.7959162000,21.7779550000,21.9575670000,21.7240714000,3306579,80387958.8900,1.07,0.000000,0.00,0.615900
2025-06-09,21.7779550000,21.7150908000,21.9126640000,21.6791684000,4656135,112856763.3300,1.07,-0.288700,-0.06,0.867300
2025-06-10,21.7420326000,21.7689744000,22.0024700000,21.5714012000,6377045,154878211.8500,1.99,0.248100,0.05,1.187800
2025-06-11,21.7689744000,21.9845088000,22.0743148000,21.7150908000,5892505,143859391.8700,1.65,0.990100,0.22,1.097600
2025-06-12,21.9575670000,21.8857222000,22.0024700000,21.7420326000,5656761,137759821.5300,1.18,-0.449300,-0.10,1.053500
2025-06-13,21.8318386000,21.6342654000,21.9036834000,21.5085370000,8730712,211023115.6000,1.81,-1.149000,-0.25,1.626000
2025-06-16,21.7510132000,21.7061102000,22.0743148000,21.6791684000,7710626,187364338.8700,1.83,0.332100,0.07,1.432800
2025-06-17,21.7061102000,21.6252848000,21.8138774000,21.4815952000,7443234,179189778.1800,1.53,-0.372400,-0.08,1.383100
2025-06-18,21.6163042000,21.4636340000,21.6432460000,21.3648474000,3774500,90258502.0000,1.29,-0.747500,-0.16,0.701400
2025-06-19,21.4546534000,21.4007698000,21.7330520000,21.2840220000,5148017,122898872.7600,2.09,-0.292900,-0.06,0.956600
2025-06-20,21.3558668000,21.5175176000,21.6432460000,21.2840220000,8313902,198765831.2900,1.68,0.545500,0.12,1.544900
2025-06-23,21.2338861400,21.4135138500,21.5080547500,20.9786257100,8059571,181458340.5200,2.46,-0.483300,-0.10,1.497700
2025-06-24,21.1960697800,21.5931415600,21.7254988200,20.6855489200,15237127,342560554.7500,4.86,0.838900,0.18,2.831500
2025-06-25,21.2906106800,21.2811565900,21.4986006600,21.0542584300,16748460,376864273.7400,2.06,-1.444800,-0.31,3.112300
2025-06-26,21.2717025000,21.0448043400,21.3095188600,20.9691716200,10764904,240110990.8600,1.60,-1.110600,-0.24,1.918400
2025-06-27,21.0637125200,21.1109829700,21.4607843000,20.9786257100,11290884,253434879.1900,2.29,0.314500,0.07,2.012100
2025-06-30,21.1298911500,21.3284270400,21.3473352200,21.0164420700,10063152,225781841.7100,1.57,1.030000,0.22,1.759900
2025-07-01,21.2811565900,22.1131165100,22.1509328700,21.2527943200,18817661,433461178.7800,4.21,3.679100,0.78,3.257200
2025-07-02,21.9902133400,22.1414787800,22.2360196800,21.8673101700,9959065,232261722.5300,1.67,0.128300,0.03,1.723800
2025-07-03,22.1320246900,22.1792951400,22.2832901300,22.0847542400,5377001,126112661.2700,0.90,0.170800,0.04,0.922500
2025-07-04,22.1131165100,21.7916774500,22.2360196800,21.7065906400,9113820,210370706.5200,2.39,-1.747700,-0.39,1.563600
2025-07-07,21.7916774500,21.8011315400,21.8389479000,21.5175088400,5232989,120005648.7500,1.48,0.043400,0.01,0.897800
2025-07-08,22.0280297000,21.8767642600,22.2643819500,21.7727692700,9284926,215930316.1700,2.25,0.346900,0.08,1.593000
2025-07-09,21.9240347100,21.7633151800,21.9807592500,21.7444070000,5673842,131089965.8000,1.08,-0.518600,-0.11,0.973400
2025-07-10,21.7727692700,21.9807592500,22.0280297000,21.6687742800,6721266,155635263.7500,1.65,0.999100,0.22,1.141800
2025-07-11,21.9807592500,21.9145806200,22.1036624200,21.8673101700,6819112,158341682.7800,1.08,-0.301100,-0.07,1.158400
2025-07-14,21.9145806200,22.3589228500,22.5480046500,21.8484019900,9224319,216464094.0200,3.19,2.027600,0.44,1.567000
2025-07-15,23.2570614000,23.2665154900,23.8432149800,22.9545305200,23898676,589826947.1500,3.97,4.059200,0.91,4.024100
2025-07-16,23.2665154900,22.8599896200,23.5690463700,22.8127191700,10525785,257633606.1100,3.25,-1.747300,-0.41,1.772400
2025-07-17,22.9261682500,22.7087241800,22.9639846100,22.5952751000,7624675,183162681.0100,1.61,-0.661700,-0.15,1.283900
2025-07-18,22.7276323600,23.6257709100,24.0890213200,22.7276323600,17952101,447671046.2100,6.00,4.038300,0.92,3.022800
2025-07-21,23.5785004600,23.6824954500,23.9944804200,23.4555972900,9664944,242044957.5700,2.28,0.240100,0.06,1.627400
