日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-28,12.9180435400,13.0008073000,13.2766865000,12.7938979000,5334740,100915859.6000,0.00,1.398600,0.00,2.389900
2025-04-29,12.9180435400,13.2559955600,13.4491110000,12.9180435400,5750963,110448849.7100,4.08,1.962900,0.26,2.576300
2025-04-30,13.2353046200,13.2766865000,13.6422264400,13.1525408600,5426340,105163844.6000,3.69,0.156100,0.02,2.430900
2025-05-06,13.2835834800,13.2008197200,13.3663472400,12.7732069600,6585880,124871975.0000,4.47,-0.571400,-0.08,2.950300
2025-05-07,13.2422016000,14.2215727600,14.2422637000,13.2422016000,11902140,239740039.0000,7.58,7.732500,1.02,5.331900
2025-05-08,14.2767486000,14.0215603400,14.4008942400,13.8008569800,7715980,158255460.2000,4.22,-1.406400,-0.20,3.456600
2025-05-09,14.0422512800,14.9802405600,15.3250895600,14.0422512800,11357882,243238303.3100,9.15,6.837200,0.96,5.088100
2025-05-12,14.8147130400,14.6147006200,14.9595496200,14.5457308200,7401560,157813968.4000,2.76,-2.440100,-0.37,3.315800
2025-05-13,14.6353915600,14.6974643800,15.0354164000,14.5043489400,6037184,128983238.3600,3.63,0.566300,0.08,2.704500
2025-05-14,14.6147006200,14.4698640400,14.9595496200,14.3664093400,5574160,117947134.8800,4.04,-1.548600,-0.23,2.497100
2025-05-15,14.4353791400,15.4354412400,15.6975264800,14.3457184000,8718220,191306127.2000,9.34,6.673000,0.97,3.905600
2025-05-16,15.3181925800,15.9734056800,16.1113452800,15.0767982800,6737960,151702454.9600,6.70,3.485300,0.54,3.018500
2025-05-19,15.9803026600,15.8906419200,17.1527892600,15.6906295000,11758277,277947395.2000,9.15,-0.518100,-0.08,5.267500
2025-05-20,15.8837449400,16.3251516600,17.4769473200,15.6561446000,15651535,380009287.5000,11.46,2.734400,0.43,7.011600
2025-05-21,16.3251516600,15.6630415800,16.6562067000,15.5182050000,11627643,267596145.5000,6.97,-4.055800,-0.66,5.209000
2025-05-22,15.6561446000,15.6009687600,16.0216845400,15.5113080200,5479352,124790668.5200,3.26,-0.396300,-0.06,2.454600
2025-05-23,15.6354536600,15.2906046600,15.7044234600,15.1733560000,7361777,164462627.7900,3.40,-1.989400,-0.31,3.297900
2025-05-26,15.2492227800,15.6906295000,16.2492848800,15.0699013000,8397860,192012780.6500,7.71,2.616100,0.40,3.762100
2025-05-27,15.7802902400,16.1044483000,16.4699882400,15.5871748000,7934596,185071949.5600,5.63,2.637400,0.41,3.554500
2025-05-28,16.0837573600,15.7595993000,16.0975513200,15.6906295000,4421045,101546210.0200,2.53,-2.141300,-0.34,1.980500
2025-05-29,15.7664962800,15.1526650600,15.7733932600,14.9319617000,7105261,156424150.1100,5.34,-3.851200,-0.61,3.183000
2025-05-30,15.0078284800,14.8836828400,15.3940593600,14.8423009600,3961173,86201444.4700,3.64,-1.775100,-0.27,1.774500
2025-06-03,14.8836828400,15.2423258000,15.4906170800,14.8078160600,5372830,118723141.0500,4.59,2.409600,0.36,2.406900
2025-06-04,15.5182050000,16.7665583800,16.7665583800,15.2768107000,8749157,203832271.8700,9.77,10.000000,1.52,3.919400
2025-06-05,16.7665583800,15.7733932600,17.0217466400,15.6561446000,10960504,257770161.9000,8.14,-5.923500,-0.99,4.910100
2025-06-06,15.9320238000,14.9733435800,15.9458177600,14.9526526400,8330214,183669667.5200,6.30,-5.072100,-0.80,3.731800
2025-06-09,14.9664466000,15.5457929200,15.9320238000,14.8629919000,7341874,164254967.8200,7.14,3.823100,0.57,3.289000
2025-06-10,15.5251019800,16.4286063600,16.9665708000,15.4561321800,10974372,261611204.5400,9.72,5.678800,0.88,4.916300
2025-06-11,16.1734181000,16.5596489800,16.6631036800,16.1734181000,4427422,105825456.4600,2.98,0.797600,0.13,1.983400
2025-06-12,16.6148248200,16.6493097200,16.8424251600,16.2630788400,3909380,93661100.5600,3.50,0.541400,0.09,1.751300
2025-06-13,16.6217218000,15.9458177600,16.6493097200,15.7458053400,4655319,107861785.5600,5.43,-4.225400,-0.70,2.085500
2025-06-16,15.8216721200,15.7182174200,15.9251268200,15.5733808400,2571680,58544822.6000,2.21,-1.427300,-0.23,1.152100
2025-06-17,15.8078781600,15.3457805000,15.8492600400,15.1112831800,3201460,71394871.8000,4.70,-2.369500,-0.37,1.434200
2025-06-18,15.4285442600,15.5871748000,15.6561446000,14.9388586800,4835000,107368376.4000,4.67,1.573000,0.24,2.166000
2025-06-19,15.4561321800,14.4698640400,15.4906170800,14.4008942400,5933980,126985595.2000,6.99,-7.168100,-1.12,2.658300
2025-06-20,14.4422761200,14.5871127000,14.8009190800,14.4008942400,3853860,81691092.8000,2.76,0.810300,0.12,1.726500
2025-06-23,14.5733187400,14.6836704200,14.8009190800,13.6974022800,3320820,69933635.2000,7.57,0.661900,0.10,1.487700
2025-06-24,14.8354039800,15.4078533200,15.4492352000,14.8354039800,4145280,91688975.6000,4.18,4.931900,0.72,1.857000
2025-06-25,15.5182050000,15.3112956000,15.7802902400,15.1871499600,3565680,79673629.0000,3.85,-0.626700,-0.10,1.597400
2025-06-26,14.9319617000,15.6768355400,15.7802902400,14.5526278000,6319140,141475578.0000,8.02,2.387400,0.37,2.830800
2025-06-27,15.6492476200,15.7940842000,15.8354660800,15.3388835200,2554820,57875297.0000,3.17,0.747900,0.12,1.144500
2025-06-30,15.8078781600,16.1872120600,16.3251516600,15.6285566800,2516102,58340049.1800,4.41,2.489100,0.39,1.127200
2025-07-01,16.1596241400,16.3734305200,16.6079278400,16.0699634000,3743260,89198139.6000,3.32,1.150400,0.19,1.676900
2025-07-02,16.3941214600,16.8286312000,16.9941587200,16.3872244800,5113434,123736759.1500,3.71,2.780100,0.46,2.290700
2025-07-03,16.7022926000,16.6461504400,16.7163281400,16.0706933000,3331020,77935542.4000,3.84,-1.084200,-0.18,1.492200
2025-07-04,16.6461504400,16.1549065400,16.7022926000,16.1338532300,1741944,40498316.1000,3.41,-2.951100,-0.49,0.780400
2025-07-07,16.0777110700,16.1127999200,16.4215818000,15.9934978300,2056599,47378691.0800,2.65,-0.260600,-0.04,0.921300
2025-07-08,16.0917466100,16.1408710000,16.3163152500,15.9303379000,2212195,50856092.6500,2.40,0.174200,0.03,0.991000
2025-07-09,16.1338532300,16.0145511400,16.2812264000,15.9303379000,1364600,31288562.2000,2.17,-0.782600,-0.13,0.611300
2025-07-10,16.0075333700,15.5583960900,16.1268354600,15.4671650800,2881660,64289308.0000,4.12,-2.848400,-0.46,1.290900
2025-07-11,15.6005027100,15.5303250100,15.7619114200,15.3689163000,1754340,38769413.0000,2.53,-0.180400,-0.03,0.785900
2025-07-14,15.5303250100,15.6496271000,15.9163023600,15.5233072400,1667640,37280236.4000,2.53,0.768200,0.12,0.747100
2025-07-15,15.6566448700,15.6917337200,15.8671779700,15.3689163000,2075844,46135066.2900,3.18,0.269100,0.04,0.929900
2025-07-16,15.5794494000,15.6145382500,15.7548936500,15.4180406900,1366220,30307016.4000,2.15,-0.491900,-0.08,0.612000
2025-07-17,15.7548936500,15.3338274500,15.8601602000,15.1794365100,2634200,57839050.9000,4.36,-1.797800,-0.28,1.180100
2025-07-18,15.3338274500,15.2075075900,15.4812006200,15.0180278000,2215860,48156245.2000,3.02,-0.823800,-0.13,0.992700
2025-07-21,15.1934720500,14.4846772800,15.3408452200,14.1127354700,14434696,296265601.8400,8.08,-4.753100,-0.72,6.466500
2025-07-22,14.3443218800,14.3022152600,14.4355528900,14.1829131700,6191680,125939776.6000,1.74,-1.259700,-0.18,2.773700
2025-07-23,14.2671264100,14.2601086400,14.4846772800,14.2109842500,4951840,101026104.2000,1.91,-0.294400,-0.04,2.218300
2025-07-24,14.2320375600,14.2811619500,14.4074818100,14.2180020200,3192920,65028549.4000,1.33,0.147600,0.02,1.430400
2025-07-25,14.2881797200,14.3513396500,14.5127483600,14.2601086400,4212899,86359663.1600,1.77,0.491400,0.07,1.887300
2025-07-28,14.4636239700,14.3723929600,14.4846772800,14.1969487100,3711600,75754486.0000,2.00,0.146700,0.02,1.662700
2025-07-29,14.3723929600,14.0706288500,14.4004640400,13.9513267600,4300580,86503012.8000,3.12,-2.099600,-0.30,1.926600
2025-07-30,14.0285222300,15.3759340700,15.4390940000,13.9302734500,13276676,280392062.3600,10.72,9.276800,1.31,5.947700
2025-07-31,15.2285609000,14.3934462700,15.2285609000,14.3653751900,8219620,173093727.8000,5.61,-6.389800,-0.98,3.682200
2025-08-01,14.3723929600,14.1478243200,14.4074818100,13.9022023700,7011646,140457312.5800,3.51,-1.706500,-0.25,3.141100
2025-08-04,14.0916821600,14.5057305900,14.5548549800,13.9653623000,4355156,89142271.8000,4.17,2.529800,0.36,1.951000
2025-08-05,14.5408194400,14.8776724000,15.0882055000,14.5408194400,4928080,103975545.0000,3.77,2.564100,0.37,2.207700
2025-08-06,14.7443347700,14.8706546300,15.0882055000,14.6601215300,3538040,74940394.0000,2.88,-0.047200,-0.01,1.585000
2025-08-07,14.7724058500,15.8040180400,16.0075333700,14.7302992300,8129158,179756899.6500,8.59,6.276500,0.93,3.641700
2025-08-08,15.7478758800,15.6075204800,15.8461246600,15.5162894700,2819070,63003598.0000,2.09,-1.243300,-0.20,1.262900
2025-08-11,15.7970002700,15.0882055000,15.7970002700,15.0531166500,5610880,121532425.1200,4.77,-3.327300,-0.52,2.513600
2025-08-12,15.0882055000,15.0250455700,15.3197919100,14.8425835500,3628520,77733022.0000,3.16,-0.418600,-0.06,1.625500
2025-08-13,15.0390811100,15.1513654300,15.1583832000,14.8846901700,3001120,64328861.6000,1.82,0.840700,0.13,1.344400
2025-08-14,15.1232943500,14.8215302400,15.2636497500,14.8074947000,1883560,40235279.0000,3.01,-2.176900,-0.33,0.843800
2025-08-15,14.7513525400,14.7864413900,14.9548678700,14.7162636900,2640680,55648484.2000,1.61,-0.236700,-0.04,1.183000
2025-08-18,14.7934591600,15.2917208300,15.3408452200,14.7934591600,3494376,75220900.8400,3.70,3.417200,0.51,1.565400
2025-08-19,15.3338274500,15.2425964400,15.3548807600,15.0882055000,1897381,41097143.8500,1.74,-0.321200,-0.05,0.850000
2025-08-20,15.1724187400,15.6355915600,15.6847159500,15.0952232700,3457992,76267783.4700,3.87,2.578300,0.39,1.549100
2025-08-21,15.6496271000,15.7759469600,15.7829647300,15.4110229200,2498500,55493118.0000,2.38,0.897700,0.14,1.119300
2025-08-22,15.7829647300,15.6776981800,15.8461246600,15.4531295400,2499218,55725188.8800,2.49,-0.622800,-0.10,1.119600
2025-08-25,15.6496271000,16.2321020100,16.6531682100,15.4952361600,6703116,151301085.8400,7.39,3.536300,0.55,3.002900
2025-08-26,16.0145511400,16.0005156000,16.6601859800,15.6496271000,6483808,150276204.5200,6.23,-1.426700,-0.23,2.904600
2025-08-27,16.0075333700,15.3197919100,16.0075333700,15.2776852900,6181360,136721245.4000,4.56,-4.254400,-0.68,2.769100
2025-08-28,15.2355786700,15.0180278000,15.4320762300,14.4706417400,4580060,97345078.0000,6.28,-1.969800,-0.30,2.051800
2025-08-29,15.0180278000,15.3057563700,15.7198048000,15.0180278000,4283198,94189187.3800,4.67,1.915900,0.29,1.918800
2025-09-01,15.2987386000,15.4531295400,15.7408581100,15.0671521900,3775680,83410657.2000,4.40,0.962900,0.15,1.691400
2025-09-02,15.3829518400,15.0180278000,15.4601473100,14.8846901700,4625622,99777516.9500,3.72,-2.815600,-0.44,2.072200
2025-09-03,15.0110100300,14.6601215300,15.1864542800,14.6039793700,2780798,58663891.8400,3.88,-2.383200,-0.36,1.245700
2025-09-04,14.6390682200,15.1583832000,15.4390940000,14.5057305900,4962600,106484115.1000,6.37,3.398800,0.50,2.223100
2025-09-05,15.1583832000,14.9127612500,15.2145253600,14.6039793700,3955279,83849091.2700,4.03,-1.620400,-0.25,1.771900
2025-09-08,14.8636368600,15.1232943500,15.1654009700,14.7583703100,4100420,87173518.6000,2.73,1.411800,0.21,1.836900
2025-09-09,15.1303121200,15.6566448700,16.3373685600,15.1092588100,8286937,186515012.7000,8.12,3.526700,0.53,3.712400
2025-09-10,15.6636626400,15.9163023600,16.0706933000,15.4671650800,4492461,101493487.0900,3.85,1.658400,0.26,2.012500
2025-09-11,15.9163023600,15.9303379000,16.0706933000,15.4741828500,3578723,80293142.0300,3.75,0.088200,0.01,1.603200
